symbol,open,high,low,close,volume
aaa,9.44,9.44,9.17,9.35,226610
aam,9.72,9.9,9.72,9.9,1130
abt,46.13,46.13,45.69,45.69,30
acb,18.3,18.57,18.2,18.39,182808
acc,21.4,21.4,21.31,21.31,1280
acm,4.15,4.44,4.15,4.43,1883695
agm,7.43,7.43,7.43,7.43,20
agr,3.9,3.9,3.8,3.9,91570
alt,9.88,9.88,9.88,9.88,1000
amd,10.42,10.42,10.06,10.15,533680
anv,8.19,8.28,7.92,8.19,29070
apc,17.61,17.7,17.51,17.71,79610
apg,4.0,4.0,4.0,4.0,1000
api,10.7,11.0,10.5,11.0,840300
app,9.79,9.79,9.79,9.8,500
aps,3.0,3.1,2.9,3.0,151500
arm,22.49,22.49,22.41,22.4,700
asa,3.48,3.48,3.28,3.38,70400
asm,13.4,13.7,13.2,13.5,1663650
asp,4.6,4.7,4.6,4.7,12150
b82,6.44,6.44,5.92,5.93,200
bbc,55.81,57.26,55.81,56.29,9750
bbs,12.11,12.63,12.02,12.63,810
bcc,12.87,13.04,12.61,12.61,141500
bcg,17.22,17.5,17.12,17.31,773270
bci,21.56,21.56,21.09,21.19,139930
bdb,4.97,4.97,4.97,4.97,100
bed,27.67,28.02,27.23,28.02,11800
bfc,19.06,19.13,18.71,19.13,25360
bgm,2.4,2.4,2.3,2.3,1522360
bhs,14.44,14.44,14.22,14.44,1094420
bic,21.5,21.5,20.93,20.93,58790
bid,22.41,22.5,22.12,22.32,204700
bii,8.0,8.2,7.9,8.1,861100
bmc,13.95,13.95,13.65,13.8,7320
bmi,22.36,23.04,22.36,22.37,227220
bmp,69.81,71.89,69.81,71.89,204990
bpc,10.55,10.97,10.55,10.97,1300
brc,8.57,8.57,7.81,8.31,80
bsc,11.82,11.82,10.8,10.8,11800
bsi,8.65,8.84,8.56,8.56,30210
btp,9.48,9.48,9.39,9.39,10010
bts,8.8,9.1,8.8,9.1,2100
btt,38.63,41.78,38.63,41.69,6790
bvh,57.72,58.7,56.73,57.22,163180
bvs,12.7,12.9,12.7,12.7,31700
c32,27.72,27.72,27.02,27.49,30920
c47,11.32,12.15,11.32,12.15,178720
cap,20.01,20.01,19.95,20.01,7800
