symbol,open,high,low,close,volume,adj_close
agf,35.3,35.3,35.3,35.3,0,10.35
bbc,16.9,16.9,16.6,16.6,3760,7.8
bpc,16.9,16.9,16.9,16.9,0,5.93
can,14.3,14.4,14.3,14.4,1190,7.27
dha,30.8,30.8,30.8,30.8,420,4.83
dpc,8.8,8.8,8.7,8.7,20,4.54
gil,31.9,31.9,31.9,31.9,1210,5.17
gmd,51.0,51.5,51.0,51.5,2210,10.34
hap,24.0,24.0,24.0,24.0,5630,4.58
has,26.5,26.5,26.5,26.5,260,5.91
kha,24.2,24.2,24.2,24.2,14020,4.62
laf,31.0,31.3,31.0,31.3,8210,12.9
pms,14.8,14.8,14.8,14.8,3340,5.05
ree,23.8,23.8,23.7,23.7,720,2.41
sam,37.1,37.1,37.1,37.1,3200,4.49
sav,30.0,30.0,30.0,30.0,100,12.83
sfc,18.6,19.2,18.6,19.2,100,1.76
sgh,14.1,14.1,14.1,14.1,1000,2.55
tms,32.0,32.0,31.7,31.7,1000,9.84
ts4,17.5,17.5,17.5,17.5,500,3.02
vtc,32.3,32.3,32.3,32.3,0,13.36
