ticker,open,high,low,close,volume
agf,9.82,9.82,9.82,9.82,100
bbc,7.62,7.67,7.62,7.67,46140
bbt,10.1,10.1,10.0,10.0,4400
bpc,4.98,4.98,4.98,4.98,1410
bt6,6.44,6.44,6.44,6.44,5440
can,7.29,7.39,7.29,7.39,11970
dha,4.67,4.67,4.67,4.67,4430
dpc,4.13,4.18,4.13,4.18,300
gil,3.83,3.83,3.83,3.83,510
gmd,8.08,8.08,8.08,8.08,1150
hap,4.08,4.08,4.05,4.05,15840
has,5.2,5.2,5.14,5.14,1200
kha,3.73,3.73,3.71,3.71,7030
laf,14.02,14.22,14.02,14.22,31530
nkd,10.72,10.78,10.72,10.78,6050
pms,4.23,4.23,4.23,4.23,110
ree,2.2,2.2,2.2,2.2,7020
sam,3.23,3.23,3.23,3.23,700
sav,10.41,10.41,10.41,10.41,1650
sfc,1.37,1.38,1.37,1.38,2400
ssc,7.87,7.89,7.87,7.9,4230
tms,6.85,6.91,6.85,6.91,9080
tri,16.21,16.21,16.21,16.21,780
ts4,3.0,3.02,3.0,3.02,40
vtc,12.39,12.39,12.39,12.39,20
