symbol,open,high,low,close,volume
abt,19.96,19.96,19.58,19.77,24410
acb,28.01,28.47,28.01,28.22,147300
agf,34.88,34.88,34.52,34.52,18610
alt,39.93,39.93,39.48,39.93,1940
bbc,45.76,46.4,45.76,46.4,30810
bbs,6.82,6.92,6.82,6.92,200
bcc,21.05,21.28,21.05,21.28,9000
bhs,8.27,8.33,8.27,8.29,55800
bmc,59.53,60.24,59.39,60.24,46510
bmi,35.46,35.63,35.42,35.42,1100
bmp,20.71,20.71,20.36,20.36,7980
bpc,11.76,11.87,11.76,11.76,9790
bts,32.82,33.58,32.82,33.58,2000
bvs,90.05,90.16,89.48,89.82,9000
can,14.32,14.59,14.32,14.32,6860
cii,15.99,16.25,15.99,16.24,49840
cjc,8.6,8.6,8.6,8.6,1000
clc,12.51,12.51,12.22,12.51,1430
cmc,19.42,19.42,18.73,18.73,1400
com,16.11,16.23,16.11,16.22,2750
ctb,6.71,6.71,6.71,6.72,500
dha,14.69,14.69,14.59,14.68,24460
dhg,21.98,21.98,21.92,21.98,2270
dic,8.8,8.8,8.56,8.57,9280
dmc,31.18,31.42,30.94,31.17,5450
dnp,5.09,5.09,5.01,5.09,10560
dpc,16.99,16.99,16.93,16.99,2400
drc,8.82,8.96,8.82,8.89,13720
dtt,20.53,20.53,19.5,20.01,2380
dxp,2.62,2.62,2.62,2.62,2470
ebs,8.4,8.53,8.33,8.32,3700
fmc,7.33,7.4,7.26,7.4,9610
fpt,32.29,32.57,32.15,32.29,192850
gil,12.12,12.12,12.02,12.04,15420
gmc,6.77,6.8,6.77,6.77,16030
gmd,50.17,50.17,49.38,50.17,23440
gta,20.7,20.7,20.31,20.31,19740
hai,11.19,11.19,10.83,10.83,1100
hap,17.22,17.22,17.11,17.22,32490
has,28.83,29.16,28.83,29.16,3450
hax,8.2,8.2,7.88,8.21,7740
hbc,10.8,11.07,10.8,10.81,32500
hjs,6.42,6.42,6.39,6.39,3700
hmc,14.88,14.95,14.74,14.77,7320
hnm,30.52,30.52,29.7,30.11,50400
hrc,63.56,63.56,62.43,62.81,5780
htp,7.96,7.96,7.96,7.96,100
htv,12.12,12.12,11.99,11.99,27100
icf,15.7,15.97,15.7,15.97,31100
imp,41.76,41.76,40.91,41.48,17400
ita,30.85,30.85,30.41,30.62,41430
kdc,33.24,33.36,33.24,33.36,2910
kha,9.36,9.36,9.19,9.26,35000
khp,8.25,8.25,8.0,8.12,9840
laf,9.01,9.01,8.91,8.91,24600
lbm,14.52,14.52,14.26,14.53,32290
lgc,7.42,7.66,7.42,7.66,820
ltc,11.52,11.52,11.52,11.52,700
mco,24.29,24.29,24.26,24.25,500
mcp,7.35,7.35,7.26,7.35,5300
mec,10.94,10.94,10.78,10.78,1000
mhc,14.94,15.27,14.94,15.27,13580
nav,30.37,30.37,29.82,30.09,5970
nbc,5.0,5.0,4.91,4.92,5500
nhc,7.11,7.11,7.11,7.11,2910
nsc,13.18,13.18,12.8,12.79,5610
nst,7.42,7.72,7.39,7.72,1400
ntp,14.68,14.73,14.59,14.66,60000
pac,5.81,5.84,5.81,5.81,12910
pan,15.22,15.39,15.22,15.27,14200
pgc,10.2,10.31,10.2,10.2,13420
pjc,4.33,4.33,4.33,4.33,1600
pjt,9.1,9.1,9.1,9.1,9770
plc,6.56,7.02,6.56,7.02,400
pms,12.07,12.12,11.98,12.11,12150
pnc,15.95,16.23,15.95,16.17,9730
pot,24.54,24.54,24.2,24.26,3000
ppc,28.68,28.96,28.68,28.68,83760
ptc,24.82,25.09,24.29,24.35,9400
pts,6.78,6.91,6.78,6.79,3000
pvd,52.33,52.66,52.33,52.33,39420
pvi,34.84,35.71,34.84,35.5,34900
ral,45.15,45.15,43.95,45.15,6620
rcl,31.53,31.53,31.3,31.45,5000
ree,22.2,22.37,22.03,22.2,67690
ric,74.04,74.57,74.04,74.04,95960
s55,5.42,6.18,5.42,6.18,300
s99,15.87,15.91,15.7,15.83,1700
saf,7.04,7.36,7.0,7.01,17970
sam,24.94,24.94,24.44,24.6,34100
sav,34.79,34.79,34.21,34.21,580
scd,19.23,19.28,19.23,19.23,14000
sd6,6.3,6.3,6.3,6.29,100
sd7,32.66,33.16,32.66,32.67,3700
sd9,8.2,8.2,7.93,7.98,10900
sda,28.58,28.62,28.42,28.59,8200
sdc,12.1,12.2,12.1,12.09,600
sdn,10.42,10.42,10.42,10.42,2000
sdt,18.08,18.08,17.94,17.94,8200
sfc,11.73,11.73,11.73,11.74,15800
sfi,16.13,16.13,16.13,16.13,1590
sfn,10.64,10.64,10.3,10.33,1980
sgc,9.68,9.71,9.57,9.64,11100
sgd,12.31,12.31,12.05,12.05,500
sgh,24.07,24.46,23.31,24.45,21270
sic,6.96,7.76,6.96,7.76,7800
sj1,7.13,7.22,7.13,7.22,2310
sjd,10.13,10.13,10.06,10.13,20710
sje,10.22,10.22,10.22,10.22,2400
sjs,97.17,97.17,96.39,97.17,107410
smc,12.95,13.34,12.95,13.08,9560
ssc,24.87,25.3,24.87,25.3,5220
ssi,26.51,26.7,26.36,26.7,200400
stb,19.0,19.0,18.66,18.83,345790
stp,7.95,7.95,7.67,7.67,900
svc,48.82,50.29,48.82,49.82,8900
tac,44.13,44.13,41.92,42.66,48140
tbc,11.7,11.7,11.61,11.62,8100
tcr,14.22,14.22,14.02,14.03,1650
tct,21.43,21.43,21.04,21.43,39000
tdh,37.98,37.98,37.54,37.98,7140
tku,12.67,12.67,12.67,12.67,600
tmc,11.48,11.6,11.48,11.6,4400
tms,22.12,22.12,21.94,21.94,1270
tna,10.73,10.84,10.73,10.73,14490
