symbol,adj_open,adj_high,adj_low,adj_close,volume
aaa,9.91,10.12,9.81,10.07,360000
aam,12.03,12.03,11.95,12.03,4060
abt,35.66,36.02,35.66,36.02,1760
acb,12.21,12.29,12.21,12.21,57626
acc,22.09,22.09,22.01,22.01,170
acl,8.58,8.58,8.49,8.58,5030
adc,,,,9.75,0
agf,15.43,15.43,14.35,14.89,4760
agm,,,,9.82,0
agr,6.85,6.95,6.75,6.85,433180
alt,,,,9.26,0
alv,5.28,5.28,5.19,5.19,2300
amc,,,,15.53,0
ame,4.0,4.0,4.0,4.0,2000
amv,,,,5.3,0
anv,3.99,4.03,3.95,3.99,30750
apc,12.69,13.3,12.69,13.29,2340
apg,5.51,5.51,5.51,5.51,46000
api,10.1,10.5,10.1,10.5,800
app,8.51,8.57,8.51,8.58,2000
aps,5.8,5.9,5.7,5.7,315000
arm,,,,13.35,0
asa,16.33,16.52,16.33,16.52,103800
asm,7.66,7.73,7.59,7.66,495170
asp,6.43,6.43,6.18,6.34,123030
b82,,,,8.11,0
bbc,51.86,51.86,51.39,51.39,1020
bbs,13.68,13.68,13.68,13.68,100
bcc,5.74,5.74,5.67,5.74,115700
bce,7.87,8.02,7.8,7.87,24080
bci,15.55,15.55,15.55,15.55,1500
bdb,,,,4.32,0
bed,,,,9.34,0
bgm,4.9,4.9,4.8,4.9,109110
bhs,8.15,8.15,8.01,8.01,11810
bht,,,,5.21,0
bic,9.95,10.22,9.77,10.04,257470
bid,11.54,11.7,11.54,11.62,185940
bkc,9.9,9.9,9.9,9.9,500
blf,,,,2.43,0
bmc,25.3,25.3,24.38,24.38,77790
bmi,10.23,10.37,10.23,10.37,218370
bmp,35.58,35.58,34.85,35.58,21030
bpc,8.48,8.55,8.41,8.41,300
brc,8.44,8.44,8.21,8.21,110
bsc,,,,6.48,0
bsi,7.35,7.44,7.26,7.26,65320
bst,,,,8.9,0
btp,10.2,10.2,10.12,10.2,42480
bts,5.0,5.0,5.0,5.0,8000
btt,22.29,22.71,22.29,22.64,300
bvh,39.55,40.21,39.17,40.02,170690
bvs,12.4,13.0,12.4,12.9,118100
bxh,,,,8.17,0
c32,21.92,22.53,21.92,22.32,46230
c47,11.99,12.67,11.99,12.67,20
c92,,,,10.21,0
can,31.19,34.31,31.19,34.31,23500
cap,13.89,13.89,13.12,13.12,5600
cci,8.29,8.29,7.83,7.83,8700
ccl,5.15,5.34,5.15,5.24,328300
ccm,,,,10.95,0
cdc,5.2,5.28,5.12,5.2,72130
chp,8.3,8.37,8.3,8.3,5100
cig,3.8,3.9,3.8,3.9,5030
cii,18.29,18.53,18.13,18.29,814710
cjc,14.66,15.32,14.66,15.32,3100
ckv,8.18,9.29,8.18,9.29,2700
clc,15.38,15.38,15.33,15.34,6010
clg,8.1,8.3,8.1,8.1,27510
cll,27.88,28.26,27.73,27.96,178450
clw,14.0,14.0,14.0,14.0,200
cmc,,,,5.2,0
cmg,6.42,6.42,6.33,6.42,3000
cmi,17.75,18.32,17.75,17.94,18200
cms,8.06,8.21,8.06,8.21,23500
cmt,,,,11.0,0
cmv,,,,10.63,0
cmx,5.3,5.4,5.3,5.4,52650
cng,26.57,26.64,26.5,26.57,25500
com,,,,23.84,0
cpc,14.68,14.75,14.61,14.76,3200
csc,,,,7.66,0
csm,21.38,21.67,21.33,21.48,139720
ct6,7.18,7.18,7.18,7.17,100
cta,3.7,3.8,3.6,3.8,43000
ctb,,,,15.74,0
ctc,,,,6.59,0
ctd,41.19,41.52,41.19,41.52,1890
ctg,12.87,13.13,12.87,13.04,548350
cti,9.32,9.32,9.32,9.32,10
cts,6.73,6.81,6.73,6.73,110200
ctx,,,,8.8,0
cvn,2.9,2.9,2.8,2.8,9200
cvt,6.37,6.4,6.2,6.19,158400
cx8,3.2,3.2,3.2,3.2,4400
d11,,,,9.06,0
d2d,20.32,20.48,20.32,20.48,5510
dad,,,,11.25,0
dae,11.79,11.79,11.79,11.79,700
dag,7.01,7.01,6.96,7.02,3210
dbc,15.5,15.97,15.5,15.77,595220
dbt,11.9,12.56,11.9,12.56,600
dc2,3.59,3.59,3.59,3.59,100
dc4,6.05,6.05,5.91,5.91,17400
dcl,7.71,8.24,7.71,8.19,161120
dcs,5.8,5.9,5.8,5.8,585129
dha,8.04,8.12,7.96,8.04,80220
dhc,9.95,10.07,9.89,10.01,43980
dhg,56.97,56.97,56.39,56.97,7740
dhm,6.82,6.91,6.82,6.82,314820
dhp,5.97,5.97,5.9,5.97,18100
dht,11.57,11.73,11.57,11.61,2010
dic,7.16,7.24,7.08,7.08,277010
did,4.5,5.2,4.5,5.0,11900
dig,10.6,10.74,10.6,10.6,125380
dih,6.86,6.86,6.79,6.86,6400
dl1,3.72,3.72,3.72,3.72,16500
dlg,8.72,8.99,8.72,8.81,2210180
dlr,,,,7.2,0
dmc,28.7,30.0,28.7,30.01,66010
dnc,,,,6.17,0
dnm,25.31,25.31,23.85,25.23,1200
