date,open,high,low,close,volume
2006-12-25,90.0,90.0,90.0,90.0,9000
2006-12-26,94.5,94.5,94.5,94.5,6000
2006-12-27,99.0,99.0,99.0,99.0,1000
2006-12-28,103.0,103.0,103.0,103.0,3800
2006-12-29,108.0,108.0,105.0,108.0,51250
2007-01-02,113.0,113.0,113.0,113.0,42030
2007-01-03,118.0,118.0,116.0,116.0,111590
2007-01-04,121.0,121.0,118.0,121.0,42780
2007-01-05,121.0,121.0,118.0,118.0,25380
2007-01-08,123.0,123.0,123.0,123.0,104230
2007-01-09,128.0,129.0,127.0,129.0,30180
2007-01-10,134.0,135.0,130.0,130.0,29720
2007-01-11,130.0,130.0,128.0,130.0,17810
2007-01-12,130.0,133.0,128.0,133.0,11170
2007-01-15,139.0,139.0,137.0,139.0,25350
2007-01-16,145.0,145.0,145.0,145.0,71080
2007-01-17,152.0,152.0,138.0,138.0,56860
2007-01-18,138.0,140.0,138.0,140.0,33560
2007-01-19,144.0,147.0,144.0,147.0,23860
2007-01-22,140.0,140.0,140.0,140.0,9140
2007-01-23,135.0,135.0,133.0,133.0,22580
2007-01-24,133.0,133.0,130.0,130.0,18640
2007-01-25,127.0,127.0,124.0,124.0,6470
2007-01-26,130.0,130.0,130.0,130.0,6670
2007-01-29,136.0,136.0,128.0,136.0,12430
2007-01-30,142.0,142.0,142.0,142.0,4230
2007-01-31,145.0,145.0,138.0,138.0,28990
2007-02-01,144.0,144.0,140.0,140.0,36750
2007-02-02,140.0,140.0,140.0,140.0,21200
2007-02-05,140.0,140.0,133.0,140.0,18120
2007-02-06,140.0,142.0,137.0,140.0,16400
2007-02-07,138.0,138.0,136.0,138.0,24170
2007-02-08,132.0,139.0,132.0,132.0,17810
2007-02-09,131.0,132.0,130.0,131.0,16100
2007-02-12,135.0,137.0,135.0,137.0,34050
2007-02-13,139.0,140.0,139.0,139.0,24030
2007-02-14,139.0,139.0,133.0,139.0,27690
2007-02-15,143.0,143.0,139.0,143.0,24660
2007-02-26,150.0,150.0,150.0,150.0,24820
2007-02-27,157.0,157.0,157.0,157.0,62370
2007-02-28,150.0,157.0,150.0,150.0,51270
2007-03-01,150.0,150.0,150.0,150.0,25310
2007-03-02,150.0,150.0,150.0,150.0,18660
2007-03-05,152.0,153.0,152.0,152.0,30440
2007-03-06,147.0,152.0,147.0,147.0,34340
2007-03-07,147.0,147.0,140.0,140.0,35570
2007-03-08,147.0,147.0,147.0,147.0,27820
2007-03-09,153.0,153.0,150.0,150.0,28380
2007-03-12,152.0,152.0,147.0,147.0,19150
2007-03-13,145.0,147.0,145.0,145.0,18310
2007-03-14,145.0,151.0,145.0,145.0,42970
2007-03-15,140.0,140.0,138.0,138.0,9550
2007-03-16,140.0,144.0,138.0,144.0,18390
2007-03-19,144.0,144.0,144.0,144.0,14640
2007-03-20,144.0,144.0,140.0,140.0,19500
2007-03-21,140.0,140.0,138.0,138.0,10390
2007-03-22,138.0,138.0,132.0,132.0,45200
2007-03-23,128.0,130.0,126.0,126.0,45920
2007-03-26,132.0,132.0,126.0,126.0,26950
2007-03-27,125.0,126.0,123.0,123.0,17780
2007-03-28,117.0,125.0,117.0,125.0,28600
2007-03-29,126.0,130.0,126.0,130.0,24420
2007-03-30,128.0,129.0,128.0,129.0,17460
2007-04-02,123.0,123.0,123.0,123.0,14510
2007-04-03,123.0,123.0,123.0,123.0,55340
2007-04-04,123.0,124.0,123.0,124.0,21900
2007-04-05,124.0,124.0,121.0,121.0,12910
2007-04-06,121.0,121.0,119.0,119.0,11980
2007-04-09,118.0,118.0,116.0,118.0,17050
