date,open,high,low,close,volume
2010-12-24,4.53,4.53,2.96,3.1,15300
2010-12-27,2.96,2.96,2.94,2.94,3200
2010-12-28,2.89,2.94,2.89,2.94,2400
2010-12-29,2.91,2.91,2.75,2.75,4200
2010-12-30,2.75,2.89,2.75,2.88,700
2010-12-31,2.85,2.85,2.63,2.83,1000
2011-01-04,2.75,2.75,2.75,2.75,2800
2011-01-05,2.75,2.75,2.75,2.75,1800
2011-01-06,2.75,2.75,2.72,2.75,1400
2011-01-07,2.89,2.94,2.89,2.94,3100
2011-01-10,3.1,3.1,2.94,3.1,15900
2011-01-11,3.26,3.26,2.91,2.94,1600
2011-01-12,2.99,2.99,2.99,2.99,100
2011-01-13,2.99,2.99,2.83,2.88,4300
2011-01-14,2.85,3.07,2.83,3.08,8000
2011-01-17,2.94,3.0,2.94,2.99,200
2011-01-18,3.02,3.07,2.94,2.99,3000
2011-01-19,3.02,3.04,2.88,2.88,15700
2011-01-20,3.07,3.07,2.88,2.88,2600
2011-01-21,2.88,3.02,2.88,3.02,200
2011-01-24,3.16,3.16,3.16,3.16,17400
2011-01-25,3.38,3.38,3.3,3.3,17300
2011-01-26,3.36,3.36,3.19,3.24,5800
2011-01-27,3.27,3.29,3.21,3.24,12400
2011-01-28,3.29,3.49,3.24,3.35,19300
2011-02-08,3.32,3.38,3.3,3.38,12700
2011-02-09,3.29,3.57,3.29,3.57,4500
2011-02-10,3.44,3.57,3.44,3.57,2500
2011-02-11,3.51,3.51,3.51,3.5,1000
2011-02-15,3.28,3.31,3.28,3.28,700
2011-02-16,3.06,3.47,3.06,3.47,4100
2011-02-17,3.06,3.06,2.88,2.88,500
2011-02-18,3.13,3.13,3.13,3.13,100
2011-02-23,3.19,3.19,3.19,3.19,100
2011-03-02,2.97,2.97,2.97,2.97,100
2011-03-08,2.94,2.94,2.94,2.94,100
2011-03-10,2.75,2.94,2.75,2.91,3200
2011-03-11,2.6,2.66,2.6,2.6,8400
2011-03-14,2.51,2.51,2.44,2.47,3600
2011-03-16,2.44,2.44,2.44,2.44,2000
2011-03-18,2.35,2.44,2.35,2.44,5500
2011-03-21,2.44,2.44,2.35,2.41,6600
2011-03-23,2.38,2.38,2.38,2.38,1300
2011-03-24,2.38,2.38,2.38,2.38,2700
2011-03-28,2.38,2.38,2.38,2.38,6000
2011-03-29,2.38,2.38,2.38,2.38,2000
2011-03-30,2.38,2.38,2.38,2.38,500
2011-03-31,2.38,2.38,2.38,2.38,500
2011-04-01,2.51,2.51,2.51,2.5,100
2011-04-04,2.38,2.38,2.38,2.38,100
2011-04-06,2.25,2.25,2.25,2.25,200
2011-04-08,2.28,2.28,2.28,2.28,300
2011-04-14,2.19,2.19,2.19,2.19,500
2011-04-15,2.25,2.28,2.25,2.28,1100
2011-04-18,2.44,2.44,2.44,2.44,100
2011-04-20,2.38,2.38,2.38,2.38,1000
2011-04-21,2.47,2.47,2.47,2.47,100
2011-04-22,2.34,2.34,2.34,2.35,1000
2011-04-26,2.48,2.48,2.48,2.47,100
2011-04-27,2.6,2.6,2.6,2.6,100
2011-04-28,2.44,2.44,2.44,2.44,2100
2011-04-29,2.35,2.35,2.35,2.35,1500
2011-05-04,2.19,2.29,2.19,2.28,300
2011-05-05,2.09,2.34,2.09,2.35,600
2011-05-09,2.15,2.15,2.15,2.16,100
2011-05-10,2.19,2.19,2.19,2.19,300
2011-05-11,2.1,2.1,2.1,2.1,100
2011-05-13,2.01,2.01,2.01,2.0,100
2011-05-17,1.88,2.0,1.88,2.0,2100
2011-05-18,2.03,2.03,2.0,2.0,500
2011-05-19,1.88,1.88,1.88,1.88,500
2011-05-20,2.01,2.01,2.01,2.0,100
2011-05-23,2.12,2.12,2.03,2.03,2100
2011-05-25,2.03,2.15,2.03,2.03,1900
2011-05-26,2.0,2.15,2.0,2.16,400
2011-05-27,2.19,2.22,2.19,2.22,400
2011-05-30,2.28,2.28,2.13,2.13,900
2011-06-01,2.28,2.28,2.28,2.28,100
2011-06-02,2.34,2.34,2.34,2.35,100
2011-06-03,2.19,2.19,2.19,2.19,4300
2011-06-06,2.1,2.1,2.06,2.06,5000
2011-06-07,1.94,1.94,1.94,1.94,100
2011-06-08,1.97,2.07,1.97,2.03,3900
2011-06-09,2.15,2.15,2.15,2.16,200
2011-06-10,2.19,2.25,2.19,2.25,1200
2011-06-13,2.25,2.28,2.25,2.28,4000
2011-06-14,2.19,2.19,2.09,2.1,1200
2011-06-16,2.04,2.04,2.04,2.03,2000
2011-06-17,2.03,2.03,2.03,2.03,300
2011-06-20,2.12,2.12,2.12,2.13,100
2011-06-22,2.07,2.07,2.07,2.06,100
2011-06-23,2.15,2.15,1.94,1.94,300
2011-06-27,2.0,2.0,2.0,2.0,5000
2011-06-28,1.94,1.94,1.94,1.94,200
2011-06-29,2.03,2.03,2.0,2.0,4000
2011-07-01,2.0,2.0,2.0,2.0,800
