date,open,high,low,close,volume
2006-11-22,32.0,32.0,32.0,32.0,8100.0
2006-11-23,33.4,33.6,33.4,33.6,1030.0
2006-11-24,35.2,35.2,35.2,35.2,1400.0
2006-11-27,35.2,36.9,35.2,36.9,2000.0
2006-11-28,38.7,38.7,38.7,38.7,10110.0
2006-11-29,40.6,40.6,40.6,40.6,3800.0
2006-11-30,42.6,42.6,42.6,42.6,9800.0
2006-12-01,44.7,44.7,44.7,44.7,13460.0
2006-12-04,44.7,46.9,44.7,46.9,5000.0
2006-12-05,46.9,49.2,46.9,49.2,3130.0
2006-12-06,51.5,51.5,51.5,51.5,3730.0
2006-12-07,54.0,54.0,54.0,54.0,5800.0
2006-12-08,56.5,56.5,56.5,56.5,1920.0
2006-12-11,59.0,59.0,59.0,59.0,21350.0
2006-12-12,61.5,61.5,61.5,61.5,21890.0
2006-12-13,64.5,64.5,64.5,64.5,31900.0
2006-12-14,67.5,67.5,67.5,67.5,32400.0
2006-12-15,70.5,70.5,70.5,70.5,20530.0
2006-12-18,74.0,74.0,74.0,74.0,18000.0
2006-12-19,77.5,77.5,77.5,77.5,9830.0
2006-12-20,77.5,77.5,74.0,74.0,12690.0
2006-12-21,74.0,74.0,70.5,70.5,3100.0
2006-12-22,70.5,70.5,67.0,67.0,1020.0
2006-12-25,64.0,64.0,64.0,64.0,660.0
2006-12-26,61.0,61.0,61.0,61.0,6700.0
2006-12-28,56.0,56.0,55.5,55.5,15970.0
2006-12-29,58.0,58.0,55.5,58.0,9300.0
2007-01-02,60.5,60.5,60.5,60.5,10030.0
2007-01-03,63.5,63.5,63.5,63.5,18310.0
2007-01-04,66.5,66.5,66.0,66.5,19610.0
2007-01-05,66.5,66.5,66.5,66.5,7580.0
2007-01-08,68.0,68.0,63.5,63.5,16730.0
2007-01-09,60.5,65.0,60.5,65.0,20740.0
2007-01-10,62.0,62.0,62.0,62.0,3940.0
2007-01-11,60.0,60.0,59.5,59.5,19870.0
2007-01-12,57.5,60.0,57.5,60.0,17310.0
2007-01-15,60.0,61.0,60.0,61.0,4630.0
2007-01-16,61.0,61.0,61.0,61.0,1820.0
2007-01-17,60.0,60.0,59.0,59.0,2730.0
2007-01-18,57.0,61.5,57.0,61.5,12500.0
2007-01-19,62.5,63.0,61.5,63.0,11200.0
2007-01-22,64.0,64.0,63.0,63.0,6800.0
2007-01-23,63.0,63.0,63.0,63.0,3450.0
2007-01-24,63.0,63.0,60.0,63.0,8490.0
2007-01-25,63.0,63.0,63.0,63.0,8400.0
2007-01-26,66.0,66.0,66.0,66.0,10130.0
2007-01-29,69.0,69.0,69.0,69.0,9020.0
2007-01-30,69.0,69.0,69.0,69.0,2650.0
2007-01-31,65.5,68.0,65.5,68.0,5600.0
2007-02-01,68.0,68.0,66.0,68.0,3530.0
