date,open,high,low,close,volume
2010-04-05,18.0,18.0,15.0,15.7,120600.0
2010-04-06,16.1,16.1,15.0,15.0,63800.0
2010-04-07,15.0,15.8,15.0,15.8,85500.0
2010-04-08,16.1,16.4,16.1,16.4,105200.0
2010-04-09,16.3,17.0,16.3,16.7,68900.0
2010-04-12,16.6,16.7,16.1,16.1,24600.0
2010-04-13,16.6,16.6,15.7,15.9,43100.0
2010-04-14,15.4,16.0,15.1,15.5,19000.0
2010-04-15,15.5,15.7,15.3,15.7,63700.0
2010-04-16,15.6,16.0,15.5,15.8,202300.0
2010-04-19,16.0,16.0,15.6,15.6,24600.0
2010-04-20,16.0,16.0,15.5,15.5,146100.0
2010-04-21,16.0,16.1,15.8,16.1,136900.0
2010-04-22,16.5,17.0,16.5,17.0,144700.0
2010-04-26,18.0,18.1,17.2,18.0,252000.0
2010-04-27,18.0,18.2,17.7,18.1,76700.0
2010-04-28,18.5,18.5,17.5,18.1,94400.0
2010-04-29,18.5,19.1,18.0,19.1,167300.0
2010-05-04,19.9,19.9,19.9,19.9,53500.0
2010-05-05,21.0,21.2,20.2,21.2,325400.0
2010-05-06,22.5,22.5,22.5,22.5,72100.0
2010-05-07,24.0,24.0,23.1,24.0,563100.0
2010-05-10,25.6,25.6,25.1,25.1,865100.0
2010-05-11,25.3,26.5,23.7,23.7,192000.0
2010-05-12,22.6,22.6,22.5,22.5,824100.0
2010-05-13,21.0,22.5,21.0,21.0,284600.0
2010-05-14,21.0,22.4,19.6,22.4,169100.0
2010-05-17,22.9,22.9,20.2,20.8,164300.0
2010-05-18,20.6,21.2,20.6,21.2,32200.0
2010-05-19,21.0,21.0,19.5,19.5,144000.0
2010-05-20,20.9,20.9,18.3,20.8,388100.0
2010-05-21,20.0,20.0,18.5,18.5,50300.0
2010-05-24,19.0,19.0,17.4,19.0,153000.0
2010-05-25,17.4,18.8,17.4,17.9,61300.0
2010-05-26,17.9,18.5,17.5,18.0,172200.0
2010-05-27,17.3,19.2,17.3,18.7,135800.0
2010-05-28,19.4,19.5,19.1,19.5,81400.0
2010-05-31,20.0,20.8,20.0,20.5,67300.0
2010-06-01,20.0,20.0,19.2,19.8,71000.0
2010-06-02,19.3,19.4,18.9,19.3,61800.0
2010-06-03,20.0,20.4,19.2,19.2,62600.0
2010-06-04,19.0,19.8,19.0,19.2,143600.0
2010-06-07,18.5,18.6,18.2,18.2,64100.0
2010-06-08,18.0,18.5,18.0,18.5,26800.0
2010-06-09,19.2,19.3,18.0,18.0,50500.0
2010-06-10,18.7,18.7,18.4,18.5,45200.0
2010-06-11,19.4,19.4,18.5,18.7,41100.0
2010-06-14,18.5,19.0,17.5,18.5,54300.0
2010-06-15,18.7,18.7,18.0,18.1,49500.0
2010-06-16,18.6,19.5,18.5,19.5,151100.0
2010-06-17,20.0,20.3,19.3,20.1,98500.0
2010-06-18,19.8,20.5,19.5,19.5,34700.0
2010-06-21,19.8,20.0,19.5,19.5,66300.0
2010-06-22,19.5,19.5,18.8,19.0,87900.0
2010-06-23,18.8,18.9,18.5,18.9,50700.0
2010-06-24,18.6,18.8,18.6,18.8,20200.0
2010-06-25,18.6,18.7,18.5,18.6,48000.0
2010-06-28,18.6,18.6,18.5,18.6,1500.0
2010-06-29,19.3,19.8,19.0,19.2,56400.0
2010-06-30,19.0,19.1,18.5,18.7,94400.0
2010-07-01,18.6,19.0,18.5,18.5,38800.0
2010-07-02,19.0,19.0,18.4,18.5,19400.0
2010-07-05,18.3,18.3,18.2,18.3,36300.0
2010-07-06,19.0,19.0,18.0,18.0,39600.0
2010-07-07,18.0,18.0,17.7,17.7,9200.0
2010-07-08,18.8,18.8,17.7,17.7,25400.0
2010-07-09,18.0,18.0,17.9,17.9,11500.0
2010-07-12,17.5,18.0,17.0,17.3,53100.0
2010-07-13,18.0,18.2,17.9,18.2,21200.0
2010-07-14,19.2,19.2,18.5,18.9,138700.0
2010-07-15,19.0,19.0,18.1,18.7,2200.0
2010-07-16,18.0,18.3,17.8,18.0,42100.0
2010-07-19,18.0,18.0,17.7,18.0,18900.0
2010-07-20,18.0,18.0,17.6,17.7,59600.0
2010-07-21,17.6,17.7,17.5,17.6,48000.0
2010-07-22,17.5,17.8,17.4,17.5,17700.0
2010-07-23,17.5,17.7,17.1,17.7,28700.0
2010-07-26,17.5,17.5,17.1,17.1,8600.0
