date,open,high,low,close,volume
2017-08-07,13.7,13.7,11.8,12.6,25300
2017-08-04,12.5,12.5,12.5,12.5,100
2017-08-03,10.5,11.4,10.5,11.4,17200
2017-08-02,9.1,10.4,9.1,10.4,3200
2017-08-01,10.1,10.3,10.0,10.1,3100
2017-07-31,12.0,12.0,10.9,10.9,1300
2017-07-28,12.0,12.0,12.0,12.0,100
2017-07-27,13.2,16.0,13.2,13.2,4100
2017-07-26,14.6,14.6,14.6,14.6,700
2017-07-25,16.2,16.2,16.2,16.2,300
2017-07-24,18.0,18.0,18.0,18.0,100
2017-07-21,20.0,20.0,20.0,20.0,100
2017-07-19,22.2,22.2,22.2,22.2,1000
2017-07-17,20.2,20.2,20.2,20.2,35000
2017-07-14,22.8,22.8,20.7,22.4,28200
2017-07-13,21.9,23.0,21.9,22.9,53000
2017-07-12,22.0,22.0,21.7,21.8,46000
2017-07-11,21.0,21.5,21.0,21.5,40000
2017-07-10,18.0,20.0,16.9,20.0,41200
2017-07-07,18.6,18.6,18.6,18.6,25019
2017-07-06,18.6,18.6,18.6,18.6,24000
2017-07-05,18.5,18.5,18.5,18.5,100
2017-07-04,15.2,17.6,15.2,17.6,23800
2017-07-03,15.4,16.4,15.4,16.4,12500
2017-06-30,15.7,16.3,15.7,16.3,17300
2017-06-29,15.6,15.6,15.6,15.6,28800
2017-06-28,15.4,15.5,15.4,15.5,39619
2017-06-27,13.8,14.1,13.8,14.1,200
2017-06-26,15.0,15.1,15.0,15.1,5120
2017-06-23,16.0,16.5,16.0,16.5,21100
2017-06-22,17.5,17.6,17.5,17.5,33400
2017-06-21,19.9,19.9,18.8,18.9,48400
2017-06-20,20.0,20.0,20.0,20.0,45500
2017-06-19,20.0,20.0,18.4,18.4,30000
2017-06-16,17.9,20.0,17.9,20.0,11600
2017-06-15,19.8,20.0,19.8,19.8,25230
2017-06-14,22.0,22.0,21.9,21.9,16200
2017-06-13,21.1,24.3,21.1,24.3,39200
2017-06-12,20.7,22.9,20.7,22.9,1300
2017-06-09,22.9,22.9,22.9,22.9,2000
2017-06-08,19.4,21.0,19.1,21.0,26000
2017-06-07,19.0,21.0,19.0,21.0,48100
2017-06-06,21.9,21.9,18.8,20.0,60400
2017-06-05,20.9,20.9,19.3,20.6,54469
2017-06-02,18.1,19.9,16.4,19.9,62300
2017-06-01,19.6,19.6,18.0,18.1,60100
2017-05-31,18.9,18.9,16.4,18.0,70300
2017-05-30,19.0,19.0,17.3,17.6,52100
2017-05-29,19.0,19.3,17.4,19.1,44200
2017-05-26,17.8,19.4,16.6,18.9,107500
2017-05-25,16.4,17.9,16.0,17.9,25001
2017-05-24,14.7,17.0,14.4,16.7,82200
2017-05-23,15.3,16.0,14.0,16.0,100700
2017-05-22,13.8,15.2,13.8,15.0,112870
2017-05-19,14.5,14.5,13.8,13.9,42650
2017-05-18,15.7,15.7,15.3,15.3,107800
2017-05-17,16.0,17.9,15.4,17.0,109350
2017-05-16,17.5,17.5,14.5,17.0,82000
2017-05-15,15.0,16.5,14.2,16.0,734230
2017-05-12,13.5,15.9,13.3,15.3,171100
2017-05-11,12.4,14.6,12.4,14.6,91100
2017-05-10,13.2,13.3,12.1,13.3,257300
2017-05-09,12.0,12.1,11.6,12.1,76600
2017-05-08,11.6,11.6,11.0,11.0,200
2017-05-05,12.5,12.5,10.7,10.7,5600
2017-05-04,12.5,12.5,11.6,11.6,500
2017-05-03,12.4,12.4,12.4,12.4,21100
2017-04-28,13.6,13.6,13.6,13.6,15100
2017-04-26,13.6,14.0,13.6,14.0,20700
2017-04-24,12.6,13.5,12.6,13.5,1800
2017-04-21,14.0,14.0,14.0,14.0,100
2017-04-20,13.5,13.8,12.5,13.7,74100
2017-04-19,13.7,13.8,13.7,13.8,1300
2017-04-18,13.5,14.0,13.0,14.0,86900
2017-04-17,12.4,13.6,12.4,13.6,1800
2017-04-11,13.6,13.7,12.4,13.7,3400
2017-04-10,13.7,13.7,13.7,13.7,3000
2017-04-07,13.7,13.9,13.7,13.9,5100
2017-04-05,12.6,13.8,12.6,13.8,6100
2017-04-04,13.7,13.9,12.6,13.9,5700
2017-04-03,13.7,13.7,13.7,13.7,6000
2017-03-31,13.7,13.7,13.7,13.7,12500
2017-03-30,13.7,13.8,12.8,13.8,14800
2017-03-29,13.9,14.0,13.9,14.0,11625
2017-03-28,13.4,14.1,12.7,13.8,111900
2017-03-27,13.5,13.7,12.8,13.2,15700
2017-03-24,13.7,13.8,13.6,13.7,15600
2017-03-23,13.2,13.7,13.2,13.7,14400
2017-03-22,12.6,13.2,11.5,13.2,15000
2017-03-21,12.4,12.5,11.3,12.5,30200
2017-03-20,12.2,12.4,12.1,12.4,34800
2017-03-17,12.6,12.8,11.4,12.0,26100
2017-03-16,12.1,12.6,12.1,12.6,29200
2017-03-15,12.4,12.7,11.6,12.2,23300
2017-03-14,11.3,12.4,11.3,12.4,19000
2017-03-13,11.4,12.5,11.4,12.5,35900
2017-03-10,13.1,13.1,12.5,12.5,23900
2017-03-09,13.1,13.1,12.9,13.1,35500
2017-03-08,13.1,13.1,12.5,13.1,40600
2017-03-07,13.1,13.1,13.1,13.1,41400
2017-03-06,13.2,13.2,12.7,13.1,48300
2017-03-03,13.0,13.2,12.6,13.2,49900
2017-03-02,12.9,13.1,12.8,13.1,37800
2017-03-01,13.0,13.0,12.8,12.9,17700
2017-02-28,13.2,13.2,13.0,13.0,67900
2017-02-27,13.1,13.3,13.0,13.2,64100
2017-02-24,13.1,13.3,12.9,13.2,75700
2017-02-23,13.0,13.3,13.0,13.2,83400
2017-02-22,13.0,13.2,13.0,13.2,80500
2017-02-21,12.8,13.2,12.8,13.1,101000
2017-02-20,11.2,12.8,11.2,12.8,88000
2017-02-17,12.5,12.5,12.2,12.4,62200
2017-02-16,11.4,12.9,11.4,12.6,64300
2017-02-15,12.5,12.7,12.3,12.6,70200
2017-02-14,12.2,13.1,12.2,12.5,70500
2017-02-13,11.2,12.3,10.9,12.3,71100
2017-02-10,10.6,11.6,9.9,11.2,41500
2017-02-09,10.7,11.1,9.9,11.0,32800
2017-02-08,10.8,11.1,10.6,11.0,42400
2017-02-07,11.0,11.3,9.9,11.0,33000
2017-02-06,9.9,11.0,9.7,11.0,25300
2017-02-03,10.7,10.7,10.7,10.7,100
2017-01-24,10.4,10.5,10.4,10.5,16500
