date,open,high,low,close,volume
2008-03-17,41.0,48.0,35.0,45.0,15800.0
2008-03-18,40.1,43.7,39.2,39.2,1700.0
2008-03-19,40.0,42.0,40.0,42.0,300.0
2008-03-20,37.3,42.9,37.2,37.3,3600.0
2008-03-21,35.0,35.0,33.7,33.8,1000.0
2008-03-24,35.0,35.0,31.1,31.1,300.0
2008-03-25,31.1,31.1,31.1,31.1,0.0
2008-03-26,29.2,29.2,29.2,29.2,2700.0
2008-03-27,28.7,29.7,28.7,29.7,15800.0
2008-03-28,29.8,29.8,29.8,29.8,11600.0
2008-03-31,30.3,30.3,30.3,30.3,15600.0
2008-04-01,30.9,30.9,30.9,30.9,1500.0
2008-04-02,31.5,31.5,31.5,31.5,3200.0
2008-04-03,32.1,32.1,32.1,32.1,2000.0
2008-04-04,32.7,32.7,32.7,32.7,4200.0
2008-04-07,33.6,33.6,33.6,33.6,5400.0
2008-04-08,34.6,34.6,32.6,32.6,13300.0
2008-04-09,32.1,32.1,32.1,32.1,1000.0
2008-04-10,32.1,32.1,32.1,32.1,0.0
2008-04-11,32.1,32.1,32.1,32.1,0.0
2008-04-16,32.1,32.1,32.1,32.1,0.0
2008-04-17,31.2,31.8,31.2,31.2,5800.0
2008-04-18,30.4,30.4,30.4,30.4,1000.0
2008-04-21,29.5,29.5,29.5,29.5,100.0
2008-04-22,28.7,28.7,28.7,28.7,100.0
2008-04-23,27.9,27.9,27.9,27.9,100.0
2008-04-24,27.1,27.1,27.1,27.1,100.0
2008-04-25,27.1,27.1,27.1,27.1,0.0
2008-04-28,26.3,26.3,26.3,26.3,100.0
2008-04-29,25.6,25.6,25.6,25.6,1000.0
2008-05-05,25.6,25.6,25.6,25.6,0.0
2008-05-06,25.6,25.6,25.6,25.6,0.0
2008-05-07,25.6,25.6,25.6,25.6,0.0
2008-05-08,25.6,25.6,25.6,25.6,0.0
2008-05-09,25.6,25.6,25.6,25.6,0.0
2008-05-12,25.6,25.6,25.6,25.6,0.0
2008-05-13,24.9,24.9,24.9,24.9,100.0
2008-05-14,24.9,24.9,24.9,24.9,0.0
2008-05-15,24.2,24.2,24.2,24.2,100.0
2008-05-16,24.2,24.2,24.2,24.2,0.0
2008-05-19,24.2,24.2,24.2,24.2,0.0
2008-05-20,23.1,23.1,23.1,23.1,0.0
2008-05-21,23.1,23.1,23.1,23.1,0.0
2008-05-22,23.1,23.1,23.1,23.1,0.0
2008-05-23,23.1,23.1,23.1,23.1,0.0
2008-05-26,23.1,23.1,23.1,23.1,0.0
2008-05-27,23.1,23.1,23.1,23.1,0.0
2008-05-28,23.1,23.1,23.1,23.1,0.0
2008-05-29,23.1,23.1,23.1,23.1,0.0
2008-05-30,23.1,23.1,23.1,23.1,0.0
2008-06-02,23.1,23.1,23.1,23.1,0.0
2008-06-03,23.1,23.1,23.1,23.1,0.0
2008-06-04,23.1,23.1,23.1,23.1,0.0
2008-06-05,23.1,23.1,23.1,23.1,0.0
2008-06-06,23.1,23.1,23.1,23.1,0.0
2008-06-09,23.1,23.1,23.1,23.1,0.0
2008-06-10,23.1,23.1,23.1,23.1,0.0
2008-06-11,23.1,23.1,23.1,23.1,0.0
2008-06-12,22.5,22.5,22.5,22.5,3100.0
2008-06-13,22.5,22.5,22.5,22.5,0.0
2008-06-16,22.5,22.5,22.5,22.5,0.0
2008-06-17,21.9,21.9,21.9,21.9,1900.0
2008-06-18,21.9,21.9,21.9,21.9,0.0
2008-06-19,21.9,21.9,21.9,21.9,0.0
2008-06-20,21.9,21.9,21.9,21.9,0.0
2008-06-23,21.9,21.9,21.9,21.9,0.0
2008-06-24,21.1,21.1,21.1,21.1,100.0
2008-06-25,20.3,20.3,20.3,20.3,100.0
2008-06-26,20.3,20.3,20.3,20.3,0.0
2008-06-27,20.3,20.3,20.3,20.3,0.0
2008-06-30,20.3,20.3,20.3,20.3,0.0
2008-07-01,19.5,19.5,19.5,19.5,1600.0
2008-07-02,18.8,18.8,18.8,18.8,1300.0
2008-07-03,18.1,18.1,18.1,18.1,300.0
2008-07-04,17.4,18.8,17.4,18.8,15900.0
2008-07-07,17.4,17.4,17.3,17.3,1600.0
2008-07-08,16.7,16.7,16.7,16.7,900.0
2008-07-09,17.3,17.3,16.1,16.3,9800.0
2008-07-10,15.6,15.6,15.6,15.6,1700.0
2008-07-11,15.0,15.5,15.0,15.1,9100.0
2008-07-14,15.6,15.6,14.4,15.6,20100.0
2008-07-15,15.6,15.6,15.6,15.6,4200.0
2008-07-16,16.2,16.2,15.0,15.9,7200.0
2008-07-17,15.3,16.2,15.2,16.0,4000.0
2008-07-18,15.1,15.2,15.1,15.1,3100.0
2008-07-21,14.5,14.5,14.5,14.5,1000.0
2008-07-22,14.0,14.0,14.0,14.0,100.0
2008-07-23,13.5,13.5,13.5,13.5,100.0
2008-07-24,13.0,13.0,13.0,13.0,2300.0
2008-07-25,12.5,12.5,12.5,12.5,1500.0
2008-07-28,12.0,12.8,12.0,12.8,4400.0
2008-07-29,12.4,12.4,12.4,12.4,1200.0
2008-07-30,12.8,12.8,12.8,12.8,1400.0
2008-07-31,13.3,13.3,13.3,13.3,700.0
2008-08-01,13.8,13.8,13.8,13.8,700.0
2008-08-04,14.3,14.3,14.3,14.3,2200.0
2008-08-05,14.8,14.8,14.8,14.8,7500.0
2008-08-06,14.3,14.3,14.3,14.3,18900.0
2008-08-07,14.8,14.8,14.8,14.8,2200.0
2008-08-08,15.3,15.3,15.0,15.3,20800.0
2008-08-11,15.8,15.8,15.8,15.8,800.0
2008-08-12,16.4,16.4,16.4,16.4,11700.0
2008-08-13,17.0,17.0,16.4,17.0,29400.0
2008-08-14,17.4,17.4,17.4,17.4,10600.0
2008-08-15,18.0,18.0,18.0,18.0,200.0
2008-08-18,19.2,19.2,19.2,19.2,12400.0
2008-08-19,20.5,20.5,17.9,19.2,18300.0
2008-08-20,18.5,19.2,18.1,18.1,4600.0
2008-08-21,18.6,18.9,18.3,18.9,8700.0
2008-08-22,18.5,18.5,17.2,17.2,14900.0
2008-08-25,16.0,18.4,16.0,18.3,15800.0
2008-08-26,19.2,19.2,19.2,19.2,17600.0
2008-08-27,20.5,20.5,20.2,20.2,18700.0
2008-08-28,21.8,21.8,19.0,19.0,3800.0
2008-08-29,18.6,18.6,18.6,18.6,17500.0
2008-09-03,19.0,19.9,19.0,19.9,13800.0
2008-09-04,21.2,21.2,19.8,19.8,10200.0
2008-09-05,20.3,21.7,20.3,21.7,30300.0
2008-09-08,21.5,21.5,20.0,21.3,5800.0
2008-09-09,19.8,21.5,19.7,19.8,17100.0
2008-09-10,21.5,21.6,18.8,20.0,4000.0
2008-09-11,19.8,19.8,18.4,18.4,5300.0
2008-09-12,17.2,17.2,17.2,17.2,2200.0
2008-09-15,16.0,17.0,16.0,16.0,15500.0
2008-09-16,15.1,15.2,15.1,15.2,6600.0
2008-09-17,14.1,14.1,14.1,14.1,12600.0
2008-09-18,13.3,13.3,13.2,13.2,7900.0
2008-09-19,14.1,14.1,14.1,14.1,2100.0
2008-09-22,15.0,15.0,15.0,15.0,100.0
