date,open,high,low,close,volume
2016-09-09,10.0,10.0,10.0,10.0,0.0
2016-09-12,10.0,10.0,10.0,10.0,0.0
2016-09-13,10.0,10.0,10.0,10.0,0.0
2016-09-14,10.0,10.0,10.0,10.0,0.0
2016-09-15,10.0,10.0,10.0,10.0,0.0
2016-09-16,10.0,10.0,10.0,10.0,0.0
2016-09-19,10.0,10.0,10.0,10.0,0.0
2016-09-20,10.0,10.0,10.0,10.0,0.0
2016-09-21,10.0,10.0,10.0,10.0,0.0
2016-09-22,10.0,10.0,10.0,10.0,0.0
2016-09-23,10.0,10.0,10.0,10.0,0.0
2016-09-26,10.0,10.0,10.0,10.0,0.0
2016-09-27,10.0,10.0,10.0,10.0,0.0
2016-09-28,10.0,10.0,10.0,10.0,0.0
2016-09-29,10.0,10.0,10.0,10.0,0.0
2016-09-30,10.0,10.0,10.0,10.0,0.0
2016-10-03,10.0,10.0,10.0,10.0,0.0
2016-10-04,10.0,10.0,10.0,10.0,0.0
2016-10-05,10.0,10.0,10.0,10.0,300.0
2016-10-06,10.0,10.0,10.0,10.0,0.0
2016-10-07,10.0,10.0,10.0,10.0,0.0
2016-10-10,10.0,10.0,10.0,10.0,0.0
2016-10-11,10.0,10.0,10.0,10.0,0.0
2016-10-12,10.0,10.0,10.0,10.0,0.0
2016-10-13,10.0,10.0,10.0,10.0,0.0
2016-10-14,10.0,10.0,10.0,10.0,0.0
2016-10-17,10.0,10.0,10.0,10.0,0.0
2016-10-18,10.0,10.0,10.0,10.0,0.0
2016-10-19,10.0,10.0,10.0,10.0,0.0
2016-10-20,10.0,10.0,10.0,10.0,0.0
2016-10-21,10.0,10.0,10.0,10.0,0.0
2016-10-24,10.0,10.0,10.0,10.0,0.0
2016-10-25,10.0,10.0,10.0,10.0,0.0
2016-10-26,10.0,10.0,10.0,10.0,0.0
2016-10-27,10.0,10.0,10.0,10.0,0.0
2016-10-28,10.5,10.5,10.5,10.5,10300.0
2016-10-31,10.5,10.5,10.5,10.5,0.0
2016-11-01,10.5,10.5,10.5,10.5,0.0
2016-11-02,10.5,10.5,10.5,10.5,0.0
2016-11-03,10.5,10.5,10.5,10.5,0.0
2016-11-04,10.5,10.5,10.5,10.5,0.0
2016-11-07,10.5,10.5,10.5,10.5,0.0
2016-11-08,10.5,10.5,10.5,10.5,0.0
2016-11-09,10.5,10.5,10.5,10.5,0.0
2016-11-10,10.5,10.5,10.5,10.5,0.0
2016-11-11,10.5,10.5,10.5,10.5,0.0
2016-11-14,10.5,10.5,10.5,10.5,0.0
2016-11-15,10.5,10.5,10.5,10.5,0.0
2016-11-16,10.5,10.5,10.5,10.5,0.0
2016-11-17,10.5,10.5,10.5,10.5,0.0
2016-11-18,10.5,10.5,10.5,10.5,0.0
2016-11-21,10.5,10.5,10.5,10.5,0.0
2016-11-22,10.5,10.5,10.5,10.5,0.0
2016-11-23,10.5,10.5,10.5,10.5,0.0
2016-11-24,10.5,10.5,10.5,10.5,0.0
2016-11-25,10.5,10.5,10.5,10.5,0.0
2016-11-28,10.5,10.5,10.5,10.5,0.0
2016-11-29,10.5,10.5,10.5,10.5,0.0
2016-11-30,10.5,10.5,10.5,10.5,0.0
2016-12-01,10.5,10.5,10.5,10.5,0.0
2016-12-02,10.5,10.5,10.5,10.5,0.0
2016-12-05,10.5,10.5,10.5,10.5,0.0
2016-12-06,10.5,10.5,10.5,10.5,0.0
2016-12-07,10.5,10.5,10.5,10.5,0.0
2016-12-08,10.5,10.5,10.5,10.5,0.0
2016-12-09,10.5,10.5,10.5,10.5,0.0
2016-12-12,10.5,10.5,10.5,10.5,0.0
2016-12-13,10.5,10.5,10.5,10.5,0.0
2016-12-14,10.5,10.5,10.5,10.5,0.0
2016-12-15,10.5,10.5,10.5,10.5,0.0
2016-12-16,10.5,10.5,10.5,10.5,0.0
2016-12-19,10.5,10.5,10.5,10.5,0.0
2016-12-20,10.5,10.5,10.5,10.5,0.0
2016-12-21,10.5,10.5,10.5,10.5,0.0
2016-12-22,10.5,10.5,10.5,10.5,0.0
2016-12-23,10.5,10.5,10.5,10.5,0.0
2016-12-26,10.5,10.5,10.5,10.5,0.0
2016-12-27,10.5,10.5,10.5,10.5,0.0
2016-12-28,10.5,10.5,10.5,10.5,0.0
2016-12-29,10.5,10.5,10.5,10.5,0.0
2016-12-30,10.5,10.5,10.5,10.5,0.0
2017-01-03,10.5,10.5,10.5,10.5,0.0
2017-01-04,10.5,10.5,10.5,10.5,0.0
2017-01-05,10.5,10.5,10.5,10.5,0.0
2017-01-06,10.5,10.5,10.5,10.5,0.0
2017-01-09,10.5,10.5,10.5,10.5,0.0
2017-01-10,10.5,10.5,10.5,10.5,0.0
2017-01-11,10.5,10.5,10.5,10.5,0.0
2017-01-12,10.5,10.5,10.5,10.5,0.0
2017-01-13,10.5,10.5,10.5,10.5,0.0
2017-01-16,10.5,10.5,10.5,10.5,0.0
2017-01-17,10.5,10.5,10.5,10.5,0.0
2017-01-18,10.5,10.5,10.5,10.5,0.0
2017-01-19,9.9,9.9,9.9,9.9,1000.0
2017-01-20,9.9,9.9,9.9,9.9,0.0
2017-01-23,9.9,9.9,9.9,9.9,0.0
2017-01-24,9.9,9.9,9.9,9.9,0.0
2017-01-25,9.9,9.9,9.9,9.9,0.0
2017-02-02,9.9,9.9,9.9,9.9,0.0
2017-02-03,9.9,9.9,9.9,9.9,0.0
2017-02-06,9.9,9.9,9.9,9.9,0.0
2017-02-07,9.9,9.9,9.9,9.9,0.0
2017-02-08,9.9,9.9,9.9,9.9,0.0
2017-02-09,9.9,9.9,9.9,9.9,0.0
2017-02-10,9.9,9.9,9.9,9.9,0.0
2017-02-13,9.9,9.9,9.9,9.9,0.0
2017-02-14,9.9,9.9,9.9,9.9,0.0
2017-02-15,9.9,9.9,9.9,9.9,0.0
2017-02-16,9.9,9.9,9.9,9.9,0.0
2017-02-17,9.9,9.9,9.9,9.9,0.0
2017-02-20,9.9,9.9,9.9,9.9,0.0
2017-02-21,9.9,9.9,9.9,9.9,0.0
2017-02-22,9.9,9.9,9.9,9.9,0.0
2017-02-23,9.9,9.9,9.9,9.9,0.0
2017-02-24,9.9,9.9,9.9,9.9,0.0
2017-02-27,9.9,9.9,9.9,9.9,0.0
2017-02-28,9.9,9.9,9.9,9.9,0.0
2017-03-01,9.9,9.9,9.9,9.9,0.0
2017-03-02,9.9,9.9,9.9,9.9,0.0
2017-03-03,9.9,9.9,9.9,9.9,0.0
2017-03-06,9.9,9.9,9.9,9.9,0.0
2017-03-07,9.9,9.9,9.9,9.9,0.0
2017-03-08,9.9,9.9,9.9,9.9,0.0
2017-03-09,9.9,9.9,9.9,9.9,0.0
2017-03-10,9.9,9.9,9.9,9.9,0.0
