date,open,high,low,close,volume
2017-07-06,3.8,3.8,3.8,3.8,200
2017-05-17,6.3,6.3,6.3,6.3,3500
2017-04-17,5.5,5.5,5.5,5.5,100
2017-03-23,6.37,6.37,6.37,6.37,100
2017-03-22,5.6,5.6,5.6,5.6,100
2017-03-08,4.92,4.92,4.92,4.92,200
2015-09-09,3.57,3.57,3.57,3.57,100
2015-08-31,4.13,4.13,4.13,4.13,100
2015-08-27,4.84,4.84,4.84,4.84,100
2015-08-26,5.63,5.63,5.63,5.63,90
2015-08-25,5.63,5.63,5.63,5.63,100
2015-05-22,8.72,8.72,8.72,8.73,1400
2015-03-06,9.04,9.04,9.04,9.04,90
2015-03-04,9.04,9.04,9.04,9.04,40
2015-02-12,9.04,9.04,9.04,9.04,670
2015-01-13,8.27,8.27,8.27,8.27,1500
2014-10-16,8.2,8.2,8.2,8.2,1000
2014-10-13,9.11,9.11,9.11,9.11,100
2014-10-02,9.47,9.47,9.47,9.46,100
2014-10-01,10.52,10.52,10.52,10.52,700
2014-09-19,10.52,10.52,10.52,10.52,2000
2014-09-18,10.1,10.1,10.1,10.1,100
2014-09-15,11.22,11.22,11.22,11.22,100
2014-08-21,12.2,12.2,12.2,12.2,100
2014-06-20,12.05,12.05,12.05,12.06,100
2014-05-13,8.62,8.62,8.62,8.62,700
2014-03-25,12.61,12.61,12.61,12.6,100
2014-02-14,9.03,9.03,9.03,9.03,100
2013-12-27,6.45,6.45,6.45,6.45,1600
2013-11-25,6.97,6.97,6.97,6.98,500
2013-09-09,4.98,4.98,4.98,4.98,1900
2013-04-08,7.8,7.8,7.8,7.8,100
2013-03-28,7.09,7.09,7.09,7.09,10000
2013-02-04,5.93,5.93,5.51,5.55,1400
2013-01-28,5.51,5.51,5.51,5.51,700
2012-09-10,5.08,5.08,5.08,5.09,1300
2012-06-01,3.81,3.81,3.81,3.81,800
2012-05-09,3.64,3.64,3.64,3.64,300
2012-04-13,3.6,3.6,3.6,3.6,700
2012-03-08,4.0,4.0,4.0,4.0,100
2011-12-14,3.89,3.89,3.89,3.88,1600
2011-11-14,4.32,4.32,4.32,4.32,400
2011-08-23,3.32,3.32,3.32,3.32,300
2011-08-16,3.65,3.65,3.65,3.65,300
2011-06-13,3.65,3.65,3.65,3.65,100
2011-04-25,3.65,3.65,3.65,3.65,200
2011-04-15,3.33,3.33,3.33,3.32,200
2011-02-28,2.66,2.66,2.66,2.66,100
2010-12-29,8.75,8.75,8.75,8.77,100
2010-11-12,3.83,3.83,3.83,3.82,200
2010-11-10,4.25,4.25,4.25,4.25,200
2010-11-03,4.65,4.65,4.65,4.65,700
2010-10-07,4.78,4.78,4.78,4.78,2700
2010-08-11,5.18,5.18,5.18,5.18,100
2010-08-02,5.73,5.73,5.73,5.74,100
2010-07-30,6.38,6.38,6.38,6.37,100
2010-07-23,7.04,7.04,7.04,7.04,100
2010-07-21,7.04,7.04,7.04,7.04,100
2010-07-20,6.91,6.91,6.91,6.91,100
2010-07-16,6.72,6.72,6.72,6.72,80
2010-07-15,6.11,6.11,6.11,6.11,100
