date,open,high,low,close,volume
2010-04-14,16.86,16.86,16.86,16.86,300730
2010-04-15,17.65,17.65,16.25,16.69,115180
2010-04-16,16.69,16.69,16.47,16.69,40500
2010-04-19,16.82,16.87,16.69,16.82,65670
2010-04-20,17.13,17.13,16.91,17.13,257630
2010-04-21,17.13,17.17,17.04,17.04,115690
2010-04-22,17.04,17.89,17.04,17.35,304480
2010-04-26,17.57,18.2,17.35,18.2,418040
2010-04-27,19.05,19.09,18.69,19.09,211120
2010-04-28,20.02,20.02,19.98,20.02,125120
2010-04-29,21.0,21.0,20.95,21.0,265920
2010-05-04,21.89,22.02,21.36,22.03,498340
2010-05-05,21.81,22.92,21.81,22.92,316340
2010-05-06,23.81,23.81,22.47,22.92,219420
2010-05-07,21.85,22.7,21.81,21.8,165080
2010-05-10,20.82,20.91,20.73,20.74,285430
2010-05-11,20.03,20.47,19.72,19.71,261630
2010-05-12,18.78,19.49,18.73,18.73,150350
2010-05-13,18.42,19.66,18.33,19.4,283660
2010-05-14,20.2,20.2,19.58,19.98,25640
2010-05-17,19.98,19.98,19.0,19.0,74950
2010-05-18,19.13,19.13,18.07,18.07,154960
2010-05-19,17.36,18.07,17.18,17.18,154380
2010-05-20,16.42,18.03,16.33,18.02,71910
2010-05-21,17.13,17.13,17.13,17.13,48130
2010-05-24,16.55,17.22,16.28,17.22,89480
2010-05-25,17.22,17.35,16.46,16.46,25750
2010-05-26,16.46,17.17,16.46,17.18,72800
2010-05-27,17.54,17.54,16.82,16.82,17910
2010-05-28,17.62,17.62,17.53,17.62,160990
2010-05-31,18.24,18.47,17.35,18.47,162530
2010-06-01,18.51,18.69,17.8,18.47,126600
2010-06-02,18.43,18.65,17.8,18.64,80890
2010-06-03,18.68,19.13,18.64,18.69,121800
2010-06-04,18.25,18.6,17.84,18.6,165700
2010-06-07,17.75,18.6,17.75,17.8,60010
2010-06-08,17.18,18.02,17.18,17.31,13930
2010-06-09,18.11,18.11,17.31,17.35,142850
2010-06-10,17.79,17.97,17.22,17.98,40940
2010-06-11,18.16,18.47,18.11,18.2,91460
2010-06-14,17.89,18.69,17.89,18.24,90620
2010-06-15,18.24,18.28,18.15,18.29,66430
2010-06-16,18.29,18.56,18.29,18.29,55290
2010-06-17,18.33,18.42,17.8,18.42,52360
2010-06-18,18.42,18.64,18.24,18.64,134620
2010-06-21,18.64,19.0,18.46,18.64,169340
2010-06-22,18.51,18.68,18.24,18.29,17700
2010-06-23,18.47,18.47,17.89,18.24,27040
2010-06-24,18.11,18.24,18.11,18.24,108310
2010-06-25,17.66,18.15,17.57,18.15,145250
2010-06-28,18.15,18.15,17.62,17.8,33060
2010-06-29,18.16,18.16,17.8,17.8,43700
2010-06-30,17.18,17.36,16.91,16.91,91110
2010-07-01,17.67,17.67,17.13,17.35,15700
2010-07-02,17.53,17.53,17.17,17.18,17750
2010-07-05,17.36,17.36,17.14,17.31,22920
2010-07-06,16.91,17.27,16.91,17.26,39800
2010-07-07,17.3,17.3,16.9,16.91,24250
2010-07-08,16.91,17.13,16.6,17.13,33510
2010-07-09,17.35,17.35,16.91,17.13,24910
2010-07-12,17.09,17.17,16.51,16.51,33700
2010-07-13,16.51,17.31,16.51,17.31,42840
2010-07-14,17.49,17.53,17.27,17.49,97880
2010-07-15,17.49,17.49,16.91,17.31,12050
2010-07-16,17.31,17.31,16.91,17.26,39690
2010-07-19,17.26,17.26,17.22,17.22,20500
2010-07-20,17.22,17.49,17.22,17.49,91690
2010-07-21,17.49,17.53,17.36,17.53,92060
2010-07-22,17.35,17.35,17.22,17.22,15000
2010-07-23,17.44,17.44,17.13,17.22,36500
2010-07-26,17.13,17.31,17.0,17.31,22550
2010-07-27,17.22,17.35,17.22,17.35,38500
2010-07-28,17.31,17.31,16.77,17.31,47600
2010-07-29,16.91,16.91,16.91,16.91,24570
2010-07-30,16.87,17.36,16.87,17.35,28540
2010-08-02,16.99,17.26,16.91,17.26,27460
2010-08-03,17.26,17.26,17.26,17.26,25590
2010-08-04,17.22,17.26,16.9,17.26,40850
2010-08-05,17.35,17.35,17.35,17.35,10000
2010-08-06,17.35,17.44,17.04,17.35,90510
2010-08-09,17.26,17.31,16.91,17.31,31230
2010-08-10,17.31,17.31,16.69,16.69,46020
2010-08-11,17.01,17.28,17.01,17.18,43000
2010-08-12,16.77,17.18,16.36,16.37,93180
2010-08-13,17.0,17.1,16.55,16.96,37910
2010-08-16,16.37,17.59,16.37,17.37,38030
2010-08-17,17.19,17.23,17.19,17.23,50000
2010-08-18,17.14,17.18,16.78,17.18,50000
2010-08-19,17.18,17.18,16.77,16.82,67890
2010-08-20,16.73,16.87,16.23,16.23,105600
2010-08-23,16.23,16.32,15.55,15.55,48510
2010-08-24,15.55,15.87,14.96,15.87,102880
2010-08-25,15.64,15.64,15.24,15.42,59100
2010-08-26,15.42,15.51,14.97,14.96,62000
2010-08-27,14.55,15.05,14.51,15.05,47730
2010-08-30,15.59,15.78,15.59,15.78,77820
2010-08-31,15.28,15.87,15.28,15.82,28750
2010-09-01,15.82,15.82,15.32,15.33,28830
