date,open,high,low,close,volume
2017-06-14,30.0,30.0,30.0,30.0,0.0
2017-06-15,30.0,30.0,30.0,30.0,0.0
2017-06-16,30.0,30.0,30.0,30.0,0.0
2017-06-19,30.0,30.0,30.0,30.0,0.0
2017-06-20,30.0,30.0,30.0,30.0,0.0
2017-06-21,30.0,30.0,30.0,30.0,0.0
2017-06-22,30.0,30.0,30.0,30.0,0.0
2017-06-23,30.0,30.0,30.0,30.0,0.0
2017-06-26,30.0,30.0,30.0,30.0,0.0
2017-06-27,30.0,30.0,30.0,30.0,0.0
2017-06-28,30.0,30.0,30.0,30.0,0.0
2017-06-29,30.0,30.0,30.0,30.0,0.0
2017-06-30,30.0,30.0,30.0,30.0,0.0
2017-07-03,30.0,30.0,30.0,30.0,0.0
2017-07-04,30.0,30.0,30.0,30.0,0.0
2017-07-05,30.0,30.0,30.0,30.0,0.0
2017-07-06,30.0,30.0,30.0,30.0,0.0
2017-07-07,30.0,30.0,30.0,30.0,0.0
2017-07-10,30.0,30.0,30.0,30.0,0.0
2017-07-11,30.0,30.0,30.0,30.0,0.0
2017-07-12,30.0,30.0,30.0,30.0,0.0
