date,open,high,low,close,volume
2017-01-12,14.8,14.8,14.8,14.8,0.0
2017-01-13,14.8,14.8,14.8,14.8,0.0
2017-01-16,14.8,14.8,14.8,14.8,0.0
2017-01-17,14.8,14.8,14.8,14.8,0.0
2017-01-18,14.8,14.8,14.8,14.8,0.0
2017-01-19,14.8,14.8,14.8,14.8,0.0
2017-01-20,13.8,13.8,13.8,13.8,0.0
2017-01-23,13.8,13.8,13.8,13.8,0.0
2017-01-24,13.8,13.8,13.8,13.8,0.0
2017-01-25,13.8,13.8,13.8,13.8,0.0
2017-02-02,13.8,13.8,13.8,13.8,0.0
2017-02-03,13.8,13.8,13.8,13.8,0.0
2017-02-06,13.8,13.8,13.8,13.8,0.0
2017-02-07,13.8,13.8,13.8,13.8,0.0
2017-02-08,13.8,13.8,13.8,13.8,0.0
2017-02-09,13.8,13.8,13.8,13.8,0.0
2017-02-10,13.8,13.8,13.8,13.8,0.0
2017-02-13,13.8,13.8,13.8,13.8,0.0
2017-02-14,13.8,13.8,13.8,13.8,0.0
2017-02-15,13.8,13.8,13.8,13.8,0.0
2017-02-16,13.8,13.8,13.8,13.8,0.0
2017-02-17,13.8,13.8,13.8,13.8,0.0
2017-02-20,13.8,13.8,13.8,13.8,0.0
2017-02-21,13.8,13.8,13.8,13.8,0.0
2017-02-22,13.8,13.8,13.8,13.8,0.0
2017-02-23,13.8,13.8,13.8,13.8,0.0
2017-02-24,13.8,13.8,13.8,13.8,0.0
2017-02-27,13.8,13.8,13.8,13.8,0.0
2017-02-28,13.8,13.8,13.8,13.8,0.0
2017-03-01,13.8,13.8,13.8,13.8,0.0
2017-03-02,13.8,13.8,13.8,13.8,0.0
2017-03-03,13.8,13.8,13.8,13.8,0.0
2017-03-06,13.8,13.8,13.8,13.8,0.0
2017-03-07,13.8,13.8,13.8,13.8,0.0
2017-03-08,13.8,13.8,13.8,13.8,0.0
2017-03-09,13.8,13.8,13.8,13.8,0.0
2017-03-10,13.8,13.8,13.8,13.8,0.0
2017-03-13,13.8,13.8,13.8,13.8,0.0
2017-03-14,13.8,13.8,13.8,13.8,0.0
2017-03-15,8.3,8.3,8.3,8.3,1200.0
2017-03-16,8.3,8.3,8.3,8.3,0.0
2017-03-17,8.3,8.3,8.3,8.3,0.0
2017-03-20,8.3,8.3,8.3,8.3,0.0
2017-03-21,8.3,8.3,8.3,8.3,0.0
2017-03-22,8.3,8.3,8.3,8.3,0.0
2017-03-23,8.3,8.3,8.3,8.3,0.0
2017-03-24,8.3,8.3,8.3,8.3,0.0
2017-03-27,8.3,8.3,8.3,8.3,0.0
2017-03-28,8.3,8.3,8.3,8.3,0.0
2017-03-29,8.3,8.3,8.3,8.3,0.0
2017-03-30,8.3,8.3,8.3,8.3,0.0
2017-03-31,8.3,8.3,8.3,8.3,0.0
2017-04-03,8.3,8.3,8.3,8.3,0.0
2017-04-04,8.3,8.3,8.3,8.3,0.0
2017-04-05,8.3,8.3,8.3,8.3,0.0
2017-04-07,8.3,8.3,8.3,8.3,0.0
2017-04-10,8.3,8.3,8.3,8.3,0.0
2017-04-11,8.3,8.3,8.3,8.3,0.0
2017-04-12,8.3,8.3,8.3,8.3,0.0
2017-04-13,8.3,8.3,8.3,8.3,0.0
2017-04-14,8.3,8.3,8.3,8.3,0.0
2017-04-17,8.3,8.3,8.3,8.3,0.0
2017-04-18,8.3,8.3,8.3,8.3,0.0
2017-04-19,8.3,8.3,8.3,8.3,0.0
2017-04-20,8.3,8.3,8.3,8.3,0.0
2017-04-21,7.1,7.1,7.1,7.1,4533.0
2017-04-24,7.1,7.1,7.1,7.1,0.0
2017-04-25,7.1,7.1,7.1,7.1,0.0
2017-04-26,7.1,7.1,7.1,7.1,0.0
2017-04-27,7.1,7.1,7.1,7.1,0.0
2017-04-28,7.1,7.1,7.1,7.1,0.0
2017-05-03,7.1,7.1,7.1,7.1,0.0
2017-05-04,7.1,7.1,7.1,7.1,0.0
2017-05-05,7.1,7.1,7.1,7.1,0.0
2017-05-08,7.1,7.1,7.1,7.1,0.0
2017-05-09,7.1,7.1,7.1,7.1,0.0
2017-05-10,7.1,7.1,7.1,7.1,0.0
2017-05-11,7.1,7.1,7.1,7.1,0.0
2017-05-12,7.1,7.1,7.1,7.1,0.0
2017-05-15,7.1,7.1,7.1,7.1,0.0
2017-05-16,7.1,7.1,7.1,7.1,0.0
2017-05-17,7.1,7.1,7.1,7.1,0.0
2017-05-18,7.1,7.1,7.1,7.1,0.0
2017-05-19,7.1,7.1,7.1,7.1,0.0
2017-05-22,7.1,7.1,7.1,7.1,0.0
2017-05-23,7.1,7.1,7.1,7.1,0.0
2017-05-24,7.1,7.1,7.1,7.1,0.0
2017-05-25,7.1,7.1,7.1,7.1,0.0
2017-05-26,7.1,7.1,7.1,7.1,0.0
2017-05-29,7.1,7.1,7.1,7.1,0.0
2017-05-30,7.1,7.1,7.1,7.1,0.0
