date,open,high,low,close,volume
2017-06-23,4.8,4.8,4.8,4.8,100
2017-06-22,4.2,4.2,4.2,4.2,100
2017-06-21,3.7,3.7,3.7,3.7,100
2017-06-20,3.3,3.3,3.3,3.3,100
2017-06-05,2.9,2.9,2.9,2.9,100
2017-05-25,2.8,3.5,2.8,3.5,200
2017-05-16,3.1,3.1,3.1,3.1,100
2017-05-09,3.5,3.5,3.5,3.5,100
2017-05-08,3.9,3.9,3.9,3.9,100
2017-05-05,4.4,4.4,4.4,4.4,100
2017-05-03,5.0,5.0,5.0,5.0,7000
2017-04-28,4.7,4.7,4.7,4.7,100
2017-04-21,5.3,5.3,5.3,5.3,100
2017-04-04,6.1,6.1,6.1,6.1,100
2017-03-30,7.0,7.0,7.0,7.0,100
2017-02-28,6.9,6.9,6.9,6.9,100
2017-01-19,8.1,8.1,8.1,8.1,500
2016-12-30,7.1,7.1,7.1,7.1,500
2016-12-29,6.2,6.2,6.2,6.2,500
2016-11-25,5.4,5.4,5.4,5.4,200
2016-11-24,6.3,6.3,6.3,6.3,300
2016-11-23,7.3,7.3,7.3,7.3,1000
2016-11-21,8.5,8.5,8.5,8.5,500
2016-11-16,10.0,10.0,10.0,10.0,2000
