date,open,high,low,close,volume
2008-12-03,9.52,9.52,4.66,5.29,27100
2008-12-04,5.52,5.52,5.52,5.52,600
2008-12-05,5.9,5.9,5.69,5.9,19400
2008-12-08,6.24,6.24,5.54,5.53,4800
2008-12-09,5.89,5.89,5.48,5.49,18200
2008-12-10,5.15,5.15,5.15,5.15,1500
2008-12-11,5.24,5.47,5.01,5.01,7000
2008-12-12,5.47,5.49,5.24,5.47,17300
2008-12-15,5.15,5.52,5.06,5.51,15900
2008-12-16,5.4,5.4,5.24,5.26,2300
2008-12-17,5.44,5.46,5.37,5.44,2800
2008-12-18,5.46,5.8,5.44,5.6,10200
2008-12-19,5.6,5.6,5.44,5.44,4300
2008-12-22,5.58,5.58,5.55,5.56,300
2008-12-23,5.56,5.56,5.22,5.22,3100
2008-12-24,5.29,5.29,5.29,5.28,1200
2008-12-25,5.35,5.35,5.35,5.35,1700
2008-12-26,5.62,5.62,5.46,5.47,500
2008-12-29,5.56,5.56,5.24,5.24,2700
2008-12-30,5.58,5.58,5.45,5.44,1600
2008-12-31,5.21,5.51,5.21,5.51,200
2009-01-02,5.46,5.46,5.46,5.47,100
2009-01-05,5.47,5.47,5.24,5.42,1900
2009-01-06,5.35,5.35,5.24,5.35,1400
2009-01-07,5.24,5.24,5.17,5.19,6000
2009-01-08,5.24,5.24,5.24,5.24,3200
2009-01-09,5.24,5.29,5.24,5.28,1600
2009-01-12,5.46,5.46,5.19,5.24,1400
2009-01-13,5.03,5.24,4.88,4.92,7300
2009-01-14,4.92,4.92,4.92,4.92,1200
2009-01-15,4.83,4.83,4.62,4.62,4300
2009-01-16,4.89,4.96,4.78,4.78,1800
2009-01-19,5.01,5.01,4.78,4.78,2200
2009-01-20,5.08,5.08,4.78,4.78,800
2009-01-22,4.78,4.78,4.56,4.55,4200
2009-01-23,4.87,4.87,4.87,4.87,100
2009-02-02,5.01,5.01,4.89,4.9,1600
2009-02-03,5.13,5.13,5.01,5.01,1100
2009-02-04,5.01,5.01,5.01,5.01,100
2009-02-05,4.9,4.9,4.9,4.9,100
2009-02-06,4.56,4.9,4.56,4.9,6100
2009-02-09,4.79,4.79,4.79,4.78,900
2009-02-10,4.96,4.96,4.96,4.96,100
2009-02-11,4.98,4.98,4.62,4.62,1200
2009-02-12,4.94,4.94,4.94,4.94,200
2009-02-13,4.89,4.89,4.6,4.6,1700
2009-02-16,4.76,4.76,4.44,4.49,1300
2009-02-17,4.51,4.67,4.22,4.49,1100
2009-02-18,4.31,4.33,4.1,4.33,3900
2009-02-19,4.33,4.33,4.33,4.33,300
2009-02-20,4.33,4.33,4.33,4.33,2100
2009-02-23,4.22,4.22,4.22,4.21,600
2009-02-24,4.21,4.21,4.21,4.21,3300
2009-02-25,4.46,4.46,4.44,4.44,800
2009-02-26,4.44,4.44,4.42,4.44,700
2009-03-02,4.67,4.67,4.67,4.67,100
2009-03-03,4.56,4.56,4.56,4.55,1000
2009-03-04,4.66,4.66,4.66,4.67,1000
2009-03-05,4.74,4.74,4.74,4.74,100
2009-03-06,4.74,4.74,4.47,4.71,400
2009-03-09,4.78,4.78,4.78,4.78,1000
2009-03-10,4.76,4.78,4.73,4.78,6200
2009-03-11,4.85,4.85,4.44,4.44,1100
2009-03-12,4.55,4.55,4.33,4.44,1700
2009-03-13,4.55,4.55,4.1,4.55,4100
2009-03-16,4.44,4.44,4.44,4.44,500
2009-03-17,4.44,4.44,4.44,4.44,1600
2009-03-18,4.46,4.46,4.33,4.44,7600
2009-03-19,4.67,4.67,4.44,4.44,600
2009-03-23,4.28,4.33,4.23,4.24,4500
2009-03-24,4.26,4.56,4.26,4.49,4100
2009-03-25,4.28,4.28,4.1,4.17,5600
2009-03-26,4.17,4.42,4.17,4.4,13800
2009-03-27,4.45,4.47,4.33,4.33,6700
2009-03-30,4.56,4.56,4.1,4.1,600
2009-03-31,4.24,4.24,4.21,4.21,500
2009-04-01,4.1,4.44,4.1,4.44,2400
2009-04-02,4.37,4.37,4.37,4.37,1200
2009-04-03,4.37,4.6,4.37,4.46,12100
2009-04-07,4.55,4.66,4.32,4.55,14500
2009-04-08,4.44,4.44,4.28,4.28,3600
2009-04-09,4.14,4.46,4.1,4.37,2900
2009-04-10,4.44,4.48,4.44,4.49,8800
2009-04-13,4.63,4.76,4.6,4.76,15800
2009-04-14,5.01,5.01,4.56,5.01,19000
2009-04-15,4.87,4.87,4.62,4.87,9000
2009-04-16,4.92,5.01,4.78,4.87,9300
2009-04-17,4.57,4.67,4.57,4.58,2800
2009-04-20,4.33,4.37,4.28,4.28,7800
2009-04-21,4.05,4.23,4.05,4.24,3800
2009-04-22,4.49,4.49,4.49,4.49,3800
2009-04-23,4.56,4.58,4.56,4.58,1900
2009-04-24,4.47,4.49,4.47,4.49,2400
2009-04-27,4.56,4.56,4.44,4.44,2100
2009-04-28,4.44,4.67,4.44,4.67,7500
2009-04-29,4.74,4.76,4.67,4.67,2800
2009-05-04,4.88,5.01,4.85,5.01,25800
2009-05-05,5.31,5.31,5.24,5.24,26400
2009-05-06,5.01,5.03,4.94,5.03,7200
2009-05-07,5.23,5.33,5.23,5.33,37900
2009-05-08,5.01,5.35,5.01,5.35,21100
2009-05-11,5.19,5.24,5.12,5.12,7300
2009-05-12,5.14,5.17,5.12,5.15,14200
2009-05-13,5.17,5.24,5.04,5.24,26200
2009-05-14,5.13,5.13,5.01,5.06,13400
2009-05-15,5.06,5.22,5.06,5.17,14500
2009-05-18,5.24,5.53,5.24,5.28,29800
2009-05-19,5.46,5.46,5.17,5.24,19800
2009-05-20,5.35,5.38,5.29,5.28,17600
2009-05-21,5.46,5.46,5.12,5.33,14600
2009-05-22,5.24,5.24,5.12,5.24,9300
2009-05-25,5.24,5.35,5.17,5.35,23400
2009-05-26,5.35,5.35,5.24,5.28,67200
2009-05-27,5.64,5.64,5.37,5.65,47100
2009-05-28,6.04,6.04,6.04,6.04,61500
2009-05-29,6.45,6.45,6.38,6.45,78300
2009-06-01,6.72,6.84,6.13,6.74,55000
2009-06-02,6.83,6.9,6.49,6.58,38600
2009-06-03,6.49,6.65,6.26,6.65,49200
2009-06-04,6.6,6.99,6.54,6.99,51300
2009-06-05,7.33,7.33,7.29,7.33,29200
2009-06-08,7.83,7.83,7.33,7.83,51100
2009-06-09,8.38,8.38,7.28,7.4,60800
2009-06-10,6.9,7.06,6.9,6.9,45800
2009-06-11,6.83,7.06,6.42,7.06,76500
2009-06-12,7.29,7.33,6.97,7.27,60700
2009-06-15,7.36,7.75,6.79,6.99,52700
2009-06-16,6.6,6.6,6.49,6.6,27900
2009-06-17,6.51,6.96,6.46,6.97,36000
2009-06-18,7.15,7.15,6.95,7.15,46900
2009-06-19,7.06,7.06,6.83,6.95,16800
2009-06-22,6.54,6.61,6.4,6.45,36700
2009-06-23,6.06,6.38,6.06,6.38,35500
2009-06-24,6.29,6.72,6.29,6.72,15200
2009-06-25,7.02,7.02,6.42,6.49,23500
2009-06-26,6.67,6.67,6.42,6.6,7900
2009-06-29,6.37,6.55,6.37,6.56,4600
2009-06-30,6.38,6.4,6.38,6.4,13200
2009-07-01,6.26,6.38,5.94,6.38,54200
2009-07-02,5.99,6.38,5.92,6.38,4000
2009-07-03,6.38,6.52,6.38,6.51,12300
2009-07-06,6.37,6.6,6.37,6.6,7000
2009-07-07,6.6,6.6,6.37,6.38,1100
2009-07-08,6.15,6.33,6.15,6.33,5400
2009-07-09,6.06,6.28,6.06,6.29,800
2009-07-10,6.2,6.38,6.2,6.26,4600
2009-07-13,6.37,6.37,6.26,6.26,1000
2009-07-14,6.31,6.31,5.96,5.97,1300
2009-07-15,5.88,6.38,5.88,6.24,2800
2009-07-16,6.35,6.35,6.29,6.29,300
2009-07-17,6.15,6.38,6.15,6.38,4400
2009-07-20,6.15,6.15,6.15,6.15,6100
2009-07-21,6.38,6.38,6.17,6.17,300
2009-07-22,6.31,6.31,6.15,6.15,1300
2009-07-23,6.17,6.38,6.17,6.38,2200
2009-07-24,6.61,6.77,6.61,6.76,14600
2009-07-27,7.06,7.06,6.99,7.04,8200
2009-07-28,6.56,6.83,6.56,6.56,21200
2009-07-30,6.83,6.83,6.26,6.38,7800
2009-07-31,6.61,6.61,6.59,6.6,4900
2009-08-03,6.49,6.49,6.49,6.49,700
2009-08-04,6.92,6.92,6.58,6.6,11800
2009-08-05,6.6,6.65,6.6,6.65,700
2009-08-06,6.65,6.76,6.6,6.72,12700
2009-08-07,6.61,6.61,6.61,6.6,1700
2009-08-11,6.62,6.71,6.6,6.72,4300
2009-08-12,6.65,6.72,6.65,6.65,700
2009-08-13,6.72,6.72,6.6,6.72,14500
2009-08-14,6.63,6.67,6.63,6.67,600
2009-08-17,6.72,6.72,6.6,6.72,4500
2009-08-18,6.93,6.93,6.61,6.6,6100
2009-08-19,6.9,6.9,6.69,6.72,21500
2009-08-20,7.06,7.06,6.72,6.76,3400
2009-08-21,6.76,6.83,6.71,6.72,8200
2009-08-24,6.93,6.93,6.72,6.79,1200
2009-08-25,6.84,6.88,6.72,6.72,4900
2009-08-26,6.67,6.74,6.67,6.74,10900
2009-08-27,6.72,6.72,6.72,6.72,12600
2009-08-28,6.67,6.83,6.65,6.83,6400
2009-08-31,6.72,6.81,6.72,6.72,4400
2009-09-01,6.72,6.79,6.67,6.76,5500
2009-09-03,6.69,6.81,6.67,6.81,9200
2009-09-04,6.83,6.83,6.72,6.72,7500
2009-09-07,6.72,6.83,6.72,6.83,3100
2009-09-08,6.72,6.81,6.72,6.79,13300
2009-09-09,6.61,6.65,6.61,6.6,7000
