date,open,high,low,close,volume
2017-04-05,10.4,10.4,10.4,10.4,0.0
2017-04-07,10.4,10.4,10.4,10.4,0.0
2017-04-10,10.4,10.4,10.4,10.4,0.0
2017-04-11,10.4,10.4,10.4,10.4,0.0
2017-04-12,10.4,10.4,10.4,10.4,0.0
2017-04-13,10.4,10.4,10.4,10.4,0.0
2017-04-14,10.4,10.4,10.4,10.4,0.0
2017-04-17,10.4,10.4,10.4,10.4,0.0
2017-04-18,10.4,10.4,10.4,10.4,0.0
2017-04-19,10.4,10.4,10.4,10.4,0.0
2017-04-20,10.4,10.4,10.4,10.4,0.0
2017-04-21,10.4,10.4,10.4,10.4,0.0
2017-04-24,10.4,10.4,10.4,10.4,0.0
2017-04-25,10.4,10.4,10.4,10.4,0.0
2017-04-26,6.3,6.3,6.3,6.3,2800.0
2017-04-27,6.3,6.3,6.3,6.3,0.0
2017-04-28,6.3,6.3,6.3,6.3,0.0
2017-05-03,6.3,6.3,6.3,6.3,0.0
2017-05-04,6.3,6.3,6.3,6.3,0.0
2017-05-05,6.3,6.3,6.3,6.3,0.0
2017-05-08,6.3,6.3,6.3,6.3,0.0
2017-05-09,6.3,6.3,6.3,6.3,0.0
2017-05-10,6.3,6.3,6.3,6.3,0.0
2017-05-11,6.3,6.3,6.3,6.3,0.0
2017-05-12,6.3,6.3,6.3,6.3,0.0
2017-05-15,6.3,6.3,6.3,6.3,0.0
2017-05-16,6.3,6.3,6.3,6.3,0.0
2017-05-17,6.3,6.3,6.3,6.3,0.0
2017-05-18,6.3,6.3,6.3,6.3,0.0
2017-05-19,6.3,6.3,6.3,6.3,0.0
2017-05-22,6.3,6.3,6.3,6.3,0.0
2017-05-23,6.3,6.3,6.3,6.3,0.0
2017-05-24,6.3,6.3,6.3,6.3,0.0
2017-05-25,6.3,6.3,6.3,6.3,0.0
2017-05-26,6.3,6.3,6.3,6.3,0.0
2017-05-29,6.3,6.3,6.3,6.3,0.0
2017-05-30,6.3,6.3,6.3,6.3,0.0
2017-05-31,6.3,6.3,6.3,6.3,0.0
2017-06-01,6.3,6.3,6.3,6.3,0.0
2017-06-02,6.3,6.3,6.3,6.3,0.0
2017-06-05,6.3,6.3,6.3,6.3,0.0
2017-06-06,5.4,5.4,5.4,5.4,1100.0
2017-06-07,5.4,5.4,5.4,5.4,0.0
2017-06-08,5.4,5.4,5.4,5.4,0.0
2017-06-09,5.4,5.4,5.4,5.4,0.0
2017-06-12,5.4,5.4,5.4,5.4,0.0
2017-06-13,5.4,5.4,5.4,5.4,0.0
2017-06-14,5.4,5.4,5.4,5.4,0.0
2017-06-15,5.4,5.4,5.4,5.4,0.0
2017-06-16,5.4,5.4,5.4,5.4,0.0
2017-06-19,5.4,5.4,5.4,5.4,0.0
2017-06-20,5.7,5.7,5.7,5.7,2200.0
2017-06-21,5.7,5.7,5.7,5.7,400.0
2017-06-22,5.7,5.7,5.7,5.7,0.0
2017-06-23,5.7,5.7,5.7,5.7,0.0
2017-06-26,5.7,5.7,5.7,5.7,0.0
2017-06-27,5.7,5.7,5.7,5.7,0.0
2017-06-28,5.7,5.7,5.7,5.7,0.0
2017-06-29,5.7,5.7,5.7,5.7,0.0
2017-06-30,5.7,5.7,5.7,5.7,0.0
2017-07-03,5.7,5.7,5.7,5.7,0.0
2017-07-04,5.7,5.7,5.7,5.7,0.0
2017-07-05,5.7,5.7,5.7,5.7,0.0
2017-07-06,5.7,5.7,5.7,5.7,0.0
2017-07-07,5.7,5.7,5.7,5.7,0.0
2017-07-10,5.7,5.7,5.7,5.7,0.0
2017-07-11,5.7,5.7,5.7,5.7,0.0
2017-07-12,5.7,5.7,5.7,5.7,0.0
2017-07-13,5.7,5.7,5.7,5.7,0.0
2017-07-14,5.7,5.7,5.7,5.7,0.0
2017-07-17,5.7,5.7,5.7,5.7,0.0
2017-07-18,5.7,5.7,5.7,5.7,0.0
