date,open,high,low,close,volume
2006-12-20,53.5,53.5,53.5,53.5,69230.0
2006-12-21,53.5,56.0,51.0,51.0,137260.0
2006-12-22,48.5,48.5,48.5,48.5,35690.0
2006-12-25,46.1,50.5,46.1,50.5,55220.0
2006-12-26,50.5,50.5,48.0,49.8,94420.0
2006-12-28,48.6,48.6,46.6,46.6,31670.0
2006-12-29,46.6,46.6,46.0,46.0,60540.0
2007-01-02,45.0,46.4,45.0,45.0,62950.0
2007-01-03,44.9,44.9,43.9,43.9,24700.0
2007-01-04,46.0,46.0,45.0,46.0,37880.0
2007-01-05,48.3,48.3,47.5,47.5,31370.0
2007-01-08,47.5,47.5,45.9,46.0,21690.0
2007-01-09,46.0,46.0,46.0,46.0,16190.0
2007-01-10,46.0,46.0,45.1,45.1,20790.0
2007-01-11,45.5,45.5,45.0,45.0,33950.0
2007-01-12,45.0,45.0,45.0,45.0,25100.0
2007-01-15,47.2,47.2,47.2,47.2,33360.0
2007-01-16,49.5,49.5,49.5,49.5,16920.0
2007-01-17,50.0,50.0,47.1,47.1,50510.0
2007-01-18,46.0,47.5,46.0,47.0,38250.0
2007-01-19,47.5,47.5,47.0,47.0,20250.0
2007-01-22,47.8,47.8,46.0,46.5,24150.0
2007-01-23,44.2,46.0,44.2,46.0,22540.0
2007-01-24,47.0,47.0,44.5,45.0,27500.0
2007-01-25,43.1,45.0,43.1,44.5,24580.0
2007-01-29,46.5,47.2,46.5,46.5,14450.0
2007-01-30,48.8,48.8,48.8,48.8,6230.0
2007-01-31,51.0,51.0,51.0,51.0,10700.0
2007-02-01,53.5,53.5,53.5,53.5,11980.0
2007-02-02,56.0,56.0,56.0,56.0,18280.0
2007-02-05,58.5,58.5,58.5,58.5,25480.0
2007-02-06,56.0,60.0,56.0,56.0,106130.0
2007-02-07,57.5,57.5,57.5,57.5,64210.0
2007-02-08,60.0,60.0,60.0,60.0,78110.0
2007-02-09,59.0,60.0,57.5,59.0,58910.0
2007-02-12,61.5,61.5,61.5,61.5,54670.0
2007-02-13,64.5,64.5,64.5,64.5,32600.0
2007-02-14,67.5,67.5,67.5,67.5,45660.0
2007-02-15,70.5,70.5,70.5,70.5,16780.0
2007-02-26,74.0,74.0,74.0,74.0,100.0
2007-02-27,77.5,77.5,77.5,77.5,3670.0
2007-02-28,81.0,81.0,80.0,81.0,125030.0
2007-03-01,85.0,85.0,85.0,85.0,23080.0
2007-03-02,89.0,89.0,89.0,89.0,29330.0
2007-03-05,93.0,93.0,89.0,93.0,1100.0
2007-03-06,97.5,97.5,97.5,97.5,3710.0
2007-03-07,102.0,102.0,102.0,102.0,114520.0
2007-03-08,102.0,107.0,102.0,107.0,131120.0
2007-03-09,107.0,108.0,107.0,107.0,90130.0
2007-03-12,107.0,107.0,102.0,102.0,38060.0
2007-03-13,99.0,102.0,99.0,99.0,61740.0
2007-03-14,94.5,94.5,94.5,94.5,33510.0
2007-03-15,94.5,94.5,90.0,90.0,6260.0
2007-03-16,85.5,94.5,85.5,94.5,88090.0
2007-03-19,99.0,99.0,99.0,99.0,61980.0
2007-03-20,99.0,99.0,94.5,94.5,101110.0
2007-03-21,90.0,90.0,90.0,90.0,62310.0
2007-03-22,86.0,90.0,86.0,86.5,36970.0
2007-03-23,85.0,85.0,85.0,85.0,32720.0
2007-03-26,85.0,85.0,81.0,81.0,20450.0
2007-03-27,77.0,77.0,77.0,77.0,6990.0
2007-03-28,73.5,73.5,73.5,73.5,41420.0
2007-03-29,73.5,77.0,73.5,77.0,7740.0
2007-03-30,80.5,80.5,80.5,80.5,20500.0
2007-04-02,79.0,79.0,76.5,76.5,40630.0
2007-04-03,76.0,76.0,73.5,73.5,34740.0
2007-04-04,75.0,76.0,75.0,76.0,39020.0
2007-04-05,76.0,76.0,76.0,76.0,30390.0
2007-04-06,73.5,75.0,73.5,75.0,17120.0
2007-04-09,75.0,77.0,75.0,77.0,20950.0
2007-04-10,77.0,77.0,75.5,75.5,22860.0
2007-04-11,74.5,75.5,74.5,75.5,9530.0
2007-04-12,75.5,75.5,73.5,73.5,15320.0
2007-04-13,70.0,70.5,70.0,70.5,26870.0
2007-04-16,67.0,67.0,67.0,67.0,31180.0
2007-04-17,64.0,64.0,64.0,64.0,12360.0
2007-04-18,62.0,67.0,62.0,67.0,33210.0
2007-04-19,70.0,70.0,67.0,67.0,62970.0
2007-04-20,67.0,67.0,64.0,64.0,9520.0
2007-04-23,64.0,64.0,62.5,62.5,19460.0
2007-04-24,60.0,62.0,60.0,62.0,13810.0
2007-04-25,62.0,64.0,62.0,64.0,31170.0
2007-05-02,65.0,65.0,64.0,64.0,16150.0
2007-05-03,64.0,64.0,63.0,64.0,15080.0
2007-05-04,62.5,63.0,62.5,63.0,16780.0
2007-05-07,63.0,66.0,64.0,66.0,16200.0
2007-05-08,69.0,69.0,69.0,69.0,43930.0
