date,open,high,low,close,volume
2017-08-02,43.8,45.0,43.65,45.0,9000
2017-08-01,44.0,44.0,43.6,43.6,10500
2017-07-31,42.5,43.5,42.5,43.5,1970
2017-07-28,42.55,42.55,42.4,42.4,2000
2017-07-27,43.0,43.0,42.5,42.7,2700
2017-07-26,43.0,43.0,43.0,43.0,2140
2017-07-25,42.0,43.5,42.0,43.0,3730
2017-07-24,43.85,43.85,41.5,42.2,14820
2017-07-21,40.5,43.0,40.0,41.0,4810
2017-07-20,40.9,41.0,39.5,41.0,5060
2017-07-19,41.0,41.0,40.5,40.5,3040
2017-07-18,41.0,41.0,40.0,41.0,10150
2017-07-17,41.0,41.0,41.0,41.0,5000
2017-07-14,40.6,41.0,40.6,41.0,790
2017-07-13,40.3,40.5,38.35,40.5,6090
2017-07-12,40.0,40.2,40.0,40.2,630
2017-07-11,39.65,39.9,39.6,39.9,1820
2017-07-10,39.6,40.1,39.6,39.6,710
2017-07-07,40.3,40.3,40.3,40.3,370
2017-07-06,39.7,39.9,39.7,39.9,770
2017-07-05,39.7,39.7,39.7,39.7,90
2017-07-04,40.5,40.5,39.9,39.9,110
2017-07-03,39.15,40.5,39.15,40.5,410
2017-06-30,39.9,39.9,39.9,39.9,3000
2017-06-29,39.85,39.9,39.85,39.9,5400
2017-06-28,39.5,39.5,39.5,39.5,30
2017-06-27,39.1,39.1,39.1,39.1,500
2017-06-26,38.95,39.1,38.95,39.1,6100
2017-06-22,39.85,39.85,39.85,39.85,200
2017-06-21,39.7,39.85,39.7,39.85,100
2017-06-20,39.8,39.8,39.1,39.1,2540
2017-06-19,38.85,39.85,38.85,39.8,5110
2017-06-16,39.7,39.9,39.0,39.85,5240
2017-06-15,39.7,39.7,39.7,39.7,1000
2017-06-14,39.6,39.6,38.65,38.65,1510
2017-06-13,39.5,39.6,39.5,39.5,13100
2017-06-12,39.0,39.5,39.0,39.5,7670
2017-06-09,38.15,39.0,38.15,38.95,190
2017-06-08,38.85,38.85,38.85,38.85,160
2017-06-07,39.2,39.2,39.2,39.2,400
2017-06-06,38.5,38.5,38.1,38.15,6310
2017-06-05,39.0,39.5,38.25,39.45,64600
2017-06-02,39.3,39.3,39.3,39.3,1030
2017-06-01,39.5,39.9,39.5,39.9,780
2017-05-31,39.9,39.9,39.9,39.9,1500
2017-05-30,39.5,39.9,39.5,39.8,7230
2017-05-29,38.3,39.5,38.3,39.5,2750
2017-05-26,39.1,39.2,38.25,38.25,680
2017-05-25,39.0,39.0,39.0,39.0,300
2017-05-24,39.0,39.0,39.0,39.0,270
2017-05-23,39.0,39.0,37.5,39.0,1450
2017-05-19,39.45,39.45,39.45,39.45,20
2017-05-18,39.5,39.5,39.5,39.5,140
2017-05-17,38.0,39.5,38.0,39.5,100
2017-05-16,39.0,39.2,37.9,39.2,4120
2017-05-15,39.0,39.5,39.0,39.0,11470
2017-05-11,39.0,39.0,39.0,39.0,20
2017-05-10,39.0,39.0,39.0,39.0,100
2017-05-09,39.0,39.0,39.0,39.0,80
2017-05-08,38.0,38.0,38.0,38.0,5000
2017-05-05,38.9,38.9,37.6,37.6,500
2017-05-04,38.9,38.9,38.0,38.7,3620
2017-05-03,38.9,38.9,38.6,38.6,1200
2017-04-27,38.8,39.0,38.8,39.0,1300
2017-04-26,38.05,38.1,38.05,38.1,160
2017-04-25,37.7,37.7,37.7,37.7,500
2017-04-24,38.5,38.5,38.0,38.0,7940
2017-04-21,37.6,37.6,37.6,37.6,180
2017-04-20,38.5,38.5,37.65,37.95,1310
2017-04-19,37.7,37.7,37.7,37.7,1040
2017-04-18,37.7,38.8,37.7,38.8,110
2017-04-17,37.65,38.95,37.65,38.95,2310
2017-04-14,37.5,40.0,37.5,40.0,20
2017-04-13,37.6,37.6,37.5,37.5,6230
2017-04-11,38.0,38.95,37.55,38.95,1620
2017-04-10,38.0,38.95,38.0,38.95,20
2017-04-03,37.9,37.9,37.9,37.9,200
2017-03-30,39.74,39.74,39.74,39.75,160
2017-03-29,38.39,38.49,38.39,38.48,1000
2017-03-28,37.9,38.39,37.9,38.39,4450
2017-03-27,38.29,38.39,38.29,38.39,3940
2017-03-24,38.29,38.29,37.9,37.9,4000
2017-03-22,40.96,40.96,38.29,38.29,60
2017-03-21,38.39,38.39,38.1,38.29,800
2017-03-20,38.09,38.38,37.51,38.39,2370
2017-03-17,38.19,38.19,38.19,38.19,2330
2017-03-16,37.91,38.2,37.91,38.19,570
2017-03-15,37.56,38.09,37.56,38.1,60
2017-03-14,36.54,38.88,36.54,38.87,70
2017-03-13,37.12,37.8,36.93,37.71,1930
2017-03-10,36.93,36.93,36.93,36.93,3000
2017-03-09,37.22,37.22,37.22,37.22,10
2017-03-06,37.9,37.9,37.9,37.9,2130
2017-03-03,38.39,38.39,36.93,38.19,1020
2017-03-02,38.38,38.38,38.38,38.39,10
2017-03-01,37.07,38.77,37.07,37.12,140
2017-02-28,36.54,40.52,36.54,39.84,2120
2017-02-24,36.54,37.9,36.54,37.9,4050
2017-02-21,37.9,37.9,37.9,37.9,10
2017-02-20,37.9,37.9,37.9,37.9,10
2017-02-17,36.63,36.63,36.63,36.64,13000
2017-02-16,36.44,36.44,36.44,36.44,20
2017-02-14,34.98,38.87,34.98,36.44,1060
2017-02-13,37.91,37.91,36.45,36.44,3800
2017-02-10,36.01,36.01,36.01,36.01,10
2017-02-08,37.22,37.22,37.22,37.22,310
2017-02-07,37.9,37.9,36.93,37.22,1250
2017-01-25,37.9,37.9,37.9,37.9,20
2017-01-24,37.42,38.29,37.42,38.29,110
2017-01-23,37.42,37.42,36.93,37.32,180
2017-01-19,36.93,36.93,36.93,36.93,180
2017-01-18,35.37,36.93,35.37,36.93,1010
2017-01-17,37.95,37.95,37.95,37.95,10
2017-01-16,35.47,35.47,35.47,35.47,100
2017-01-12,38.44,38.44,34.99,35.47,80
2017-01-10,34.5,35.95,34.5,35.96,20
2017-01-06,34.01,36.39,34.01,36.39,510
2017-01-05,34.99,34.99,34.02,34.01,220
