date,open,high,low,close,volume
2017-08-08,53.9,53.9,53.5,53.5,1800
2017-08-07,53.2,54.0,53.2,53.9,12200
2017-08-04,53.0,53.5,53.0,53.1,3770
2017-08-03,53.0,53.5,53.0,53.3,1730
2017-08-02,54.0,54.0,53.0,53.0,7660
2017-08-01,53.9,54.0,53.3,54.0,3910
2017-07-31,53.9,53.9,53.3,53.5,2790
2017-07-28,53.2,54.0,53.2,53.6,2050
2017-07-27,53.9,53.9,53.5,53.9,1890
2017-07-26,53.3,53.9,53.2,53.9,5490
2017-07-25,53.5,53.5,53.2,53.3,2090
2017-07-24,53.8,53.9,53.2,53.9,6450
2017-07-21,53.9,54.0,53.5,54.0,7350
2017-07-20,53.5,54.0,53.5,53.9,7560
2017-07-19,54.0,54.0,53.5,53.5,3380
2017-07-18,54.0,54.0,53.8,54.0,7710
2017-07-17,54.1,54.1,54.0,54.0,9640
2017-07-14,54.2,54.3,53.9,54.1,7810
2017-07-13,54.1,54.2,54.0,54.1,3990
2017-07-12,54.0,54.4,54.0,54.0,4900
2017-07-11,54.2,54.4,53.8,54.3,10330
2017-07-10,54.3,54.3,54.0,54.2,6470
2017-07-07,54.8,54.8,54.3,54.3,4480
2017-07-06,54.5,54.5,54.4,54.5,730
2017-07-05,54.5,54.9,54.1,54.5,9690
2017-07-04,55.0,55.1,54.4,54.8,14440
2017-07-03,55.0,55.0,54.9,55.0,5550
2017-06-30,55.0,55.1,55.0,55.1,3630
2017-06-29,54.3,55.6,54.3,55.6,7400
2017-06-28,54.0,54.5,54.0,54.2,4320
2017-06-27,53.9,54.2,53.8,54.0,11510
2017-06-26,54.1,54.5,53.9,53.9,7940
2017-06-23,54.5,54.8,54.0,54.0,21740
2017-06-22,55.0,55.0,54.9,55.0,11940
2017-06-21,55.0,55.4,54.8,55.4,6500
2017-06-20,55.5,55.5,54.8,55.0,14560
2017-06-19,55.0,55.5,54.8,55.0,14950
2017-06-16,55.6,55.6,54.5,55.6,24560
2017-06-15,55.2,55.8,55.2,55.5,6570
2017-06-14,55.9,55.9,55.8,55.8,1610
2017-06-13,56.0,56.0,55.2,55.9,5600
2017-06-12,56.0,56.1,55.8,56.0,13730
2017-06-09,56.1,56.1,55.7,56.0,1610
2017-06-08,56.2,56.2,55.6,56.1,12350
2017-06-07,56.8,56.8,56.0,56.7,8360
2017-06-06,56.9,56.9,56.0,56.7,1960
2017-06-05,55.7,57.0,55.6,56.8,6120
2017-06-02,55.7,55.7,55.3,55.3,6600
2017-06-01,55.1,55.3,55.1,55.3,6370
2017-05-31,55.1,55.4,55.1,55.3,4880
2017-05-30,55.4,55.6,55.1,55.1,6120
2017-05-29,55.1,55.2,55.0,55.1,14900
2017-05-26,55.3,55.5,55.1,55.1,6880
2017-05-25,55.2,55.4,55.0,55.3,6010
2017-05-24,55.1,55.4,55.1,55.2,21530
2017-05-23,55.2,55.5,55.1,55.1,5980
2017-05-22,55.2,55.3,55.2,55.2,9100
2017-05-19,55.8,55.8,55.0,55.2,17060
2017-05-18,55.1,55.9,55.1,55.8,11910
2017-05-17,55.9,56.2,55.7,56.0,1220
2017-05-16,55.8,56.0,55.5,55.9,10580
2017-05-15,56.0,56.0,55.5,56.0,4040
2017-05-12,56.1,57.0,55.2,56.0,25230
2017-05-11,57.7,57.7,56.0,56.0,42180
2017-05-10,57.9,57.9,57.2,57.7,15610
2017-05-09,58.0,58.0,56.8,57.5,17430
2017-05-08,59.0,59.0,56.5,57.0,29600
2017-05-05,60.0,60.0,59.2,59.2,8610
2017-05-04,59.9,60.4,59.5,59.6,1390
2017-05-03,60.0,60.1,59.4,59.5,8060
2017-04-28,60.0,60.0,59.9,60.0,1390
2017-04-27,59.6,60.0,59.5,60.0,4660
2017-04-26,59.9,59.9,59.5,59.6,1460
2017-04-25,59.5,59.9,59.5,59.9,1010
2017-04-24,59.8,59.8,59.5,59.5,1110
2017-04-21,59.7,60.0,59.6,59.8,2440
2017-04-20,59.7,59.7,59.6,59.7,5540
2017-04-19,60.0,60.0,59.3,59.7,4160
2017-04-18,59.5,60.0,59.5,60.0,1570
2017-04-17,60.1,60.1,59.9,59.9,1340
2017-04-14,60.4,60.4,58.0,58.0,17090
2017-04-13,60.4,60.5,60.2,60.2,3770
2017-04-12,60.5,60.5,60.3,60.5,5390
2017-04-11,60.4,60.5,60.4,60.5,3230
2017-04-10,60.6,60.7,60.3,60.5,660
2017-04-07,60.4,60.5,60.3,60.5,8380
2017-04-05,60.5,60.8,60.4,60.4,8980
2017-04-04,60.9,60.9,60.4,60.7,3910
2017-04-03,60.7,61.0,60.7,61.0,3980
2017-03-31,60.6,60.7,60.6,60.7,10960
2017-03-30,60.5,60.6,60.5,60.6,930
2017-03-29,61.0,61.0,60.5,60.5,11800
2017-03-28,60.9,60.9,60.5,60.5,3740
2017-03-27,60.7,61.0,60.5,60.7,15710
2017-03-24,60.7,60.7,60.3,60.6,9950
2017-03-23,60.6,60.8,60.6,60.7,4090
2017-03-22,60.5,60.8,60.5,60.5,3480
2017-03-21,60.8,60.8,60.5,60.5,11980
2017-03-20,61.0,61.0,60.6,60.8,910
2017-03-17,61.0,61.0,60.6,61.0,1690
2017-03-16,60.8,61.0,60.6,61.0,11770
2017-03-15,60.7,60.8,60.7,60.8,3520
2017-03-14,60.7,60.8,60.7,60.7,3030
2017-03-13,61.0,61.0,60.5,60.7,3180
2017-03-10,60.9,61.0,60.7,60.7,6420
2017-03-09,61.0,61.3,60.8,60.8,4310
2017-03-08,61.3,61.3,60.8,60.9,5700
2017-03-07,61.7,61.7,61.0,61.3,3660
2017-03-06,61.8,61.9,60.0,61.8,16040
2017-03-03,61.8,61.8,61.2,61.8,3470
2017-03-02,61.8,61.8,60.0,61.8,5460
2017-03-01,61.5,61.8,61.3,61.8,2930
2017-02-28,60.5,61.6,60.5,61.6,5070
2017-02-27,61.5,62.0,61.0,62.0,4730
2017-02-24,60.2,61.5,60.0,61.5,14920
2017-02-23,61.0,61.0,60.8,60.8,10480
2017-02-22,61.6,61.6,61.0,61.3,11900
2017-02-21,61.7,61.8,61.4,61.6,18640
2017-02-20,62.3,62.3,61.7,61.7,13420
2017-02-17,63.0,63.0,62.2,62.4,2840
2017-02-16,63.6,63.6,62.8,63.0,22080
2017-02-15,62.4,62.4,62.2,62.2,17910
2017-02-14,62.49,62.59,62.29,62.4,5270
2017-02-13,62.4,62.5,62.3,62.49,9190
2017-02-10,62.5,62.59,62.3,62.4,2610
2017-02-09,62.39,62.59,62.29,62.3,9230
2017-02-08,62.4,62.59,62.4,62.49,3650
2017-02-07,62.59,62.59,62.0,62.2,6640
2017-02-06,62.59,62.59,62.1,62.59,5650
2017-02-03,63.37,63.37,62.78,62.98,9080
2017-02-02,63.56,63.56,62.39,63.37,25540
2017-01-25,61.61,62.0,61.61,62.0,930
2017-01-24,61.22,61.61,61.12,61.32,1070
2017-01-23,61.81,62.0,60.73,61.22,1340
2017-01-20,61.61,61.81,61.61,61.61,5820
2017-01-19,61.61,61.81,61.61,61.61,7510
2017-01-18,61.81,61.91,61.61,61.61,6620
2017-01-17,62.0,62.2,61.51,61.81,2580
2017-01-16,62.59,62.59,61.42,62.1,3650
2017-01-13,61.81,62.59,61.81,62.59,8530
2017-01-12,61.12,61.81,61.12,61.81,5240
2017-01-11,60.15,61.32,60.15,61.22,8470
2017-01-10,60.15,60.15,60.05,60.15,3400
2017-01-09,60.15,60.25,60.05,60.15,2030
2017-01-06,60.05,60.44,59.95,60.15,7710
2017-01-05,60.35,60.44,59.95,59.95,1600
2017-01-04,60.05,60.15,59.95,60.15,5780
2017-01-03,60.44,60.44,59.95,60.05,3580
2016-12-30,59.95,60.54,59.85,60.44,3480
2016-12-29,60.15,60.44,59.76,59.95,7080
2016-12-28,60.15,60.54,59.66,60.44,6920
2016-12-27,61.32,61.32,60.15,60.15,7840
2016-12-26,62.29,62.29,61.32,61.32,8000
2016-12-23,61.12,62.2,61.12,61.61,5120
2016-12-22,61.62,62.11,61.62,61.61,19240
2016-12-21,62.0,62.19,61.54,61.91,11480
2016-12-20,62.37,62.46,62.0,62.0,10360
2016-12-19,62.74,62.92,62.37,62.37,8370
2016-12-16,63.29,63.38,62.46,62.46,5020
2016-12-15,63.39,63.39,62.46,63.29,7520
2016-12-14,61.07,63.75,60.61,63.39,41910
2016-12-13,60.89,61.91,60.8,61.07,6520
2016-12-12,61.07,61.63,60.61,60.89,29550
2016-12-09,61.07,61.16,60.79,61.07,14180
2016-12-08,61.07,61.53,60.79,61.07,12810
2016-12-07,60.43,63.48,60.43,61.07,47670
2016-12-06,59.31,59.59,59.22,59.5,2520
2016-12-05,60.24,60.24,59.5,59.59,7430
2016-12-02,60.33,60.33,59.96,60.15,6510
2016-12-01,59.86,60.61,59.68,60.33,5560
2016-11-30,60.14,60.14,59.87,60.05,1350
2016-11-29,59.68,59.96,59.22,59.68,3580
2016-11-28,59.96,60.06,59.69,60.05,3440
2016-11-25,59.5,59.97,59.5,59.5,5680
2016-11-24,59.87,60.15,59.78,59.78,2770
2016-11-23,59.5,60.05,59.5,59.87,6250
2016-11-22,60.05,60.05,59.49,59.59,9350
2016-11-21,59.87,60.24,59.87,60.05,5360
2016-11-18,59.96,60.61,59.87,59.87,7480
2016-11-17,59.87,59.87,59.68,59.68,3580
2016-11-16,59.68,59.87,59.59,59.87,1050
2016-11-15,59.69,59.78,59.32,59.68,2880
2016-11-14,59.69,59.97,59.69,59.78,8970
2016-11-11,59.59,59.96,59.59,59.78,3580
2016-11-10,58.76,59.78,58.3,59.59,7460
2016-11-09,59.96,60.05,58.29,58.76,7550
2016-11-08,59.59,60.15,59.5,60.05,2470
2016-11-07,59.68,59.78,59.22,59.5,4090
2016-11-04,59.68,59.68,59.12,59.59,4660
2016-11-03,59.87,59.87,59.5,59.68,6550
2016-11-02,60.15,60.15,59.87,59.87,5400
2016-11-01,60.15,60.24,60.15,60.15,8350
2016-10-31,60.24,60.52,59.68,60.15,9640
2016-10-28,60.15,60.24,60.15,60.24,3770
2016-10-27,59.96,60.24,59.96,60.24,2610
2016-10-26,60.61,60.61,59.96,60.15,2690
2016-10-25,59.96,59.96,59.87,59.96,3300
2016-10-24,60.15,60.8,59.96,59.96,1810
2016-10-21,60.61,60.61,60.14,60.15,8560
2016-10-20,61.17,61.17,60.98,61.07,9590
2016-10-19,61.53,61.53,61.07,61.17,4220
2016-10-18,61.08,61.45,60.89,61.07,12300
2016-10-17,60.61,61.07,59.87,60.15,17970
2016-10-14,60.61,60.98,59.87,59.87,20560
2016-10-13,60.61,60.61,59.68,60.61,4600
2016-10-12,60.52,60.61,60.15,60.61,7630
