date,open,high,low,close,volume
2009-06-11,24.17,36.53,21.49,34.38,373900
2009-06-12,29.87,29.87,29.87,29.87,4100
2009-06-15,31.91,31.91,31.91,31.91,7500
2009-06-16,34.11,34.11,29.71,29.76,213200
2009-06-17,28.42,28.74,28.42,28.42,87200
2009-06-18,26.59,26.86,26.43,26.43,48500
2009-06-19,24.71,27.93,24.6,24.66,116200
2009-06-22,23.32,25.04,23.32,23.31,23400
2009-06-23,21.97,21.97,21.97,21.97,2400
2009-06-24,20.47,22.78,20.47,20.73,98700
2009-06-25,20.94,21.37,19.17,19.18,42300
2009-06-26,18.37,19.88,18.32,18.32,60800
2009-06-29,17.46,17.46,17.14,17.14,38200
2009-06-30,16.23,16.23,16.01,16.01,28600
2009-07-01,14.99,14.99,14.99,14.99,400
2009-07-02,13.97,15.58,13.97,14.88,63900
2009-07-03,13.38,15.31,13.38,15.31,68700
2009-07-06,15.42,15.42,15.42,15.42,9500
2009-07-07,16.49,16.49,16.49,16.49,200
2009-07-08,17.62,17.62,17.62,17.62,21800
2009-07-09,18.8,18.8,17.67,18.8,83600
2009-07-10,20.09,20.09,17.73,17.99,87000
2009-07-13,19.33,19.33,17.18,17.19,14900
2009-07-14,18.26,18.26,16.87,17.46,34100
2009-07-15,18.21,18.37,17.73,18.37,18300
2009-07-16,19.39,19.39,18.53,18.91,31100
2009-07-17,19.61,19.61,18.16,18.16,7400
2009-07-20,17.3,17.3,17.19,17.19,600
2009-07-21,16.76,17.4,16.17,16.92,25900
2009-07-22,17.73,17.73,16.97,17.19,6700
2009-07-23,16.65,17.94,16.06,17.83,19300
2009-07-24,17.99,18.21,17.99,18.21,20600
2009-07-27,19.39,19.39,18.75,19.39,73600
2009-07-28,20.46,20.52,18.8,19.61,30800
2009-07-29,20.47,20.47,18.91,19.34,58700
2009-07-30,19.23,20.41,18.8,20.41,60400
2009-07-31,20.73,20.89,20.41,20.9,77700
2009-08-03,21.76,22.03,20.85,21.49,48100
2009-08-04,22.56,22.56,20.95,21.43,36900
2009-08-05,21.48,22.34,21.22,22.24,52100
2009-08-06,22.56,23.48,21.97,22.56,38500
2009-08-07,22.56,23.1,22.24,22.24,23900
2009-08-10,22.62,23.05,22.56,22.72,23200
2009-08-11,22.29,22.56,21.54,22.02,20500
2009-08-12,22.02,22.23,21.21,21.22,17200
2009-08-13,22.03,22.03,20.41,20.47,35700
2009-08-14,21.22,22.24,20.42,22.24,70200
2009-08-17,22.56,22.67,21.49,21.49,20800
2009-08-18,22.03,22.24,21.6,21.92,48600
2009-08-19,22.03,22.56,20.95,21.7,65400
2009-08-20,20.95,21.32,20.73,20.95,30200
2009-08-21,20.74,21.43,20.57,20.95,26800
2009-08-24,20.95,20.95,20.41,20.47,11100
2009-08-25,20.42,20.47,20.15,20.2,24100
2009-08-26,20.95,21.76,20.95,21.22,59400
2009-08-27,21.49,21.49,21.33,21.43,4900
2009-08-28,21.48,21.7,21.43,21.54,53900
2009-08-31,21.54,22.02,21.27,22.02,50700
2009-09-01,21.81,22.56,21.27,22.4,73800
2009-09-03,21.76,22.29,21.76,21.92,36500
2009-09-04,22.03,22.03,21.06,21.49,23100
2009-09-07,20.42,20.95,20.42,20.57,6500
2009-09-08,20.95,21.21,20.95,21.06,16100
2009-09-09,21.22,21.22,20.95,21.06,19200
2009-09-10,21.11,22.3,21.06,21.81,47300
2009-09-11,22.02,22.24,21.22,21.7,21100
2009-09-14,22.02,22.02,21.22,21.75,29300
2009-09-15,21.59,21.59,21.21,21.43,18700
2009-09-16,21.32,21.7,21.27,21.7,48900
2009-09-17,21.91,22.83,21.81,22.83,50000
2009-09-18,24.17,24.23,23.37,24.23,76900
2009-09-21,25.52,25.73,25.52,25.73,82200
2009-09-22,25.78,27.07,24.71,25.51,38000
2009-09-23,25.78,25.78,24.22,24.39,86700
2009-09-24,24.55,26.06,24.55,26.0,45900
2009-09-25,25.79,26.32,25.68,26.11,55600
2009-09-28,26.86,27.18,26.11,26.27,43200
2009-09-29,26.48,26.48,25.25,25.25,19600
2009-09-30,25.09,25.84,24.44,24.87,21500
2009-10-01,24.98,24.98,23.26,23.26,42600
2009-10-02,22.56,22.56,22.02,22.56,34000
2009-10-05,23.63,23.69,23.63,23.69,37500
2009-10-06,24.17,25.3,24.17,25.3,43500
2009-10-07,26.11,26.11,24.71,24.82,26900
2009-10-08,24.71,24.98,23.32,24.49,10700
2009-10-09,24.97,25.78,24.49,25.19,55600
2009-10-12,25.73,25.73,25.14,25.46,49200
2009-10-13,26.35,26.35,24.74,24.74,15000
2009-10-14,25.3,26.41,25.3,26.35,32600
2009-10-15,26.68,27.24,26.68,27.24,93900
2009-10-16,27.24,27.24,26.68,26.68,36100
2009-10-19,26.96,27.07,26.68,27.07,49000
2009-10-20,27.51,27.79,26.96,26.96,99100
2009-10-21,26.24,27.24,26.24,27.24,14300
2009-10-22,26.8,27.24,26.68,27.02,65500
2009-10-23,25.63,26.96,25.63,26.02,33600
2009-10-26,25.13,26.35,25.07,25.07,14600
2009-10-27,24.35,24.51,23.9,24.46,11200
2009-10-28,24.29,24.74,23.68,24.01,11200
2009-10-29,25.29,25.51,24.45,25.24,28900
2009-10-30,26.8,26.8,25.96,26.63,9200
2009-11-02,24.85,25.85,24.68,24.85,31300
2009-11-03,23.9,23.96,23.4,23.4,21300
2009-11-04,22.12,24.4,22.07,22.07,58300
2009-11-05,23.35,23.35,21.46,23.35,11300
2009-11-06,24.35,24.35,22.46,22.46,15500
2009-11-09,24.24,24.24,21.46,21.9,40400
2009-11-10,21.79,21.84,20.34,20.62,32000
2009-11-11,21.84,21.84,20.56,21.62,4500
2009-11-12,22.12,22.56,21.68,22.12,22000
2009-11-13,22.12,22.23,21.18,22.24,15900
2009-11-16,22.8,23.63,22.68,23.63,65200
2009-11-17,23.63,24.35,22.24,22.24,5200
2009-11-18,22.3,23.46,22.18,22.18,19100
2009-11-19,22.74,22.9,22.24,22.29,33800
2009-11-20,22.46,22.46,21.12,21.12,27400
2009-11-23,22.23,22.23,20.45,20.57,20800
2009-11-24,20.01,20.01,19.35,19.57,18400
2009-11-25,20.01,20.01,18.12,18.12,25700
2009-11-26,17.06,18.06,16.95,16.95,22800
2009-11-27,15.89,17.34,15.89,16.23,39300
2009-11-30,17.34,17.62,17.34,17.62,22300
2009-12-01,18.51,18.56,18.06,18.12,9700
2009-12-02,18.34,19.4,17.51,17.57,8100
2009-12-03,18.29,18.29,17.07,17.23,6200
2009-12-04,18.23,18.23,16.67,17.23,146800
2009-12-07,17.51,17.51,16.67,16.68,6800
2009-12-08,17.35,17.35,16.24,16.23,7600
2009-12-09,15.4,15.51,15.17,15.51,52800
2009-12-10,15.29,15.84,14.12,14.18,173300
2009-12-11,15.18,15.18,13.29,13.34,125900
2009-12-14,14.23,14.28,14.23,14.29,9400
2009-12-15,15.24,15.24,15.12,15.23,37800
2009-12-16,15.73,15.73,14.17,14.45,166300
2009-12-17,14.23,14.23,13.56,13.79,52600
2009-12-18,14.29,14.51,14.29,14.51,64000
2009-12-21,15.4,15.46,15.29,15.45,14200
2009-12-22,15.39,15.56,15.01,15.01,140900
2009-12-23,14.57,15.4,14.57,15.29,10000
2009-12-24,14.79,15.96,14.46,15.84,24300
2009-12-25,16.12,16.28,16.12,16.29,58800
2009-12-28,16.29,17.18,16.01,16.12,48500
2009-12-29,15.68,15.68,15.06,15.06,57500
2009-12-30,14.84,15.89,14.78,15.18,29100
2009-12-31,15.68,16.29,15.68,16.29,98900
2010-01-04,17.4,17.4,17.4,17.4,3200
2010-01-05,18.57,18.57,18.57,18.57,8000
2010-01-06,19.85,19.85,19.85,19.85,8600
2010-01-07,21.18,21.18,20.29,21.18,162900
2010-01-08,22.51,22.63,21.12,22.51,125500
2010-01-11,22.79,22.79,21.68,21.68,57600
2010-01-12,22.79,22.79,20.68,20.9,13600
2010-01-13,22.23,22.23,19.73,20.85,89100
2010-01-14,21.24,21.52,20.57,21.29,69100
2010-01-15,21.29,21.4,19.84,21.12,28500
2010-01-18,20.29,21.62,18.9,21.62,29600
2010-01-19,21.06,21.06,19.9,21.07,45900
2010-01-20,22.13,22.13,21.13,21.57,50300
2010-01-21,23.07,23.29,21.13,21.4,62300
2010-01-22,21.4,22.51,21.12,21.74,50000
2010-01-25,20.91,22.24,20.85,21.79,55700
2010-01-26,22.23,23.07,21.85,22.68,67000
2010-01-27,23.35,23.57,21.23,22.24,45600
2010-01-28,21.18,22.57,21.13,22.57,64200
2010-01-29,22.51,22.51,21.68,22.18,13100
2010-02-01,23.24,23.24,21.85,21.85,11900
2010-02-02,22.13,22.13,21.13,21.68,53300
2010-02-03,21.57,21.79,21.4,21.4,15700
2010-02-04,21.9,22.23,21.68,21.68,40300
2010-02-05,22.18,22.24,21.12,21.9,23400
2010-02-08,20.57,21.79,20.57,21.62,26700
2010-02-09,21.51,22.01,21.29,21.68,30300
2010-02-10,22.24,22.96,22.18,22.96,48000
2010-02-11,22.9,23.85,22.9,23.51,32600
2010-02-12,23.51,24.18,23.4,23.9,17700
2010-02-22,25.01,25.01,23.46,24.18,4400
2010-02-23,23.9,23.9,23.07,23.74,10700
2010-02-24,22.91,24.18,22.91,24.13,9400
2010-02-25,23.8,23.96,23.8,23.79,22600
2010-02-26,23.51,23.9,23.51,23.9,10600
2010-03-01,25.01,25.35,23.9,25.35,44200
2010-03-02,26.52,26.52,26.52,26.52,33800
2010-03-03,28.35,28.35,28.35,28.35,15800
2010-03-04,30.3,30.3,30.3,30.3,11700
2010-03-05,32.41,32.41,28.19,29.18,432600
2010-03-08,29.18,30.96,28.85,28.85,146800
2010-03-09,27.29,29.57,27.24,29.46,93200
2010-03-10,29.46,30.63,28.63,30.63,106700
2010-03-11,30.19,30.57,28.68,29.46,40800
2010-03-12,29.68,29.68,28.07,28.91,85800
2010-03-15,28.58,28.58,27.02,27.02,61500
2010-03-16,26.69,27.3,25.41,25.4,113000
2010-03-17,25.62,26.68,25.29,26.24,71900
2010-03-18,25.96,26.91,25.57,26.68,40900
2010-03-19,26.79,26.96,26.29,26.57,19400
2010-03-22,26.68,26.96,24.68,25.46,42900
2010-03-23,25.13,25.13,24.18,24.74,22700
2010-03-24,25.57,25.57,24.63,25.24,17800
2010-03-25,23.46,24.18,23.35,23.79,43700
2010-03-26,24.01,24.46,23.35,24.13,45800
2010-03-29,24.46,25.52,23.91,25.52,86800
2010-03-30,25.63,25.91,25.35,25.4,41300
2010-03-31,25.51,25.57,24.29,24.35,17000
2010-04-01,23.68,24.63,23.52,24.46,24300
2010-04-02,24.63,25.02,24.46,25.02,34300
2010-04-05,25.02,25.52,24.69,24.96,38900
2010-04-06,25.29,25.29,23.85,24.13,20400
2010-04-07,24.19,24.96,24.19,24.46,35500
2010-04-08,24.18,25.85,24.18,25.74,102600
2010-04-09,26.69,27.02,26.69,27.02,137800
2010-04-12,27.3,28.35,27.02,27.46,114900
2010-04-13,27.79,27.79,26.13,26.63,100200
2010-04-14,26.13,28.08,26.13,27.74,165300
2010-04-15,28.63,29.13,28.63,29.13,204600
2010-04-16,31.13,31.13,29.19,29.41,95100
2010-04-19,28.69,28.91,28.02,28.07,47700
2010-04-20,28.9,28.9,27.85,28.41,88300
2010-04-21,28.35,29.47,28.35,29.18,123400
2010-04-22,29.46,30.79,29.18,30.52,157900
2010-04-26,29.91,29.91,27.74,28.3,199500
2010-04-27,28.91,29.3,28.02,29.24,80500
2010-04-28,29.74,30.52,28.91,30.52,210100
2010-04-29,30.69,32.08,30.02,31.41,156500
2010-05-04,30.58,31.52,29.74,30.85,122900
2010-05-05,30.68,31.68,30.02,31.41,85000
2010-05-06,31.41,32.3,31.19,32.24,98500
2010-05-07,31.96,32.24,30.57,31.8,133900
2010-05-10,31.41,31.41,30.13,30.13,55100
2010-05-11,31.52,32.46,31.52,32.46,151200
2010-05-12,34.52,34.52,32.24,34.47,245400
2010-05-13,33.08,34.19,31.91,33.35,100000
2010-05-14,33.18,34.46,32.24,33.63,30100
2010-05-17,34.19,34.19,30.96,30.96,102400
2010-05-18,30.18,32.24,30.13,30.13,120200
2010-05-19,31.69,31.96,28.46,30.3,109800
2010-05-20,29.47,31.13,29.47,30.85,33300
2010-05-21,30.74,30.74,28.68,28.68,17200
2010-05-24,30.51,30.51,28.62,28.63,8400
2010-05-25,28.35,28.35,28.19,28.18,14800
2010-05-26,28.24,30.18,28.24,28.63,108400
2010-05-27,30.24,30.24,28.91,29.74,5800
2010-05-28,31.07,31.63,31.02,31.35,82600
2010-05-31,31.68,31.68,29.35,29.74,48200
2010-06-01,30.52,32.63,30.52,32.63,183000
2010-06-02,32.3,34.52,32.3,34.52,58000
2010-06-03,36.58,36.63,36.58,36.63,2100
2010-06-04,39.19,39.19,34.07,36.63,81400
2010-06-07,35.02,35.02,32.52,32.52,26200
2010-06-08,31.69,34.47,30.57,32.8,154900
2010-06-09,33.36,34.25,32.24,33.08,39000
2010-06-10,30.91,33.19,30.91,33.19,60200
2010-06-11,34.36,34.36,32.8,32.85,40400
2010-06-14,31.85,31.85,31.4,31.41,46800
2010-06-15,32.19,32.19,29.3,30.19,130600
2010-06-16,31.14,32.08,28.08,29.46,49300
2010-06-17,29.74,31.13,29.74,30.57,49600
2010-06-18,30.01,31.01,30.01,30.02,8200
2010-06-21,30.85,30.85,29.46,29.68,33200
2010-06-22,29.79,29.79,28.35,28.91,37700
2010-06-23,28.63,29.47,28.47,28.74,74900
2010-06-24,28.91,28.96,28.35,28.91,91800
2010-06-25,29.19,29.19,28.74,28.74,42400
2010-06-28,28.85,28.85,28.35,28.41,49200
2010-06-29,28.35,28.91,28.08,28.85,127800
2010-06-30,28.07,28.46,26.96,28.18,27300
2010-07-01,28.35,28.35,27.51,27.79,35100
2010-07-02,28.35,28.35,27.62,27.79,22200
2010-07-05,28.07,28.07,27.68,27.91,27500
2010-07-06,28.13,28.13,26.69,26.91,38300
2010-07-07,28.3,28.3,25.69,26.46,19500
2010-07-08,28.07,28.46,26.63,26.63,19000
2010-07-09,26.96,27.13,26.69,26.96,12800
2010-07-12,28.24,28.24,26.4,26.91,12500
2010-07-13,27.47,27.8,26.74,27.79,80500
2010-07-14,29.12,29.24,27.4,27.79,47700
2010-07-15,27.79,27.79,27.23,27.24,23700
2010-07-16,27.24,28.85,27.24,27.52,14800
2010-07-19,27.46,27.52,26.96,27.46,38800
2010-07-20,27.24,27.79,26.46,27.18,46200
2010-07-21,27.24,27.24,26.85,26.91,39800
2010-07-22,26.97,27.02,26.41,26.46,22700
2010-07-23,28.07,28.07,26.96,27.35,47200
2010-07-26,27.13,27.52,25.57,25.63,112600
2010-07-27,26.35,26.35,25.02,25.02,36600
2010-07-28,24.02,25.3,24.02,24.01,48200
2010-07-29,22.34,23.07,22.34,23.07,87500
2010-07-30,22.51,22.51,21.46,22.12,47000
2010-08-02,22.73,22.73,21.06,21.12,38800
2010-08-03,20.95,20.95,19.95,20.01,81100
2010-08-04,19.51,20.29,19.23,20.01,50100
2010-08-05,20.29,20.95,20.23,20.96,25800
2010-08-06,22.13,22.13,21.68,22.12,143100
2010-08-09,22.01,22.06,20.56,20.57,93500
2010-08-10,19.46,19.46,19.35,19.4,97300
2010-08-11,20.01,20.01,18.46,19.73,17300
2010-08-12,18.62,18.62,18.06,18.07,29400
2010-08-13,16.85,18.07,16.85,17.79,48100
2010-08-16,17.9,18.35,17.79,18.34,48100
2010-08-17,18.06,18.34,17.23,17.96,31200
2010-08-18,18.35,18.35,16.9,17.51,28000
2010-08-19,16.68,17.4,16.18,16.73,25500
2010-08-20,16.73,17.23,16.4,16.62,28900
2010-08-23,16.45,16.68,16.12,16.18,12900
2010-08-24,15.57,15.57,15.18,15.18,45000
2010-08-25,14.35,14.35,14.12,14.12,15500
2010-08-26,13.23,14.4,13.17,13.45,74200
2010-08-27,12.89,13.56,12.39,13.06,42200
2010-08-30,13.39,13.45,13.39,13.45,17800
2010-08-31,13.89,14.34,13.89,14.34,84600
2010-09-01,14.56,15.23,14.56,15.23,68400
2010-09-06,15.95,16.23,15.56,16.23,118900
2010-09-07,16.95,17.34,16.23,17.34,144200
2010-09-08,17.51,17.51,16.01,16.62,106100
2010-09-09,16.79,17.51,16.68,17.4,87700
2010-09-10,18.12,18.12,16.18,16.4,59100
2010-09-13,16.12,16.12,15.79,15.79,95900
2010-09-14,15.85,16.62,15.79,16.07,34400
2010-09-15,16.4,16.4,15.85,15.9,18700
2010-09-16,16.4,16.4,16.12,16.18,20100
2010-09-17,16.68,17.35,16.35,17.34,79200
