date,open,high,low,close,volume
2017-07-27,14.3,14.3,14.3,14.3,300
2017-04-03,13.0,13.0,13.0,13.0,100
2017-03-07,14.5,14.5,14.0,14.0,200
2017-03-06,13.7,13.7,13.7,13.7,2000
2017-03-03,13.43,13.43,13.43,13.43,1400
2017-02-28,13.06,13.06,13.06,13.06,4200
2017-02-16,11.88,11.88,11.88,11.87,300
2017-02-08,11.51,11.51,11.51,11.51,100
2017-02-07,12.7,12.7,12.7,12.7,500
2016-12-28,11.6,11.6,11.6,11.6,100
2016-11-30,11.51,11.51,11.51,11.51,700
2016-11-25,11.6,11.6,11.6,11.6,100
2016-11-21,11.5,11.5,11.5,11.51,2100
2016-11-18,12.61,12.61,12.61,12.6,100
2016-11-16,11.51,11.51,11.51,11.51,300
2016-10-19,12.33,12.33,12.33,12.33,100
2016-09-27,13.7,13.7,13.7,13.7,2800
2016-09-26,13.7,13.7,13.7,13.7,200
2016-09-14,13.7,13.7,13.7,13.7,200
2016-08-29,13.7,13.7,13.7,13.7,100
2016-08-23,13.7,13.7,13.7,13.7,200
2016-08-17,13.7,13.7,13.7,13.7,300
2016-08-16,13.7,13.7,13.7,13.7,300
2016-08-12,13.7,13.7,13.7,13.7,200
2016-08-04,13.7,13.7,13.7,13.7,100
2016-07-29,13.7,13.7,13.7,13.7,1000
2016-07-28,13.7,13.7,13.7,13.7,300
2016-07-21,13.7,13.7,13.7,13.7,100
2016-07-15,13.7,13.7,13.7,13.7,200
2016-07-06,13.7,13.7,13.7,13.7,300
2016-07-05,13.7,13.7,13.7,13.7,500
2016-07-04,13.7,13.7,13.7,13.7,2000
2016-06-23,13.7,13.88,13.7,13.88,500
2016-06-03,13.7,13.79,13.7,13.79,700
2016-05-16,12.88,12.88,12.88,12.88,200
2016-03-21,11.78,11.78,11.78,11.78,100
2016-03-16,10.77,10.77,10.77,10.78,100
2016-03-03,13.37,13.37,11.96,11.96,34200
2016-02-24,12.21,12.21,12.21,12.21,100
2016-02-23,12.21,12.21,12.21,12.21,1100
2015-12-30,11.14,11.14,11.14,11.14,100
2015-11-11,12.05,12.05,12.05,12.05,5000
2015-11-02,12.05,12.05,12.05,12.05,200
2015-10-27,12.05,12.05,12.05,12.05,300
2015-10-07,14.03,14.03,13.12,13.12,3000
2015-10-06,12.79,12.79,12.79,12.79,100
2015-09-24,12.79,12.79,12.79,12.79,100
2015-09-23,12.13,12.13,12.13,12.13,100
2015-09-11,11.06,11.06,11.06,11.06,3900
2015-09-08,11.63,12.04,11.63,12.05,200
2015-09-01,10.97,10.97,10.97,10.97,100
2015-08-31,12.13,12.13,12.13,12.13,200
2015-08-28,11.05,11.05,11.05,11.06,7700
2015-07-21,11.55,11.96,11.3,11.55,25900
2015-07-17,11.3,11.3,11.3,11.3,100
2015-07-09,12.54,12.54,12.54,12.54,300
2015-07-08,11.47,11.47,11.47,11.47,100
2015-07-07,12.71,12.71,12.71,12.71,400
2015-07-06,12.7,12.7,12.7,12.71,1000
2015-07-03,11.55,11.55,11.55,11.55,100
2015-07-02,12.79,12.79,12.79,12.79,7400
2015-07-01,12.79,12.95,12.79,12.79,125300
2015-06-30,13.86,13.86,12.37,12.95,500
2015-06-29,12.62,12.62,12.62,12.62,100
2015-06-26,13.95,13.95,13.95,13.94,100
2015-06-25,11.88,13.37,11.88,13.04,500
2015-06-24,13.2,13.2,12.79,13.2,45400
2015-06-22,12.46,14.28,12.46,13.94,400
2015-06-19,12.62,13.78,12.62,13.78,500
2015-06-17,13.86,13.86,13.86,13.86,100
2015-06-11,14.11,15.34,14.11,15.35,600
2015-06-09,14.11,15.6,14.11,15.59,1100
2015-05-28,14.77,15.68,14.77,15.68,400
2015-05-20,14.11,14.77,14.11,14.77,300
2015-04-07,15.68,15.68,15.68,15.68,200
2015-03-30,15.67,15.67,15.67,15.68,300
2015-03-27,15.6,15.6,15.6,15.59,200
