date,open,high,low,close,volume
2012-11-29,9.6,9.6,9.6,9.6,30.0
2012-11-30,9.2,9.2,9.2,9.2,40.0
2012-12-03,8.8,8.8,8.8,8.8,90.0
2012-12-04,8.4,8.4,8.4,8.4,430.0
2012-12-05,8.0,8.0,8.0,8.0,260.0
2012-12-06,7.6,7.6,7.6,7.6,120.0
2012-12-07,7.3,7.3,7.3,7.3,300.0
2012-12-10,7.0,7.0,7.0,7.0,220.0
2012-12-11,6.7,6.7,6.7,6.7,3560.0
2012-12-12,6.4,6.4,6.4,6.4,9500.0
2012-12-13,6.1,6.1,6.1,6.1,33970.0
2012-12-14,5.8,6.4,5.8,6.4,66580.0
2012-12-17,6.4,6.5,6.1,6.1,18100.0
2012-12-18,6.1,6.3,6.1,6.3,3350.0
2012-12-19,6.1,6.3,6.0,6.3,40360.0
2012-12-20,6.0,6.1,6.0,6.0,14120.0
2012-12-21,6.0,6.0,5.8,6.0,4400.0
2012-12-24,6.0,6.0,5.8,5.8,6560.0
2012-12-25,5.8,6.0,5.8,5.9,28650.0
2012-12-26,5.9,6.0,5.9,5.9,7510.0
2012-12-27,5.9,6.0,5.8,6.0,21320.0
2012-12-28,6.0,6.1,5.8,5.9,18450.0
2013-01-02,5.9,6.1,5.9,6.1,9020.0
2013-01-03,6.3,6.3,6.1,6.1,11230.0
2013-01-04,6.0,6.2,6.0,6.1,11400.0
2013-01-07,6.1,6.1,6.0,6.0,1900.0
2013-01-08,6.0,6.0,5.8,5.8,14710.0
2013-01-09,5.8,6.0,5.8,5.9,14530.0
2013-01-10,5.9,5.9,5.9,5.9,1100.0
2013-01-11,5.9,5.9,5.9,5.9,2930.0
2013-01-14,5.9,6.0,5.9,6.0,2980.0
2013-01-15,5.9,6.1,5.9,6.1,2110.0
2013-01-16,6.0,6.2,6.0,6.2,5640.0
2013-01-17,5.8,5.9,5.8,5.9,6520.0
2013-01-18,5.9,5.9,5.8,5.8,6090.0
2013-01-21,5.9,5.9,5.8,5.8,2420.0
2013-01-22,5.8,5.8,5.8,5.8,3210.0
2013-01-23,5.8,5.9,5.8,5.9,2610.0
2013-01-24,6.0,6.1,6.0,6.1,9600.0
2013-01-25,6.2,6.3,6.2,6.2,12010.0
2013-01-28,6.3,6.4,6.2,6.4,650.0
2013-01-29,6.4,6.4,6.1,6.3,8220.0
2013-01-30,6.5,6.5,6.1,6.1,1240.0
2013-01-31,6.1,6.1,6.1,6.1,1020.0
