date,open,high,low,close,volume
2013-07-26,11.1,12.6,11.0,12.4,1223000.0
2013-07-29,12.5,13.2,11.1,12.9,846600.0
2013-07-30,12.9,13.9,12.8,13.4,1243300.0
2013-07-31,13.4,14.1,12.2,13.1,1590100.0
2013-08-01,13.1,13.3,12.3,12.6,665900.0
2013-08-02,12.5,13.2,11.5,13.1,555000.0
2013-08-05,13.0,13.1,11.9,12.7,666200.0
2013-08-06,12.8,12.9,12.5,12.7,697900.0
2013-08-07,12.9,13.9,12.8,13.9,906200.0
2013-08-08,13.9,14.5,13.6,14.1,1285500.0
2013-08-09,14.4,15.1,14.0,14.2,1208700.0
2013-08-12,14.2,14.4,13.8,14.4,1225800.0
2013-08-13,14.5,15.3,14.5,15.0,1451900.0
2013-08-14,15.0,15.6,14.6,15.6,1474200.0
2013-08-15,16.0,16.5,15.5,15.9,1436700.0
2013-08-16,15.8,16.4,15.5,16.1,1018500.0
2013-08-19,16.3,17.3,16.1,17.1,1743300.0
2013-08-20,17.3,17.5,15.9,16.1,1277000.0
2013-08-21,15.9,16.2,15.5,16.2,837700.0
2013-08-22,16.2,16.2,15.7,15.9,731600.0
2013-08-23,15.8,16.1,15.3,15.5,641300.0
2013-08-26,15.4,16.0,15.3,16.0,647200.0
2013-08-27,16.0,16.0,15.7,15.7,464600.0
2013-08-28,15.7,15.7,15.0,15.4,624600.0
2013-08-29,15.4,15.6,15.0,15.4,690000.0
2013-08-30,15.4,15.4,15.1,15.4,418100.0
2013-09-03,15.4,15.5,15.2,15.4,449300.0
2013-09-04,15.4,15.7,15.3,15.7,604700.0
2013-09-05,15.8,16.2,15.8,16.0,817200.0
2013-09-06,16.0,16.1,15.7,15.7,779300.0
2013-09-09,15.6,15.7,15.3,15.4,511000.0
2013-09-10,15.4,15.6,15.4,15.6,416900.0
2013-09-11,15.5,15.7,15.4,15.4,518600.0
2013-09-12,15.3,15.6,15.3,15.5,401800.0
2013-09-13,15.5,15.8,15.3,15.4,403400.0
2013-09-16,15.4,15.7,15.3,15.4,555800.0
2013-09-17,15.4,16.0,15.3,15.9,707200.0
2013-09-18,15.9,16.0,15.7,15.8,649200.0
2013-09-19,15.1,15.4,15.1,15.4,758300.0
2013-09-20,15.3,15.7,15.1,15.7,850100.0
2013-09-23,15.7,16.3,15.7,16.0,1299100.0
2013-09-24,16.2,17.6,16.1,17.6,1865400.0
2013-09-25,17.9,17.9,16.6,16.7,1322900.0
2013-09-26,16.6,16.7,15.7,15.8,1411600.0
2013-09-27,15.4,16.0,15.3,15.8,1064700.0
2013-09-30,15.6,15.8,15.2,15.6,1293900.0
2013-10-01,15.2,15.6,15.1,15.3,904600.0
2013-10-02,15.3,16.0,15.3,15.9,1011200.0
2013-10-03,16.0,16.1,15.5,15.7,771300.0
2013-10-04,15.5,15.9,15.2,15.9,864100.0
2013-10-07,16.0,16.3,15.9,16.3,913400.0
2013-10-08,16.4,16.9,16.2,16.7,790100.0
2013-10-09,16.5,16.8,16.1,16.7,744800.0
2013-10-10,16.6,16.8,16.2,16.4,629000.0
2013-10-11,16.4,16.6,16.2,16.4,695500.0
2013-10-14,16.6,17.1,16.6,17.1,750400.0
2013-10-15,17.2,17.9,17.1,17.9,787500.0
2013-10-16,18.0,18.7,18.0,18.6,765100.0
2013-10-17,18.6,18.7,18.1,18.2,711400.0
2013-10-18,18.2,18.9,18.1,18.7,680100.0
2013-10-21,18.7,19.3,18.7,19.2,858200.0
2013-10-22,19.0,20.0,18.9,20.0,795300.0
2013-10-23,19.9,20.1,19.6,19.8,799400.0
2013-10-24,19.9,20.8,19.4,19.4,1564700.0
2013-10-25,19.4,19.5,18.5,18.5,765800.0
2013-10-28,18.3,18.3,16.9,17.2,1174300.0
2013-10-29,17.1,17.3,16.7,16.9,896700.0
2013-10-30,16.7,17.3,16.7,16.9,774800.0
2013-10-31,16.7,16.9,15.7,15.7,1339500.0
2013-11-01,15.6,15.8,15.4,15.8,666500.0
2013-11-04,15.7,15.8,15.4,15.6,1116600.0
2013-11-05,15.6,16.3,15.6,16.0,2379600.0
2013-11-06,15.8,16.0,15.7,15.9,1117700.0
2013-11-07,16.0,16.0,15.4,15.5,1309400.0
2013-11-08,15.3,15.4,14.2,14.3,1778500.0
2013-11-11,14.3,14.6,14.2,14.5,814100.0
2013-11-12,14.5,14.5,13.8,13.8,826500.0
2013-11-13,13.8,13.8,13.5,13.7,972300.0
2013-11-14,13.7,14.2,13.7,14.1,1322800.0
2013-11-15,14.1,14.4,14.0,14.4,996900.0
2013-11-18,14.5,15.3,14.4,14.8,1488200.0
2013-11-19,14.8,14.8,14.3,14.6,1052300.0
2013-11-20,14.4,14.5,14.1,14.4,776400.0
2013-11-21,14.4,14.8,14.2,14.2,1367000.0
2013-11-22,14.2,14.3,13.9,14.0,854700.0
2013-11-25,14.0,14.3,13.8,14.0,713900.0
2013-11-26,14.0,14.1,13.8,14.1,804600.0
2013-11-27,14.0,14.6,14.0,14.4,1460500.0
2013-11-28,14.2,14.6,14.2,14.6,1131100.0
2013-11-29,14.6,14.8,14.2,14.2,1377900.0
2013-12-02,14.2,14.3,14.0,14.2,519600.0
2013-12-03,14.2,14.5,14.2,14.5,967000.0
2013-12-04,14.4,14.6,14.3,14.4,757800.0
2013-12-05,14.4,14.5,14.2,14.4,659400.0
2013-12-06,14.3,14.7,14.3,14.7,1063400.0
2013-12-09,14.7,15.0,14.7,14.8,687600.0
2013-12-10,14.8,14.9,14.6,14.7,595200.0
2013-12-11,14.7,14.7,14.4,14.5,900600.0
2013-12-12,14.3,14.8,14.3,14.8,956900.0
2013-12-13,14.8,14.9,14.6,14.8,796300.0
2013-12-16,14.6,15.8,14.6,15.7,1645500.0
2013-12-17,15.7,16.3,15.6,16.0,1152100.0
