date,open,high,low,close,volume
2009-10-29,16.0,16.2,16.0,16.2,240.0
2009-10-30,16.2,16.5,16.1,16.5,1350.0
2009-11-02,16.3,16.3,16.3,16.3,0.0
2009-11-03,16.4,16.4,16.4,16.4,150.0
2009-11-04,15.0,16.1,15.0,16.0,13050.0
2009-11-05,15.9,15.9,15.9,15.9,140.0
2009-11-06,15.9,15.9,15.9,15.9,0.0
2009-11-09,16.1,16.1,16.1,16.1,100.0
2009-11-10,16.1,16.1,16.1,16.1,0.0
2009-11-11,16.1,16.1,16.1,16.1,0.0
2009-11-12,16.1,16.1,16.1,16.1,0.0
2009-11-13,16.1,16.1,16.1,16.1,0.0
2009-11-16,15.9,15.9,15.9,15.9,150.0
2009-11-17,16.1,16.5,15.0,16.5,1000.0
2009-11-18,16.1,16.1,16.1,16.1,0.0
2009-11-19,16.1,16.1,16.1,16.1,0.0
2009-11-20,16.1,16.1,16.1,16.1,0.0
2009-11-23,14.5,14.5,14.5,14.5,8000.0
2009-11-24,13.9,13.9,13.9,13.9,100.0
2009-11-25,15.0,15.0,15.0,15.0,100.0
2009-11-26,15.0,15.0,15.0,15.0,0.0
2009-11-27,16.5,16.5,16.5,16.5,100.0
2009-11-30,18.0,18.0,14.9,14.9,5250.0
2009-12-01,14.0,14.0,14.0,14.0,100.0
2009-12-02,14.0,14.0,14.0,14.0,0.0
2009-12-03,13.0,13.0,13.0,13.0,500.0
2009-12-04,12.0,12.0,12.0,12.0,2000.0
2009-12-07,13.0,13.0,13.0,13.0,500.0
2009-12-08,14.3,14.3,12.0,12.0,2400.0
2009-12-09,13.7,13.7,12.5,12.5,1500.0
2009-12-10,13.0,13.0,11.7,11.8,1300.0
2009-12-11,12.2,12.2,12.2,12.2,0.0
2009-12-14,12.2,12.2,12.2,12.2,0.0
2009-12-15,13.4,13.4,13.4,13.4,100.0
2009-12-16,13.4,13.4,13.4,13.4,0.0
2009-12-17,13.4,13.4,13.4,13.4,0.0
2009-12-18,13.4,13.4,13.4,13.4,0.0
2009-12-21,13.4,13.4,13.4,13.4,0.0
2009-12-22,12.1,12.1,12.1,12.1,100.0
2009-12-23,12.1,12.1,12.1,12.1,0.0
2009-12-24,13.0,13.0,11.0,11.0,300.0
2009-12-25,12.3,12.3,12.3,12.3,0.0
2009-12-28,11.6,11.6,11.6,11.6,0.0
2009-12-29,11.6,11.6,11.6,11.6,0.0
2009-12-30,11.6,11.6,11.6,11.6,0.0
2009-12-31,10.6,10.6,10.6,10.6,200.0
2010-01-04,10.6,10.6,10.6,10.6,0.0
2010-01-05,11.0,11.0,11.0,11.0,1000.0
2010-01-06,11.5,11.5,11.5,11.5,1000.0
2010-01-07,11.5,11.5,11.5,11.5,0.0
2010-01-08,11.5,11.5,11.5,11.5,0.0
2010-01-11,11.5,11.5,11.5,11.5,0.0
2010-01-12,11.5,11.5,11.5,11.5,0.0
2010-01-13,11.5,11.5,11.5,11.5,0.0
2010-01-14,10.5,10.5,10.4,10.4,4000.0
2010-01-15,10.5,10.5,10.5,10.5,0.0
2010-01-18,9.6,9.6,9.6,9.6,1000.0
2010-01-19,10.5,10.5,10.5,10.5,5000.0
2010-01-20,10.5,10.5,10.5,10.5,1000.0
2010-01-21,10.5,10.5,10.5,10.5,0.0
2010-01-22,11.0,11.0,11.0,11.0,1000.0
2010-01-25,11.0,11.0,11.0,11.0,0.0
2010-01-26,11.0,11.0,11.0,11.0,0.0
