date,open,high,low,close,volume
2014-10-03,12.6,12.6,12.6,12.6,168870.0
2014-10-06,13.4,13.4,13.4,13.4,81110.0
2014-10-07,14.3,14.3,14.3,14.3,40150.0
2014-10-08,15.3,15.3,15.3,15.3,155050.0
2014-10-09,16.3,16.3,16.3,16.3,1874730.0
2014-10-10,17.4,17.4,17.4,17.4,229320.0
2014-10-13,18.6,18.6,18.5,18.6,617750.0
2014-10-14,19.9,19.9,19.7,19.9,897770.0
2014-10-15,20.0,21.2,20.0,21.2,701770.0
2014-10-16,20.0,21.0,20.0,20.3,345150.0
2014-10-17,19.7,21.0,19.0,19.0,241620.0
2014-10-20,18.0,20.3,17.9,18.2,432130.0
2014-10-21,18.2,19.2,18.0,19.2,486500.0
2014-10-22,19.4,20.0,19.0,19.9,509800.0
2014-10-23,20.0,21.0,19.8,19.9,2064640.0
2014-10-24,20.1,21.2,20.1,21.2,1635980.0
2014-10-27,21.1,21.2,20.0,20.3,1115350.0
2014-10-28,18.9,19.6,18.9,19.0,994060.0
2014-10-29,19.0,19.6,18.9,19.5,1009870.0
2014-10-30,19.8,20.2,19.5,20.0,1756850.0
2014-10-31,20.2,21.4,20.1,20.8,8143710.0
2014-11-03,21.0,21.5,20.8,21.2,1117430.0
2014-11-04,21.0,21.0,20.0,20.4,959910.0
2014-11-05,20.0,20.5,19.9,20.4,846830.0
2014-11-06,20.4,20.4,20.0,20.0,806310.0
2014-11-07,20.0,20.4,19.8,19.9,1729230.0
2014-11-10,20.0,20.5,19.9,20.3,823310.0
2014-11-11,20.4,21.2,20.2,20.8,1305980.0
2014-11-12,20.5,21.0,20.5,21.0,709480.0
2014-11-13,21.0,21.3,20.4,21.0,990990.0
2014-11-14,21.0,21.0,20.5,20.8,457740.0
2014-11-17,21.4,22.2,21.0,22.2,3521010.0
2014-11-18,23.7,23.7,23.6,23.7,1896980.0
2014-11-19,23.7,25.1,23.7,24.0,1437290.0
2014-11-20,23.7,24.5,23.5,24.2,1441900.0
2014-11-21,24.5,24.5,22.6,22.6,2300380.0
2014-11-24,21.1,21.1,21.1,21.1,116960.0
2014-11-25,19.7,19.8,19.7,19.7,1234160.0
2014-11-26,18.4,18.9,18.4,18.4,2167660.0
2014-11-27,17.2,18.5,17.2,18.5,2934160.0
2014-11-28,17.7,19.7,17.7,19.7,1481810.0
2014-12-01,19.5,19.9,18.7,18.8,942040.0
2014-12-02,17.9,18.2,17.5,18.1,905120.0
2014-12-03,17.8,18.4,17.8,18.3,535310.0
2014-12-04,18.3,18.6,17.9,18.0,297740.0
2014-12-05,17.8,18.2,17.6,17.7,653630.0
2014-12-08,17.6,17.9,16.5,16.5,925840.0
2014-12-09,15.7,16.3,15.4,15.4,618570.0
2014-12-10,14.4,15.0,14.4,14.7,4639510.0
2014-12-11,14.7,15.2,14.0,14.9,1009600.0
2014-12-12,14.6,15.0,14.6,15.0,308670.0
2014-12-15,14.7,14.7,14.2,14.2,706920.0
2014-12-16,13.9,13.9,13.3,13.3,997260.0
2014-12-17,12.4,12.6,12.4,12.4,6452950.0
2014-12-18,12.7,13.2,12.6,13.2,1045410.0
2014-12-19,13.5,13.8,12.7,12.7,1263440.0
2014-12-22,12.3,13.3,12.3,13.1,1947290.0
2014-12-23,12.9,13.1,12.7,12.7,888870.0
2014-12-24,12.8,13.0,12.6,12.8,294720.0
2014-12-25,12.6,13.2,12.5,12.7,2474580.0
2014-12-26,12.6,12.8,12.2,12.4,2147800.0
2014-12-29,12.4,12.7,11.8,12.2,1430520.0
2014-12-30,12.2,12.9,11.4,12.7,1904800.0
2014-12-31,12.5,13.2,12.5,12.8,923720.0
2015-01-05,12.8,13.6,12.8,13.6,1678030.0
2015-01-06,13.4,14.5,13.4,14.5,1886220.0
2015-01-07,14.4,14.8,14.1,14.1,1378520.0
2015-01-08,14.0,14.6,13.9,14.3,2595370.0
2015-01-09,14.3,15.1,14.0,14.8,1632380.0
2015-01-12,14.6,14.8,14.3,14.3,1544050.0
2015-01-13,14.0,14.8,14.0,14.4,1860190.0
2015-01-14,14.3,15.0,13.9,15.0,1976030.0
2015-01-15,14.8,15.9,14.8,15.8,2097740.0
2015-01-16,15.6,15.9,15.4,15.4,1478140.0
2015-01-19,15.2,15.4,15.1,15.3,1586160.0
2015-01-20,15.0,15.4,14.9,15.3,884440.0
2015-01-21,15.1,15.5,15.0,15.2,710000.0
2015-01-22,15.0,15.2,14.6,14.7,1218910.0
2015-01-23,14.9,15.6,14.9,15.2,1855200.0
2015-01-26,15.2,15.6,15.0,15.2,928980.0
2015-01-27,15.1,15.3,14.5,15.0,1358840.0
2015-01-28,14.7,15.2,14.5,15.2,1078030.0
2015-01-29,15.1,16.1,15.1,16.1,3279410.0
2015-01-30,15.8,16.0,15.6,15.9,2742760.0
2015-02-02,15.6,15.8,15.2,15.4,669390.0
2015-02-03,15.2,15.3,14.7,14.7,1503790.0
2015-02-04,14.5,14.7,14.3,14.7,751100.0
2015-02-05,14.7,14.9,14.5,14.8,491970.0
