date,open,high,low,close,volume
2015-08-03,1.4,1.4,1.4,1.4,7000
2013-01-14,2.2,2.2,2.2,2.2,100
2012-09-20,2.2,2.2,2.2,2.2,5000
2012-09-19,2.3,2.3,2.3,2.3,5000
2012-09-18,2.5,2.5,2.5,2.5,5000
2012-08-22,2.7,2.7,2.7,2.7,1000
2012-08-21,2.7,2.7,2.7,2.7,1000
2012-08-20,2.7,2.7,2.7,2.7,1000
2012-08-17,2.6,2.6,2.6,2.6,1000
2012-08-16,2.6,2.6,2.6,2.6,1000
2012-08-15,2.5,2.5,2.5,2.5,1000
2012-08-14,2.3,2.3,2.3,2.3,800
2012-08-07,2.1,2.1,2.1,2.1,100
2011-12-28,2.0,2.0,2.0,2.0,10000
2011-11-24,2.1,2.1,2.1,2.1,10000
