date,open,high,low,close,volume
2015-04-08,11.0,11.0,10.5,10.5,70100
2015-04-09,9.5,9.5,9.5,9.5,44300
2015-04-10,9.5,10.2,9.5,10.0,271100
2015-04-13,10.0,10.0,9.2,9.8,69000
2015-04-14,9.7,9.7,9.1,9.1,289900
2015-04-15,9.0,9.0,8.4,8.4,119300
2015-04-16,8.4,8.8,8.3,8.8,147200
2015-04-17,9.1,9.1,8.8,9.1,111100
2015-04-20,8.8,9.1,8.7,9.0,379000
2015-04-21,8.7,8.9,8.6,8.7,67000
2015-04-22,8.9,8.9,8.4,8.4,70400
2015-04-23,8.4,8.4,7.6,8.0,93800
2015-04-24,8.0,8.2,7.8,7.8,31100
2015-04-27,8.2,8.2,8.2,8.2,400
2015-05-04,7.7,8.1,7.4,7.4,101500
2015-05-05,7.0,7.4,6.7,7.3,42600
2015-05-06,7.3,7.3,6.6,6.6,46300
2015-05-07,6.6,7.1,6.1,6.3,175200
2015-05-08,6.1,6.9,6.0,6.9,148500
2015-05-11,7.3,7.5,7.0,7.2,80100
2015-05-12,7.7,7.8,6.8,7.2,53600
2015-05-13,7.2,7.5,6.7,6.7,42100
2015-05-14,7.1,7.1,6.7,7.0,29000
2015-05-15,6.9,7.0,6.8,7.0,45600
2015-05-18,6.8,7.0,6.5,6.5,39800
2015-05-19,6.0,7.0,6.0,7.0,36200
2015-05-20,7.0,7.4,7.0,7.4,216400
2015-05-21,7.1,7.3,7.1,7.3,12100
2015-05-22,7.0,7.4,7.0,7.4,22000
2015-05-25,7.2,7.3,7.0,7.3,22600
2015-05-26,7.2,7.3,7.2,7.2,1700
2015-05-27,7.0,7.3,6.5,7.1,39200
2015-05-28,6.9,7.2,6.9,7.1,18300
2015-05-29,7.3,7.7,7.2,7.7,81700
2015-06-01,7.7,8.4,7.7,8.4,194300
2015-06-02,8.8,8.9,8.3,8.4,42400
2015-06-03,8.4,8.7,8.3,8.3,58000
2015-06-04,8.6,8.7,8.3,8.7,54300
2015-06-05,8.3,8.7,8.3,8.3,19700
2015-06-08,8.4,9.1,8.3,9.1,455500
2015-06-09,10.0,10.0,9.2,9.5,62700
2015-06-10,9.6,9.6,9.2,9.5,18400
2015-06-11,9.5,9.5,9.0,9.2,14500
2015-06-12,9.2,10.0,9.0,9.5,93400
2015-06-15,9.5,10.3,9.4,9.7,28500
2015-06-16,9.7,9.7,9.5,9.5,9200
2015-06-17,9.9,9.9,9.2,9.4,5100
2015-06-18,9.8,9.8,9.0,9.2,6600
2015-06-19,9.1,9.1,8.4,8.8,47700
2015-06-22,8.2,8.5,8.2,8.5,39100
2015-06-23,8.8,8.8,8.0,8.4,13900
2015-06-24,8.5,8.5,8.0,8.2,15500
2015-06-25,8.2,8.3,7.7,7.8,13400
