date,open,high,low,close,volume
2006-12-21,40.0,40.0,40.0,40.0,3000.0
2006-12-22,40.0,40.0,38.0,38.0,28000.0
2006-12-25,36.1,36.1,36.1,36.1,250.0
2006-12-26,34.3,34.3,34.3,34.3,57520.0
2006-12-27,32.6,32.6,32.6,32.6,45350.0
2006-12-28,34.2,34.2,32.6,34.2,25050.0
2006-12-29,35.0,35.0,32.6,34.0,6200.0
2007-01-02,34.0,34.0,32.3,34.0,6500.0
2007-01-03,33.5,33.5,32.3,33.5,11710.0
2007-01-04,33.5,33.5,33.5,33.5,5120.0
2007-01-05,33.9,33.9,33.0,33.9,1900.0
2007-01-08,33.8,33.8,33.5,33.8,5700.0
2007-01-09,33.8,33.8,33.8,33.8,2000.0
2007-01-10,32.4,32.4,32.4,32.4,13800.0
2007-01-11,32.4,32.4,32.4,32.4,39900.0
2007-01-12,30.8,32.0,30.8,32.0,15800.0
2007-01-15,32.0,32.0,30.5,30.5,14570.0
2007-01-16,30.5,30.5,29.5,30.0,15110.0
2007-01-17,30.0,30.0,30.0,30.0,7400.0
2007-01-18,31.0,31.0,30.0,30.0,17020.0
2007-01-19,30.0,31.0,30.0,31.0,13600.0
2007-01-22,32.5,32.5,31.0,31.5,9960.0
2007-01-23,31.5,32.5,31.5,31.5,11900.0
2007-01-24,31.5,31.5,30.0,30.5,10510.0
2007-01-25,32.0,32.0,31.0,31.0,8110.0
2007-01-29,30.0,30.0,30.0,30.0,6070.0
2007-01-30,30.5,30.5,30.5,30.5,3830.0
2007-01-31,30.5,30.5,30.0,30.0,6000.0
2007-02-01,31.5,31.5,30.5,31.5,7430.0
2007-02-02,32.4,32.4,32.4,32.4,6720.0
2007-02-05,34.0,34.0,34.0,34.0,10860.0
2007-02-06,35.7,35.7,35.7,35.7,18740.0
2007-02-07,37.4,37.4,37.4,37.4,29570.0
2007-02-08,35.6,37.0,35.6,35.6,13130.0
2007-02-09,33.9,33.9,33.9,33.9,4190.0
2007-02-12,32.3,32.3,32.3,32.3,32610.0
2007-02-13,33.9,33.9,33.9,33.9,5100.0
2007-02-14,35.5,35.5,35.5,35.5,22160.0
2007-02-15,35.5,36.0,35.5,35.5,13300.0
2007-02-26,36.5,36.5,35.5,36.5,11570.0
2007-02-27,38.3,38.3,38.3,38.3,39920.0
2007-02-28,40.2,40.2,40.2,40.2,26100.0
2007-03-01,42.2,42.2,42.2,42.2,38390.0
2007-03-02,44.3,44.3,44.3,44.3,32230.0
2007-03-05,46.5,46.5,46.5,46.5,13650.0
2007-03-06,48.8,48.8,48.0,48.8,63000.0
2007-03-08,53.5,53.5,53.5,53.5,47790.0
2007-03-09,56.0,56.0,56.0,56.0,33630.0
2007-03-12,58.5,58.5,58.5,58.5,8400.0
2007-03-13,58.5,61.0,58.5,58.5,54930.0
2007-03-14,56.0,58.5,56.0,56.0,42180.0
2007-03-15,53.5,53.5,53.5,53.5,9340.0
2007-03-16,49.9,49.9,49.9,49.9,50730.0
2007-03-19,52.0,52.0,52.0,52.0,16540.0
