date,open,high,low,close,volume
2009-12-29,7.11,7.11,7.11,7.11,200
2009-12-30,7.6,7.6,7.6,7.6,1000
2010-01-04,7.11,7.11,7.11,7.11,400
2010-01-05,6.62,6.62,6.62,6.62,1000
2010-01-19,6.4,6.4,6.4,6.4,300
2010-03-10,6.4,6.4,6.4,6.4,500
2010-03-11,6.4,6.4,6.4,6.4,100
2010-03-15,5.99,5.99,5.99,5.98,200
2010-03-16,5.68,5.68,5.68,5.69,1400
2010-03-17,5.45,5.45,5.45,5.45,200
2010-03-19,5.81,5.81,5.81,5.81,100
2010-03-22,5.81,5.81,5.81,5.81,200
2010-03-23,6.11,6.11,5.63,5.63,700
2010-03-24,5.45,5.69,5.45,5.69,1200
2010-03-25,5.81,5.81,5.81,5.81,100
2010-03-29,6.05,6.05,6.05,6.04,100
2010-03-30,5.68,5.68,5.68,5.69,100
2010-03-31,5.33,5.33,5.33,5.33,4000
2010-04-05,5.33,5.33,5.33,5.33,300
2010-04-06,5.63,5.63,5.63,5.63,100
2010-04-07,5.57,5.57,5.39,5.39,200
2010-04-08,5.33,5.33,5.33,5.33,2000
2010-04-09,5.33,5.33,5.33,5.33,1000
2010-04-12,5.45,5.45,5.33,5.33,1400
2010-04-13,5.51,5.51,5.51,5.51,100
2010-04-14,5.33,5.45,5.33,5.39,4100
2010-04-15,5.51,5.51,5.51,5.51,100
2010-04-16,5.51,5.51,5.51,5.51,1300
2010-04-19,5.51,5.51,5.51,5.51,100
2010-04-20,5.81,5.87,5.51,5.87,6700
2010-04-21,6.05,6.11,5.93,6.1,9500
2010-04-22,6.04,6.22,6.04,6.22,1600
2010-04-26,5.75,5.75,5.75,5.75,1000
2010-04-27,5.57,5.75,5.51,5.75,1600
2010-04-28,5.39,5.39,5.39,5.39,100
2010-05-04,5.63,5.75,5.63,5.75,8200
2010-05-05,6.05,6.05,5.93,6.04,13800
2010-05-06,6.45,6.45,6.45,6.46,7200
2010-05-07,6.58,6.87,6.46,6.87,12200
2010-05-10,7.05,7.05,6.93,7.05,6900
2010-05-11,7.52,7.52,7.52,7.52,14700
2010-05-12,7.99,7.99,7.22,7.23,12400
2010-05-13,7.23,7.23,7.23,7.23,600
2010-05-14,6.76,6.76,6.76,6.75,7600
2010-05-17,6.39,6.39,6.39,6.4,100
2010-05-18,5.99,6.4,5.99,6.4,2300
2010-05-19,6.16,6.16,6.04,6.1,1700
2010-05-20,6.16,6.16,6.16,6.16,1400
2010-05-24,6.4,6.52,6.4,6.52,3000
2010-05-25,6.82,6.82,6.82,6.81,100
2010-05-26,7.28,7.28,6.93,7.05,7400
2010-05-27,6.58,6.81,6.58,6.7,12000
2010-05-28,7.06,7.06,6.23,6.81,700
2010-05-31,7.05,7.11,6.99,6.99,300
2010-06-01,6.58,6.58,6.58,6.58,1300
2010-06-02,6.22,6.82,6.22,6.81,6400
2010-06-03,6.51,6.51,6.51,6.52,500
2010-06-04,6.52,6.52,6.22,6.22,6000
2010-06-07,6.16,6.16,6.1,6.1,6500
2010-06-08,6.1,6.51,6.1,6.52,4500
2010-06-09,6.46,6.46,6.46,6.46,200
2010-06-10,6.46,6.46,6.4,6.4,7600
2010-06-11,6.4,6.4,6.1,6.1,2600
2010-06-14,6.51,6.51,6.04,6.04,500
2010-06-15,5.92,6.34,5.92,6.16,1200
2010-06-16,6.22,6.46,6.22,6.22,1100
2010-06-17,6.22,6.28,6.22,6.28,8200
2010-06-18,6.22,6.28,6.22,6.28,400
2010-06-21,6.22,6.4,6.22,6.4,9600
2010-06-22,6.28,6.34,6.28,6.28,4200
2010-06-23,6.34,6.34,6.34,6.34,2600
2010-06-24,6.34,6.34,6.22,6.34,2600
2010-06-25,5.93,5.93,5.93,5.92,1000
2010-06-28,5.62,5.62,5.62,5.63,100
2010-06-29,5.99,5.99,5.99,5.98,100
2010-06-30,6.04,6.39,5.98,6.4,8900
2010-07-01,6.4,6.46,6.28,6.4,6500
2010-07-02,6.4,6.81,6.4,6.81,63900
2010-07-05,6.93,7.17,6.81,7.17,52900
2010-07-06,7.58,7.64,7.53,7.64,50700
2010-07-07,8.17,8.17,7.11,7.11,3300
2010-07-08,7.7,7.7,7.7,7.7,700
2010-07-09,7.7,7.7,7.17,7.17,46800
2010-07-12,6.99,6.99,6.99,6.99,100
2010-07-13,6.52,7.46,6.52,6.81,14800
2010-07-14,6.87,6.99,6.87,6.87,9000
2010-07-15,7.11,7.11,7.11,7.11,100
2010-07-16,6.99,7.05,6.64,6.81,30500
2010-07-19,6.87,7.11,6.87,7.11,18400
2010-07-20,7.47,7.52,7.17,7.17,12400
2010-07-21,7.76,7.76,7.7,7.7,1500
2010-07-22,7.17,7.17,7.17,7.17,3100
2010-07-23,7.11,7.11,6.93,6.99,10700
2010-07-26,6.69,6.75,6.69,6.7,4000
2010-07-27,6.82,7.0,6.7,6.81,7000
2010-07-28,6.34,6.81,6.34,6.4,28000
2010-07-29,6.4,6.64,6.4,6.64,5100
2010-07-30,6.94,6.94,6.82,6.81,5100
2010-08-02,7.22,7.22,7.17,7.17,2000
2010-08-03,6.87,6.87,6.81,6.81,1100
2010-08-04,6.51,6.51,6.34,6.46,12800
2010-08-05,6.05,6.05,5.99,5.98,9800
2010-08-06,6.1,6.45,6.1,6.46,500
2010-08-09,6.05,6.28,5.99,5.98,8200
2010-08-10,6.04,6.04,5.62,5.63,11200
2010-08-11,6.04,6.04,5.69,6.04,3800
2010-08-12,6.1,6.1,6.04,6.04,6100
2010-08-13,6.04,6.04,6.04,6.04,600
2010-08-16,6.22,6.22,6.04,6.1,5000
2010-08-17,6.57,6.57,6.04,6.04,1100
2010-08-18,6.1,6.16,6.1,6.16,1700
2010-08-24,5.75,5.75,5.75,5.75,500
2010-08-25,5.45,5.45,5.39,5.39,300
2010-08-26,5.75,5.75,5.75,5.75,100
2010-08-27,5.39,5.39,5.39,5.39,5000
2010-08-30,5.75,5.75,5.75,5.75,700
2010-08-31,5.99,6.11,5.45,6.1,2200
2010-09-01,6.28,6.28,5.57,5.57,400
2010-09-06,6.1,6.1,5.93,5.92,10100
2010-09-07,5.56,5.74,5.56,5.75,1900
2010-09-08,5.34,5.34,5.28,5.27,7700
2010-09-09,5.63,5.63,5.57,5.57,400
2010-09-10,5.87,5.93,5.27,5.27,2200
2010-09-13,5.15,5.15,5.15,5.15,600
2010-09-14,5.51,5.51,5.33,5.51,5200
2010-09-15,5.81,5.81,5.81,5.81,200
2010-09-16,5.45,5.45,5.45,5.45,5100
2010-09-17,5.75,5.75,5.57,5.57,3000
2010-09-21,5.33,5.57,5.33,5.57,3100
