date,open,high,low,close,volume
2010-05-25,20.0,20.0,20.0,20.0,1000.0
2010-05-26,20.0,20.0,20.0,20.0,0.0
2010-05-27,20.0,20.0,20.0,20.0,0.0
2010-05-28,20.0,20.0,20.0,20.0,0.0
2010-05-31,20.0,20.0,20.0,20.0,0.0
2010-06-01,20.0,20.0,20.0,20.0,0.0
2010-06-02,20.0,20.0,20.0,20.0,0.0
2010-06-03,20.0,20.0,20.0,20.0,0.0
2010-06-04,20.0,20.0,20.0,20.0,0.0
2010-06-07,20.0,20.0,20.0,20.0,0.0
2010-06-08,20.0,20.0,20.0,20.0,25000.0
2010-06-09,20.0,20.0,20.0,20.0,0.0
2010-06-10,20.0,20.0,20.0,20.0,0.0
2010-06-11,20.0,20.0,20.0,20.0,0.0
2010-06-14,20.0,20.0,20.0,20.0,0.0
2010-06-15,20.0,20.0,20.0,20.0,0.0
2010-06-16,20.0,20.0,20.0,20.0,0.0
2010-06-17,20.0,20.0,20.0,20.0,0.0
2010-06-18,20.0,20.0,20.0,20.0,0.0
2010-06-21,20.0,20.0,20.0,20.0,0.0
2010-06-22,20.0,20.0,20.0,20.0,0.0
2010-06-23,20.0,20.0,20.0,20.0,0.0
2010-06-24,20.0,20.0,20.0,20.0,0.0
2010-06-25,20.0,20.0,20.0,20.0,0.0
2010-06-28,20.0,20.0,20.0,20.0,0.0
2010-06-29,20.0,20.0,20.0,20.0,0.0
2010-06-30,20.0,20.0,20.0,20.0,0.0
2010-07-01,20.0,20.0,20.0,20.0,0.0
2010-07-02,20.0,20.0,20.0,20.0,0.0
2010-07-05,22.0,22.0,22.0,22.0,1500.0
2010-07-06,22.0,22.0,22.0,22.0,0.0
2010-07-07,22.0,22.0,22.0,22.0,0.0
2010-07-08,24.2,24.2,24.2,24.2,1000.0
2010-07-09,26.6,26.6,26.6,26.6,2000.0
2010-07-12,29.2,29.2,29.2,29.2,1000.0
2010-07-13,29.2,29.2,29.2,29.2,0.0
2010-07-14,29.2,29.2,29.2,29.2,0.0
2010-07-15,32.1,32.1,32.1,32.1,1781.0
2010-07-16,35.3,35.3,35.3,35.3,14316.0
2010-07-19,38.8,38.8,38.8,38.8,100.0
2010-07-20,42.6,42.6,42.6,42.6,20200.0
2010-07-21,46.8,46.8,46.8,46.8,2400.0
2010-07-22,46.8,46.8,42.2,43.0,21600.0
2010-07-23,42.0,42.0,39.0,40.5,5100.0
2010-07-26,39.6,39.6,39.6,39.6,0.0
2010-07-27,36.0,36.0,35.7,35.7,3000.0
2010-07-28,35.0,35.0,35.0,35.0,2000.0
2010-07-29,32.4,38.4,32.4,38.4,200.0
2010-07-30,38.7,38.7,38.7,38.7,100.0
2010-08-02,38.5,38.5,38.5,38.5,1000.0
2010-08-03,38.5,38.5,38.5,38.5,0.0
2010-08-04,35.5,35.5,35.5,35.5,2000.0
2010-08-05,34.0,35.3,34.0,34.0,50600.0
2010-08-06,33.0,33.0,33.0,33.0,400.0
2010-08-09,32.0,32.0,29.7,29.7,3600.0
2010-08-10,34.4,34.4,34.4,34.4,100.0
2010-08-11,34.4,34.4,34.4,34.4,15896.0
2010-08-12,31.0,31.0,31.0,31.0,100.0
2010-08-13,34.1,34.1,34.1,34.1,100.0
2010-08-16,34.1,34.1,34.1,34.1,500.0
2010-08-17,34.1,34.1,34.1,34.1,0.0
2010-08-18,31.0,31.0,30.7,30.7,3200.0
2010-08-19,30.7,30.7,30.7,30.7,200.0
2010-08-20,30.6,30.7,30.6,30.7,2300.0
2010-08-23,30.7,30.7,30.7,30.7,0.0
2010-08-24,30.2,30.2,27.7,27.7,2000.0
2010-08-25,26.1,28.0,26.1,28.0,7200.0
2010-08-26,26.7,26.7,26.7,26.7,0.0
2010-08-27,26.7,26.7,26.7,26.7,0.0
2010-08-30,29.3,29.3,29.3,29.3,300.0
2010-08-31,30.0,32.0,28.8,32.0,2100.0
2010-09-01,29.5,29.5,29.5,29.5,0.0
2010-09-06,29.5,29.5,29.5,29.5,0.0
2010-09-07,29.5,29.5,29.5,29.5,300.0
2010-09-08,31.0,31.0,31.0,31.0,100.0
2010-09-09,31.0,31.0,31.0,31.0,0.0
2010-09-10,34.1,34.1,34.1,34.1,100.0
2010-09-13,36.5,36.5,36.5,36.5,100.0
2010-09-14,40.1,40.1,32.9,32.9,300.0
2010-09-15,35.3,35.3,35.3,35.3,0.0
2010-09-16,35.3,35.3,35.3,35.3,0.0
2010-09-17,31.8,31.8,31.8,31.8,1100.0
2010-09-20,30.8,30.8,30.8,30.8,100.0
2010-09-21,30.1,30.1,29.2,29.2,9900.0
2010-09-22,29.7,29.7,29.7,29.7,0.0
2010-09-23,27.0,29.7,27.0,29.7,200.0
2010-09-24,28.4,28.4,28.4,28.4,0.0
2010-09-27,28.4,28.4,28.4,28.4,0.0
2010-09-28,28.5,28.5,28.5,28.5,100.0
2010-09-29,28.5,28.5,28.5,28.5,0.0
2010-09-30,28.5,28.5,28.5,28.5,100.0
2010-10-01,28.6,30.5,28.6,28.8,3000.0
2010-10-04,26.5,28.0,26.5,28.0,1200.0
2010-10-05,27.8,27.8,27.8,27.8,0.0
2010-10-06,27.8,27.8,27.8,27.8,0.0
2010-10-07,27.0,27.0,27.0,27.0,300.0
2010-10-08,27.0,27.0,27.0,27.0,0.0
2010-10-11,28.2,28.2,28.2,28.2,100.0
2010-10-12,28.2,28.2,28.2,28.2,0.0
2010-10-13,27.0,27.0,27.0,27.0,3000.0
2010-10-14,27.0,27.0,27.0,27.0,0.0
