date,open,high,low,close,volume
2006-12-04,100.0,100.0,100.0,100.0,62050
2006-12-05,96.0,96.0,95.0,95.0,89420
2006-12-06,90.5,90.5,90.5,90.5,3250
2006-12-07,86.5,95.0,86.5,95.0,216560
2006-12-08,99.0,99.0,99.0,99.0,18700
2006-12-11,103.0,103.0,103.0,103.0,73020
2006-12-12,107.0,107.0,103.0,103.0,92600
2006-12-13,98.0,100.0,98.0,100.0,87350
2006-12-14,100.0,103.0,100.0,100.0,58750
2006-12-15,100.0,100.0,99.0,99.0,84120
2006-12-18,99.0,99.0,96.0,98.0,47200
2006-12-19,96.0,96.0,96.0,96.0,30160
2006-12-20,96.0,96.5,96.0,96.5,48390
2006-12-21,96.5,96.5,95.0,95.0,55170
2006-12-22,90.5,90.5,90.5,90.5,26950
2006-12-25,88.0,95.0,88.0,95.0,26850
2006-12-26,99.5,99.5,97.0,98.0,80250
2006-12-27,100.0,100.0,100.0,100.0,97420
2006-12-28,100.0,100.0,99.0,100.0,57710
2006-12-29,100.0,100.0,98.5,100.0,34500
2007-01-02,100.0,100.0,100.0,100.0,33390
2007-01-03,100.0,100.0,98.0,100.0,34780
2007-01-04,105.0,105.0,105.0,105.0,43650
2007-01-05,110.0,110.0,108.0,108.0,123610
2007-01-08,113.0,113.0,110.0,110.0,98860
2007-01-09,110.0,110.0,110.0,110.0,119530
2007-01-10,112.0,114.0,112.0,114.0,92650
2007-01-11,117.0,119.0,117.0,119.0,131220
2007-01-12,124.0,124.0,124.0,124.0,70430
2007-01-15,126.0,126.0,126.0,126.0,43810
2007-01-16,125.0,125.0,122.0,122.0,38020
2007-01-17,120.0,120.0,116.0,116.0,44580
2007-01-18,111.0,118.0,111.0,118.0,59940
2007-01-19,120.0,122.0,120.0,122.0,63440
2007-01-22,116.0,120.0,116.0,120.0,38260
2007-01-23,120.0,121.0,120.0,121.0,65400
2007-01-24,122.0,122.0,120.0,120.0,96830
2007-01-25,118.0,118.0,116.0,118.0,39090
2007-01-26,120.0,120.0,120.0,120.0,68980
2007-01-29,126.0,126.0,126.0,126.0,68730
2007-01-30,132.0,132.0,132.0,132.0,39230
2007-01-31,138.0,138.0,138.0,138.0,138870
2007-02-01,141.0,141.0,138.0,138.0,104890
2007-02-02,135.0,135.0,135.0,135.0,88700
2007-02-05,130.0,135.0,130.0,130.0,23530
2007-02-06,128.0,130.0,128.0,128.0,66210
2007-02-07,134.0,134.0,134.0,134.0,83850
2007-02-08,140.0,140.0,140.0,140.0,79680
2007-02-09,133.0,133.0,133.0,133.0,28970
2007-02-12,135.0,135.0,135.0,135.0,32160
2007-02-13,137.0,137.0,136.0,137.0,26550
2007-02-14,140.0,141.0,136.0,140.0,53510
2007-02-15,142.0,142.0,140.0,142.0,36370
2007-02-26,145.0,145.0,144.0,145.0,45490
2007-02-27,150.0,152.0,148.0,150.0,80190
2007-02-28,143.0,146.0,143.0,143.0,17630
2007-03-01,143.0,145.0,143.0,143.0,25870
2007-03-02,145.0,145.0,143.0,143.0,48820
2007-03-05,145.0,145.0,143.0,145.0,44210
2007-03-06,143.0,146.0,143.0,143.0,42730
2007-03-07,145.0,145.0,145.0,145.0,18980
2007-03-08,145.0,145.0,145.0,145.0,27390
2007-03-09,144.0,145.0,143.0,143.0,11540
2007-03-12,144.0,144.0,143.0,144.0,33720
2007-03-13,150.0,150.0,145.0,150.0,62280
2007-03-14,148.0,152.0,148.0,148.0,42340
2007-03-15,145.0,145.0,141.0,141.0,5670
2007-03-16,141.0,148.0,141.0,148.0,12010
2007-03-19,148.0,148.0,145.0,145.0,21240
2007-03-20,141.0,145.0,143.0,143.0,30030
2007-03-21,137.0,140.0,136.0,140.0,9590
2007-03-22,138.0,138.0,135.0,135.0,18690
2007-03-23,135.0,135.0,130.0,130.0,18230
2007-03-26,125.0,125.0,124.0,124.0,18780
2007-03-27,118.0,118.0,118.0,118.0,22630
2007-03-28,113.0,120.0,113.0,120.0,49710
2007-03-29,126.0,126.0,126.0,126.0,23540
2007-03-30,132.0,132.0,132.0,132.0,37520
2007-04-02,132.0,132.0,132.0,132.0,21160
2007-04-03,129.0,129.0,126.0,127.0,10000
2007-04-04,122.0,127.0,122.0,127.0,5920
2007-04-05,127.0,128.0,127.0,128.0,15590
2007-04-06,124.0,127.0,124.0,127.0,10340
2007-04-09,127.0,127.0,127.0,127.0,6250
2007-04-10,130.0,132.0,130.0,132.0,19410
2007-04-11,132.0,132.0,130.0,130.0,15010
2007-04-12,130.0,130.0,129.0,129.0,19880
2007-04-13,123.0,128.0,123.0,128.0,13870
2007-04-16,127.0,127.0,124.0,124.0,20470
2007-04-17,107.0,107.0,107.0,107.0,27440
2007-04-18,107.0,112.0,107.0,112.0,4130
2007-04-19,117.0,117.0,115.0,115.0,13440
2007-04-20,115.0,115.0,115.0,115.0,8270
2007-04-23,110.0,110.0,110.0,110.0,13020
2007-04-24,107.0,107.0,105.0,105.0,1300
2007-04-25,100.0,102.0,100.0,102.0,24650
2007-05-02,106.0,106.0,102.0,102.0,4100
2007-05-03,102.0,102.0,101.0,101.0,9820
2007-05-04,98.0,100.0,98.0,100.0,10030
2007-05-07,99.0,105.0,99.0,105.0,19280
2007-05-08,110.0,110.0,110.0,110.0,32580
2007-05-09,112.0,112.0,112.0,112.0,32130
2007-05-10,110.0,110.0,110.0,110.0,1440
2007-05-11,105.0,108.0,105.0,108.0,13680
2007-05-14,110.0,110.0,108.0,108.0,7800
2007-05-15,108.0,108.0,108.0,108.0,28550
2007-05-16,105.0,105.0,105.0,105.0,13140
2007-05-17,105.0,108.0,105.0,108.0,7810
2007-05-18,108.0,108.0,107.0,107.0,17090
2007-05-21,107.0,108.0,107.0,108.0,12960
2007-05-22,108.0,112.0,108.0,112.0,29360
2007-05-23,117.0,117.0,115.0,115.0,39790
2007-05-24,112.0,115.0,112.0,112.0,14510
2007-05-25,108.0,110.0,108.0,110.0,5790
2007-05-28,110.0,110.0,108.0,109.0,8460
2007-05-29,109.0,109.0,109.0,109.0,21240
2007-05-30,109.0,109.0,106.0,109.0,6850
2007-05-31,109.0,109.0,109.0,109.0,15180
2007-06-01,109.0,109.0,107.0,107.0,13700
2007-06-04,105.0,105.0,105.0,105.0,22980
2007-06-05,105.0,105.0,104.0,104.0,11600
2007-06-06,105.0,105.0,104.0,104.0,24450
2007-06-07,107.0,107.0,105.0,107.0,11450
2007-06-08,107.0,107.0,105.0,105.0,17360
2007-06-11,105.0,105.0,105.0,105.0,5650
2007-06-12,110.0,110.0,110.0,110.0,66600
2007-06-13,111.0,111.0,106.0,106.0,50700
2007-06-14,111.0,111.0,110.0,111.0,31330
2007-06-15,116.0,116.0,116.0,116.0,102640
2007-06-18,121.0,121.0,121.0,121.0,43590
2007-06-19,127.0,127.0,127.0,127.0,59250
2007-06-20,133.0,133.0,124.0,124.0,166010
2007-06-21,124.0,124.0,118.0,118.0,52800
2007-06-22,123.0,123.0,120.0,123.0,66420
2007-06-25,123.0,123.0,123.0,123.0,61730
2007-06-26,125.0,127.0,125.0,127.0,82660
2007-06-27,126.0,126.0,122.0,122.0,44870
2007-06-28,122.0,122.0,119.0,119.0,54400
2007-06-29,120.0,124.0,120.0,124.0,54150
2007-07-02,130.0,130.0,130.0,130.0,295270
2007-07-03,130.0,130.0,130.0,130.0,147680
2007-07-04,133.0,135.0,133.0,135.0,170140
2007-07-05,135.0,135.0,133.0,133.0,91490
2007-07-06,131.0,139.0,131.0,138.0,105860
2007-07-09,139.0,144.0,140.0,144.0,112970
2007-07-10,151.0,151.0,151.0,151.0,67950
2007-07-11,158.0,158.0,158.0,158.0,81210
2007-07-12,151.0,151.0,151.0,151.0,70960
2007-07-13,154.0,154.0,152.0,152.0,66000
2007-07-16,148.0,148.0,145.0,145.0,27760
2007-07-17,145.0,147.0,145.0,147.0,33880
2007-07-18,149.0,149.0,144.0,144.0,27130
2007-07-19,144.0,144.0,138.0,138.0,51470
2007-07-20,138.0,138.0,136.0,136.0,44490
2007-07-23,142.0,142.0,142.0,142.0,25430
2007-07-24,149.0,149.0,149.0,149.0,80430
2007-07-25,149.0,149.0,148.0,148.0,76800
2007-07-26,148.0,148.0,141.0,141.0,42130
2007-07-27,141.0,141.0,139.0,139.0,12940
2007-07-30,136.0,138.0,136.0,136.0,11790
2007-07-31,137.0,138.0,136.0,136.0,50810
2007-08-01,138.0,142.0,138.0,142.0,10800
2007-08-02,142.0,142.0,138.0,138.0,18200
2007-08-03,138.0,138.0,138.0,138.0,17140
2007-08-06,137.0,138.0,137.0,138.0,15490
2007-08-07,138.0,144.0,136.0,144.0,46030
2007-08-08,149.0,149.0,144.0,144.0,42340
2007-08-09,144.0,147.0,142.0,147.0,22980
2007-08-10,148.0,148.0,145.0,145.0,32860
2007-08-13,141.0,145.0,141.0,141.0,18760
2007-08-14,145.0,148.0,143.0,148.0,79650
2007-08-15,148.0,148.0,145.0,147.0,17400
2007-08-16,145.0,147.0,145.0,145.0,15960
2007-08-17,144.0,144.0,143.0,144.0,10090
2007-08-20,144.0,150.0,143.0,150.0,40820
2007-08-21,150.0,150.0,148.0,148.0,6880
