date,open,high,low,close,volume
2017-07-19,10.8,10.8,10.8,10.8,4600
2017-07-14,10.5,10.5,10.4,10.4,15000
2017-06-28,10.8,10.8,10.8,10.8,2000
2017-06-27,10.7,10.7,10.7,10.7,2000
2017-06-15,10.6,10.6,10.6,10.6,1000
2017-06-13,10.6,10.6,10.6,10.6,100
2017-06-08,10.6,10.6,10.6,10.6,3000
2017-06-07,10.5,10.5,10.4,10.4,3000
2017-06-02,10.2,10.3,10.2,10.3,11500
2017-06-01,10.3,10.3,10.1,10.1,63100
2017-05-29,10.3,10.3,10.3,10.3,2000
2017-05-23,10.3,10.3,10.0,10.3,17500
2017-05-22,10.5,10.5,10.5,10.5,7100
2017-05-17,10.5,10.5,10.5,10.5,2000
2017-05-15,10.5,10.5,10.5,10.5,5100
2017-05-11,10.5,10.5,10.5,10.5,4300
2017-05-10,10.2,10.5,10.2,10.5,9400
2017-05-08,11.5,11.5,11.5,11.5,100
2017-05-04,11.5,11.5,10.0,10.0,2100
2017-05-03,10.5,10.5,10.5,10.5,2600
2017-04-28,10.5,10.5,10.5,10.5,9500
2017-04-27,10.5,10.5,10.5,10.5,5500
2017-04-21,10.5,10.5,10.5,10.5,16400
2017-03-31,11.0,11.0,11.0,11.0,2000
2017-03-30,11.0,11.0,11.0,11.0,14300
2017-03-22,11.0,11.0,11.0,11.0,32100
2017-03-21,11.0,11.0,11.0,11.0,2400
2017-03-20,11.0,11.0,11.0,11.0,1600
2017-03-17,11.0,11.0,11.0,11.0,1000
2017-03-15,11.0,11.0,11.0,11.0,700
2017-03-14,11.0,11.0,11.0,11.0,2000
2017-03-07,11.2,11.2,11.2,11.2,100
2017-03-02,11.0,11.0,11.0,11.0,200
2017-02-28,11.0,11.0,11.0,11.0,3000
2017-02-24,11.0,11.0,11.0,11.0,5000
2017-02-23,11.0,11.0,11.0,11.0,3000
2017-02-21,11.0,11.0,11.0,11.0,2000
2017-02-16,11.0,11.0,11.0,11.0,4000
2017-02-14,11.0,11.0,11.0,11.0,6000
2017-02-07,11.5,11.5,11.5,11.5,100
2017-02-06,11.2,11.2,11.1,11.1,1100
2017-02-03,11.0,11.0,11.0,11.0,6600
2017-02-02,11.0,11.0,11.0,11.0,3500
2017-01-24,11.0,11.0,11.0,11.0,6000
2017-01-23,11.0,11.0,11.0,11.0,5000
2017-01-20,11.0,11.0,11.0,11.0,55000
2017-01-18,11.0,11.0,11.0,11.0,5500
2017-01-17,11.0,11.0,11.0,11.0,24600
2017-01-16,11.0,11.0,11.0,11.0,12200
2017-01-09,11.0,11.0,11.0,11.0,12200
2017-01-04,10.0,10.0,9.8,9.8,1600
2017-01-03,11.0,11.0,11.0,11.0,2900
2016-12-29,11.0,11.0,11.0,11.0,2100
2016-12-28,11.0,11.0,11.0,11.0,3000
2016-12-27,11.0,11.0,11.0,11.0,17900
2016-12-26,11.0,11.0,11.0,11.0,2000
2016-12-22,11.3,11.3,11.3,11.3,5000
2016-12-21,10.5,11.0,10.5,11.0,10000
2016-12-20,10.5,10.5,10.5,10.5,3500
2016-12-16,10.5,10.5,10.5,10.5,1700
2016-12-15,10.5,10.5,10.5,10.5,2000
2016-12-14,10.5,10.5,10.5,10.5,3000
2016-12-13,10.5,10.5,10.0,10.5,5900
2016-12-01,11.0,11.0,11.0,11.0,200
2016-11-21,11.0,11.0,11.0,11.0,1800
2016-11-17,11.2,11.2,11.2,11.2,1000
2016-11-14,11.0,11.0,11.0,11.0,500
2016-11-11,11.0,11.0,11.0,11.0,4000
2016-11-10,11.5,11.5,11.5,11.5,1000
2016-11-07,11.5,11.5,11.5,11.5,4000
2016-11-01,12.0,12.0,12.0,12.0,100
2016-10-31,11.7,11.7,11.7,11.7,100
2016-09-28,10.2,10.2,10.2,10.2,30000
2016-09-22,9.83,9.83,9.83,9.83,3000
2016-09-12,9.73,9.73,9.64,9.64,10000
2016-09-08,9.82,9.82,9.35,9.36,10000
2016-09-06,10.3,10.3,10.3,10.29,500
2016-09-01,9.83,9.83,9.83,9.83,1800
2016-08-31,9.83,9.83,9.83,9.83,10000
2016-08-30,9.36,9.36,9.36,9.36,12000
2016-07-21,10.76,10.76,10.76,10.76,4000
2016-07-20,10.76,10.76,10.76,10.76,9800
2016-07-19,10.76,10.76,10.76,10.76,300
2016-07-15,10.76,10.76,10.76,10.76,1000
2016-07-04,10.76,10.76,10.76,10.76,49500
2016-06-30,10.3,10.3,10.3,10.29,100
2016-06-28,9.83,9.83,9.83,9.83,1000
2016-06-23,9.82,9.82,9.82,9.83,600
2016-06-20,10.57,10.57,10.57,10.57,100
2016-06-02,10.29,10.29,10.29,10.29,1000
2016-03-29,10.29,10.29,10.29,10.29,1000
2016-03-23,9.54,9.54,9.45,9.45,3000
2016-03-22,9.45,9.45,9.45,9.45,1000
2016-03-15,9.36,9.36,9.36,9.36,1000
2016-02-22,10.76,10.76,10.76,10.76,1000
2016-01-27,10.76,10.76,10.76,10.76,500
2016-01-25,10.76,10.76,10.76,10.76,4500
2016-01-21,10.29,10.29,10.29,10.29,1000
2016-01-15,10.76,10.76,10.76,10.76,5000
2016-01-14,10.76,10.76,10.76,10.76,4000
2016-01-12,10.29,10.29,10.29,10.29,2000
2016-01-11,10.77,10.77,10.77,10.76,1000
2015-12-31,10.86,10.86,10.86,10.86,100
2015-12-30,10.86,10.86,10.86,10.86,5000
2015-12-28,10.76,11.23,10.76,11.23,7900
2015-12-25,11.23,11.23,10.76,10.76,1100
2015-12-22,10.76,10.76,10.76,10.76,1000
2015-12-15,11.23,11.23,11.23,11.23,5100
2015-12-14,10.29,10.76,10.29,10.76,3000
2015-12-11,10.77,10.77,10.77,10.76,2000
2015-12-10,10.3,12.17,10.3,12.17,11000
2015-12-03,11.7,11.7,11.7,11.7,11100
2015-11-27,11.7,11.7,11.7,11.7,1000
2015-11-13,13.28,13.28,13.28,13.29,100
2015-11-06,11.6,11.6,11.6,11.6,13200
2015-11-04,11.23,11.23,11.13,11.23,55500
2015-10-27,10.29,10.29,10.29,10.29,100
2015-10-22,8.98,8.98,8.98,8.98,100
2015-10-20,10.49,10.49,10.49,10.48,12700
2015-10-16,10.76,10.85,10.76,10.86,3000
2015-10-15,10.67,10.76,10.67,10.76,6500
2015-10-14,10.48,10.86,10.48,10.76,48500
2015-10-13,10.38,10.38,10.38,10.39,17000
2015-10-12,10.48,10.48,10.29,10.29,6000
2015-10-09,10.48,10.48,10.48,10.48,4000
2015-10-08,10.29,10.76,9.82,10.76,19000
2015-10-06,10.76,10.76,10.76,10.76,100
2015-10-05,10.76,10.76,10.48,10.48,7000
2015-10-02,10.76,10.76,10.76,10.76,4300
2015-09-10,10.76,10.76,10.76,10.76,10000
2015-09-09,10.76,10.76,10.76,10.76,5000
2015-09-07,9.36,9.36,9.36,9.36,5000
2015-08-10,10.11,10.11,10.11,10.11,5000
