date,open,high,low,close,volume
2017-07-04,15.6,15.6,15.6,15.6,500
2017-07-03,15.6,15.6,15.6,15.6,2000
2017-06-30,15.0,16.0,15.0,16.0,500
2017-06-29,16.0,16.0,16.0,16.0,100
2017-06-26,15.5,15.5,15.5,15.5,100
2017-06-21,14.2,14.2,14.2,14.2,700
2017-06-20,14.0,14.0,14.0,14.0,8300
2017-06-14,13.1,13.1,13.1,13.1,400
2017-06-13,13.1,13.1,13.1,13.1,600
2017-06-12,13.0,13.1,13.0,13.1,1300
2017-06-08,15.0,15.0,15.0,15.0,300
2017-06-06,16.0,16.0,15.0,15.0,1100
2017-06-01,16.0,16.0,16.0,16.0,200
2017-05-29,16.0,16.0,16.0,16.0,100
2017-05-22,16.0,16.0,16.0,16.0,200
2017-05-09,15.33,15.33,15.33,15.32,1000
2017-05-08,14.76,14.76,14.76,14.76,100
2017-04-03,14.76,14.76,14.76,14.76,2300
2017-03-30,14.75,14.75,14.75,14.76,100
2017-03-28,15.52,15.52,15.52,15.51,100
2017-02-22,15.61,15.61,15.61,15.61,1600
2017-02-15,15.61,15.61,15.61,15.61,100
2017-02-14,14.95,15.14,14.95,15.14,3300
2017-02-07,15.13,15.13,14.95,14.95,6900
2017-02-06,15.05,15.05,15.05,15.04,100
2017-02-03,15.14,15.14,15.14,15.14,2000
2017-01-25,15.13,15.23,15.13,15.14,1100
2017-01-24,17.78,17.78,17.78,17.78,500
2017-01-17,15.32,15.61,15.32,15.61,1000
2017-01-13,15.14,15.32,15.14,15.32,1300
2017-01-11,15.23,15.33,15.14,15.32,5000
2017-01-10,15.23,15.23,15.14,15.14,6000
2017-01-09,15.14,16.84,15.14,16.84,400
2017-01-06,14.67,15.14,14.67,15.14,5400
2017-01-05,19.59,19.59,14.1,14.1,14300
