date,open,high,low,close,volume
2017-08-16,14.1,14.1,13.9,14.0,49610
2017-08-15,14.9,14.9,14.0,14.3,79670
2017-08-14,13.7,14.75,13.7,14.5,586840
2017-08-11,14.1,14.1,13.8,13.8,147440
2017-08-10,14.8,14.9,14.8,14.8,46130
2017-08-09,16.8,16.8,15.85,15.9,13690
2017-08-08,15.8,15.85,15.5,15.85,192470
2017-08-07,14.85,14.85,14.5,14.85,366120
2017-08-04,13.9,13.9,13.8,13.9,63420
2017-08-03,13.9,14.0,13.9,13.9,10660
2017-08-02,13.85,13.9,12.85,13.9,22050
2017-08-01,14.6,14.6,13.7,13.8,23100
2017-07-31,13.8,13.8,13.8,13.8,11000
2017-07-28,13.8,13.8,13.8,13.8,45600
2017-07-27,13.9,13.9,13.8,13.8,66040
2017-07-26,13.9,14.0,13.8,13.9,68360
2017-07-25,14.0,14.0,13.8,13.8,77030
2017-07-24,14.0,14.0,13.9,13.9,28000
2017-07-21,14.1,14.9,13.9,13.9,52240
2017-07-20,14.0,14.1,13.9,14.0,84400
2017-07-19,14.1,14.1,14.0,14.0,46260
2017-07-18,13.8,14.1,13.8,14.05,205760
2017-07-17,13.9,13.9,13.8,13.9,50120
2017-07-14,13.9,13.9,13.85,13.9,63690
2017-07-13,13.9,14.0,13.9,14.0,20030
2017-07-12,13.9,13.9,13.85,13.9,42000
2017-07-11,13.9,14.0,13.8,14.0,61000
2017-07-10,13.9,13.9,13.8,13.9,70650
2017-07-07,13.9,14.0,13.85,13.9,220000
2017-07-06,13.9,14.0,13.9,14.0,230530
2017-07-05,13.95,14.0,13.8,14.0,61930
2017-07-04,13.95,14.0,13.9,14.0,76820
2017-07-03,14.0,14.0,13.8,14.0,315440
2017-06-30,14.0,14.0,13.7,14.0,253050
2017-06-29,14.0,14.0,13.8,14.0,258990
2017-06-28,14.0,14.1,13.9,14.0,157150
2017-06-27,13.9,14.1,13.9,14.0,102010
2017-06-26,14.0,14.0,13.8,13.9,88200
2017-06-23,13.9,14.1,13.85,14.0,116400
2017-06-22,13.8,14.0,13.8,13.9,69240
2017-06-21,13.7,14.05,13.7,13.75,61200
2017-06-20,14.0,14.0,13.9,14.0,294630
2017-06-19,13.7,14.0,13.15,14.0,133200
2017-06-16,14.0,14.1,14.0,14.1,152300
2017-06-15,14.0,14.0,14.0,14.0,132000
2017-06-14,13.9,14.1,13.9,14.1,208370
2017-06-13,14.0,14.0,13.9,14.0,111700
2017-06-12,14.0,14.0,14.0,14.0,200
2017-06-09,14.0,14.0,14.0,14.0,900
2017-06-08,14.0,14.1,13.9,14.1,48380
2017-06-07,14.0,14.0,13.85,14.0,50010
2017-06-06,13.9,14.0,13.8,14.0,92320
2017-06-05,14.0,14.1,13.9,13.9,111900
