date,open,high,low,close,volume
2017-08-04,21.1,21.3,21.0,21.0,65440
2017-08-03,21.35,21.4,21.0,21.0,108510
2017-08-02,21.5,21.5,21.2,21.3,47740
2017-08-01,21.2,21.85,21.2,21.5,75770
2017-07-31,21.6,21.95,20.8,21.0,183410
2017-07-28,21.3,22.5,21.0,21.9,68640
2017-07-27,21.3,21.55,21.3,21.3,23310
2017-07-26,21.65,21.65,21.1,21.3,83640
2017-07-25,21.5,21.5,21.0,21.2,25400
2017-07-24,21.1,21.7,21.1,21.2,16210
2017-07-21,21.85,21.85,21.15,21.15,30120
2017-07-20,21.5,22.0,21.5,21.6,23930
2017-07-19,21.5,21.5,21.2,21.5,34430
2017-07-18,21.6,21.6,21.0,21.0,43400
2017-07-17,21.5,21.6,20.2,21.5,19340
2017-07-14,21.6,21.8,21.45,21.6,28060
2017-07-13,21.7,21.9,21.6,21.6,34710
2017-07-12,21.9,22.0,21.65,21.65,82730
2017-07-11,22.0,22.05,21.65,21.7,60790
2017-07-10,21.95,21.95,21.5,21.65,48580
2017-07-07,21.9,21.9,21.6,21.6,10260
2017-07-06,22.2,22.2,21.8,21.9,17940
2017-07-05,21.5,22.25,21.5,22.2,59420
2017-07-04,21.5,21.75,21.5,21.6,29220
2017-07-03,21.5,21.9,21.4,21.85,26460
2017-06-30,21.9,21.9,21.3,21.5,31560
2017-06-29,21.1,22.3,21.1,21.9,65570
2017-06-28,21.15,21.5,21.05,21.05,88130
2017-06-27,21.5,21.8,21.0,21.8,98790
2017-06-26,22.0,22.3,21.7,21.8,69640
2017-06-23,22.6,22.65,22.0,22.1,98220
2017-06-22,23.7,23.7,22.25,22.6,133590
2017-06-21,23.8,23.8,23.2,23.75,59970
2017-06-20,24.15,24.2,23.9,24.0,57130
2017-06-19,24.2,24.3,24.0,24.1,76920
2017-06-16,24.4,24.4,24.0,24.15,44090
2017-06-15,23.9,24.4,23.75,24.4,122020
2017-06-14,23.6,23.85,23.6,23.6,30890
2017-06-13,23.95,23.95,23.6,23.6,25220
2017-06-12,23.6,24.2,23.6,23.6,38240
2017-06-09,23.8,24.05,23.3,23.6,34200
2017-06-08,24.2,24.35,23.9,23.9,39050
2017-06-07,23.6,24.4,23.6,24.3,85920
2017-06-06,23.3,24.05,23.3,23.9,26890
2017-06-05,23.8,24.1,23.8,23.8,11610
2017-06-02,23.0,23.8,23.0,23.8,51030
2017-06-01,23.5,24.0,23.3,23.3,52760
2017-05-31,24.7,24.7,24.0,24.0,182530
2017-05-30,24.5,24.8,24.4,24.65,60160
2017-05-29,25.1,25.1,24.7,24.8,26650
2017-05-26,25.0,25.1,24.85,25.1,67870
2017-05-25,25.0,25.55,24.35,24.8,79460
2017-05-24,24.8,24.8,24.3,24.6,102880
2017-05-23,25.1,25.1,24.6,24.7,89670
2017-05-22,25.3,25.45,24.6,24.8,79760
2017-05-19,24.6,25.2,24.6,25.0,91960
2017-05-18,25.5,25.7,24.6,25.0,106350
2017-05-17,25.9,26.15,25.8,26.0,47060
2017-05-16,26.0,26.45,25.5,26.1,69180
2017-05-15,25.75,26.4,25.75,26.0,121510
2017-05-12,25.4,25.8,25.4,25.75,56670
2017-05-11,25.7,25.7,25.1,25.4,39870
2017-05-10,25.3,25.4,25.1,25.4,63250
2017-05-09,25.35,25.55,25.1,25.2,74790
2017-05-08,25.1,25.35,25.1,25.35,111920
2017-05-05,25.45,25.5,25.2,25.4,83150
2017-05-04,24.5,25.4,24.5,25.35,129890
2017-05-03,24.6,25.1,24.35,24.5,211190
2017-04-28,25.6,25.8,25.2,25.5,78060
2017-04-27,25.8,25.8,25.45,25.55,63120
2017-04-26,24.8,25.8,24.8,25.4,83350
2017-04-25,25.2,25.5,24.7,24.7,127240
2017-04-24,26.0,26.3,25.3,25.4,177770
2017-04-21,26.0,26.3,26.0,26.0,131890
2017-04-20,26.2,26.4,25.9,26.0,76290
2017-04-19,26.5,26.5,26.1,26.2,62840
2017-04-18,25.5,26.5,25.5,26.5,164830
2017-04-17,26.2,26.75,25.6,25.6,191250
2017-04-14,26.4,26.7,25.8,26.2,199090
2017-04-13,27.7,27.7,26.8,26.8,165340
2017-04-12,28.0,28.45,27.8,27.8,318450
2017-04-11,28.0,28.5,27.6,28.0,241090
2017-04-10,28.5,28.5,27.8,27.8,144150
2017-04-07,27.5,28.5,27.3,28.3,367460
2017-04-05,27.0,27.35,26.7,27.1,153860
2017-04-04,27.1,27.1,26.0,26.9,90060
2017-04-03,27.35,27.5,27.0,27.0,107570
2017-03-31,27.2,27.8,27.2,27.35,114220
2017-03-30,26.95,27.2,26.5,27.1,127110
2017-03-29,25.65,26.6,25.65,26.6,122070
2017-03-28,25.8,25.9,25.6,25.6,51330
2017-03-27,26.1,26.3,25.7,25.8,75330
2017-03-24,26.0,26.5,26.0,26.0,67100
2017-03-23,25.6,26.25,25.4,26.1,72360
2017-03-22,26.1,26.1,25.6,25.6,98390
2017-03-21,26.0,26.2,25.75,26.1,88520
2017-03-20,26.6,26.6,26.0,26.1,127230
2017-03-17,25.8,26.95,25.8,26.6,157690
2017-03-16,26.5,26.5,25.6,26.0,183900
2017-03-15,26.1,26.4,25.0,25.6,402760
2017-03-14,27.5,27.85,26.4,26.4,265300
2017-03-13,28.4,28.4,27.1,27.4,115610
2017-03-10,28.05,28.75,28.05,28.4,61260
2017-03-09,28.7,28.85,28.3,28.3,73940
2017-03-08,29.0,29.1,28.5,28.7,98050
2017-03-07,29.2,29.45,28.5,29.2,52680
2017-03-06,28.15,29.2,28.15,29.2,133040
2017-03-03,28.2,28.4,27.75,28.1,121360
2017-03-02,29.5,29.8,28.0,28.55,101890
2017-03-01,29.9,29.9,29.45,29.5,41480
2017-02-28,28.9,30.0,28.7,29.5,276710
2017-02-27,28.8,28.8,28.5,28.7,41770
2017-02-24,28.7,28.9,28.35,28.8,75020
2017-02-23,28.8,29.2,28.5,28.9,208640
2017-02-22,29.0,29.0,28.8,28.8,162940
2017-02-21,28.55,29.3,28.1,28.9,198790
2017-02-20,26.65,28.5,26.65,28.5,187500
2017-02-17,26.95,26.95,26.6,26.85,75270
2017-02-16,26.8,27.3,26.7,26.9,162800
2017-02-15,26.3,26.95,26.3,26.7,108180
2017-02-14,27.2,27.45,26.5,26.5,71600
2017-02-13,26.9,27.55,26.9,27.25,143120
