date,open,high,low,close,volume
2005-12-12,59.0,59.0,59.0,59.0,13020
2005-12-13,60.0,61.5,60.0,61.5,47140
2005-12-14,61.5,61.5,60.0,60.0,29540
2005-12-15,60.0,60.0,59.0,59.0,34670
2005-12-16,59.0,59.0,59.0,59.0,6030
2005-12-19,59.0,59.0,58.0,58.0,15990
2005-12-20,58.0,58.0,57.0,57.0,9640
2005-12-21,56.0,56.0,55.5,55.5,16710
2005-12-22,55.0,55.0,55.0,55.0,25980
2005-12-23,54.5,54.5,54.5,54.5,16030
2005-12-26,54.5,54.5,54.5,54.5,14190
2005-12-27,54.5,54.5,54.0,54.0,16670
2005-12-28,53.5,53.5,53.0,53.0,26700
2005-12-29,53.0,54.0,53.0,54.0,28130
2005-12-30,56.0,56.0,54.0,54.0,23040
2006-01-03,54.0,54.0,53.0,53.0,1000
2006-01-04,53.0,53.0,53.0,53.0,16220
2006-01-05,53.0,53.5,53.0,53.5,10600
2006-01-06,53.5,53.5,53.5,53.5,7220
2006-01-09,54.0,54.0,53.5,53.5,2010
2006-01-10,53.5,53.5,53.5,53.5,3450
2006-01-11,53.5,53.5,53.0,53.0,6850
2006-01-12,52.5,52.5,52.5,52.5,9220
2006-01-13,52.5,53.0,52.5,53.0,15130
2006-01-17,53.0,53.0,53.0,53.0,8030
2006-01-18,53.5,53.5,53.5,53.5,7000
2006-01-19,53.5,53.5,53.0,53.0,5320
2006-01-20,53.5,53.5,53.5,53.5,9300
2006-01-23,53.5,53.5,53.0,53.0,7530
2006-01-24,53.0,53.0,53.0,53.0,2100
2006-01-25,53.0,54.0,53.0,54.0,2110
2006-01-26,54.0,54.0,54.0,54.0,3010
2006-01-27,54.0,54.0,54.0,54.0,9640
2006-02-06,54.0,54.0,53.5,53.5,4610
2006-02-07,54.0,54.0,54.0,54.0,10950
2006-02-08,54.0,54.0,54.0,54.0,10030
2006-02-09,54.0,54.0,54.0,54.0,6300
2006-02-10,54.0,54.0,54.0,54.0,2850
2006-02-13,54.0,54.0,54.0,54.0,12250
2006-02-14,54.0,54.0,53.5,53.5,8460
2006-02-15,53.5,54.0,53.5,54.0,19200
2006-02-16,54.0,54.0,54.0,54.0,13270
2006-02-17,54.5,54.5,54.5,54.5,13130
2006-02-20,55.0,56.5,55.0,56.5,13090
2006-02-21,56.5,56.5,56.5,56.5,13830
2006-02-22,56.5,56.5,54.5,54.5,5770
2006-02-23,54.5,54.5,54.5,54.5,5550
2006-02-24,55.5,55.5,55.5,55.5,17780
2006-02-27,55.5,55.5,55.5,55.5,22660
2006-02-28,56.0,56.0,55.5,55.5,22640
2006-03-01,56.0,58.0,56.0,58.0,20840
2006-03-02,59.0,60.0,59.0,60.0,49500
2006-03-03,61.0,61.0,57.0,57.0,24270
2006-03-06,59.0,59.5,59.0,59.5,33150
2006-03-07,60.0,61.0,60.0,61.0,61950
2006-03-08,60.5,60.5,60.0,60.0,23670
2006-03-09,60.0,61.5,60.0,61.5,19910
2006-03-10,62.5,64.0,62.5,64.0,31590
2006-03-13,65.0,65.0,65.0,65.0,30000
2006-03-14,66.0,66.0,66.0,66.0,16850
2006-03-15,69.0,69.0,68.5,68.5,44570
2006-03-16,69.0,70.5,69.0,70.5,34170
2006-03-17,73.0,74.0,73.0,74.0,22750
2006-03-20,77.5,77.5,77.5,77.5,56110
2006-03-21,81.0,81.0,81.0,81.0,65790
2006-03-22,81.0,81.0,80.0,80.0,44050
2006-03-23,78.0,78.0,78.0,78.0,29940
2006-03-24,76.5,77.0,76.5,77.0,10680
2006-03-27,78.0,80.0,78.0,80.0,17720
2006-03-28,82.0,82.0,81.0,81.0,14900
2006-03-29,83.0,83.0,80.5,80.5,15460
2006-03-30,82.0,82.0,81.0,81.0,22470
2006-03-31,82.0,82.0,82.0,82.0,25930
2006-04-03,86.0,86.0,86.0,86.0,37340
2006-04-04,89.0,89.0,86.0,86.0,23950
2006-04-05,86.0,86.0,86.0,86.0,16060
2006-04-06,88.0,88.0,88.0,88.0,19770
2006-04-07,88.0,88.0,88.0,88.0,12260
2006-04-10,89.5,89.5,88.0,88.0,23970
2006-04-11,87.0,87.0,86.0,86.0,14380
2006-04-12,86.0,87.0,86.0,87.0,12010
2006-04-13,87.0,88.0,87.0,88.0,14930
2006-04-14,89.0,89.5,89.0,89.5,9500
2006-04-17,90.0,90.0,90.0,90.0,14660
2006-04-18,90.0,94.0,90.0,94.0,24710
2006-04-19,94.0,94.0,94.0,94.0,8850
2006-04-20,94.0,94.0,94.0,94.0,13000
2006-04-21,94.0,97.5,94.0,97.5,20630
2006-04-24,102.0,102.0,101.0,101.0,19650
2006-04-25,102.0,102.0,102.0,102.0,19420
2006-04-26,102.0,102.0,101.0,101.0,8100
2006-04-27,98.0,98.0,96.0,96.0,3680
2006-04-28,91.5,97.0,91.5,97.0,25560
2006-05-03,101.0,101.0,98.5,98.5,1920
2006-05-04,98.5,98.5,97.0,97.0,11140
2006-05-05,95.0,97.0,95.0,97.0,8800
2006-05-08,92.5,92.5,92.5,92.5,7970
2006-05-09,88.0,88.0,88.0,88.0,3060
2006-05-10,84.0,84.0,84.0,84.0,21030
2006-05-11,84.0,88.0,84.0,88.0,23940
2006-05-12,92.0,92.0,92.0,92.0,19310
2006-05-15,96.5,96.5,96.5,96.5,41030
2006-05-16,96.5,96.5,92.5,92.5,37220
2006-05-17,97.0,97.0,97.0,97.0,28030
2006-05-18,97.0,97.0,96.0,96.0,12120
2006-05-19,96.0,96.0,96.0,96.0,26530
2006-05-22,81.0,82.0,81.0,82.0,13950
2006-05-23,82.0,82.0,80.0,80.0,9870
2006-05-24,80.0,84.0,80.0,84.0,9650
2006-05-25,85.0,85.0,82.0,82.0,12280
2006-05-26,80.0,83.0,80.0,83.0,6650
2006-05-29,82.0,82.0,82.0,82.0,6100
2006-05-30,80.0,80.0,80.0,80.0,5700
2006-05-31,76.0,84.0,76.0,84.0,26630
2006-06-01,84.0,84.0,81.0,81.0,1510
2006-06-02,81.0,81.0,81.0,81.0,4230
2006-06-05,82.5,83.0,82.5,83.0,9900
2006-06-06,84.0,84.0,83.0,83.0,17000
2006-06-07,82.5,82.5,82.0,82.0,6600
2006-06-08,81.0,82.0,81.0,82.0,2540
2006-06-09,81.0,81.0,81.0,81.0,10710
2006-06-12,83.0,83.0,81.5,81.5,1800
2006-06-13,81.5,81.5,81.0,81.0,1770
2006-06-14,81.0,81.0,81.0,81.0,1200
2006-06-15,81.0,81.0,81.0,81.0,700
2006-06-16,78.5,80.5,78.5,79.0,3280
2006-06-19,80.0,80.0,80.0,80.0,6990
2006-06-20,80.0,80.0,79.0,79.0,9490
2006-06-21,77.0,77.0,76.0,76.0,2840
2006-06-22,79.0,79.5,79.0,79.5,7980
2006-06-23,80.5,80.5,78.5,80.5,11990
2006-06-26,79.5,80.5,79.5,80.5,15800
2006-06-27,79.5,80.5,79.5,80.5,12400
2006-06-28,80.5,80.5,80.0,80.5,16050
2006-06-29,80.0,84.0,79.5,84.0,33050
2006-06-30,84.0,88.0,81.0,88.0,81820
2006-07-03,84.0,84.0,84.0,84.0,13350
2006-07-04,81.5,81.5,81.5,81.5,3620
2006-07-05,77.5,80.5,77.5,80.5,3140
2006-07-06,80.5,80.5,80.0,80.0,870
2006-07-07,80.0,80.0,80.0,80.0,17150
2006-07-10,80.0,80.5,80.0,80.5,14330
2006-07-11,80.5,80.5,80.0,80.0,2540
2006-07-12,80.0,80.0,79.5,79.5,2110
2006-07-13,78.5,79.0,78.5,79.0,3980
2006-07-14,78.5,79.0,78.5,79.0,2230
2006-07-17,79.0,79.0,78.0,78.0,1220
2006-07-18,78.0,78.0,75.5,75.5,2430
2006-07-19,72.5,73.0,72.5,72.5,6280
2006-07-20,70.0,76.0,70.0,76.0,1810
2006-07-21,75.0,75.0,73.5,74.0,2660
2006-07-24,73.5,73.5,72.0,72.0,4370
2006-07-25,68.5,68.5,68.5,68.5,1610
2006-07-26,68.5,71.0,68.5,68.5,1720
2006-07-27,68.5,70.0,68.5,70.0,8040
2006-07-28,71.0,71.0,71.0,71.0,3610
2006-07-31,71.0,71.0,69.0,69.0,6790
2006-08-01,67.0,67.0,66.0,66.0,6380
2006-08-02,63.0,63.0,63.0,63.0,11270
2006-08-03,63.0,65.5,63.0,65.5,6800
2006-08-04,68.5,68.5,68.5,68.5,18120
2006-08-07,70.5,70.5,70.5,70.5,9420
2006-08-08,69.0,72.5,69.0,70.0,5310
2006-08-09,70.0,70.5,70.0,70.0,4250
2006-08-10,71.5,71.5,70.5,70.5,1980
2006-08-11,72.0,74.0,72.0,74.0,20940
2006-08-14,76.0,77.5,76.0,77.5,8850
2006-08-15,80.0,80.0,77.5,77.5,5170
2006-08-16,77.5,79.0,77.5,79.0,8030
2006-08-17,82.5,82.5,80.0,80.0,18210
2006-08-18,80.0,81.0,80.0,80.0,15330
2006-08-21,80.0,80.0,80.0,80.0,30740
2006-08-22,80.0,80.0,78.0,78.0,2250
2006-08-23,78.0,79.0,78.0,79.0,19140
2006-08-24,78.0,79.0,78.0,79.0,19050
2006-08-25,79.0,79.0,79.0,79.0,1570
2006-08-28,79.0,79.0,79.0,79.0,2230
2006-08-29,79.0,79.5,79.0,79.5,14320
2006-08-30,80.0,80.0,79.5,79.5,5740
2006-08-31,79.5,79.5,79.0,79.0,3580
2006-09-01,79.0,79.5,79.0,79.5,8000
2006-09-05,80.0,83.0,80.0,83.0,12550
2006-09-06,83.0,83.0,83.0,83.0,7570
2006-09-07,80.5,81.0,80.5,80.5,3820
2006-09-08,79.5,80.0,79.5,80.0,10500
2006-09-11,80.0,80.0,80.0,80.0,3700
2006-09-12,80.0,80.0,79.0,79.5,1240
2006-09-13,82.0,82.0,81.0,81.0,2050
2006-09-14,81.0,81.0,79.0,79.0,1520
2006-09-15,80.0,80.0,79.0,79.0,9100
2006-09-18,80.0,80.0,79.0,79.0,3880
2006-09-19,80.0,80.0,80.0,80.0,5860
2006-09-20,80.0,80.0,80.0,80.0,4230
2006-09-21,80.0,80.5,80.0,80.5,3950
2006-09-22,80.5,80.5,80.0,80.0,3350
2006-09-25,81.0,81.0,80.0,80.0,7550
2006-09-26,80.0,82.0,80.0,82.0,12330
