date,open,high,low,close,volume
2011-09-13,11.3,13.5,11.1,12.2,144200.0
2011-09-14,12.0,12.0,11.1,11.1,20200.0
2011-09-15,11.0,11.0,10.7,10.7,16600.0
2011-09-16,10.5,10.5,10.3,10.3,4500.0
2011-09-19,10.1,11.0,10.0,10.5,4000.0
2011-09-20,10.0,10.0,10.0,10.0,200.0
2011-09-21,10.0,10.0,10.0,10.0,100.0
2011-09-22,10.0,10.0,10.0,10.0,100.0
2011-09-23,10.0,10.0,10.0,10.0,0.0
2011-09-26,10.7,10.7,10.7,10.7,200.0
2011-09-27,10.0,10.0,10.0,10.0,100.0
2011-09-28,10.0,10.0,9.7,9.7,1900.0
2011-09-29,10.3,10.3,10.3,10.3,100.0
2011-09-30,10.0,10.0,9.6,9.6,800.0
2011-10-03,9.7,10.0,9.7,10.0,200.0
2011-10-04,9.9,10.0,9.9,10.0,200.0
2011-10-05,10.2,10.2,10.2,10.2,100.0
2011-10-06,10.8,10.8,9.6,10.3,4000.0
2011-10-07,10.2,10.2,10.2,10.2,0.0
2011-10-10,10.2,10.2,10.2,10.2,0.0
2011-10-11,10.8,10.8,10.8,10.8,1500.0
2011-10-12,11.2,11.2,11.2,11.2,1000.0
2011-10-13,11.3,11.3,11.3,11.3,1100.0
2011-10-14,11.2,11.2,11.2,11.2,600.0
2011-10-17,11.2,11.2,11.2,11.2,0.0
2011-10-18,11.2,11.2,11.2,11.2,0.0
2011-10-19,11.2,11.2,11.2,11.2,0.0
2011-10-20,11.2,11.2,11.2,11.2,0.0
2011-10-21,11.2,11.2,11.2,11.2,0.0
2011-10-24,11.2,11.2,11.2,11.2,100.0
2011-10-25,11.2,11.2,11.2,11.2,0.0
2011-10-26,11.2,11.2,11.2,11.2,0.0
2011-10-27,11.2,11.2,11.2,11.2,0.0
2011-10-28,11.2,11.2,11.2,11.2,0.0
2011-10-31,11.2,11.2,11.2,11.2,0.0
2011-11-01,11.2,11.2,11.2,11.2,0.0
2011-11-02,11.2,11.2,11.2,11.2,2800.0
2011-11-03,11.2,11.2,11.2,11.2,0.0
2011-11-04,11.2,11.2,11.2,11.2,0.0
2011-11-07,11.2,11.2,11.2,11.2,0.0
2011-11-08,11.2,11.2,11.2,11.2,0.0
2011-11-09,11.2,11.2,11.2,11.2,0.0
2011-11-10,11.2,11.2,11.2,11.2,0.0
2011-11-11,11.2,11.2,11.2,11.2,0.0
2011-11-14,11.2,11.2,11.2,11.2,0.0
2011-11-15,11.2,11.2,11.2,11.2,0.0
2011-11-16,11.2,11.2,11.2,11.2,0.0
2011-11-17,10.5,10.5,10.5,10.5,700.0
2011-11-18,9.8,9.8,9.8,9.8,600.0
2011-11-21,9.2,9.2,9.2,9.2,7800.0
2011-11-22,9.2,9.2,9.2,9.2,0.0
2011-11-23,9.2,9.2,9.2,9.2,0.0
2011-11-24,8.6,8.6,8.6,8.6,800.0
2011-11-25,8.6,8.6,8.6,8.6,0.0
2011-11-28,8.0,8.0,8.0,8.0,100.0
2011-11-29,8.5,8.5,8.5,8.5,200.0
2011-11-30,8.5,8.5,8.5,8.5,0.0
2011-12-01,8.4,8.5,8.2,8.2,6900.0
2011-12-02,8.5,8.5,8.5,8.5,0.0
2011-12-05,8.5,8.5,8.5,8.5,0.0
2011-12-06,8.5,8.5,8.5,8.5,0.0
2011-12-07,8.4,9.0,8.0,8.2,13800.0
2011-12-08,8.5,8.5,8.5,8.5,0.0
2011-12-09,8.5,8.5,8.5,8.5,0.0
2011-12-12,8.7,8.7,8.1,8.1,500.0
2011-12-13,8.4,8.4,8.4,8.4,0.0
2011-12-14,8.8,8.8,8.0,8.0,2100.0
2011-12-15,8.2,8.5,8.2,8.5,9500.0
2011-12-16,8.5,8.5,8.5,8.5,0.0
2011-12-19,8.5,8.5,8.5,8.5,0.0
2011-12-20,8.5,8.5,8.5,8.5,0.0
2011-12-21,8.5,8.5,8.5,8.5,0.0
2011-12-22,8.5,8.5,8.5,8.5,0.0
2011-12-23,8.5,8.5,8.5,8.5,0.0
2011-12-26,8.5,8.5,8.5,8.5,0.0
2011-12-27,8.5,8.5,8.5,8.5,0.0
2011-12-28,8.5,8.5,8.5,8.5,0.0
2011-12-29,8.5,8.5,8.5,8.5,0.0
2011-12-30,8.5,8.5,8.5,8.5,0.0
2012-01-03,8.5,8.5,8.5,8.5,0.0
2012-01-04,8.5,8.5,8.5,8.5,0.0
2012-01-05,8.5,8.5,8.5,8.5,0.0
2012-01-06,8.5,8.5,8.5,8.5,0.0
2012-01-09,8.5,8.5,8.5,8.5,0.0
2012-01-10,8.0,8.5,8.0,8.5,1000.0
2012-01-11,8.0,8.0,8.0,8.0,1100.0
2012-01-12,8.0,8.0,8.0,8.0,0.0
2012-01-13,8.0,8.0,8.0,8.0,0.0
2012-01-16,8.0,8.0,8.0,8.0,0.0
2012-01-17,7.9,7.9,7.9,7.9,2000.0
2012-01-18,7.9,7.9,7.9,7.9,0.0
2012-01-19,7.9,7.9,7.9,7.9,0.0
2012-01-20,7.9,7.9,7.9,7.9,0.0
2012-01-30,7.9,7.9,7.9,7.9,0.0
2012-01-31,7.9,7.9,7.9,7.9,0.0
2012-02-01,7.9,7.9,7.9,7.9,0.0
2012-02-02,7.9,7.9,7.9,7.9,0.0
2012-02-03,7.4,7.4,7.4,7.4,3500.0
2012-02-06,7.4,7.4,7.4,7.4,0.0
2012-02-07,7.0,7.0,7.0,7.0,1000.0
2012-02-08,6.7,6.7,6.7,6.7,1900.0
2012-02-09,6.7,6.7,6.7,6.7,0.0
2012-02-10,6.7,6.7,6.7,6.7,0.0
2012-02-13,6.7,6.7,6.7,6.7,0.0
2012-02-14,6.7,6.7,6.7,6.7,0.0
2012-02-15,6.6,6.6,6.6,6.6,500.0
2012-02-16,6.7,6.7,6.7,6.7,100.0
2012-02-17,6.7,6.7,6.7,6.7,0.0
2012-02-20,6.7,6.7,6.7,6.7,0.0
2012-02-21,6.7,6.7,6.7,6.7,3000.0
2012-02-22,6.7,6.7,6.7,6.7,0.0
2012-02-23,6.7,6.7,6.7,6.7,0.0
2012-02-24,6.7,6.7,6.7,6.7,0.0
2012-02-27,7.1,7.1,7.1,7.1,100.0
2012-02-28,7.5,7.5,7.5,7.5,100.0
2012-02-29,8.0,8.0,8.0,8.0,1100.0
2012-03-01,8.5,8.5,8.5,8.5,100.0
2012-03-02,9.0,9.0,9.0,9.0,100.0
2012-03-05,9.6,9.6,9.6,9.6,3400.0
2012-03-06,10.2,10.2,9.0,9.0,1600.0
2012-03-07,9.6,9.6,9.6,9.6,100.0
2012-03-08,10.2,10.2,10.2,10.2,100.0
2012-03-09,10.9,10.9,10.9,10.9,100.0
2012-03-12,11.5,11.5,10.2,10.2,200.0
2012-03-13,11.0,11.0,10.2,10.2,300.0
2012-03-14,9.8,9.8,9.8,9.8,100.0
2012-03-15,9.2,9.2,9.2,9.2,100.0
2012-03-16,9.2,9.2,9.2,9.2,0.0
2012-03-19,9.5,9.5,8.6,8.6,200.0
2012-03-20,8.5,8.5,8.5,8.5,100.0
2012-03-21,9.0,9.0,8.0,8.9,800.0
2012-03-22,7.7,7.7,7.7,7.7,100.0
2012-03-23,8.2,8.2,7.2,7.2,400.0
2012-03-26,7.5,7.5,7.5,7.5,500.0
2012-03-27,7.5,7.5,7.5,7.5,0.0
2012-03-28,7.5,7.5,7.5,7.5,0.0
2012-03-29,8.0,8.0,7.5,7.5,600.0
2012-03-30,7.5,7.5,7.5,7.5,0.0
2012-04-03,7.5,7.5,7.5,7.5,200.0
2012-04-04,7.5,7.5,7.5,7.5,0.0
2012-04-05,8.0,8.0,7.1,7.1,200.0
2012-04-06,7.5,7.5,7.0,7.0,400.0
2012-04-09,6.8,6.8,6.8,6.8,100.0
2012-04-10,6.8,6.8,6.8,6.8,0.0
2012-04-11,6.8,6.8,6.8,6.8,0.0
2012-04-12,6.8,6.8,6.8,6.8,0.0
2012-04-13,6.8,6.8,6.8,6.8,0.0
2012-04-16,6.8,6.8,6.8,6.8,0.0
2012-04-17,7.0,7.0,6.8,6.8,1600.0
2012-04-18,7.2,7.2,7.2,7.2,200.0
2012-04-19,7.7,7.7,7.7,7.7,100.0
2012-04-20,8.2,8.2,8.2,8.2,2500.0
2012-04-23,8.2,8.2,8.2,8.2,0.0
2012-04-24,8.6,8.6,8.6,8.6,200.0
2012-04-25,9.2,9.2,9.2,9.2,100.0
2012-04-26,9.5,9.5,9.4,9.4,800.0
2012-04-27,8.8,8.8,8.8,8.8,4900.0
2012-05-02,9.0,9.0,8.9,9.0,7000.0
2012-05-03,9.4,9.4,9.1,9.1,300.0
2012-05-04,9.1,9.1,9.1,9.1,0.0
2012-05-07,9.4,9.4,9.1,9.1,200.0
2012-05-08,9.3,9.3,9.3,9.3,100.0
2012-05-09,9.3,9.3,9.3,9.3,0.0
2012-05-10,8.4,8.4,8.4,8.4,0.0
2012-05-11,8.5,8.5,8.5,8.5,100.0
2012-05-14,8.8,8.8,8.8,8.8,200.0
2012-05-15,8.8,8.8,8.8,8.8,0.0
2012-05-16,8.8,8.8,8.8,8.8,0.0
2012-05-17,9.0,9.0,9.0,9.0,100.0
