date,open,high,low,close,volume
2013-06-14,4.77,4.77,4.77,4.77,300
2013-09-06,4.49,4.49,4.49,4.5,200
2013-12-24,4.92,4.92,4.92,4.91,10000
2014-02-25,5.6,5.6,5.6,5.6,2900
2014-03-06,6.15,6.15,6.15,6.15,100
2014-03-19,6.7,6.7,6.7,6.71,100
2014-03-20,7.06,7.06,7.06,7.05,100
2014-03-31,7.67,7.67,7.67,7.68,100
2014-04-01,7.06,7.06,7.06,7.05,100
2014-05-13,6.36,6.36,6.36,6.36,100
2014-05-15,6.91,6.91,6.91,6.92,1000
2014-06-11,7.61,7.61,7.61,7.61,100
2014-06-12,8.3,8.3,8.3,8.3,100
2014-06-17,8.99,8.99,8.99,8.99,100
2014-06-24,8.14,8.14,8.14,8.14,300
2014-07-23,7.83,7.83,7.83,7.84,900
2014-07-29,7.84,7.84,7.84,7.84,100
2014-08-15,8.61,8.61,8.61,8.61,100
2014-08-18,9.46,9.46,9.46,9.45,100
2014-08-19,10.22,10.22,10.22,10.22,100
2014-08-20,9.22,9.22,9.22,9.22,100
2014-08-25,8.3,8.3,8.3,8.3,1000
2014-10-07,6.99,6.99,6.99,6.99,1900
2014-11-12,7.68,7.68,7.68,7.68,100
2014-11-13,7.68,7.68,7.3,7.3,6000
2014-11-25,7.68,7.84,6.92,6.92,2400
2014-12-02,6.99,8.22,6.99,7.15,400
2014-12-03,7.38,7.38,7.07,7.15,12300
2014-12-04,7.53,7.53,7.53,7.53,400
2014-12-11,7.68,7.68,7.53,7.53,4800
2014-12-17,7.69,7.69,7.69,7.68,2000
2014-12-18,7.68,7.68,7.68,7.68,500
2014-12-22,7.68,7.68,7.68,7.68,700
2015-01-12,7.37,7.68,7.37,7.68,5200
2015-01-13,7.68,7.68,7.68,7.68,2000
2015-01-14,7.68,7.68,7.68,7.68,8200
2015-01-15,7.76,7.76,7.68,7.68,1800
2015-01-16,7.91,7.91,7.68,7.68,3900
2015-01-22,7.68,7.68,7.68,7.68,4900
2015-01-27,6.91,6.91,6.91,6.92,100
2015-03-17,6.3,6.3,6.3,6.3,100
2015-04-23,8.76,8.76,8.76,8.76,100
2015-04-27,8.45,8.45,8.45,8.45,2000
2015-05-04,8.45,8.45,8.45,8.45,100
2015-05-14,8.53,8.53,8.53,8.53,3100
2015-05-15,9.38,9.38,9.38,9.37,100
2015-05-19,9.62,9.62,9.62,9.63,1200
2015-05-21,8.79,9.88,8.79,9.88,1100
2015-05-29,9.29,9.29,9.29,9.29,100
2015-06-01,9.62,9.62,9.37,9.37,1000
2015-06-02,9.62,10.04,9.62,10.04,16000
2015-06-05,10.96,10.96,10.96,10.96,100
2015-06-10,9.96,9.96,9.96,9.96,100
2015-06-15,10.21,10.29,10.21,10.3,600
2015-06-18,10.47,10.47,10.47,10.46,1500
2015-06-23,10.54,10.54,10.54,10.55,1000
2015-06-25,10.55,10.55,10.55,10.55,200
2015-06-30,11.47,11.47,11.47,11.47,200
2015-07-02,10.88,10.88,10.88,10.88,900
2015-07-23,10.71,10.71,10.71,10.71,1000
2015-07-29,10.71,10.71,10.71,10.71,1000
2015-08-05,10.71,10.71,10.71,10.71,4000
2015-08-13,12.22,12.22,12.22,12.22,200
2015-08-19,13.89,13.89,13.89,13.89,100
2015-08-20,15.81,15.81,11.88,15.82,700
2015-08-21,14.06,14.06,14.06,14.06,100
2015-08-24,14.98,14.98,14.98,14.98,100
2015-08-31,12.8,17.07,12.8,17.07,200
2015-09-01,12.8,12.8,12.8,12.81,100
2015-09-04,14.57,14.57,14.57,14.56,100
2015-09-07,12.38,12.38,12.38,12.39,100
2015-09-10,14.15,14.15,14.15,14.15,100
2015-09-11,12.06,12.06,12.06,12.05,100
2015-09-14,13.72,13.72,13.72,13.73,100
2015-09-15,15.66,15.66,11.72,15.65,300
2015-09-16,12.22,12.22,12.22,12.22,100
2015-09-17,13.89,13.89,13.89,13.89,100
2015-09-18,11.88,11.88,11.88,11.89,100
2015-09-25,13.56,13.56,13.56,13.56,100
