date,open,high,low,close,volume
2009-12-01,18.0,18.5,17.6,18.5,37400.0
2009-12-02,18.5,18.5,16.8,16.8,3000.0
2009-12-03,16.7,16.7,16.7,16.7,7800.0
2009-12-04,15.6,15.6,15.6,15.6,3400.0
2009-12-07,14.6,15.2,14.6,15.2,26700.0
2009-12-08,15.1,15.1,14.0,14.1,7100.0
2009-12-09,13.5,15.0,13.3,13.3,2500.0
2009-12-10,14.6,14.6,13.0,14.5,800.0
2009-12-11,14.5,14.5,13.0,13.0,2000.0
2009-12-14,14.0,14.0,14.0,14.0,200.0
2009-12-15,13.2,14.4,13.2,14.4,400.0
2009-12-16,12.9,12.9,12.9,12.9,2000.0
2009-12-17,12.0,12.0,12.0,12.0,5600.0
2009-12-18,12.8,12.8,12.8,12.8,100.0
2009-12-21,13.5,13.5,13.0,13.0,1200.0
2009-12-22,12.4,12.4,12.2,12.2,10200.0
2009-12-23,11.8,11.8,11.7,11.7,300.0
2009-12-24,12.6,12.6,12.6,12.6,3400.0
2009-12-25,13.4,13.4,13.4,13.4,8800.0
2009-12-28,14.3,14.3,14.3,14.3,30100.0
2009-12-29,14.9,14.9,14.9,14.9,100.0
2009-12-30,14.9,14.9,13.9,13.9,5100.0
2009-12-31,14.8,14.8,14.5,14.5,3500.0
2010-01-04,14.0,15.4,14.0,15.4,50300.0
2010-01-05,15.6,15.6,15.0,15.6,17500.0
2010-01-06,16.2,16.2,14.7,14.7,3600.0
2010-01-07,14.3,15.2,14.3,14.5,4600.0
2010-01-08,14.7,14.7,13.7,13.7,11600.0
2010-01-11,14.0,14.0,13.6,13.6,7500.0
2010-01-12,13.9,13.9,13.2,13.3,9100.0
2010-01-13,13.0,13.0,12.5,12.5,6100.0
2010-01-14,13.5,13.5,13.5,13.5,3900.0
2010-01-15,14.0,14.0,13.5,13.5,2300.0
2010-01-18,12.8,12.9,12.8,12.9,3300.0
2010-01-19,12.0,13.6,12.0,13.6,42300.0
2010-01-20,12.9,13.0,12.9,13.0,1600.0
2010-01-21,12.9,12.9,12.9,12.9,700.0
2010-01-22,13.6,13.7,13.6,13.7,200.0
2010-01-25,12.9,12.9,12.8,12.8,1000.0
2010-01-26,13.5,13.5,13.5,13.5,100.0
2010-01-27,12.7,12.8,12.6,12.8,1700.0
2010-01-28,12.7,12.7,12.7,12.7,2400.0
2010-01-29,12.7,12.7,12.7,12.7,100.0
2010-02-01,12.7,12.9,12.7,12.9,200.0
2010-02-02,12.8,12.8,12.8,12.8,500.0
2010-02-03,12.8,12.8,12.8,12.8,2200.0
2010-02-04,13.3,13.3,12.8,12.8,300.0
2010-02-05,13.0,13.0,13.0,13.0,0.0
2010-02-08,13.0,13.0,13.0,13.0,300.0
2010-02-09,13.0,13.0,13.0,13.0,0.0
2010-02-10,13.0,13.0,13.0,13.0,400.0
2010-02-11,13.5,13.5,13.5,13.5,100.0
2010-02-12,13.0,13.0,13.0,13.0,1700.0
2010-02-22,12.9,12.9,12.9,12.9,100.0
2010-02-23,12.2,12.2,12.2,12.2,500.0
2010-02-24,13.0,13.0,13.0,13.0,400.0
2010-02-25,13.0,13.0,13.0,13.0,0.0
2010-02-26,13.0,13.0,13.0,13.0,0.0
2010-03-01,12.6,12.9,12.6,12.9,600.0
2010-03-02,12.9,12.9,12.7,12.7,400.0
2010-03-03,12.8,12.8,12.6,12.6,1000.0
2010-03-04,13.0,13.4,13.0,13.3,10400.0
2010-03-05,13.0,13.0,13.0,13.0,2900.0
2010-03-08,13.1,13.1,13.1,13.1,700.0
2010-03-09,13.4,13.4,12.8,12.9,3100.0
2010-03-10,12.9,12.9,12.4,12.4,2900.0
2010-03-11,12.7,12.7,12.5,12.7,1600.0
2010-03-12,12.6,12.9,12.6,12.9,8300.0
2010-03-15,12.9,13.5,12.7,13.5,18200.0
2010-03-16,13.9,14.1,13.9,14.1,29600.0
2010-03-17,15.0,15.0,14.7,14.7,5600.0
2010-03-18,14.5,14.5,13.8,14.4,11400.0
2010-03-19,13.1,13.8,13.1,13.2,5600.0
2010-03-22,13.5,13.5,12.6,13.4,11900.0
2010-03-23,13.7,13.7,13.3,13.5,3400.0
2010-03-24,13.8,14.0,13.8,14.0,4300.0
2010-03-25,14.0,14.0,13.0,13.5,3000.0
2010-03-26,13.7,13.7,13.5,13.5,2500.0
2010-03-29,13.1,13.5,13.1,13.5,4500.0
2010-03-30,13.0,13.3,13.0,13.1,2400.0
2010-03-31,13.3,13.3,13.2,13.2,9900.0
2010-04-01,13.0,13.0,13.0,13.0,3600.0
2010-04-02,12.3,12.3,12.2,12.3,4100.0
2010-04-05,13.1,13.1,13.1,13.1,900.0
2010-04-06,13.2,13.5,13.1,13.5,9100.0
2010-04-07,14.0,14.1,13.5,14.0,18800.0
2010-04-08,14.4,14.8,14.0,14.8,50300.0
2010-04-09,15.0,15.1,14.0,14.0,2700.0
2010-04-12,14.5,14.5,14.0,14.1,4500.0
2010-04-13,14.2,14.7,14.0,14.7,10800.0
2010-04-14,15.0,15.0,14.5,14.5,6700.0
2010-04-15,14.1,15.0,14.0,14.6,20800.0
2010-04-16,14.6,14.6,13.3,13.3,13500.0
2010-04-19,14.5,14.5,14.2,14.3,6800.0
2010-04-20,14.4,15.1,14.3,15.1,50000.0
2010-04-21,15.1,15.9,15.1,15.9,67900.0
2010-04-22,16.1,16.1,15.4,15.4,14000.0
2010-04-26,15.4,15.7,15.1,15.4,21900.0
2010-04-27,15.3,15.4,15.0,15.4,24600.0
2010-04-28,15.8,16.2,14.6,16.2,71800.0
2010-04-29,17.0,17.0,17.0,17.0,144900.0
2010-05-04,18.1,18.1,18.1,18.1,121900.0
2010-05-05,19.2,19.3,18.5,19.3,146600.0
2010-05-06,18.8,19.0,18.8,19.0,67500.0
2010-05-07,20.3,20.3,18.0,18.4,144400.0
2010-05-10,19.0,19.6,17.9,17.9,60300.0
2010-05-11,18.3,18.4,17.2,17.3,61100.0
2010-05-12,17.5,17.7,16.4,16.4,60900.0
2010-05-13,15.6,17.0,15.5,15.5,116800.0
2010-05-14,15.0,15.9,15.0,15.9,35200.0
2010-05-17,16.0,16.6,15.9,16.5,69300.0
2010-05-18,16.5,16.5,15.5,15.5,15400.0
2010-05-19,15.0,15.0,14.7,14.7,38800.0
2010-05-20,13.7,15.0,13.7,15.0,38900.0
2010-05-21,13.4,14.2,13.3,13.3,82700.0
2010-05-24,13.6,14.3,13.6,14.1,26600.0
2010-05-25,13.5,14.0,13.0,14.0,58800.0
2010-05-26,14.0,14.4,13.8,14.4,18500.0
2010-05-27,13.9,15.3,13.9,15.2,20600.0
2010-05-28,15.6,15.7,15.0,15.7,46900.0
2010-05-31,14.8,15.0,14.5,14.7,23100.0
2010-06-01,14.2,14.5,14.1,14.4,14500.0
2010-06-02,14.3,14.4,14.0,14.3,12900.0
2010-06-03,14.4,15.2,14.4,14.9,44400.0
2010-06-04,14.6,14.6,14.0,14.0,53500.0
2010-06-07,13.4,14.5,13.4,13.8,41700.0
2010-06-08,14.4,14.7,14.0,14.7,13100.0
2010-06-09,15.5,15.5,15.1,15.5,115000.0
2010-06-10,15.8,16.4,15.8,16.4,98300.0
2010-06-11,17.5,17.5,17.5,17.5,61200.0
2010-06-14,18.7,18.7,16.5,17.9,220000.0
2010-06-15,18.0,19.0,17.1,18.0,179100.0
2010-06-16,16.6,18.9,16.6,18.9,274100.0
2010-06-17,19.5,19.5,19.0,19.5,203500.0
2010-06-18,19.5,20.8,19.4,20.8,218700.0
2010-06-21,22.1,22.1,22.1,22.1,100700.0
2010-06-22,23.6,23.6,21.0,22.6,306200.0
2010-06-23,23.1,24.0,21.6,24.0,232500.0
2010-06-24,24.0,24.3,24.0,24.3,63300.0
2010-06-25,26.0,26.0,25.0,25.9,247600.0
2010-06-28,24.1,26.0,24.1,26.0,200300.0
2010-06-29,26.0,26.2,22.8,22.8,454200.0
2010-06-30,22.1,23.5,22.1,22.7,99700.0
2010-07-01,21.0,22.5,20.9,22.0,117300.0
2010-07-02,21.5,22.0,20.8,21.9,52700.0
2010-07-05,20.3,22.8,20.3,22.8,119000.0
2010-07-06,22.9,22.9,21.8,21.8,71800.0
2010-07-07,23.5,23.5,21.0,21.2,101900.0
2010-07-08,21.6,22.6,20.8,21.4,65400.0
2010-07-09,22.0,22.3,20.5,20.9,110000.0
2010-07-12,21.1,21.5,20.5,21.5,44300.0
2010-07-13,21.0,22.2,21.0,21.2,70100.0
2010-07-14,22.4,22.4,21.0,21.0,42000.0
2010-07-15,21.2,23.0,21.0,23.0,405900.0
2010-07-16,23.0,23.8,23.0,23.8,149000.0
2010-07-19,23.9,25.3,23.9,25.3,324100.0
2010-07-20,25.2,26.9,24.7,24.7,119300.0
2010-07-21,25.7,25.7,24.0,24.0,101800.0
2010-07-22,22.6,23.5,22.5,23.0,257700.0
2010-07-23,23.2,24.1,22.6,23.3,94400.0
2010-07-26,24.0,24.0,21.6,22.0,61500.0
2010-07-27,21.7,22.0,20.8,21.2,104100.0
2010-07-28,22.0,22.0,20.1,20.5,75600.0
2010-07-29,21.0,21.8,20.1,21.8,99300.0
2010-07-30,22.5,22.6,21.8,22.6,87100.0
2010-08-02,23.2,23.2,21.4,21.5,48000.0
2010-08-03,22.5,22.5,20.7,21.0,48800.0
2010-08-04,21.0,21.1,19.7,20.3,78700.0
2010-08-05,21.2,21.2,20.5,21.0,49000.0
2010-08-06,21.8,21.8,20.3,20.5,46300.0
2010-08-09,21.3,21.3,19.1,19.1,36300.0
2010-08-10,18.5,18.5,17.9,18.0,80200.0
2010-08-11,17.9,18.4,17.0,18.0,51600.0
2010-08-12,18.3,18.3,16.9,16.9,50500.0
2010-08-13,15.9,17.6,15.9,16.9,60400.0
2010-08-16,16.9,17.4,16.9,17.4,14800.0
2010-08-17,17.5,17.5,16.5,16.6,48400.0
2010-08-18,17.5,17.5,16.0,16.3,49700.0
2010-08-19,16.4,16.7,15.9,16.6,42100.0
2010-08-20,16.2,16.3,16.0,16.1,41300.0
2010-08-23,16.0,16.2,15.8,15.8,28500.0
2010-08-24,15.5,15.5,14.9,14.9,47500.0
2010-08-25,14.1,14.4,14.0,14.0,70500.0
2010-08-26,14.8,14.9,13.5,14.9,67900.0
2010-08-27,15.0,15.4,14.2,14.5,39400.0
2010-08-30,15.6,15.7,15.6,15.7,54300.0
2010-08-31,16.6,16.7,16.3,16.7,47800.0
2010-09-01,17.6,17.7,17.0,17.7,88500.0
2010-09-06,18.7,18.8,18.7,18.8,68500.0
2010-09-07,19.0,19.0,17.5,17.7,80700.0
2010-09-08,18.0,18.0,16.9,17.3,123800.0
2010-09-09,17.5,18.2,17.5,18.2,129300.0
2010-09-10,19.4,19.4,17.0,17.0,86100.0
2010-09-13,18.0,18.0,16.3,16.6,41900.0
2010-09-14,16.6,17.2,16.6,16.9,21800.0
2010-09-15,17.6,17.6,16.2,16.5,15500.0
2010-09-16,16.2,17.0,16.2,16.6,11200.0
2010-09-17,17.2,17.5,16.6,17.5,41700.0
2010-09-20,17.8,17.9,17.0,17.3,37000.0
2010-09-21,17.4,17.4,16.5,16.6,19000.0
2010-09-22,16.7,16.9,16.3,16.7,36000.0
2010-09-23,16.7,17.7,16.6,17.5,94000.0
2010-09-24,17.8,18.2,17.5,17.8,73400.0
2010-09-27,17.8,17.8,17.3,17.7,24600.0
2010-09-28,17.8,18.0,17.3,17.5,15600.0
2010-09-29,17.5,17.5,16.5,16.5,54500.0
2010-09-30,16.5,16.7,16.1,16.6,19200.0
2010-10-01,16.5,16.5,15.6,15.6,31700.0
2010-10-04,15.6,15.8,14.8,15.0,87400.0
2010-10-05,15.0,15.5,14.7,15.5,35700.0
2010-10-06,15.9,16.1,15.1,16.1,40100.0
2010-10-07,16.3,16.3,15.3,15.3,10600.0
2010-10-08,15.2,15.5,14.9,15.0,7700.0
2010-10-11,15.1,15.1,14.8,14.8,17600.0
2010-10-12,15.0,15.0,14.1,14.4,12800.0
2010-10-13,14.4,14.5,14.1,14.5,12400.0
2010-10-14,15.0,15.0,14.5,14.5,5900.0
2010-10-15,14.8,14.9,14.4,14.6,11700.0
2010-10-18,14.8,14.8,14.4,14.4,13000.0
2010-10-19,14.4,14.5,13.8,13.8,17700.0
2010-10-20,15.0,15.0,13.2,13.2,57000.0
2010-10-21,14.0,14.0,13.0,13.0,5100.0
2010-10-22,13.2,13.3,12.5,13.0,23400.0
2010-10-25,13.1,13.7,12.8,13.7,14400.0
2010-10-26,13.9,14.0,13.9,14.0,11500.0
2010-10-27,14.9,14.9,13.5,13.5,2200.0
2010-10-28,13.1,13.4,13.1,13.2,2600.0
2010-10-29,13.5,13.5,13.1,13.3,4000.0
2010-11-01,13.2,13.5,13.2,13.4,3000.0
2010-11-02,13.1,13.3,12.4,13.0,12800.0
2010-11-03,12.9,12.9,11.8,11.8,29100.0
2010-11-04,12.6,12.6,12.0,12.1,4100.0
2010-11-05,12.4,12.8,12.4,12.8,4300.0
2010-11-08,11.9,13.4,11.9,12.6,13100.0
2010-11-09,12.2,12.3,12.1,12.1,14300.0
2010-11-10,12.4,12.6,12.0,12.2,14800.0
2010-11-11,12.7,12.8,11.5,11.8,16200.0
2010-11-12,11.2,11.5,11.2,11.3,23500.0
2010-11-15,11.9,11.9,10.7,10.7,13000.0
2010-11-16,10.7,10.7,10.5,10.5,29300.0
2010-11-17,10.9,11.0,10.5,10.7,17000.0
2010-11-18,11.1,11.4,11.0,11.4,14900.0
2010-11-19,11.3,11.7,11.0,11.0,7700.0
2010-11-22,11.3,11.3,10.4,10.8,6900.0
2010-11-23,10.1,10.8,10.1,10.7,8300.0
2010-11-24,11.1,11.1,10.7,10.9,9200.0
2010-11-25,11.3,11.6,11.2,11.6,32700.0
2010-11-26,12.0,12.0,11.5,11.8,12600.0
2010-11-29,11.5,12.5,11.4,12.5,35400.0
2010-11-30,12.6,12.7,12.6,12.7,41200.0
2010-12-01,13.4,13.4,12.3,12.3,5700.0
2010-12-02,13.0,13.2,12.0,13.0,35600.0
2010-12-03,13.0,13.2,13.0,13.2,74800.0
2010-12-06,14.0,14.1,13.2,13.8,69000.0
2010-12-07,13.7,14.7,13.1,13.5,22600.0
