date,open,high,low,close,volume
2009-12-21,17.5,17.5,15.0,16.5,3500.0
2009-12-22,16.0,16.0,16.0,16.0,100.0
2009-12-23,17.1,17.1,17.0,17.0,500.0
2009-12-24,16.5,17.5,16.5,16.5,3800.0
2009-12-25,15.8,16.3,15.7,16.3,7800.0
2009-12-28,14.7,15.0,14.7,15.0,5500.0
2009-12-29,15.0,15.0,15.0,15.0,100.0
2009-12-30,14.2,14.2,14.0,14.0,2100.0
2009-12-31,14.9,14.9,13.1,13.1,10500.0
2010-01-04,13.9,14.1,13.9,14.1,3700.0
2010-01-05,14.9,14.9,14.9,14.9,6800.0
2010-01-06,15.8,15.8,15.8,15.8,100.0
2010-01-07,16.0,16.0,14.7,14.7,4900.0
2010-01-08,14.0,15.3,14.0,14.0,11100.0
2010-01-11,14.4,14.4,14.0,14.0,1300.0
2010-01-12,14.0,14.0,13.2,13.2,7200.0
2010-01-13,13.0,13.9,12.3,13.9,2600.0
2010-01-14,13.3,13.3,13.3,13.3,400.0
2010-01-15,14.2,14.2,14.2,14.2,900.0
2010-01-18,14.4,14.4,14.4,14.4,100.0
2010-01-19,14.4,14.4,14.4,14.4,0.0
2010-01-20,13.5,13.5,13.5,13.5,3200.0
2010-01-21,13.5,13.5,13.5,13.5,0.0
2010-01-22,13.5,13.5,13.5,13.5,0.0
2010-01-25,13.5,13.5,13.5,13.5,2000.0
2010-01-26,13.2,13.2,13.2,13.2,100.0
2010-01-27,12.9,12.9,12.6,12.6,2000.0
2010-01-28,13.0,13.0,12.5,12.5,3500.0
2010-01-29,12.5,12.5,12.5,12.5,1500.0
2010-02-01,12.0,12.5,12.0,12.5,6800.0
2010-02-02,13.0,13.0,13.0,13.0,100.0
2010-02-03,12.2,12.2,12.2,12.2,1800.0
2010-02-04,12.0,12.0,12.0,12.0,2000.0
2010-02-05,12.5,12.5,12.5,12.5,1000.0
2010-02-08,12.5,12.5,11.7,11.7,11500.0
2010-02-09,11.2,11.2,11.0,11.0,18200.0
