date,open,high,low,close,volume
2016-03-28,10.0,10.0,7.5,7.7,339100.0
2016-03-29,7.7,7.8,7.3,7.3,182400.0
2016-03-30,7.5,7.5,7.1,7.3,46470.0
2016-03-31,7.2,7.3,6.8,6.8,317900.0
2016-04-01,6.8,6.9,6.5,6.5,195200.0
2016-04-04,6.4,6.7,6.4,6.5,85100.0
2016-04-05,6.4,6.8,6.3,6.8,118200.0
2016-04-06,6.8,6.8,6.5,6.5,22600.0
2016-04-07,6.7,6.7,6.5,6.5,47330.0
2016-04-08,6.5,6.5,6.4,6.4,36230.0
2016-04-11,6.4,6.7,6.4,6.7,77100.0
2016-04-12,6.5,6.7,6.5,6.7,12300.0
2016-04-13,6.5,6.6,6.4,6.5,31552.0
2016-04-14,6.5,6.5,6.3,6.4,81300.0
2016-04-15,6.4,6.6,6.4,6.4,123385.0
2016-04-19,6.5,6.5,6.2,6.2,37537.0
2016-04-20,6.3,6.4,6.2,6.4,124015.0
2016-04-21,6.3,6.3,6.1,6.2,99925.0
2016-04-22,6.1,6.2,6.0,6.2,167737.0
2016-04-25,6.3,6.4,6.3,6.4,68000.0
2016-04-26,6.2,6.2,6.1,6.2,57620.0
2016-04-27,6.2,6.3,6.1,6.2,24210.0
2016-04-28,6.2,6.3,6.0,6.0,104740.0
2016-04-29,6.1,6.1,6.0,6.1,55940.0
2016-05-04,5.5,6.1,5.5,6.0,36075.0
2016-05-05,5.9,6.0,5.9,6.0,79800.0
2016-05-06,6.0,6.0,5.9,6.0,33018.0
2016-05-09,5.9,6.0,5.8,5.8,33150.0
2016-05-10,5.8,6.0,5.8,6.0,24710.0
2016-05-11,5.9,6.0,5.9,6.0,16144.0
2016-05-12,6.0,6.0,5.9,6.0,8702.0
2016-05-13,6.0,6.0,5.8,5.9,41610.0
2016-05-16,5.9,6.1,5.9,6.0,50700.0
2016-05-17,6.0,6.1,6.0,6.1,59910.0
2016-05-18,6.0,6.1,6.0,6.0,17200.0
2016-05-19,6.0,6.0,6.0,6.0,16100.0
2016-05-20,6.0,6.0,5.9,6.0,43810.0
2016-05-23,6.0,6.0,5.9,5.9,8300.0
2016-05-24,5.9,6.0,5.9,6.0,5700.0
2016-05-25,5.9,6.0,5.8,5.9,60200.0
2016-05-26,5.9,5.9,5.8,5.9,8098.0
2016-05-27,5.9,6.0,5.8,5.9,57525.0
2016-05-30,5.9,5.9,5.8,5.9,13200.0
2016-05-31,5.9,5.9,5.8,5.9,22600.0
2016-06-01,5.9,6.0,5.9,6.0,5200.0
2016-06-02,5.8,6.0,5.8,6.0,9200.0
2016-06-03,5.8,5.9,5.8,5.9,12500.0
2016-06-06,5.9,5.9,5.9,5.9,35500.0
2016-06-07,6.0,6.0,5.9,5.9,8500.0
2016-06-08,5.9,5.9,5.9,5.9,4700.0
2016-06-09,5.8,6.0,5.8,5.9,19900.0
2016-06-10,5.9,6.0,5.9,6.0,23300.0
2016-06-13,5.9,5.9,5.8,5.9,28000.0
2016-06-14,5.8,5.9,5.8,5.8,16100.0
2016-06-15,5.8,5.9,5.8,5.9,18914.0
2016-06-16,5.8,5.9,5.8,5.9,21800.0
2016-06-17,5.8,6.0,5.8,5.9,79400.0
2016-06-20,5.9,6.1,5.9,5.9,57276.0
2016-06-21,5.9,5.9,5.9,5.9,18678.0
2016-06-22,5.9,6.0,5.9,5.9,447112.0
2016-06-23,5.8,5.9,5.8,5.9,1500.0
2016-06-24,5.8,5.8,5.6,5.8,123900.0
2016-06-27,5.7,5.8,5.6,5.7,10030.0
