date,open,high,low,close,volume
2006-12-28,7.16,7.16,7.16,7.16,4510
2006-12-29,7.16,7.16,6.8,6.81,22200
2007-01-02,6.47,6.47,6.47,6.47,10
2007-01-03,6.15,6.15,6.15,6.14,10
2007-01-04,6.14,6.14,5.84,6.14,14700
2007-01-05,6.14,6.14,6.09,6.09,4500
2007-01-08,6.18,6.18,6.18,6.18,3250
2007-01-09,0.0,6.36,6.27,6.27,1210
2007-01-10,6.27,6.27,6.27,6.27,4680
2007-01-11,0.0,6.27,6.16,6.16,3010
2007-01-12,5.91,5.91,5.86,5.86,3990
2007-01-15,5.91,5.91,5.86,5.86,3990
2007-01-16,5.57,5.57,5.57,5.57,3300
2007-01-17,5.57,5.57,5.57,5.57,6000
2007-01-18,5.84,5.84,5.84,5.84,4600
2007-01-19,6.09,6.09,6.09,6.09,7000
2007-01-22,6.39,6.39,6.39,6.39,2100
2007-01-23,6.39,6.39,6.39,6.39,2210
2007-01-24,6.09,6.09,6.09,6.09,2100
2007-01-25,5.79,5.79,5.79,5.79,12400
2007-01-26,5.83,5.83,5.83,5.82,3000
2007-01-29,6.09,6.09,6.02,6.09,4500
2007-01-30,6.09,6.09,6.02,6.09,4500
2007-01-31,5.79,5.79,5.79,5.79,2770
2007-02-01,5.79,5.79,5.79,5.79,60
2007-02-02,5.57,5.57,5.57,5.57,250
2007-02-05,5.73,5.84,5.73,5.73,3460
2007-02-06,5.73,5.73,5.73,5.73,50
2007-02-07,5.73,5.73,5.73,5.73,1840
2007-02-08,5.73,5.73,5.55,5.73,1510
2007-02-09,5.55,5.73,5.44,5.55,1200
2007-02-12,5.75,5.82,5.75,5.82,2210
2007-02-13,6.09,6.11,6.09,6.09,3600
2007-02-14,5.91,5.91,5.91,5.91,620
2007-02-15,5.91,5.91,5.91,5.91,3500
2007-02-26,6.2,6.2,5.91,6.2,3990
2007-02-27,6.5,6.5,6.45,6.5,12940
2007-02-28,6.45,6.5,6.45,6.45,900
2007-03-01,6.77,6.77,6.45,6.77,12580
2007-03-02,6.77,6.77,6.77,6.77,15140
2007-03-05,6.77,6.77,6.54,6.77,10230
2007-03-06,6.63,6.77,6.63,6.63,28770
2007-03-07,6.74,6.96,6.74,6.95,16390
2007-03-08,6.95,7.3,6.95,7.3,38210
2007-03-09,7.66,7.66,7.66,7.66,14900
2007-03-12,8.04,8.04,8.04,8.04,5880
2007-03-13,8.44,8.44,8.44,8.44,18850
2007-03-14,8.02,8.86,8.02,8.03,60050
2007-03-15,7.74,7.74,7.63,7.63,12480
2007-03-16,7.63,7.63,7.47,7.63,14360
2007-03-19,7.63,7.99,7.63,7.99,9000
