date,open,high,low,close,volume
2009-01-15,13.6,13.6,13.6,13.6,1310.0
2009-01-16,13.0,13.0,13.0,13.0,520.0
2009-01-19,12.4,12.4,12.4,12.4,3010.0
2009-01-20,11.8,11.8,11.8,11.8,720.0
2009-01-21,11.3,11.3,11.3,11.3,5460.0
2009-01-22,10.8,11.8,10.8,10.8,15650.0
2009-01-23,10.4,11.3,10.4,11.3,1510.0
2009-02-02,11.8,11.8,10.8,10.8,3000.0
2009-02-03,10.4,10.4,10.3,10.3,1620.0
2009-02-04,9.8,10.1,9.8,9.8,13600.0
2009-02-05,9.4,10.2,9.4,10.2,2710.0
2009-02-06,9.7,10.2,9.7,10.2,5070.0
2009-02-09,9.7,10.5,9.7,10.5,440.0
2009-02-10,10.1,10.1,10.0,10.0,700.0
2009-02-11,9.5,10.0,9.5,9.8,1290.0
2009-02-12,9.4,10.0,9.4,9.4,4780.0
2009-02-13,9.1,9.4,9.0,9.4,280.0
2009-02-16,9.4,9.4,9.4,9.4,10.0
2009-02-17,9.0,9.0,9.0,9.0,100.0
2009-02-18,8.6,8.6,8.6,8.6,90.0
2009-02-19,8.6,8.6,8.6,8.6,0.0
2009-02-20,8.2,9.0,8.2,9.0,530.0
2009-02-23,9.4,9.4,9.4,9.4,10.0
2009-02-24,9.6,9.6,9.6,9.6,10.0
2009-02-25,9.2,9.6,9.2,9.6,1910.0
2009-02-26,9.2,9.2,9.2,9.2,20.0
2009-02-27,9.1,9.1,9.0,9.0,70.0
2009-03-02,8.6,8.6,8.6,8.6,100.0
2009-03-03,8.2,8.2,8.2,8.2,60.0
2009-03-04,7.8,7.8,7.8,7.8,170.0
2009-03-05,7.5,7.5,7.5,7.5,400.0
2009-03-06,7.5,7.5,7.2,7.2,2210.0
2009-03-09,6.9,7.2,6.9,7.1,3310.0
2009-03-10,7.1,7.1,7.0,7.0,2490.0
2009-03-11,7.0,7.0,6.7,7.0,10780.0
2009-03-12,7.1,7.3,7.1,7.1,3510.0
2009-03-13,7.2,7.4,7.1,7.1,1220.0
2009-03-16,7.1,7.1,6.8,7.1,2060.0
2009-03-17,7.1,7.3,7.1,7.2,11500.0
2009-03-18,7.5,7.5,7.4,7.4,13330.0
2009-03-19,7.7,7.7,7.1,7.4,3780.0
2009-03-20,7.1,7.1,7.1,7.1,1030.0
2009-03-23,7.3,7.3,7.1,7.2,210.0
2009-03-24,7.4,7.4,7.4,7.4,4530.0
2009-03-25,7.4,7.4,7.1,7.1,1210.0
2009-03-26,6.9,6.9,6.8,6.8,42050.0
2009-03-27,6.8,6.8,6.8,6.8,9370.0
2009-03-30,6.5,7.1,6.5,7.1,14850.0
2009-03-31,7.1,7.3,6.8,7.3,7970.0
2009-04-01,7.1,7.3,7.0,7.0,12730.0
2009-04-02,7.2,7.2,7.0,7.2,14460.0
2009-04-03,7.4,7.5,7.3,7.5,24870.0
2009-04-07,7.5,7.5,7.3,7.5,12980.0
2009-04-08,7.5,7.6,7.2,7.2,22220.0
2009-04-09,7.4,7.4,7.1,7.2,19370.0
2009-04-10,7.4,7.5,7.4,7.5,23050.0
2009-04-13,7.8,7.8,7.8,7.8,9780.0
2009-04-14,8.1,8.1,8.0,8.1,23900.0
2009-04-15,8.5,8.5,8.3,8.5,28850.0
2009-04-16,8.9,8.9,8.9,8.9,2070.0
2009-04-17,9.3,9.3,9.0,9.3,46560.0
2009-04-20,8.9,9.7,8.9,8.9,18420.0
2009-04-21,8.5,8.5,8.5,8.5,1040.0
2009-04-22,8.5,8.8,8.4,8.6,5970.0
2009-04-23,8.2,8.2,8.2,8.2,4690.0
2009-04-24,7.8,8.5,7.8,7.8,3050.0
2009-04-27,8.0,8.0,7.5,7.8,2420.0
2009-04-28,7.5,7.5,7.5,7.5,4860.0
2009-04-29,7.2,7.8,7.2,7.8,3010.0
2009-05-04,7.8,8.1,7.8,8.1,19270.0
2009-05-05,8.5,8.5,8.5,8.5,20150.0
2009-05-06,8.1,8.5,8.1,8.1,8950.0
2009-05-07,7.7,8.1,7.7,8.1,20290.0
2009-05-08,7.7,8.1,7.7,7.8,10520.0
2009-05-11,8.0,8.1,7.5,7.8,9870.0
2009-05-12,7.8,8.1,7.5,8.1,12600.0
2009-05-13,8.3,8.3,8.2,8.2,5010.0
2009-05-14,8.2,8.2,7.9,7.9,3410.0
2009-05-15,8.1,8.2,7.8,8.2,12330.0
2009-05-18,8.2,8.3,7.9,8.0,18170.0
2009-05-19,8.3,8.4,8.1,8.4,43390.0
2009-05-20,8.8,8.8,8.8,8.8,42640.0
2009-05-21,9.2,9.2,9.2,9.2,3590.0
2009-05-22,9.6,9.6,9.4,9.6,29580.0
