date,open,high,low,close,volume
2011-05-24,2.81,2.81,2.81,2.81,2900
2011-08-12,2.81,2.81,2.81,2.81,3500
2011-08-15,2.81,2.81,2.81,2.81,177
2011-08-24,2.81,2.81,2.81,2.81,1056
2011-09-05,2.81,2.81,2.81,2.81,422
2011-11-18,2.77,2.77,2.77,2.77,1000
2011-12-05,2.63,2.63,2.63,2.63,1600
2012-02-28,2.88,2.88,2.88,2.88,1000
2012-03-02,2.88,2.88,2.88,2.88,1500
2012-03-22,2.88,2.88,2.88,2.88,2500
2012-06-11,4.0,4.0,4.0,3.99,100
2012-07-26,4.35,4.35,4.35,4.36,6200
2012-07-30,4.77,4.77,4.77,4.76,600
2012-08-07,4.58,4.58,4.58,4.58,200
2012-08-17,5.03,5.03,5.03,5.04,100
2012-08-20,4.9,4.9,4.9,4.9,100
2012-08-28,4.54,4.54,4.54,4.54,100
2012-09-24,4.99,4.99,4.99,4.99,3100
2012-09-25,4.67,4.67,4.67,4.67,200
2012-10-24,4.99,4.99,4.99,4.99,5000
2012-10-25,4.63,4.63,4.63,4.63,200
2012-11-22,4.77,4.77,4.77,4.76,1000
2012-11-26,4.53,4.53,4.53,4.54,1000
2012-11-29,4.99,4.99,4.99,4.99,100
2012-12-05,4.63,4.63,4.63,4.63,100
2012-12-26,4.77,4.77,4.77,4.76,100
2013-01-07,4.99,4.99,4.99,4.99,100
2013-03-01,5.67,5.67,5.67,5.67,1300
2013-03-04,5.22,5.22,5.22,5.22,1600
2013-03-07,5.08,5.08,5.08,5.08,300
2013-03-13,5.08,5.08,5.08,5.08,1000
2013-05-28,7.07,7.07,7.07,7.07,100
2013-06-11,6.55,6.55,6.55,6.55,1200
2013-06-13,7.18,7.18,7.18,7.18,2200
2013-06-24,6.55,6.55,6.55,6.55,500
2013-07-17,6.34,6.34,6.34,6.34,3000
2013-07-19,6.44,6.44,6.44,6.44,1500
2013-08-23,6.82,6.82,5.84,6.83,1000
2013-10-08,6.28,6.28,6.28,6.28,1000
2013-12-27,6.6,6.6,6.6,6.61,100
2014-01-09,7.23,7.23,7.23,7.23,1000
2014-01-14,7.91,7.91,7.91,7.91,1000
2014-02-06,8.19,8.19,8.19,8.19,600
2014-04-04,9.13,9.13,9.13,9.13,100
2014-04-17,10.02,10.02,8.24,10.02,3000
2014-04-18,10.98,10.98,10.98,10.98,5500
2014-04-23,12.07,12.07,12.07,12.06,100
2014-04-24,13.21,13.21,13.21,13.21,100
2014-04-25,14.49,14.49,14.49,14.49,100
2014-04-28,15.89,15.89,13.15,15.89,3000
2014-04-29,17.36,17.36,14.36,14.36,1200
2014-05-05,15.51,15.51,15.44,15.45,4600
2014-05-06,16.92,16.98,16.92,16.98,1500
2014-05-07,18.58,18.64,18.58,18.64,300
2014-05-08,16.85,20.43,16.79,16.98,1300
2014-05-12,15.83,15.83,15.83,15.83,100
2014-05-15,15.83,15.83,15.83,15.83,3800
2014-05-20,14.36,14.36,14.36,14.36,100
2014-05-21,14.36,14.36,14.36,14.36,1400
2014-05-23,14.36,14.36,14.36,14.36,1500
2014-05-27,14.36,14.36,14.36,14.36,700
2014-06-02,14.68,14.81,13.08,13.4,4100
2014-06-09,13.15,13.15,13.15,13.15,200
2014-06-11,11.94,13.21,11.94,13.15,2500
2014-06-13,11.88,11.88,11.88,11.87,200
2014-06-16,13.02,13.02,13.02,13.02,400
2014-06-17,12.32,12.32,12.32,12.32,100
2014-06-20,11.94,13.53,11.94,11.94,1100
2014-06-23,11.49,11.49,11.49,11.49,200
2014-06-27,10.4,10.4,10.34,10.4,100
2014-06-30,11.42,11.42,11.42,11.43,6500
2014-07-17,12.52,12.52,10.34,12.51,200
2014-07-18,12.77,12.77,12.77,12.77,1500
2014-07-22,12.77,12.77,11.49,12.77,500
2014-07-24,12.83,14.05,12.83,14.04,2900
2014-07-25,12.89,12.89,12.89,12.89,300
2014-07-28,14.17,14.17,11.61,14.17,1900
2014-07-29,12.83,12.83,12.83,12.83,300
2014-07-30,12.19,12.19,11.55,12.19,300
2014-08-12,13.37,13.37,11.01,13.37,700
2014-08-15,13.37,13.37,13.37,13.37,10
2014-08-18,14.68,14.68,14.68,14.68,1100
2014-08-19,15.27,15.27,13.24,13.77,700
2014-08-21,13.76,16.25,13.76,16.26,400
2014-08-22,13.77,15.87,13.77,15.47,2500
2014-08-25,14.09,14.09,14.09,14.09,500
