date,open,high,low,close,volume
2009-12-25,14.0,14.0,10.0,11.8,211400
2009-12-28,11.5,11.6,10.7,10.7,72900
2009-12-29,11.0,11.0,10.4,10.4,31000
2009-12-30,9.9,9.9,9.8,9.8,75600
2009-12-31,9.8,9.8,9.2,9.2,88100
2010-01-04,9.9,9.9,9.9,9.9,7900
2010-01-05,10.5,10.5,10.5,10.5,19400
2010-01-06,11.0,11.0,10.3,10.3,47900
2010-01-07,10.3,10.4,9.9,9.9,79400
2010-01-08,10.0,10.3,9.8,9.8,28700
2010-01-11,10.0,10.0,9.4,9.6,35000
2010-01-12,9.4,9.7,9.0,9.2,24000
2010-01-13,9.4,9.4,8.9,9.4,26700
2010-01-14,9.5,9.5,9.2,9.4,33000
2010-01-15,9.5,9.5,8.8,8.9,12900
2010-01-18,9.2,9.2,8.4,8.7,33400
2010-01-19,9.0,9.0,8.3,8.6,15400
2010-01-20,8.6,8.7,8.0,8.2,35200
2010-01-21,7.9,8.1,7.7,7.9,27600
2010-01-22,7.9,8.0,7.6,8.0,10300
2010-01-25,8.0,8.2,7.9,8.0,17100
2010-01-26,8.3,8.5,8.0,8.5,36700
2010-01-27,8.2,8.2,8.0,8.0,56000
2010-01-28,8.2,8.2,8.0,8.1,54500
2010-01-29,8.4,8.5,8.2,8.2,26400
2010-02-01,8.4,8.5,8.3,8.4,27100
2010-02-02,8.3,8.3,8.2,8.2,9500
2010-02-03,8.1,8.4,8.1,8.4,7300
2010-02-04,8.4,8.5,8.3,8.5,24700
2010-02-05,8.3,8.3,8.0,8.0,12400
2010-02-08,8.2,8.3,8.0,8.3,7000
2010-02-09,8.2,8.2,8.0,8.0,6100
2010-02-10,8.0,8.1,7.8,8.0,8400
2010-02-11,8.0,8.1,7.9,8.1,8300
2010-02-12,8.3,8.3,8.1,8.2,4800
2010-02-22,8.3,8.3,8.0,8.0,11500
2010-02-23,8.0,8.0,7.8,7.9,6100
2010-02-24,7.9,8.0,7.8,8.0,1600
2010-02-25,8.1,8.1,7.8,7.9,6100
2010-02-26,8.0,8.4,8.0,8.4,101900
2010-03-01,8.8,8.8,8.6,8.8,96700
2010-03-02,9.4,9.4,9.2,9.4,142200
2010-03-03,10.0,10.0,9.6,10.0,96200
2010-03-04,10.0,10.0,9.2,9.4,81900
2010-03-05,9.0,9.5,8.9,9.5,83600
2010-03-08,9.3,9.8,9.2,9.8,142100
2010-03-09,10.3,10.3,9.4,9.5,31400
2010-03-10,9.3,9.4,9.0,9.2,57200
2010-03-11,9.5,9.5,9.2,9.5,50000
2010-03-12,9.6,9.8,9.3,9.5,67400
2010-03-15,9.5,9.7,9.1,9.7,108200
2010-03-16,9.5,9.6,9.3,9.4,47800
2010-03-17,9.1,9.2,9.0,9.0,44300
2010-03-18,9.0,9.2,9.0,9.2,57400
2010-03-19,9.2,9.2,9.0,9.1,25700
2010-03-22,9.0,9.1,8.8,8.8,17100
2010-03-23,8.7,8.9,8.7,8.9,40200
2010-03-24,8.8,9.0,8.8,9.0,37900
2010-03-25,8.8,8.8,8.4,8.5,18400
2010-03-26,8.7,9.0,8.5,8.6,12300
2010-03-29,8.6,8.7,8.5,8.6,18400
2010-03-30,8.6,8.7,8.2,8.2,33900
2010-03-31,8.4,8.4,8.0,8.2,10300
2010-04-01,8.3,8.4,8.1,8.3,17700
2010-04-02,8.7,8.7,8.2,8.4,10600
2010-04-05,8.3,8.4,8.2,8.3,19700
2010-04-06,8.3,8.4,8.2,8.3,30800
2010-04-07,8.3,8.5,8.2,8.4,47100
2010-04-08,8.5,8.8,8.4,8.7,110400
2010-04-09,8.9,9.2,8.9,9.1,79500
2010-04-12,9.4,9.7,9.2,9.7,118300
2010-04-13,10.3,10.3,9.3,9.5,135300
2010-04-14,9.3,9.5,9.3,9.3,92000
2010-04-15,9.5,9.9,9.5,9.9,326100
2010-04-16,10.0,10.4,10.0,10.4,297500
2010-04-19,11.0,11.1,10.9,11.1,171700
2010-04-20,11.8,11.8,11.8,11.8,154700
2010-04-21,12.6,12.6,12.6,12.6,248200
2010-04-22,13.4,13.4,12.0,12.3,797100
2010-04-26,13.0,13.2,12.3,12.3,31400
2010-04-27,11.5,12.3,11.5,11.8,322600
2010-04-28,11.7,12.5,11.7,12.5,192700
2010-04-29,13.2,13.2,12.5,13.2,288400
2010-05-04,14.0,14.1,14.0,14.1,233600
2010-05-05,14.5,14.9,13.3,13.9,266500
2010-05-06,13.9,14.9,13.9,14.9,181800
2010-05-07,14.9,15.2,13.7,14.1,326500
2010-05-10,14.1,14.3,13.4,13.4,211800
2010-05-11,14.2,14.2,12.6,12.9,181400
2010-05-12,12.2,12.8,12.0,12.0,59800
2010-05-13,11.3,12.0,11.2,11.4,149100
2010-05-14,11.3,12.1,11.3,12.1,82500
2010-05-17,12.9,12.9,12.3,12.3,89400
2010-05-18,12.8,12.8,11.9,11.9,49300
2010-05-19,11.5,11.5,11.2,11.2,39500
2010-05-20,11.2,11.4,10.5,10.7,186900
2010-05-21,10.7,10.8,9.9,10.0,140200
2010-05-24,10.3,10.7,10.0,10.7,39800
2010-05-25,10.8,11.3,10.6,11.3,175200
2010-05-26,11.8,12.0,11.0,12.0,135100
2010-05-27,12.0,12.0,11.5,11.9,119200
2010-05-28,12.2,12.6,12.0,12.5,160700
2010-05-31,12.6,12.6,11.7,11.7,51200
2010-06-01,11.3,11.4,11.0,11.2,104600
2010-06-02,11.1,11.7,10.5,11.5,88700
2010-06-03,11.8,11.8,11.7,11.8,123000
2010-06-04,12.4,12.4,11.3,11.5,27600
2010-06-07,11.3,11.3,10.9,10.9,95700
2010-06-08,10.9,11.3,10.8,11.1,65700
2010-06-09,11.5,11.5,10.8,11.0,26600
2010-06-10,11.3,11.3,10.5,11.0,76100
2010-06-11,11.2,11.6,11.0,11.5,91700
2010-06-14,11.6,11.8,11.4,11.4,69400
2010-06-15,11.5,11.5,10.9,11.2,55300
2010-06-16,11.5,11.7,11.2,11.3,63400
2010-06-17,11.2,11.2,10.8,10.9,127100
2010-06-18,11.0,11.3,10.9,11.0,75300
2010-06-21,11.1,11.8,11.1,11.8,146400
2010-06-22,12.3,12.5,12.0,12.5,430100
2010-06-23,12.5,13.3,11.9,13.3,458400
2010-06-24,14.1,14.1,13.9,14.1,216100
2010-06-25,14.9,14.9,13.5,14.1,409500
2010-06-28,13.9,13.9,13.2,13.3,269500
2010-06-29,13.0,13.8,13.0,13.0,183000
2010-06-30,12.9,12.9,12.3,12.7,103200
2010-07-01,12.0,13.4,12.0,13.4,265600
2010-07-02,13.8,13.8,12.9,13.0,97200
2010-07-05,13.0,13.4,12.5,13.3,100400
2010-07-06,13.3,13.3,12.4,12.7,120200
2010-07-07,12.7,13.4,12.7,13.3,230200
2010-07-08,13.1,13.5,12.7,12.8,38000
2010-07-09,12.8,13.0,12.5,12.9,82800
2010-07-12,13.0,13.1,12.7,12.9,55300
2010-07-13,12.9,13.8,12.9,13.4,231900
2010-07-14,13.8,13.8,13.1,13.2,182200
2010-07-15,13.5,14.3,13.2,14.3,648900
2010-07-16,14.3,14.9,14.3,14.9,337900
2010-07-19,15.6,15.9,15.3,15.9,445200
2010-07-20,16.8,16.9,15.2,16.0,366000
2010-07-21,15.9,15.9,15.0,15.1,302800
2010-07-22,15.0,15.9,14.6,14.8,355700
2010-07-23,15.0,15.2,14.7,14.7,157800
2010-07-26,14.8,15.0,14.0,14.2,117900
2010-07-27,14.3,14.5,13.9,14.0,58800
2010-07-28,14.2,14.2,13.3,13.7,221400
2010-07-29,13.6,14.0,13.5,13.9,176900
2010-07-30,14.0,14.2,13.6,14.0,92800
2010-08-02,13.7,14.0,13.3,13.5,124400
2010-08-03,14.0,14.0,13.0,13.0,115100
2010-08-04,12.9,13.0,12.3,12.7,205900
2010-08-05,12.8,13.3,12.8,13.3,328600
2010-08-06,13.4,13.8,12.9,12.9,93400
2010-08-09,12.9,12.9,12.4,12.5,128800
2010-08-10,12.5,12.5,11.7,12.0,183800
2010-08-11,11.3,12.4,11.3,12.4,166900
