date,open,high,low,close,volume
2009-08-18,43.2,43.2,43.2,43.2,19600.0
2009-08-19,45.3,45.3,45.3,45.3,31300.0
2009-08-20,47.5,47.5,47.0,47.5,699200.0
2009-08-21,49.8,49.8,49.8,49.8,231000.0
2009-08-24,51.5,51.5,49.8,50.0,469480.0
2009-08-25,50.5,50.5,49.0,49.0,186820.0
2009-08-26,47.0,49.0,47.0,47.5,126590.0
2009-08-27,48.0,48.0,47.0,47.5,124780.0
2009-08-28,48.0,48.0,47.5,48.0,140420.0
2009-08-31,49.4,49.4,48.3,48.3,125910.0
2009-09-01,48.0,49.0,47.5,48.0,124440.0
2009-09-03,47.6,48.0,45.6,45.6,649880.0
2009-09-04,45.7,47.3,45.5,45.5,105070.0
2009-09-07,43.3,43.5,43.3,43.5,236120.0
2009-09-08,45.0,45.1,43.5,45.1,112520.0
2009-09-09,45.1,45.3,45.0,45.0,107280.0
2009-09-10,45.0,45.0,44.6,45.0,69030.0
2009-09-11,45.0,45.1,44.5,45.0,133070.0
2009-09-14,47.2,47.2,47.0,47.2,515860.0
2009-09-15,48.8,48.8,46.5,46.6,117530.0
2009-09-16,46.5,46.5,45.5,46.2,109320.0
2009-09-17,46.3,46.3,45.0,45.3,229040.0
2009-09-18,46.0,47.5,45.7,47.5,503280.0
2009-09-21,47.9,47.9,47.2,47.2,378600.0
2009-09-22,46.2,46.7,46.2,46.3,166160.0
2009-09-23,46.1,46.5,45.5,45.6,196330.0
2009-09-24,45.0,45.6,44.7,44.7,99270.0
2009-09-25,46.3,46.3,44.5,45.3,150140.0
2009-09-28,45.3,45.3,44.0,45.2,201630.0
2009-09-29,45.5,45.5,44.0,44.6,160010.0
2009-09-30,45.0,45.0,43.5,44.1,157730.0
2009-10-01,43.6,43.9,42.6,42.8,174420.0
2009-10-02,41.3,42.0,40.7,40.9,187480.0
2009-10-05,42.0,42.9,40.0,41.0,102110.0
2009-10-06,42.5,42.5,41.0,41.1,98880.0
2009-10-07,41.1,43.0,41.1,43.0,258170.0
2009-10-08,43.0,43.0,42.0,43.0,168070.0
2009-10-09,43.0,44.3,42.7,44.3,266370.0
2009-10-12,45.0,45.5,43.5,45.0,135870.0
2009-10-13,45.0,45.0,43.0,43.2,138200.0
2009-10-14,43.0,44.7,43.0,44.7,289070.0
2009-10-15,46.9,46.9,45.0,46.9,995010.0
2009-10-16,49.2,49.2,48.5,49.2,1431660.0
2009-10-19,48.2,49.5,48.2,48.5,367690.0
2009-10-20,48.5,48.9,48.1,48.5,414490.0
2009-10-21,49.4,49.4,48.5,48.6,572310.0
