date,open,high,low,close,volume
2017-07-20,3.6,3.6,3.6,3.6,10
2017-07-19,3.6,3.6,3.6,3.6,4900
2017-07-17,3.6,3.6,3.6,3.6,10
2017-07-12,3.6,3.6,3.6,3.6,10
2017-07-10,3.9,3.9,3.4,3.4,300
2017-07-07,3.8,3.8,3.8,3.8,100
2017-07-06,3.9,3.9,3.9,3.9,10
2017-07-05,3.8,3.9,3.8,3.9,200
2017-07-03,3.5,3.5,3.5,3.5,400
2017-06-30,3.1,3.1,3.1,3.1,100
2017-06-13,3.6,3.6,3.5,3.5,700
2017-05-30,3.9,3.9,3.6,3.6,16000
2017-05-29,3.9,3.9,3.9,3.9,100
2017-05-10,4.4,4.4,4.3,4.3,1000
2017-04-20,5.0,5.0,5.0,5.0,500
2017-03-22,5.0,5.0,5.0,5.0,700
2017-03-10,5.1,5.1,5.1,5.1,100
2017-03-08,5.7,5.7,5.7,5.7,600
2017-03-02,5.1,5.1,5.0,5.0,700
2017-03-01,5.8,5.8,5.8,5.8,100
2017-02-27,6.8,6.8,6.8,6.8,100
2017-02-23,8.0,8.0,8.0,8.0,100
2017-02-20,8.8,9.5,8.8,9.5,6500
2017-02-17,8.9,8.9,8.9,8.9,5000
2017-02-10,10.4,10.4,10.4,10.4,100
2017-01-25,9.3,9.3,9.3,9.3,100
2017-01-16,8.2,8.2,8.2,8.2,100
2017-01-13,7.3,7.3,7.3,7.3,100
2017-01-12,6.5,6.5,6.5,6.5,100
2017-01-11,5.8,5.8,5.8,5.8,100
2017-01-10,6.8,6.8,6.8,6.8,100
2017-01-03,7.9,7.9,7.9,7.9,100
2016-12-20,7.0,7.0,7.0,7.0,100
2016-11-28,6.3,6.3,6.3,6.3,100
2016-11-14,5.7,5.7,5.7,5.7,100
2016-11-10,6.0,6.0,5.0,5.0,2400
2016-11-09,5.5,5.5,5.5,5.5,100
2016-11-08,4.5,5.0,4.5,5.0,1003400
2016-11-07,4.7,4.7,4.7,4.7,1700
2016-11-04,4.1,4.1,4.1,4.1,400
2016-11-03,4.0,4.0,3.4,3.4,730
2016-11-02,3.5,3.5,3.5,3.5,900
2016-10-31,3.9,3.9,3.9,3.9,200
2016-10-19,4.5,4.5,4.5,4.5,100
2016-10-18,4.0,4.0,4.0,4.0,100
2016-10-14,3.5,3.5,3.5,3.5,700
2016-10-13,4.0,4.0,4.0,4.0,200
2016-10-12,4.5,4.5,4.5,4.5,1900
2016-10-11,4.5,4.5,4.5,4.5,100
2016-10-04,4.0,4.0,4.0,4.0,200
2016-10-03,4.5,4.5,4.5,4.5,600
2016-09-30,4.6,4.7,4.6,4.7,1000900
2016-09-29,4.7,4.7,4.7,4.7,100
2016-09-27,4.2,4.2,4.2,4.2,100
2016-09-26,3.7,3.7,3.7,3.7,200
2016-09-23,4.2,4.2,4.2,4.2,100
2016-09-16,3.8,3.8,3.8,3.8,100
2016-09-15,4.3,4.3,4.0,4.0,600
2016-09-14,3.6,4.4,3.6,4.4,300
2016-09-12,4.1,4.1,4.1,4.1,100
