date,open,high,low,close,volume
2013-12-24,16.1,16.1,16.1,16.1,100.0
2013-12-25,17.7,17.7,17.7,17.7,100.0
2013-12-26,19.4,19.4,19.4,19.4,4000.0
2013-12-27,21.3,21.3,21.3,21.3,11900.0
2013-12-30,23.4,23.4,21.4,22.9,84500.0
2013-12-31,23.0,23.0,21.5,22.6,2900.0
2014-01-02,21.4,21.4,20.4,20.7,11900.0
2014-01-03,18.8,20.4,18.8,20.4,27800.0
2014-01-06,18.8,19.1,18.7,18.7,23200.0
2014-01-07,17.5,20.5,17.3,20.5,9500.0
2014-01-08,22.4,22.4,20.1,20.5,15600.0
2014-01-09,20.5,21.0,20.5,20.9,11300.0
2014-01-10,20.7,20.7,20.5,20.5,11200.0
2014-01-13,20.5,21.0,20.5,20.9,10200.0
2014-01-14,21.8,22.9,21.8,22.9,38500.0
2014-01-15,22.9,23.4,22.1,22.1,11210.0
2014-01-16,24.0,24.0,22.5,22.5,3900.0
2014-01-17,22.0,22.0,22.0,22.0,9100.0
2014-01-20,20.2,22.0,20.2,20.2,4100.0
2014-01-21,20.2,21.4,20.2,21.4,21800.0
2014-01-22,21.6,22.0,21.5,21.5,6600.0
2014-01-23,21.6,21.7,21.5,21.6,19300.0
2014-01-24,21.6,21.6,21.6,21.6,2200.0
2014-01-27,21.6,21.6,21.6,21.6,0.0
2014-02-06,21.6,21.6,21.6,21.6,0.0
2014-02-07,21.6,21.6,20.9,21.0,12500.0
2014-02-10,20.8,20.8,20.2,20.3,30600.0
2014-02-11,20.4,20.4,20.0,20.0,10700.0
2014-02-12,20.5,20.5,20.4,20.4,800.0
2014-02-13,20.4,20.6,20.1,20.6,15900.0
2014-02-14,20.2,20.8,20.2,20.7,6900.0
2014-02-17,21.0,21.5,20.7,21.0,26300.0
2014-02-18,21.5,23.1,21.2,23.1,49880.0
2014-02-19,24.1,25.4,24.1,25.4,84730.0
2014-02-20,26.5,27.9,25.4,27.0,82408.0
2014-02-21,25.6,27.5,25.0,27.4,14760.0
2014-02-24,27.2,30.0,27.0,30.0,61450.0
2014-02-25,31.2,32.8,30.5,32.6,74000.0
2014-02-26,34.0,34.0,31.0,32.4,38400.0
2014-02-27,32.4,32.4,29.2,29.2,68700.0
2014-02-28,29.0,29.2,28.0,29.1,71600.0
2014-03-03,29.0,29.5,28.5,28.6,16600.0
2014-03-04,29.0,29.0,29.0,29.0,8500.0
2014-03-05,29.0,29.1,28.6,28.9,7800.0
2014-03-06,29.1,29.4,28.9,29.1,8900.0
2014-03-07,29.0,29.1,28.9,29.1,5600.0
2014-03-10,29.0,29.1,28.0,29.1,8800.0
2014-03-11,29.0,29.1,28.0,28.5,45710.0
2014-03-12,28.0,28.2,27.0,28.0,22700.0
2014-03-13,27.4,28.5,27.4,28.5,5200.0
2014-03-14,27.2,28.3,27.2,28.0,700.0
2014-03-17,28.0,28.0,27.3,27.3,9700.0
2014-03-18,27.6,27.6,27.6,27.6,1400.0
2014-03-19,27.6,27.6,27.4,27.6,2100.0
