date,open,high,low,close,volume
2011-02-22,16.0,16.0,13.0,13.5,14300
2011-02-23,15.0,15.0,13.5,13.5,9100
2011-02-24,13.0,13.0,13.0,13.0,6500
2011-02-25,13.9,13.9,12.1,12.5,18700
2011-02-28,12.0,12.3,11.9,12.0,7000
2011-03-01,11.2,11.2,11.2,11.2,4800
2011-03-02,10.6,10.6,10.5,10.5,7000
2011-03-03,9.8,10.0,9.8,10.0,6700
2011-03-04,9.5,9.6,9.3,9.6,13500
2011-03-07,10.0,10.0,10.0,10.0,600
2011-03-08,10.6,10.7,10.6,10.7,800
2011-03-09,11.3,11.4,11.3,11.4,8200
2011-03-10,12.1,12.1,12.1,12.1,8000
2011-03-11,12.9,12.9,12.5,12.7,39600
2011-03-14,13.5,13.5,12.0,12.0,10900
2011-03-15,11.7,11.7,11.6,11.6,1400
2011-03-16,10.8,10.8,10.8,10.8,1300
2011-03-17,11.5,11.5,10.5,10.5,11500
2011-03-18,10.8,11.3,10.8,11.3,1000
2011-03-21,11.6,11.7,11.6,11.6,1600
2011-03-22,11.8,11.8,10.8,10.8,2400
2011-03-23,10.3,10.7,10.2,10.7,2300
2011-03-24,10.2,10.4,10.2,10.4,6500
2011-03-25,10.7,10.9,10.7,10.7,1100
2011-03-28,11.3,11.3,10.5,10.5,5100
2011-03-29,10.7,10.9,10.6,10.8,5600
2011-03-30,10.8,10.8,10.8,10.8,0
2011-03-31,11.0,11.0,10.5,10.5,6600
2011-04-01,10.6,10.6,10.6,10.6,1300
2011-04-04,10.6,10.6,10.4,10.4,2300
2011-04-05,10.8,10.8,10.5,10.5,1100
2011-04-06,10.5,10.5,10.4,10.5,3100
2011-04-07,10.5,10.5,10.3,10.3,3400
2011-04-08,10.9,10.9,9.9,10.0,7900
2011-04-13,9.4,9.4,9.4,9.4,2600
2011-04-14,9.8,9.8,9.8,9.8,100
2011-04-15,9.8,9.8,9.6,9.6,700
2011-04-18,9.4,9.5,9.2,9.3,17000
2011-04-19,9.1,9.1,9.1,9.1,1200
2011-04-20,9.1,9.7,9.1,9.7,6700
2011-04-21,9.1,9.1,9.1,9.1,0
2011-04-22,9.1,9.1,9.1,9.1,0
2011-04-25,9.3,9.3,9.2,9.2,1400
2011-04-26,9.2,9.2,8.6,8.6,2800
2011-04-27,8.8,8.8,8.3,8.3,3000
2011-04-28,9.1,9.1,9.0,9.0,800
2011-04-29,9.0,9.0,9.0,9.0,500
2011-05-04,9.6,9.6,9.6,9.6,100
2011-05-05,9.0,9.0,9.0,9.0,8700
2011-05-06,9.0,9.0,8.9,8.9,1500
2011-05-09,9.0,9.0,9.0,9.0,3000
2011-05-10,9.0,9.0,9.0,9.0,0
2011-05-11,9.0,9.0,9.0,9.0,0
2011-05-12,8.8,9.0,8.5,8.5,2200
2011-05-13,8.9,8.9,8.9,8.9,100
2011-05-16,8.9,8.9,8.9,8.9,0
2011-05-17,9.0,9.0,8.4,8.4,300
