date,open,high,low,close,volume
2017-05-16,48.0,48.0,48.0,48.0,421800
2017-05-17,51.3,51.3,48.0,51.0,45330
2017-05-18,51.0,51.0,48.0,50.5,9120
2017-05-19,47.0,47.5,47.0,47.0,129870
2017-05-22,44.0,45.0,43.75,43.75,99560
2017-05-23,41.1,41.1,40.7,40.7,230970
2017-05-24,39.5,43.5,39.5,43.5,23270
2017-05-25,46.4,46.4,43.7,43.7,28490
2017-05-26,43.0,43.7,41.5,41.6,47220
2017-05-29,41.6,42.0,40.0,41.6,50040
2017-05-30,40.2,41.6,40.1,41.4,15360
2017-05-31,41.5,41.9,41.5,41.8,17350
2017-06-01,41.5,41.7,41.1,41.2,16340
2017-06-02,42.9,42.9,41.1,41.2,13830
2017-06-05,41.1,41.3,40.0,41.0,7770
2017-06-06,40.2,40.7,40.0,40.7,35700
2017-06-07,40.8,40.8,40.1,40.8,24920
2017-06-08,40.1,40.5,40.1,40.1,7550
2017-06-09,41.0,41.0,40.0,40.4,6330
2017-06-12,40.4,40.4,40.0,40.0,14610
2017-06-13,40.9,40.9,40.0,40.5,27010
2017-06-14,40.0,43.0,40.0,42.1,33130
2017-06-15,42.9,42.9,41.8,42.7,30530
2017-06-16,42.5,44.0,42.3,43.3,31930
2017-06-19,43.3,44.5,43.3,44.5,49890
2017-06-20,45.0,46.5,45.0,45.9,15370
2017-06-21,46.0,46.0,44.8,44.8,14860
2017-06-22,45.5,45.5,44.8,45.0,34930
2017-06-23,45.0,46.0,44.25,44.4,36590
2017-06-26,44.3,45.3,44.3,45.0,33950
2017-06-27,44.6,45.3,44.5,44.9,30210
2017-06-28,44.4,45.0,44.0,44.9,43400
2017-06-29,43.1,45.1,43.1,43.9,23440
2017-06-30,44.1,44.1,43.6,44.0,30990
2017-07-03,45.8,45.8,44.2,45.0,54760
2017-07-04,44.5,44.9,43.5,44.5,30310
2017-07-05,45.0,45.0,43.1,43.9,30120
2017-07-06,43.9,44.5,43.9,44.5,31140
2017-07-07,44.0,44.6,44.0,44.6,1110
2017-07-10,44.4,44.5,43.5,43.6,28590
2017-07-11,43.8,43.8,43.1,43.4,20470
2017-07-12,43.4,43.6,43.0,43.2,26490
2017-07-13,43.2,43.3,41.5,42.95,20620
2017-07-14,43.5,43.5,41.8,42.95,19180
2017-07-17,42.9,42.95,42.5,42.95,24010
2017-07-18,42.95,42.95,41.9,42.7,22010
2017-07-19,42.7,43.0,40.0,42.45,20050
2017-07-20,42.45,42.45,39.8,41.5,21140
2017-07-21,41.5,43.0,40.6,43.0,26940
2017-07-24,42.8,42.8,41.0,41.35,19990
2017-07-25,42.5,42.5,41.7,42.0,25250
2017-07-26,42.0,42.7,41.3,42.0,31030
2017-07-27,41.5,42.0,41.5,41.5,29650
2017-07-28,41.5,42.2,41.5,42.2,33950
