date,open,high,low,close,volume
2006-12-21,75.0,80.0,74.5,76.2,13800.0
2006-12-22,75.0,75.0,68.6,69.6,4600.0
2006-12-25,62.7,62.7,62.7,62.7,4000.0
2006-12-26,56.5,56.5,56.5,56.5,600.0
2006-12-27,50.9,54.0,50.9,54.0,1800.0
2006-12-28,50.0,54.0,50.0,52.3,9600.0
2006-12-29,54.0,57.5,54.0,57.5,5300.0
2007-01-02,59.5,59.9,59.5,59.8,5000.0
2007-01-03,65.0,65.7,64.9,65.1,2700.0
2007-01-04,70.0,70.5,70.0,70.5,3100.0
2007-01-05,72.0,75.0,70.5,73.5,7700.0
2007-01-08,74.1,74.1,69.9,73.8,11100.0
2007-01-09,72.5,72.5,72.5,72.5,3600.0
2007-01-10,72.5,76.0,72.5,75.0,12500.0
2007-01-11,74.5,76.0,74.5,76.0,16400.0
2007-01-12,81.0,83.0,80.0,83.0,4000.0
2007-01-15,89.0,89.8,89.0,89.6,14300.0
2007-01-16,98.5,98.5,98.5,98.5,7000.0
2007-01-17,108.0,108.3,88.7,99.0,18000.0
2007-01-18,110.0,110.0,98.0,105.0,19900.0
2007-01-19,102.0,108.0,102.0,104.0,23200.0
2007-01-22,107.0,110.0,105.0,107.0,17500.0
2007-01-23,106.0,108.0,106.0,108.0,22700.0
2007-01-24,108.0,109.0,107.0,108.0,14900.0
2007-01-25,109.0,109.0,106.0,107.0,7100.0
2007-01-26,108.0,117.8,108.0,109.5,22000.0
2007-01-29,111.0,121.8,110.0,120.0,11400.0
2007-01-30,130.4,130.4,130.4,130.4,1500.0
2007-01-31,143.4,143.4,143.4,143.4,6200.0
2007-02-01,157.7,157.7,157.7,157.7,8000.0
2007-02-02,173.0,173.4,173.0,173.4,6000.0
2007-02-05,190.7,190.7,190.7,190.7,15600.0
2007-02-06,209.7,209.7,209.7,209.7,11900.0
2007-02-07,230.6,230.6,230.6,230.6,7000.0
2007-02-08,253.6,253.6,253.6,253.6,14400.0
2007-02-09,278.9,278.9,229.0,256.0,17000.0
2007-02-12,257.9,257.9,238.5,238.5,4000.0
2007-02-13,221.0,230.0,220.0,220.0,4300.0
2007-02-14,230.0,242.5,220.0,240.0,4900.0
2007-02-15,259.9,259.9,259.9,259.9,3000.0
2007-02-26,285.8,285.8,285.8,285.8,11200.0
2007-02-27,314.3,314.3,313.0,314.3,17000.0
2007-02-28,345.5,345.5,290.0,290.0,1300.0
2007-03-01,300.0,314.0,290.0,290.0,3600.0
2007-03-02,290.0,295.0,270.0,295.0,6100.0
2007-03-05,312.0,312.0,280.0,280.0,9000.0
2007-03-06,292.0,292.0,255.0,270.0,8200.0
2007-03-07,268.0,270.0,245.0,245.0,4500.0
2007-03-08,270.0,271.0,250.0,260.0,10400.0
2007-03-09,280.0,280.0,270.0,271.0,3500.0
2007-03-12,280.0,280.0,270.0,275.0,1500.0
2007-03-13,270.0,273.9,270.0,270.0,400.0
2007-03-14,268.9,268.9,258.0,258.0,900.0
2007-03-15,245.0,245.0,236.1,236.1,900.0
2007-03-16,240.0,261.0,220.0,260.0,1200.0
2007-03-19,267.7,267.7,249.9,267.0,9900.0
2007-03-20,292.3,292.3,255.0,275.0,8200.0
2007-03-21,269.9,270.0,265.0,265.0,2400.0
2007-03-22,265.0,265.0,245.0,255.0,5200.0
2007-03-23,254.9,254.9,245.1,252.0,5500.0
2007-03-26,276.1,276.2,252.0,252.5,7500.0
2007-03-27,253.0,259.9,245.0,249.0,3800.0
2007-03-28,231.0,250.0,225.4,250.0,3000.0
2007-03-29,258.0,258.0,258.0,258.0,1100.0
2007-03-30,267.0,269.9,250.0,250.0,2300.0
2007-04-02,262.7,262.7,238.0,238.0,1900.0
2007-04-03,230.0,230.0,230.0,230.0,1300.0
2007-04-04,221.1,236.0,220.0,225.0,11500.0
2007-04-05,235.0,245.0,228.0,240.0,5600.0
2007-04-06,240.0,242.0,240.0,242.0,2300.0
2007-04-09,245.0,256.0,245.0,252.5,3200.0
2007-04-10,267.0,275.0,257.0,260.0,5800.0
2007-04-11,265.0,275.0,265.0,275.0,12600.0
2007-04-12,298.0,298.6,282.6,298.6,13900.0
2007-04-13,327.8,327.8,298.6,310.0,27700.0
2007-04-16,317.0,317.0,287.0,287.1,10400.0
2007-04-17,280.0,280.0,278.8,278.8,1000.0
2007-04-18,251.3,289.5,251.3,289.5,3900.0
2007-04-19,280.0,280.0,269.0,270.0,1400.0
2007-04-20,270.0,275.0,265.0,274.5,1700.0
2007-04-23,276.0,276.0,265.0,268.0,2200.0
2007-04-24,260.5,262.0,260.0,260.0,2600.0
2007-04-25,264.0,273.5,264.0,273.5,4900.0
2007-05-02,288.0,288.0,260.0,269.9,2200.0
2007-05-03,292.2,292.2,266.0,268.0,4100.0
2007-05-04,268.0,269.0,268.0,268.0,2800.0
2007-05-07,272.5,272.5,265.0,269.9,5900.0
2007-05-08,271.0,280.0,270.0,275.0,11800.0
2007-05-09,277.5,277.5,270.0,270.0,6800.0
2007-05-10,272.0,272.0,265.0,267.2,5300.0
2007-05-11,267.0,272.0,267.0,270.0,6200.0
2007-05-14,272.0,278.0,269.0,278.0,12100.0
2007-05-15,287.0,287.0,276.2,279.0,16900.0
2007-05-16,280.0,280.0,278.5,279.0,7300.0
2007-05-17,278.0,279.9,265.0,279.9,8700.0
2007-05-18,281.2,305.0,280.5,305.0,27800.0
2007-05-21,320.0,323.8,315.0,323.8,49200.0
2007-05-22,355.7,355.7,330.0,349.5,35300.0
2007-05-23,387.0,387.0,318.6,328.5,15200.0
2007-05-24,335.0,335.0,306.6,308.2,5700.0
2007-05-25,297.0,339.0,288.0,338.0,31900.0
2007-05-28,345.0,345.0,335.2,338.0,35100.0
2007-05-29,340.0,365.0,335.0,339.0,28100.0
2007-05-30,345.0,350.0,330.0,336.0,13500.0
2007-05-31,335.0,340.0,335.0,338.5,14500.0
2007-06-01,340.0,345.0,337.0,337.0,13700.0
2007-06-04,338.0,340.0,331.0,335.0,5000.0
2007-06-05,330.0,332.0,322.0,330.0,11000.0
2007-06-06,326.0,335.0,326.0,333.5,7200.0
2007-06-07,335.0,335.0,330.0,332.9,2900.0
2007-06-08,333.0,333.0,322.0,326.0,4800.0
2007-06-11,330.0,330.0,325.0,328.5,6700.0
2007-06-12,330.0,340.0,327.0,331.0,14000.0
2007-06-13,334.0,334.0,331.0,332.8,4000.0
2007-06-14,334.0,334.0,327.0,329.5,1700.0
2007-06-15,330.0,330.0,329.0,329.8,3800.0
2007-06-18,329.5,329.5,325.0,325.0,2500.0
2007-06-19,325.0,325.0,323.0,323.0,5000.0
2007-06-20,322.0,323.5,320.0,321.0,4100.0
2007-06-21,321.0,321.0,314.8,314.9,3400.0
2007-06-22,310.0,316.0,310.0,314.0,5100.0
2007-06-25,320.0,325.0,315.1,321.2,6200.0
2007-06-26,324.5,329.0,324.5,327.0,5900.0
2007-06-27,328.5,330.0,327.5,328.0,1500.0
2007-06-28,324.0,324.0,315.0,315.0,900.0
2007-06-29,316.0,323.0,311.0,316.0,5100.0
2007-07-02,310.0,310.0,295.0,297.0,3900.0
2007-07-03,289.0,289.0,275.0,280.0,9700.0
2007-07-04,297.0,305.3,288.0,305.3,6800.0
2007-07-05,301.0,301.0,296.0,296.0,1000.0
2007-07-06,295.0,296.0,290.0,296.0,4400.0
2007-07-09,300.0,300.0,294.0,298.0,4000.0
2007-07-10,309.0,318.0,308.0,313.5,9600.0
2007-07-11,320.0,330.0,315.0,320.0,10100.0
2007-07-12,323.0,324.9,303.1,309.0,6500.0
2007-07-13,310.8,314.0,306.0,312.0,9400.0
2007-07-16,301.5,305.0,292.0,300.0,4600.0
2007-07-17,310.0,329.2,298.0,303.0,6500.0
2007-07-18,315.0,315.0,305.0,307.0,14400.0
2007-07-19,309.0,310.0,300.0,300.0,6200.0
2007-07-20,303.0,303.0,293.0,293.5,4100.0
2007-07-23,288.0,295.0,280.1,288.0,6700.0
2007-07-24,285.0,285.0,277.0,277.2,9300.0
2007-07-25,275.0,275.0,260.0,260.0,8800.0
2007-07-26,254.0,260.0,245.0,247.0,5800.0
2007-07-27,248.0,248.0,235.0,240.0,20700.0
2007-07-30,77.0,81.1,77.0,81.1,18500.0
2007-07-31,84.0,88.3,83.0,88.3,26600.0
2007-08-01,91.0,95.9,91.0,95.9,21500.0
2007-08-02,105.2,105.2,87.0,94.0,77700.0
2007-08-03,105.0,105.0,92.7,92.7,14400.0
2007-08-06,95.0,95.0,85.0,86.0,15700.0
2007-08-07,84.9,90.0,84.9,89.5,6200.0
2007-08-08,90.0,91.0,88.0,89.0,12300.0
2007-08-09,90.0,90.5,88.5,90.5,13300.0
2007-08-10,91.0,91.0,86.0,88.0,4500.0
2007-08-13,83.1,86.0,83.1,85.5,8500.0
2007-08-14,85.0,87.0,84.0,87.0,8200.0
2007-08-15,86.5,86.6,86.0,86.5,8200.0
2007-08-16,86.0,86.0,85.0,85.5,6400.0
2007-08-17,83.0,83.5,82.5,82.5,9600.0
2007-08-20,82.0,83.0,80.0,81.5,7900.0
2007-08-21,81.5,82.1,81.0,81.5,7600.0
2007-08-22,81.1,81.2,79.9,79.9,6300.0
2007-08-23,80.0,80.0,76.0,77.9,5800.0
2007-08-24,79.0,80.0,77.4,80.0,6700.0
2007-08-27,82.0,82.0,80.2,80.3,10200.0
2007-08-28,81.0,81.0,79.7,80.0,8300.0
2007-08-29,79.0,80.0,79.0,79.5,3100.0
2007-08-30,79.5,82.5,79.5,82.5,14000.0
2007-08-31,81.5,85.0,81.5,84.5,21100.0
2007-09-04,86.0,87.0,84.0,84.0,17100.0
2007-09-05,84.0,84.5,82.5,84.5,7100.0
2007-09-06,83.0,84.0,82.5,84.0,5900.0
2007-09-07,84.0,86.9,83.9,86.9,24200.0
2007-09-10,87.3,94.0,86.0,92.5,42200.0
2007-09-11,95.0,95.9,93.5,94.5,50300.0
2007-09-12,97.0,97.9,95.0,95.5,37500.0
2007-09-13,96.0,96.0,90.5,92.0,17000.0
2007-09-14,93.0,93.5,90.0,91.8,22300.0
2007-09-17,91.0,92.3,91.0,92.3,21100.0
2007-09-18,93.0,93.3,92.2,93.1,17600.0
2007-09-19,94.0,94.6,93.8,94.6,23200.0
2007-09-20,98.0,98.0,94.0,96.0,23800.0
2007-09-21,97.3,97.3,94.1,95.0,8000.0
2007-09-24,93.0,96.0,93.0,95.8,21200.0
2007-09-25,97.9,98.5,95.3,97.8,29700.0
2007-09-26,98.1,99.5,97.5,97.9,18400.0
2007-09-27,100.0,100.0,97.0,98.0,17400.0
2007-09-28,99.0,107.6,97.5,107.6,44800.0
2007-10-01,112.6,112.6,112.6,112.6,12500.0
2007-10-02,123.8,123.8,120.0,123.5,69200.0
2007-10-03,135.6,135.6,125.0,135.6,65400.0
2007-10-04,140.0,145.4,138.0,145.4,34800.0
2007-10-05,158.9,158.9,158.9,158.9,34500.0
2007-10-08,174.7,174.7,147.0,150.0,60700.0
2007-10-09,164.0,164.0,155.3,155.3,28500.0
2007-10-10,148.0,173.0,143.0,165.0,64900.0
2007-10-11,171.7,171.7,165.0,171.7,51600.0
2007-10-12,187.7,187.7,175.1,187.0,63200.0
2007-10-15,200.0,202.7,192.0,202.7,50700.0
2007-10-16,221.3,221.3,221.3,221.3,31200.0
2007-10-17,243.4,243.4,205.0,215.0,79500.0
2007-10-18,210.0,215.0,209.8,209.8,72600.0
2007-10-19,209.0,231.1,191.0,231.1,50400.0
2007-10-22,240.0,243.8,235.0,243.8,67300.0
2007-10-23,260.0,264.9,241.1,250.0,47100.0
2007-10-24,245.0,267.0,235.0,258.0,50200.0
2007-10-25,265.0,284.0,265.0,279.0,73100.0
2007-10-26,285.0,300.0,253.0,260.0,20000.0
2007-10-29,268.0,268.0,239.9,245.0,40100.0
2007-10-30,240.0,240.0,231.3,232.0,25900.0
2007-10-31,234.6,234.6,220.0,229.0,50600.0
2007-11-01,250.0,250.0,245.0,250.0,19900.0
2007-11-02,274.5,274.6,235.0,245.0,17800.0
2007-11-05,240.0,240.0,225.0,233.0,18600.0
2007-11-06,227.0,230.0,221.0,229.0,23900.0
2007-11-07,227.0,246.9,225.5,230.0,27900.0
2007-11-08,240.0,240.0,226.0,230.0,12200.0
2007-11-09,220.0,221.0,215.0,220.0,16200.0
2007-11-12,216.0,218.0,200.2,205.0,17800.0
2007-11-13,192.1,197.0,189.8,189.8,17800.0
2007-11-14,182.0,209.7,175.0,209.7,26500.0
2007-11-15,224.9,226.0,190.0,204.0,17800.0
2007-11-16,202.0,202.0,193.1,198.0,14000.0
2007-11-19,198.0,210.0,198.0,210.0,15200.0
2007-11-20,212.0,212.0,204.1,207.0,25700.0
2007-11-21,205.0,208.0,199.0,204.5,20500.0
2007-11-22,203.0,205.0,199.0,200.5,15100.0
2007-11-23,201.0,202.0,194.0,198.0,19200.0
2007-11-26,195.0,200.0,195.0,200.0,14200.0
2007-11-27,198.0,203.0,198.0,198.5,14800.0
2007-11-28,201.0,201.0,199.0,199.0,3500.0
2007-11-29,199.0,205.0,199.0,202.5,16000.0
2007-11-30,201.0,202.0,200.0,201.0,7700.0
2007-12-03,204.0,204.0,200.3,204.0,15900.0
2007-12-04,207.0,220.0,207.0,213.5,21800.0
2007-12-05,215.0,215.0,200.0,213.6,32000.0
2007-12-06,207.0,209.0,207.0,207.5,15600.0
2007-12-07,208.1,208.1,203.0,207.0,32800.0
2007-12-10,205.0,205.5,202.2,203.1,12500.0
2007-12-11,199.0,199.0,197.1,198.9,8600.0
2007-12-12,198.0,205.0,195.0,199.0,23900.0
2007-12-13,193.0,195.0,192.1,194.0,4100.0
2007-12-14,191.2,192.0,190.0,191.0,5200.0
2007-12-17,191.0,191.0,172.5,176.2,11400.0
2007-12-18,165.0,180.0,163.0,175.0,23800.0
2007-12-19,180.0,188.4,179.0,186.0,22300.0
2007-12-20,186.0,186.0,166.6,170.0,67700.0
2007-12-21,163.0,176.0,162.0,174.0,101600.0
2007-12-24,173.0,174.0,168.0,171.0,42500.0
2007-12-25,171.0,171.0,167.5,169.9,45700.0
2007-12-26,166.0,173.5,165.5,170.0,46600.0
2007-12-27,170.0,171.0,170.0,170.7,36400.0
2007-12-28,170.0,173.0,169.0,173.0,24300.0
2008-01-02,173.0,173.0,168.0,170.0,25500.0
2008-01-03,170.0,170.0,165.0,167.0,20400.0
2008-01-04,166.0,166.0,161.0,164.4,20500.0
2008-01-07,158.0,162.0,152.1,155.0,36300.0
2008-01-08,148.0,162.0,147.6,154.0,77200.0
2008-01-09,154.0,157.9,150.0,150.6,34800.0
2008-01-10,147.0,150.5,140.0,149.0,39100.0
2008-01-11,144.0,155.0,144.0,148.0,35300.0
2008-01-14,148.9,148.9,136.5,137.2,59200.0
2008-01-15,135.0,135.1,125.0,127.0,73900.0
2008-01-16,133.0,139.1,130.1,139.1,45400.0
2008-01-17,150.0,152.0,128.0,141.0,94900.0
2008-01-18,140.0,151.0,137.1,147.0,64300.0
2008-01-21,142.0,144.9,140.0,144.8,26500.0
2008-01-22,142.0,142.0,138.0,140.6,48500.0
2008-01-23,140.0,140.2,133.5,139.1,53700.0
2008-01-24,141.2,143.0,133.0,135.5,50700.0
2008-01-25,137.0,139.5,135.6,137.0,27500.0
2008-01-28,139.0,139.5,135.6,137.0,22400.0
2008-01-29,138.0,148.0,136.8,140.0,64700.0
2008-01-30,145.0,154.4,145.0,154.4,88500.0
2008-01-31,162.9,163.0,144.0,152.0,45200.0
2008-02-01,153.2,158.0,152.0,154.0,44300.0
2008-02-12,153.0,153.0,146.0,147.0,26300.0
2008-02-13,148.0,148.0,140.0,141.0,40100.0
2008-02-14,142.5,148.0,140.0,142.0,23500.0
2008-02-15,142.0,142.0,138.0,140.0,19700.0
2008-02-18,135.0,136.0,130.0,133.0,45500.0
2008-02-19,133.0,137.5,126.1,132.0,38500.0
2008-02-20,133.9,133.9,120.3,121.5,36400.0
2008-02-21,115.0,122.9,112.9,112.9,31900.0
2008-02-22,105.0,120.0,101.8,113.0,104800.0
2008-02-25,110.0,117.3,110.0,117.3,24900.0
2008-02-26,123.0,125.0,105.1,106.0,48900.0
2008-02-27,102.0,115.0,101.0,106.0,41200.0
2008-02-28,106.0,110.0,105.0,107.0,51000.0
2008-02-29,107.0,107.0,102.1,104.0,47400.0
2008-03-03,103.6,106.0,93.3,93.3,77700.0
2008-03-04,86.6,86.6,85.8,85.8,8500.0
2008-03-05,77.3,85.5,77.3,77.4,94300.0
2008-03-06,80.0,85.4,80.0,85.4,12300.0
2008-03-07,93.5,93.5,93.5,93.5,53600.0
2008-03-10,102.8,102.8,90.2,96.0,181000.0
2008-03-11,98.0,98.0,91.0,91.0,68000.0
2008-03-12,89.0,98.0,89.0,95.0,44700.0
2008-03-13,99.1,99.1,93.5,95.5,27900.0
2008-03-14,93.1,95.2,93.1,94.0,43700.0
2008-03-17,92.2,92.2,84.7,85.0,68000.0
2008-03-18,80.0,80.0,77.1,77.1,85500.0
2008-03-19,80.0,82.0,72.0,75.0,42000.0
2008-03-20,78.4,79.8,75.0,75.1,42900.0
2008-03-21,74.0,75.0,69.8,69.8,61600.0
2008-03-24,64.0,65.0,63.6,63.6,15100.0
2008-03-25,58.4,58.4,57.6,57.6,8700.0
2008-03-26,51.9,60.0,51.9,57.7,61300.0
2008-03-27,58.3,58.3,58.3,58.3,500.0
2008-03-28,59.4,59.4,59.4,59.4,500.0
2008-03-31,60.5,60.5,60.5,60.5,100.0
2008-04-01,61.7,61.7,61.7,61.7,10200.0
2008-04-02,62.9,62.9,62.9,62.9,7200.0
2008-04-03,64.1,64.1,64.1,64.1,1100.0
2008-04-04,65.3,65.3,65.3,65.3,100.0
2008-04-07,67.2,67.2,67.2,67.2,200.0
2008-04-08,69.2,69.2,65.2,68.9,107200.0
2008-04-09,67.0,67.1,65.1,65.1,10500.0
2008-04-10,63.5,63.5,63.5,63.5,100.0
2008-04-11,61.6,61.6,61.6,61.6,2400.0
2008-04-16,59.8,59.8,59.8,59.8,6200.0
2008-04-17,58.1,61.5,58.1,61.4,74500.0
2008-04-18,60.5,61.0,58.0,58.0,13800.0
2008-04-21,56.9,56.9,56.9,56.9,2500.0
2008-04-22,55.2,55.2,55.2,55.2,600.0
2008-04-23,53.6,53.6,53.6,53.6,100.0
2008-04-24,52.0,53.0,52.0,52.0,29000.0
2008-04-25,50.5,50.5,50.5,50.5,4500.0
2008-04-28,49.0,51.0,49.0,49.0,54900.0
2008-04-29,47.8,49.0,47.8,47.8,16300.0
2008-05-05,46.5,46.5,46.5,46.5,600.0
2008-05-06,45.2,45.2,45.2,45.2,100.0
2008-05-07,43.9,43.9,43.9,43.9,400.0
2008-05-08,42.6,42.6,42.6,42.6,600.0
2008-05-09,41.4,41.4,41.4,41.4,100.0
2008-05-12,40.2,40.2,40.2,40.2,100.0
2008-05-13,39.0,39.0,39.0,39.0,100.0
2008-05-14,37.9,37.9,37.9,37.9,100.0
2008-05-15,36.8,36.8,36.8,36.8,100.0
2008-05-16,35.7,35.7,35.7,35.7,17000.0
2008-05-19,34.7,34.7,34.7,34.7,400.0
2008-05-20,33.7,33.7,33.7,33.7,100.0
2008-05-21,32.7,32.7,32.7,32.7,400.0
2008-05-22,31.8,31.8,31.8,31.8,200.0
2008-05-23,30.9,30.9,30.9,30.9,200.0
2008-05-26,30.9,30.9,30.9,30.9,0.0
2008-05-27,30.0,30.0,30.0,30.0,100.0
2008-05-28,29.1,29.1,29.1,29.1,300.0
2008-05-29,28.3,28.3,28.3,28.3,7900.0
2008-05-30,27.5,27.5,27.5,27.5,1300.0
2008-06-02,26.7,26.7,26.7,26.7,200.0
