date,open,high,low,close,volume
2010-11-24,18.0,18.0,18.0,18.0,100.0
2010-11-25,18000.0,18000.0,18000.0,18000.0,0.0
2010-11-26,18.0,18.0,18.0,18.0,0.0
2010-11-29,18.0,18.0,18.0,18.0,0.0
2010-11-30,18.0,18.0,18.0,18.0,0.0
2010-12-01,18.0,18.0,18.0,18.0,0.0
2010-12-02,18.0,18.0,18.0,18.0,0.0
2010-12-03,18.0,18.0,18.0,18.0,0.0
2010-12-06,18.0,18.0,18.0,18.0,0.0
2010-12-07,18.0,18.0,18.0,18.0,0.0
2010-12-08,18.0,18.0,18.0,18.0,0.0
2010-12-09,18.0,18.0,18.0,18.0,0.0
2010-12-10,18.0,18.0,18.0,18.0,0.0
2010-12-13,18.0,18.0,18.0,18.0,0.0
2010-12-14,18.0,18.0,18.0,18.0,0.0
2010-12-15,18.0,18.0,18.0,18.0,0.0
2010-12-16,18.0,18.0,18.0,18.0,0.0
2010-12-17,18.0,18.0,18.0,18.0,0.0
2010-12-20,18.0,18.0,18.0,18.0,0.0
2010-12-21,18.0,18.0,18.0,18.0,0.0
2010-12-22,18.0,18.0,18.0,18.0,0.0
2010-12-23,18.0,18.0,18.0,18.0,0.0
2010-12-24,18.0,18.0,18.0,18.0,0.0
2010-12-27,18.0,18.0,18.0,18.0,0.0
2010-12-28,18.0,18.0,18.0,18.0,0.0
2010-12-29,18.0,18.0,18.0,18.0,0.0
2010-12-30,18.0,18.0,18.0,18.0,0.0
2011-03-11,10.0,10.0,10.0,10.0,5000.0
2011-03-14,10.0,10.0,10.0,10.0,0.0
2011-03-15,10.0,10.0,10.0,10.0,0.0
2011-03-16,10.0,10.0,10.0,10.0,0.0
2011-03-17,10.0,10.0,10.0,10.0,0.0
2011-03-18,10.0,10.0,10.0,10.0,0.0
2011-03-21,10.0,10.0,10.0,10.0,0.0
2011-03-22,10.0,10.0,10.0,10.0,0.0
2011-03-23,10.0,10.0,10.0,10.0,0.0
2011-03-24,10.0,10.0,10.0,10.0,0.0
2011-03-25,10.0,10.0,10.0,10.0,0.0
2011-03-28,10.0,10.0,10.0,10.0,0.0
2011-03-29,10.0,10.0,10.0,10.0,0.0
2011-03-30,10.0,10.0,10.0,10.0,0.0
2011-03-31,10.0,10.0,10.0,10.0,0.0
2011-04-01,10.0,10.0,10.0,10.0,0.0
2011-04-04,10.0,10.0,10.0,10.0,0.0
2011-04-05,10.0,10.0,10.0,10.0,0.0
2011-04-06,10.0,10.0,10.0,10.0,0.0
2011-04-07,10.0,10.0,10.0,10.0,0.0
2011-04-08,10.0,10.0,10.0,10.0,0.0
2011-04-13,9.1,9.1,9.1,9.1,0.0
2011-04-14,9.1,9.1,9.1,9.1,0.0
2011-04-15,9.1,9.1,9.1,9.1,0.0
2011-04-18,9.1,9.1,9.1,9.1,0.0
2011-04-19,9.1,9.1,9.1,9.1,0.0
2011-04-20,9.1,9.1,9.1,9.1,0.0
2011-04-21,9.1,9.1,9.1,9.1,0.0
2011-04-22,9.1,9.1,9.1,9.1,0.0
2011-04-25,9.1,9.1,9.1,9.1,0.0
2011-04-26,9.1,9.1,9.1,9.1,0.0
2011-04-27,9.1,9.1,9.1,9.1,0.0
2011-04-28,9.1,9.1,9.1,9.1,0.0
2011-04-29,9.1,9.1,9.1,9.1,0.0
2011-05-04,9.1,9.1,9.1,9.1,0.0
2011-05-05,9.1,9.1,9.1,9.1,0.0
2011-05-06,12.0,12.7,12.0,12.7,2100.0
2011-05-09,9.1,9.1,9.1,9.1,0.0
2011-05-10,12.0,12.0,12.0,12.0,0.0
2011-05-11,12.0,12.0,12.0,12.0,0.0
2011-05-12,12.0,12.0,12.0,12.0,5000.0
2011-05-13,12.0,12.0,12.0,12.0,0.0
2011-05-16,12.0,12.0,12.0,12.0,3300.0
2011-05-17,12.0,12.0,12.0,12.0,0.0
2011-05-18,12.0,12.0,12.0,12.0,0.0
2011-05-19,12.0,12.0,12.0,12.0,0.0
2011-05-20,12.0,12.0,12.0,12.0,0.0
2011-05-23,12.0,12.0,12.0,12.0,0.0
2011-05-24,12.0,12.0,12.0,12.0,1000.0
2011-05-25,12.0,12.0,12.0,12.0,0.0
2011-05-26,12.0,12.0,12.0,12.0,0.0
2011-05-27,12.0,12.0,12.0,12.0,0.0
2011-05-30,12.0,12.0,12.0,12.0,0.0
2011-05-31,12.0,12.0,12.0,12.0,0.0
2011-06-01,12.5,13.2,12.5,13.2,1300.0
2011-06-02,12.6,12.6,12.6,12.6,0.0
2011-06-03,12.6,12.6,12.6,12.6,0.0
2011-06-06,12.6,12.6,12.6,12.6,0.0
2011-06-07,12.6,12.6,12.6,12.6,0.0
2011-06-08,12.6,12.6,12.6,12.6,0.0
2011-06-09,12.6,12.6,12.6,12.6,0.0
2011-06-10,12.6,12.6,12.6,12.6,0.0
2011-06-13,12.6,12.6,12.6,12.6,0.0
2011-06-14,12.6,12.6,12.6,12.6,0.0
2011-06-15,12.6,12.6,12.6,12.6,0.0
2011-06-16,12.6,12.6,12.6,12.6,0.0
2011-06-17,12.6,12.6,12.6,12.6,0.0
2011-06-20,12.6,12.6,12.6,12.6,0.0
2011-06-21,12.0,12.0,12.0,12.0,100.0
2011-06-22,12.0,12.0,12.0,12.0,0.0
2011-06-23,12.0,12.0,12.0,12.0,0.0
2011-06-24,12.0,12.0,12.0,12.0,0.0
2011-06-27,12.0,12.0,12.0,12.0,0.0
2011-06-28,12.0,12.0,12.0,12.0,0.0
2011-06-29,12.0,12.0,12.0,12.0,0.0
2011-06-30,12.0,12.0,12.0,12.0,1700.0
2011-07-01,12.0,12.0,12.0,12.0,300.0
2011-07-04,12.0,12.0,12.0,12.0,0.0
2011-07-05,12.0,12.0,12.0,12.0,0.0
2011-07-06,12.0,12.0,12.0,12.0,0.0
2011-07-07,12.0,12.0,12.0,12.0,0.0
2011-07-08,12.0,12.0,12.0,12.0,0.0
2011-07-11,12.0,12.0,12.0,12.0,0.0
2011-07-12,12.0,12.0,12.0,12.0,0.0
2011-07-13,12.0,12.0,12.0,12.0,0.0
2011-07-14,12.0,12.0,12.0,12.0,0.0
2011-07-15,12.0,12.0,12.0,12.0,0.0
2011-07-18,12.0,12.0,12.0,12.0,0.0
2011-07-19,12.0,12.0,12.0,12.0,0.0
2011-07-20,12.0,12.0,12.0,12.0,0.0
2011-07-21,12.0,12.0,12.0,12.0,0.0
2011-07-22,12.0,12.0,12.0,12.0,0.0
2011-07-25,12.0,12.0,12.0,12.0,0.0
2011-07-26,12.0,12.0,12.0,12.0,0.0
2011-07-27,12.0,12.0,12.0,12.0,0.0
2011-07-28,12.0,12.0,12.0,12.0,1900.0
2011-07-29,12.0,12.0,12.0,12.0,0.0
2011-08-01,12.0,12.0,12.0,12.0,0.0
2011-08-02,12.0,12.0,12.0,12.0,0.0
2011-08-03,12.0,12.0,12.0,12.0,0.0
2011-08-04,12.0,12.0,12.0,12.0,0.0
2011-08-05,12.0,12.0,12.0,12.0,0.0
2011-08-08,12.0,12.0,12.0,12.0,0.0
2011-08-09,12.0,12.0,12.0,12.0,0.0
2011-08-10,12.0,12.0,12.0,12.0,800.0
2011-08-11,12.0,12.0,12.0,12.0,0.0
2011-08-12,12.0,12.0,12.0,12.0,0.0
2011-08-15,12.0,12.0,12.0,12.0,0.0
2011-08-16,12.0,12.0,12.0,12.0,200.0
2011-08-17,12.0,12.0,12.0,12.0,0.0
2011-08-18,12.0,12.0,12.0,12.0,0.0
2011-08-19,12.0,12.0,12.0,12.0,0.0
2011-08-22,12.0,12.0,12.0,12.0,0.0
2011-08-23,12.0,12.0,12.0,12.0,0.0
2011-08-24,12.0,12.0,12.0,12.0,0.0
2011-08-25,12.0,12.0,12.0,12.0,1000.0
2011-08-26,12.0,12.0,12.0,12.0,0.0
2011-08-29,12.0,12.0,12.0,12.0,0.0
2011-08-30,12.0,12.0,12.0,12.0,0.0
2011-08-31,12.0,12.0,12.0,12.0,0.0
2011-09-01,12.0,12.0,12.0,12.0,0.0
2011-09-05,12.0,12.0,12.0,12.0,0.0
2011-09-06,12.0,12.0,12.0,12.0,6500.0
2011-09-07,12.0,12.0,12.0,12.0,0.0
2011-09-08,12.0,12.1,12.0,12.1,1200.0
2011-09-09,12.0,12.0,12.0,12.0,0.0
2011-09-12,12.0,12.0,12.0,12.0,0.0
2011-09-13,12.0,12.0,12.0,12.0,0.0
2011-09-14,12.0,12.0,12.0,12.0,0.0
2011-09-15,12.0,12.0,12.0,12.0,2000.0
2011-09-16,12.0,12.0,12.0,12.0,0.0
2011-09-19,12.0,12.0,12.0,12.0,0.0
2011-09-20,12.0,12.0,12.0,12.0,0.0
2011-09-21,12.0,12.0,12.0,12.0,0.0
2011-09-22,12.0,12.0,12.0,12.0,0.0
2011-09-23,12.0,12.0,12.0,12.0,0.0
2011-09-26,12.0,12.0,12.0,12.0,0.0
2011-09-27,12.0,12.0,12.0,12.0,0.0
2011-09-28,12.0,12.0,12.0,12.0,0.0
2011-09-29,12.0,12.0,12.0,12.0,0.0
2011-09-30,12.0,12.0,12.0,12.0,0.0
2011-10-03,12.0,12.0,12.0,12.0,0.0
2011-10-04,12.0,12.0,12.0,12.0,0.0
2011-10-05,12.0,12.0,12.0,12.0,0.0
2011-10-06,12.0,12.0,12.0,12.0,0.0
2011-10-07,12.0,12.0,12.0,12.0,0.0
2011-10-10,12.0,12.0,12.0,12.0,0.0
2011-10-11,12.0,12.0,12.0,12.0,0.0
2011-10-12,12.0,12.0,12.0,12.0,0.0
2011-10-13,12.0,12.0,12.0,12.0,0.0
2011-10-14,12.0,12.0,12.0,12.0,0.0
2011-10-17,12.0,12.0,12.0,12.0,0.0
2011-10-18,12.0,12.0,12.0,12.0,0.0
2011-10-19,12.0,12.0,12.0,12.0,0.0
2011-10-20,12.0,12.0,12.0,12.0,0.0
2011-10-21,12.0,12.0,12.0,12.0,0.0
2011-10-24,12.0,12.0,12.0,12.0,0.0
2011-10-25,12.0,12.0,12.0,12.0,0.0
2011-10-26,12.0,12.0,12.0,12.0,0.0
2011-10-27,12.0,12.0,12.0,12.0,0.0
2011-10-28,12.0,12.0,12.0,12.0,500.0
2011-10-31,12.0,12.0,12.0,12.0,0.0
2011-11-01,12.0,12.0,12.0,12.0,0.0
2011-11-02,12.0,12.0,12.0,12.0,0.0
2011-11-03,12.0,12.0,12.0,12.0,300.0
2011-11-04,12.0,12.0,12.0,12.0,0.0
2011-11-07,12.0,12.0,12.0,12.0,0.0
2011-11-08,12.0,12.0,12.0,12.0,0.0
2011-11-09,12.0,12.0,12.0,12.0,0.0
2011-11-10,12.0,12.0,12.0,12.0,0.0
2011-11-11,12.0,12.0,12.0,12.0,0.0
2011-11-14,12.5,12.5,12.5,12.5,1000.0
2011-11-15,12.5,12.5,12.5,12.5,0.0
2011-11-16,12.4,12.4,12.4,12.4,3000.0
2011-11-17,12.5,12.9,12.5,12.9,11200.0
2011-11-18,12.7,12.8,12.0,12.8,9200.0
2011-11-21,13.6,13.6,13.6,13.6,0.0
2011-11-22,13.6,13.6,13.6,13.6,0.0
2011-11-23,13.6,13.6,13.6,13.6,0.0
2011-11-24,13.6,13.6,13.6,13.6,0.0
2011-11-25,13.6,13.6,13.6,13.6,0.0
2011-11-28,13.0,13.0,13.0,13.0,3000.0
2011-11-29,13.0,13.0,13.0,13.0,0.0
2011-11-30,13.0,13.0,13.0,13.0,0.0
2011-12-01,13.0,13.0,13.0,13.0,0.0
2011-12-02,13.0,13.0,13.0,13.0,0.0
2011-12-05,13.0,13.0,13.0,13.0,0.0
2011-12-06,13.0,13.0,13.0,13.0,0.0
2011-12-07,13.0,13.0,13.0,13.0,0.0
2011-12-08,12.5,12.5,12.0,12.4,12000.0
2011-12-09,12.3,12.3,12.3,12.3,2000.0
2011-12-12,12.3,12.3,12.3,12.3,0.0
2011-12-13,12.0,12.0,11.5,11.5,7500.0
2011-12-14,12.5,12.5,11.1,11.1,6000.0
2011-12-15,11.5,11.5,11.1,11.1,5000.0
2011-12-16,11.3,11.3,11.3,11.3,0.0
2011-12-19,10.8,10.8,10.5,10.5,5000.0
2011-12-20,10.7,10.7,10.5,10.5,10500.0
2011-12-21,10.6,10.6,10.6,10.6,0.0
2011-12-22,10.3,10.3,10.3,10.3,7000.0
2011-12-23,9.5,10.2,9.3,10.2,29000.0
2011-12-26,10.2,10.2,10.0,10.0,15000.0
2011-12-27,10.1,10.1,10.1,10.1,0.0
2011-12-28,10.8,10.8,10.7,10.7,20000.0
2011-12-29,10.8,10.8,10.8,10.8,19300.0
2011-12-30,10.8,10.8,10.8,10.8,0.0
2012-01-03,10.8,10.8,10.8,10.8,0.0
2012-01-04,10.8,10.8,10.8,10.8,0.0
2012-01-05,10.8,10.8,10.8,10.8,0.0
2012-01-06,10.8,10.8,10.8,10.8,0.0
2012-01-09,10.8,10.8,10.8,10.8,0.0
2012-01-10,10.8,10.8,10.8,10.8,0.0
2012-01-11,10.8,10.8,10.8,10.8,0.0
2012-01-12,10.8,10.8,10.8,10.8,0.0
2012-01-13,10.8,10.8,10.8,10.8,0.0
2012-01-16,10.8,10.8,10.8,10.8,0.0
2012-01-17,10.8,10.8,10.8,10.8,0.0
2012-01-18,10.8,10.8,10.8,10.8,0.0
2012-01-19,10.8,10.8,10.8,10.8,0.0
2012-01-20,10.8,10.8,10.8,10.8,0.0
2012-01-30,10.8,10.8,10.8,10.8,0.0
2012-01-31,10.8,10.8,10.8,10.8,0.0
2012-02-01,10.8,10.8,10.8,10.8,0.0
2012-02-02,10.8,10.8,10.8,10.8,0.0
2012-02-03,10.8,10.8,10.8,10.8,0.0
2012-02-06,10.8,10.8,10.8,10.8,0.0
2012-02-07,10.8,10.8,10.8,10.8,0.0
