date,open,high,low,close,volume
2016-12-23,15.9,15.9,15.9,15.9,164300
2016-12-26,18.2,18.2,17.9,18.2,74100
2016-12-27,20.9,20.9,20.9,20.9,62200
2016-12-28,23.5,23.8,17.8,17.8,148920
2016-12-29,17.0,17.0,16.5,16.5,42560
2016-12-30,14.1,16.0,14.1,14.7,59516
2017-01-03,13.0,15.2,12.8,13.5,36004
2017-01-04,14.2,14.4,12.2,12.8,66500
2017-01-05,12.8,14.7,12.5,12.5,197100
2017-01-06,13.5,14.5,12.6,13.4,76800
2017-01-09,12.9,14.0,12.8,13.2,51200
2017-01-10,12.9,13.4,12.8,13.2,94500
2017-01-11,13.0,13.2,12.7,13.1,44720
2017-01-12,13.1,13.3,12.8,12.8,75700
2017-01-13,13.0,13.0,12.2,12.5,143100
2017-01-16,12.4,12.7,12.0,12.0,69000
2017-01-17,12.2,12.6,11.8,12.3,79300
2017-01-18,12.2,12.3,11.8,12.1,57100
2017-01-19,11.9,12.6,11.8,12.5,36600
2017-01-20,12.5,13.0,11.9,13.0,83500
2017-01-23,12.4,12.8,12.2,12.3,32300
2017-01-24,12.1,13.5,12.0,13.0,81500
2017-01-25,12.5,13.5,12.4,13.3,63200
2017-02-02,13.4,14.2,12.8,12.8,57610
2017-02-03,12.8,12.9,12.6,12.9,91200
2017-02-06,13.7,13.7,12.7,13.3,61500
2017-02-07,13.4,13.5,13.1,13.4,37100
2017-02-08,13.5,13.5,13.1,13.3,25400
2017-02-09,13.7,14.5,13.3,14.5,62000
2017-02-10,13.8,13.9,13.0,13.9,126000
2017-02-13,13.4,13.8,13.2,13.7,68900
2017-02-14,13.3,13.8,13.3,13.5,68600
2017-02-15,13.6,13.9,13.6,13.7,68600
2017-02-16,13.5,13.6,13.5,13.6,41500
2017-02-17,13.5,13.5,13.3,13.3,65300
2017-02-20,13.5,13.7,13.0,13.7,42110
2017-02-21,13.3,13.7,13.3,13.6,36000
2017-02-22,13.7,13.9,13.5,13.7,22100
2017-02-23,13.3,13.7,11.8,13.3,95700
2017-02-24,13.3,13.9,13.2,13.8,137500
2017-02-27,13.6,13.8,13.3,13.4,202334
2017-02-28,13.4,13.9,13.4,13.5,39400
2017-03-01,13.4,13.5,13.3,13.4,117200
2017-03-02,13.4,13.5,13.4,13.5,66600
2017-03-03,13.4,13.4,11.8,13.2,93402
2017-03-06,13.3,13.3,12.5,13.3,94706
2017-03-07,13.5,13.6,13.3,13.6,62700
2017-03-08,12.6,14.0,12.6,13.9,80500
2017-03-09,13.0,13.8,12.7,13.8,52400
2017-03-10,13.1,15.5,13.1,15.5,254041
2017-03-13,16.6,16.6,16.6,16.6,36700
2017-03-14,19.0,19.0,14.3,19.0,257400
2017-03-15,21.1,21.1,16.3,21.1,325821
2017-03-16,22.0,22.8,21.1,22.8,99020
2017-03-17,23.1,25.7,23.0,25.7,125610
2017-03-20,26.0,29.3,26.0,29.3,155000
2017-03-21,30.0,33.3,29.0,32.9,318220
2017-03-22,28.0,28.8,27.8,27.8,388694
2017-03-23,24.0,25.0,23.7,23.7,383175
2017-03-24,21.1,24.8,20.3,20.4,474891
2017-03-27,22.9,23.6,18.1,22.0,211120
2017-03-28,20.6,22.0,17.8,21.0,292101
2017-03-29,18.7,19.3,16.3,18.2,322000
2017-03-30,18.2,20.2,17.0,20.2,144520
2017-03-31,21.5,21.7,21.5,21.7,18950
2017-04-03,23.5,24.8,21.6,24.8,350221
2017-04-04,25.9,26.8,22.6,23.5,129160
2017-04-05,23.0,24.0,21.1,21.2,312626
2017-04-07,22.0,22.0,20.2,20.4,224230
2017-04-10,20.8,21.9,19.5,20.4,132200
2017-04-11,20.1,22.0,19.7,21.0,88300
2017-04-12,20.8,20.8,19.1,19.4,178300
2017-04-13,19.3,20.0,19.1,19.5,68710
2017-04-14,19.4,19.5,18.3,19.2,165500
2017-04-17,19.5,19.5,18.5,18.6,32302
2017-04-18,18.6,19.1,17.5,18.9,63410
2017-04-19,18.3,21.0,17.7,21.0,225000
2017-04-20,20.0,22.5,19.0,20.3,141050
2017-04-21,20.6,20.6,19.1,19.4,70700
2017-04-24,19.3,19.6,19.0,19.4,26300
2017-04-25,19.1,19.3,18.9,19.0,70400
2017-04-26,19.0,20.8,18.8,20.5,91000
2017-04-27,19.2,20.4,16.7,18.9,133200
2017-04-28,18.2,19.4,18.1,19.0,29900
2017-05-03,18.6,19.0,17.8,18.6,76100
2017-05-04,18.5,18.9,18.1,18.6,50300
2017-05-05,18.6,18.7,18.0,18.5,54600
2017-05-08,18.5,18.6,17.8,18.3,68300
2017-05-09,18.0,18.3,17.5,17.8,75300
2017-05-10,17.8,17.9,17.3,17.6,49006
2017-05-11,17.5,17.7,17.2,17.2,29300
2017-05-12,17.3,18.1,17.0,17.3,93600
2017-05-15,17.0,17.3,16.5,16.9,65000
2017-05-16,16.7,16.9,16.3,16.4,88300
2017-05-17,16.6,18.6,16.1,17.8,141600
2017-05-18,17.8,17.8,17.0,17.2,30806
2017-05-19,17.3,17.3,16.9,16.9,33300
2017-05-22,17.0,17.1,16.6,16.7,80200
2017-05-23,16.7,17.0,16.6,16.6,44685
2017-05-24,16.7,17.2,16.7,17.2,38700
2017-05-25,16.9,17.0,16.8,16.8,19400
2017-05-26,16.9,17.1,16.5,17.1,45700
2017-05-29,16.9,17.0,16.5,16.6,39500
2017-05-30,16.9,17.0,16.7,16.7,45000
2017-05-31,16.9,16.9,16.5,16.6,50705
2017-06-01,16.7,16.7,16.6,16.6,26100
2017-06-02,16.7,16.9,16.6,16.9,14200
2017-06-05,16.8,17.0,16.7,17.0,14100
2017-06-06,16.8,16.8,16.7,16.8,9900
2017-06-07,16.8,16.8,16.5,16.6,29900
2017-06-08,16.7,16.7,16.5,16.6,17000
2017-06-09,16.6,17.9,16.5,16.6,39500
2017-06-12,16.9,17.0,16.8,17.0,22600
2017-06-13,17.0,17.2,16.8,16.9,20500
2017-06-14,17.0,17.0,16.7,16.8,29100
2017-06-15,16.8,17.1,16.7,17.1,43400
2017-06-16,16.9,17.0,16.8,16.8,37200
2017-06-19,16.9,17.2,16.8,17.0,26000
2017-06-20,16.9,17.0,16.9,17.0,18400
2017-06-21,16.9,17.0,16.7,16.8,38100
2017-06-22,16.8,16.9,16.7,16.7,23200
2017-06-23,16.7,16.8,16.7,16.8,16600
2017-06-26,19.3,19.3,17.5,19.3,128800
2017-06-27,19.4,20.9,18.8,18.9,82012
2017-06-28,19.5,19.5,18.1,18.5,23200
2017-06-29,18.1,18.1,17.0,17.4,23500
2017-06-30,17.0,17.5,16.9,17.5,39910
2017-07-03,17.0,17.1,16.8,17.1,22902
2017-07-04,16.9,17.5,16.9,17.2,10400
2017-07-05,17.1,19.0,17.1,18.5,49500
2017-07-06,18.2,19.0,18.0,18.8,25700
2017-07-07,18.1,18.2,18.0,18.2,22602
2017-07-10,18.0,18.0,17.0,17.2,41700
2017-07-11,17.2,17.3,17.1,17.2,27950
2017-07-12,17.2,17.5,17.1,17.5,3100
2017-07-13,17.3,17.9,17.3,17.9,11500
2017-07-14,18.0,18.0,18.0,18.0,100
2017-07-17,17.5,17.5,17.0,17.0,6200
2017-07-18,17.1,17.1,17.0,17.1,18900
2017-07-19,17.5,17.9,17.0,17.9,6500
2017-07-20,17.1,17.1,17.0,17.0,10500
2017-07-21,17.0,17.3,17.0,17.0,5400
