date,open,high,low,close,volume
2010-12-27,120.0,150.0,11.5,11.5,11500
2010-12-29,90.1,90.1,90.1,90.1,1000
2011-01-19,90.1,90.1,90.1,90.1,5150
2011-01-27,81.1,81.1,81.1,81.1,200
2011-01-28,73.0,73.0,73.0,73.0,100
2011-02-08,65.7,65.7,65.7,65.7,100
2011-02-09,59.2,59.2,59.2,59.2,100
2011-02-11,53.3,53.3,53.3,53.3,100
2011-02-14,48.0,48.0,48.0,48.0,100
2011-02-15,43.2,43.2,43.2,43.2,100
2011-02-17,38.9,38.9,38.9,38.9,100
2011-02-18,35.1,35.1,35.1,35.1,100
2011-02-21,31.6,31.6,31.6,31.6,100
2011-02-22,28.5,28.5,28.5,28.5,100
2011-02-23,25.7,25.7,25.7,25.7,100
2011-02-24,23.2,23.2,23.2,23.2,100
2011-02-25,20.9,20.9,20.9,20.9,100
2011-02-28,18.9,18.9,18.9,18.9,100
2011-03-04,17.1,17.1,17.1,17.1,100
2011-03-07,15.4,15.4,15.4,15.4,100
2011-03-08,13.9,13.9,13.9,13.9,100
2011-03-09,12.6,12.6,12.6,12.6,100
2011-03-10,11.4,11.4,11.4,11.4,100
2011-03-11,10.3,10.3,10.3,10.3,700
2011-03-15,9.3,9.3,9.3,9.3,100
2011-03-16,8.4,8.4,8.4,8.4,100
2011-03-18,7.6,7.6,7.6,7.6,100
2011-03-21,6.9,6.9,6.9,6.9,100
2011-03-22,6.3,6.3,6.3,6.3,100
2011-03-23,5.7,5.7,5.7,5.7,3000
2011-03-24,5.2,5.2,5.2,5.2,1200
2011-03-25,4.7,4.7,4.7,4.7,2700
2011-03-28,5.1,5.1,4.3,4.3,19200
2011-03-29,4.3,4.3,4.3,4.3,2800
2011-03-30,4.6,4.6,4.6,4.6,500
2011-03-31,5.0,5.0,4.8,4.8,1200
2011-04-05,4.5,4.5,4.5,4.5,12000
2011-04-06,4.8,4.8,4.5,4.5,2500
2011-04-07,4.2,4.2,4.2,4.2,7400
2011-04-14,3.8,3.8,3.8,3.8,500
2011-04-15,4.1,4.1,4.1,4.1,100
2011-04-18,4.4,4.4,4.4,4.4,900
2011-04-19,4.7,4.7,4.7,4.7,100
2011-04-21,5.0,5.0,5.0,5.0,100
2011-04-22,5.1,5.1,5.1,5.1,100
2011-04-27,4.6,4.6,4.6,4.6,1000
2011-04-29,4.2,4.2,4.2,4.2,400
2011-05-04,4.2,4.2,4.2,4.2,1000
2011-05-05,4.2,4.4,4.2,4.2,9000
2011-05-09,4.2,4.2,4.2,4.2,100
2011-05-11,3.9,3.9,3.9,3.9,100
2011-05-13,4.2,4.2,4.2,4.2,100
2011-05-17,3.8,3.8,3.8,3.8,400
2011-05-18,3.5,3.5,3.5,3.5,100
2011-05-19,3.2,3.2,3.2,3.2,100
2011-05-23,3.0,3.0,3.0,3.0,100
2011-05-24,3.0,3.0,3.0,3.0,200
2011-05-25,3.0,3.0,3.0,3.0,1100
2011-05-27,3.0,3.0,3.0,3.0,900
2011-05-30,3.0,3.0,3.0,3.0,1000
2011-06-02,3.0,3.0,3.0,3.0,1000
2011-06-07,3.3,3.3,3.3,3.3,500
2011-06-09,3.1,3.1,3.1,3.1,100
2011-06-20,2.8,2.8,2.8,2.8,100
2011-06-21,3.0,3.0,3.0,3.0,800
2011-06-22,3.3,3.3,3.3,3.3,1400
2011-06-23,3.6,3.6,3.6,3.6,5250
2011-06-24,3.9,3.9,3.8,3.8,8000
2011-06-27,4.1,4.1,4.0,4.0,4200
2011-06-28,4.4,4.4,4.4,4.4,100
2011-06-29,4.8,4.8,4.1,4.1,5100
2011-06-30,4.3,4.5,4.2,4.5,11700
2011-07-01,4.9,4.9,4.9,4.9,200
2011-07-04,5.3,5.3,4.5,4.5,300
2011-07-05,5.2,5.2,4.4,4.4,500
2011-07-06,5.0,5.0,4.2,4.2,5400
2011-07-07,4.5,4.5,4.5,4.5,100
2011-07-08,4.8,4.8,4.1,4.1,900
2011-07-11,4.3,4.9,4.3,4.9,200
2011-07-13,4.8,4.8,4.8,4.8,2000
2011-07-14,4.9,4.9,4.4,4.4,400
2011-07-15,4.3,4.6,4.3,4.6,2300
2011-07-18,4.2,4.2,4.2,4.2,100
2011-07-19,4.5,4.5,4.5,4.5,2000
2011-07-20,4.1,4.1,4.1,4.1,100
2011-07-21,3.7,3.7,3.7,3.7,100
2011-07-22,3.9,3.9,3.9,3.9,2000
2011-07-25,4.2,4.2,4.2,4.2,4300
2011-07-26,4.4,4.4,3.9,3.9,3500
2011-07-27,4.7,4.7,3.9,3.9,1600
2011-07-28,4.6,4.6,4.6,4.6,1000
2011-07-29,4.6,4.6,4.2,4.2,4100
2011-08-01,4.2,4.5,4.2,4.5,3200
2011-08-02,4.6,4.6,4.6,4.6,1500
2011-08-03,4.2,4.2,4.2,4.2,100
2011-08-04,4.4,4.4,4.4,4.4,3000
2011-08-05,4.5,4.5,4.5,4.5,1500
2011-08-08,4.1,4.1,4.1,4.1,100
2011-08-09,3.7,3.7,3.7,3.7,100
2011-08-10,3.4,3.4,3.4,3.4,100
2011-08-11,3.1,3.7,3.1,3.7,6500
2011-08-12,3.4,3.7,3.4,3.7,4200
2011-08-15,3.8,3.8,3.4,3.8,2100
2011-08-16,3.5,3.5,3.5,3.5,100
2011-08-17,3.2,3.2,3.2,3.2,800
2011-08-18,3.5,3.5,3.5,3.5,2500
2011-08-19,3.2,3.2,3.2,3.2,100
2011-08-22,3.0,3.5,3.0,3.0,8600
2011-08-23,3.1,3.1,3.1,3.1,200
2011-08-24,3.3,3.3,3.3,3.3,2000
2011-08-25,3.0,3.0,3.0,3.0,100
2011-08-26,2.8,2.8,2.8,2.8,100
2011-08-29,3.0,3.0,3.0,3.0,100
2011-08-30,3.0,3.0,3.0,3.0,5000
2011-08-31,2.8,2.8,2.8,2.8,100
2011-09-01,2.6,2.6,2.6,2.6,100
2011-09-05,2.8,2.8,2.6,2.6,5000
2011-09-06,2.9,2.9,2.8,2.8,4700
2011-09-07,2.7,2.8,2.7,2.8,2100
2011-09-09,2.7,2.7,2.7,2.7,3000
2011-09-12,2.7,2.8,2.7,2.8,7300
2011-09-13,2.8,2.9,2.8,2.9,700
2011-09-14,3.0,3.0,3.0,3.0,200
2011-09-15,3.3,3.3,3.3,3.3,100
2011-09-16,3.0,3.0,3.0,3.0,300
2011-09-19,3.3,3.3,2.8,2.8,300
2011-09-20,2.8,2.8,2.8,2.8,100
2011-09-21,2.6,2.7,2.6,2.7,3400
2011-09-22,2.6,2.6,2.6,2.6,1000
2011-09-26,2.5,2.5,2.5,2.5,100
2011-09-27,2.7,2.7,2.7,2.7,5000
2011-09-29,2.7,2.7,2.7,2.7,100
2011-09-30,2.5,2.5,2.5,2.5,200
2011-10-07,2.7,2.7,2.7,2.7,1100
2011-10-11,2.5,2.5,2.5,2.5,200
2011-10-14,2.3,2.3,2.3,2.3,200
