date,open,high,low,close,volume
2008-01-18,90.0,108.0,90.0,108.0,71470
2008-01-21,112.0,112.0,104.0,109.0,25560
2008-01-22,109.0,109.0,104.0,104.0,3290
2008-01-23,99.0,99.0,99.0,99.0,30260
2008-01-24,99.0,99.0,94.5,94.5,19200
2008-01-25,90.0,91.0,90.0,90.0,28860
2008-01-28,92.0,92.0,91.5,91.5,7070
2008-01-29,87.5,96.0,87.0,96.0,36220
2008-01-30,98.0,100.0,98.0,100.0,19000
2008-01-31,104.0,104.0,100.0,100.0,2850
2008-02-01,100.0,102.0,100.0,102.0,6010
2008-02-12,97.0,98.0,97.0,97.0,5650
2008-02-13,93.0,93.0,93.0,93.0,10710
2008-02-14,97.5,97.5,97.0,97.0,520
2008-02-15,93.0,96.5,92.5,96.5,5210
2008-02-18,92.0,92.0,92.0,92.0,3150
2008-02-19,87.5,92.0,87.5,92.0,1350
2008-02-20,92.0,92.0,87.5,87.5,2850
2008-02-21,83.5,83.5,83.5,83.5,3100
2008-02-22,80.0,80.0,79.5,79.5,1600
2008-02-25,76.0,80.0,76.0,80.0,11160
2008-02-26,79.5,79.5,76.0,76.0,6500
2008-02-27,72.5,72.5,72.5,72.5,8440
2008-02-28,69.0,74.0,69.0,74.0,6730
2008-02-29,75.0,76.0,71.0,76.0,3210
2008-03-03,77.0,79.5,72.5,79.5,21400
2008-03-04,76.0,76.0,76.0,76.0,4150
2008-03-05,72.5,72.5,72.5,72.5,180
2008-03-06,72.5,76.0,72.5,76.0,24280
2008-03-07,79.5,79.5,79.0,79.5,42200
2008-03-10,80.0,83.0,77.0,77.0,30090
2008-03-11,73.5,80.0,73.5,79.0,11760
2008-03-12,75.5,77.0,75.5,75.5,9600
2008-03-13,76.0,76.0,75.5,75.5,3100
2008-03-14,74.0,74.0,72.0,73.0,9580
2008-03-17,69.5,70.0,69.5,69.5,13180
2008-03-18,66.5,66.5,66.5,66.5,500
2008-03-19,63.5,67.0,63.5,63.5,6770
2008-03-20,60.5,60.5,60.5,60.5,320
2008-03-21,57.5,57.5,57.5,57.5,1700
2008-03-24,55.0,55.0,55.0,55.0,350
2008-03-25,52.5,52.5,52.5,52.5,100
2008-03-26,49.9,55.0,49.9,55.0,32850
2008-03-27,54.5,55.5,54.5,55.5,13450
2008-03-28,55.5,56.0,55.5,56.0,19860
2008-03-31,56.5,56.5,56.5,56.5,20250
2008-04-01,57.0,57.0,57.0,57.0,18610
2008-04-02,57.5,57.5,57.5,57.5,5500
2008-04-03,58.0,58.0,58.0,58.0,4010
2008-04-04,58.5,58.5,58.5,58.5,21080
2008-04-07,59.5,59.5,58.5,59.5,27970
