date,open,high,low,close,volume
2017-01-09,28.14,28.14,28.14,28.14,16400
2017-01-10,32.28,32.28,32.28,32.28,10700
2017-01-11,37.1,37.1,37.1,37.1,4000
2017-01-12,42.59,42.59,42.59,42.59,5400
2017-01-13,48.95,48.95,48.95,48.95,12420
2017-01-16,56.27,56.27,41.63,41.63,10506
2017-01-17,45.29,45.29,42.98,42.98,917
2017-01-18,43.27,43.27,36.81,36.81,2620
2017-01-19,33.44,33.44,33.44,33.44,600
2017-01-20,28.43,28.81,28.43,28.43,12400
2017-01-23,27.95,27.95,24.58,27.95,2100
2017-01-24,25.16,31.71,25.16,31.7,1400
2017-01-25,26.98,30.83,26.98,30.84,700
2017-02-02,29.78,31.42,29.78,31.42,400
2017-02-03,29.78,30.55,26.22,29.39,5110
2017-02-06,29.58,29.58,27.94,29.49,4500
2017-02-07,32.77,32.77,29.88,31.8,1632
2017-02-08,28.91,28.91,28.43,28.52,9100
2017-02-09,28.42,31.6,28.42,31.61,2101
2017-02-10,28.62,31.32,28.62,31.32,200
2017-02-13,30.84,30.84,30.84,30.84,201
2017-02-14,28.72,28.91,28.72,28.91,433
2017-02-15,27.95,29.3,27.95,28.91,1400
2017-02-16,28.24,28.24,28.24,28.24,800
2017-02-17,26.99,26.99,26.99,26.98,1100
2017-02-20,27.08,27.46,27.08,27.46,16300
2017-02-21,28.13,28.13,28.04,28.04,20000
2017-02-22,28.81,28.81,28.81,28.81,100
2017-02-23,28.91,28.91,28.91,28.91,100
2017-02-24,28.14,28.14,28.14,28.14,100
2017-02-28,27.95,27.95,27.95,27.95,100
2017-03-01,28.43,28.43,28.43,28.43,100
2017-03-02,25.15,25.15,25.15,25.15,100
2017-03-03,24.19,24.19,24.19,24.19,100
2017-03-06,24.19,26.98,24.19,24.19,2691
2017-03-07,23.61,23.61,23.13,23.13,2800
2017-03-08,26.79,26.79,19.85,24.09,400
2017-03-09,23.7,24.09,23.13,24.09,2844
2017-03-10,23.61,23.61,23.13,23.61,2047
2017-03-13,23.71,23.71,23.71,23.71,1200
2017-03-14,23.9,24.1,23.61,24.0,2000
2017-03-15,23.9,23.9,23.9,23.9,10
2017-03-16,22.17,22.17,21.2,21.2,6829
2017-03-17,24.38,24.38,24.38,24.38,228
2017-03-20,24.38,24.38,22.65,22.84,6802
2017-03-21,24.38,26.21,24.38,25.25,10600
2017-03-22,25.15,26.89,23.61,26.89,1000
2017-03-23,24.96,25.06,24.96,25.06,500
2017-03-24,25.06,25.06,24.1,24.09,2500
