date,open,high,low,close,volume
2006-12-29,5.67,5.67,5.67,5.67,200
2007-01-02,5.92,5.92,5.92,5.92,100
2007-01-03,6.2,6.2,6.2,6.21,1100
2007-01-04,6.51,6.51,6.51,6.51,400
2007-01-05,6.83,6.83,6.83,6.82,100
2007-01-08,7.15,7.15,7.15,7.16,440
2007-01-09,7.51,7.51,7.51,7.51,2100
2007-01-10,7.84,7.88,7.84,7.88,6100
2007-01-11,8.26,8.26,8.26,8.26,8660
2007-01-12,8.59,8.59,8.59,8.59,24960
2007-01-15,9.01,9.01,9.01,9.01,21200
2007-01-16,9.43,9.43,9.43,9.43,33070
2007-01-17,9.76,9.76,9.43,9.43,19950
2007-01-18,9.35,9.35,9.01,9.01,8810
2007-01-19,9.01,9.01,8.59,8.59,12360
2007-01-22,8.59,8.59,8.17,8.18,18970
2007-01-23,7.78,7.78,7.78,7.78,15180
2007-01-24,7.41,7.68,7.41,7.67,10050
2007-01-25,7.67,7.67,7.59,7.67,20680
2007-01-26,7.67,7.67,7.67,7.67,10550
2007-01-29,8.05,8.05,8.0,8.06,1300
2007-01-30,8.43,8.43,8.43,8.43,400
2007-01-31,7.78,7.78,7.78,7.78,2370
2007-02-01,0.0,7.51,7.4,7.39,6670
2007-02-02,7.39,7.39,7.39,7.39,6600
2007-02-05,7.76,7.76,7.67,7.76,3300
2007-02-06,8.14,8.14,8.13,8.14,16830
2007-02-07,8.51,8.51,8.51,8.51,9990
2007-02-08,8.51,8.93,8.51,8.51,48830
2007-02-09,8.34,8.34,8.18,8.34,7520
2007-02-12,8.09,8.34,7.92,8.34,12080
2007-02-13,8.01,8.01,7.99,8.01,4300
2007-02-14,8.34,8.34,8.01,8.34,5550
2007-02-15,8.59,8.59,8.34,8.59,3600
2007-02-26,9.01,9.01,8.26,9.01,7380
2007-02-27,9.01,9.01,9.01,9.01,27490
2007-02-28,8.68,9.01,8.68,8.68,13070
2007-03-01,8.25,8.26,8.25,8.24,4700
2007-03-02,8.51,8.51,8.51,8.51,14800
2007-03-05,8.93,8.93,8.68,8.93,17880
2007-03-06,9.01,9.35,9.01,9.01,24860
2007-03-07,9.43,9.43,9.34,9.34,23220
2007-03-08,9.34,9.76,9.34,9.76,27190
2007-03-09,9.68,9.76,9.68,9.76,39050
2007-03-12,10.18,10.18,10.18,10.18,21740
2007-03-13,10.68,10.68,10.18,10.68,13680
2007-03-14,10.18,11.18,10.18,10.18,13960
2007-03-15,9.76,9.76,9.68,9.68,1640
2007-03-16,9.26,9.26,9.26,9.26,40320
2007-03-19,9.68,9.68,9.68,9.68,8460
2007-03-20,10.1,10.1,10.01,10.01,10310
2007-03-21,10.01,10.01,10.01,10.01,3700
2007-03-22,10.01,10.01,9.51,9.51,3500
2007-03-23,9.18,9.18,9.09,9.09,6790
2007-03-26,8.67,8.67,8.67,8.68,15830
2007-03-27,8.25,8.25,8.25,8.24,2260
2007-03-28,7.84,7.84,7.84,7.84,2850
2007-03-29,8.01,8.22,8.01,8.23,3200
2007-03-30,8.6,8.6,8.6,8.59,9870
2007-04-02,8.59,8.59,8.34,8.59,9690
2007-04-03,8.59,8.59,8.17,8.18,8810
2007-04-04,7.85,8.35,7.85,8.34,1300
2007-04-05,8.51,8.67,8.51,8.51,7510
2007-04-06,8.34,8.34,8.34,8.34,1630
2007-04-09,8.01,8.01,7.94,8.01,6030
2007-04-10,8.01,8.09,8.01,8.09,4790
2007-04-11,8.09,8.09,8.02,8.03,1400
2007-04-12,8.01,8.01,7.85,7.84,3600
2007-04-13,7.51,7.51,7.46,7.51,6200
2007-04-16,7.18,7.18,7.14,7.14,4900
2007-04-17,6.84,6.84,6.79,6.79,1860
2007-04-18,6.59,7.12,6.51,7.12,6150
2007-04-19,7.47,7.47,7.47,7.47,11560
2007-04-20,7.47,7.47,7.17,7.17,5900
2007-04-23,6.82,6.84,6.82,6.84,1430
2007-04-24,7.17,7.17,6.51,6.84,6600
2007-04-25,6.84,7.17,6.84,7.17,4420
2007-05-02,6.84,7.0,6.84,7.01,3280
2007-05-03,7.01,7.01,7.01,7.01,4200
2007-05-04,7.18,7.18,7.18,7.17,2700
2007-05-07,7.0,7.0,7.0,7.01,5970
2007-05-08,7.18,7.18,7.01,7.01,12700
2007-05-09,7.01,7.01,6.84,6.84,9540
2007-05-10,6.84,7.01,6.84,7.01,9200
2007-05-11,7.01,7.01,7.01,7.01,860
2007-05-14,7.01,7.01,7.01,7.01,3300
2007-05-15,7.01,7.01,6.93,6.92,2630
2007-05-16,6.84,6.92,6.84,6.92,4700
2007-05-17,6.92,6.92,6.59,6.92,4010
2007-05-18,6.67,6.92,6.67,6.92,19270
2007-05-21,7.09,7.17,7.09,7.17,6190
2007-05-22,7.52,7.52,7.52,7.52,7610
2007-05-23,7.65,7.67,7.52,7.67,5410
2007-05-24,7.29,7.67,7.29,7.29,4110
2007-05-25,7.01,7.01,6.94,7.01,5640
2007-05-28,7.36,7.36,7.34,7.34,7620
2007-05-29,7.42,7.42,7.17,7.17,6800
2007-05-30,7.17,7.25,7.09,7.09,1700
2007-05-31,7.01,7.12,7.01,7.12,1850
2007-06-01,7.12,7.25,7.12,7.12,5140
2007-06-04,7.34,7.34,7.12,7.12,1180
2007-06-05,7.12,7.14,7.12,7.14,6480
2007-06-06,7.34,7.49,7.34,7.49,16900
2007-06-07,7.86,7.86,7.86,7.86,18430
2007-06-08,8.18,8.18,8.11,8.11,29010
2007-06-11,8.11,8.11,7.71,7.71,6570
2007-06-12,7.33,7.68,7.33,7.51,8970
2007-06-13,7.36,7.51,7.36,7.51,9640
2007-06-14,7.59,7.76,7.59,7.76,5550
2007-06-15,7.76,7.76,7.68,7.67,2500
2007-06-18,7.67,7.67,7.34,7.51,4500
2007-06-19,7.65,7.65,7.65,7.64,5070
2007-06-20,7.64,7.64,7.64,7.64,3650
2007-06-21,7.64,7.64,7.64,7.64,7810
2007-06-22,7.72,7.72,7.72,7.73,11980
2007-06-25,7.98,8.1,7.98,8.1,13890
2007-06-26,8.49,8.49,8.24,8.24,14600
2007-06-27,7.9,7.9,7.83,7.83,4410
2007-06-28,7.73,7.98,7.71,7.98,6730
2007-06-29,7.81,7.81,7.81,7.81,3430
2007-07-02,7.47,7.47,7.44,7.44,2600
2007-07-03,7.13,7.13,7.12,7.13,3510
2007-07-04,6.96,7.3,6.96,7.3,5820
2007-07-05,7.3,7.3,6.94,6.95,4300
