date,open,high,low,close,volume
2010-03-02,24.0,24.0,24.0,24.0,10
2010-03-03,25.2,25.2,25.2,25.2,10
2010-03-04,25.2,25.2,25.2,25.2,10
2010-03-05,26.4,26.4,26.4,26.4,1110
2010-03-08,27.7,27.7,27.7,27.7,20
2010-03-09,29.0,29.0,29.0,29.0,120
2010-03-10,30.4,30.4,30.4,30.4,2310
2010-03-11,31.9,31.9,31.9,31.9,1080
2010-03-12,33.4,33.4,33.4,33.4,9110
2010-03-15,35.0,35.0,35.0,35.0,12000
2010-03-16,36.7,36.7,36.7,36.7,17150
2010-03-17,38.5,38.5,38.5,38.5,32910
2010-03-18,40.4,40.4,38.5,40.0,51450
2010-03-19,38.5,40.0,38.0,38.0,12960
2010-03-22,38.0,38.0,36.1,37.5,8800
2010-03-23,37.6,38.5,36.7,37.5,4300
2010-03-24,36.2,37.5,35.7,35.7,22130
2010-03-25,35.5,35.5,34.0,34.0,4040
2010-03-26,32.5,35.0,32.5,35.0,21540
2010-03-29,35.9,35.9,35.9,35.9,3020
2010-03-30,34.5,34.5,34.3,34.3,6420
2010-03-31,33.5,33.5,32.6,32.6,11840
2010-04-01,31.5,34.0,31.2,32.5,3560
2010-04-02,32.2,33.8,32.0,33.8,2670
2010-04-05,33.5,34.0,33.5,34.0,2250
2010-04-06,32.7,33.0,32.7,33.0,4380
2010-04-07,32.8,32.8,32.1,32.1,6410
2010-04-08,31.6,32.0,31.5,31.7,3350
2010-04-09,31.8,33.2,31.8,33.2,4110
2010-04-12,34.8,34.8,34.0,34.0,4150
2010-04-13,33.0,34.0,32.5,32.5,12430
2010-04-14,31.5,34.0,31.5,34.0,3940
2010-04-15,34.0,34.0,34.0,34.0,3000
2010-04-16,33.5,33.5,32.3,32.3,10200
2010-04-19,30.7,31.0,30.7,30.7,11240
2010-04-20,31.0,32.2,31.0,32.2,9800
2010-04-21,33.6,33.6,33.6,33.6,10
2010-04-22,33.5,33.6,32.0,33.6,1790
2010-04-26,33.6,33.6,32.0,32.0,5030
2010-04-27,30.7,31.0,30.5,31.0,14740
2010-04-28,31.0,31.5,31.0,31.5,3290
2010-04-29,31.5,32.5,31.5,31.5,2830
2010-05-04,32.5,32.5,32.5,32.5,1020
2010-05-05,31.3,32.8,31.3,32.8,16650
2010-05-06,33.5,34.1,33.5,34.1,16060
2010-05-07,32.5,33.7,32.5,33.7,20
2010-05-10,32.3,32.3,32.3,32.3,1910
2010-05-11,32.8,33.0,32.8,32.9,10110
2010-05-12,32.9,32.9,32.9,32.9,2000
2010-05-13,31.4,31.5,31.4,31.4,410
2010-05-14,31.5,32.8,31.4,32.8,3500
2010-05-17,33.9,33.9,32.0,32.0,6300
2010-05-18,32.0,32.5,32.0,32.5,5920
2010-05-19,30.9,30.9,30.9,30.9,6000
2010-05-20,32.4,32.4,32.4,32.4,10
2010-05-21,30.8,33.0,30.8,30.8,80
2010-05-24,29.3,32.1,29.3,32.1,710
2010-05-25,30.5,32.0,30.5,32.0,3020
2010-05-26,30.4,33.5,30.4,30.4,16600
2010-05-27,31.8,31.8,28.9,29.0,3650
2010-05-28,30.4,30.4,30.0,30.3,8310
2010-05-31,31.0,31.0,31.0,31.0,10
2010-06-01,30.0,31.0,30.0,30.0,4640
2010-06-02,31.0,31.0,29.0,30.3,1270
2010-06-03,30.3,31.8,30.3,31.8,14240
2010-06-04,31.8,33.3,31.8,33.3,17290
2010-06-07,31.8,31.8,31.8,31.8,2200
2010-06-08,31.0,33.0,31.0,33.0,3140
2010-06-09,31.6,31.6,31.6,31.6,1790
2010-06-10,31.6,33.1,31.6,33.1,7160
2010-06-11,34.0,34.7,34.0,34.7,43480
2010-06-14,36.4,36.4,36.4,36.4,37620
2010-06-15,38.2,38.2,38.2,38.2,17330
2010-06-16,40.1,40.1,40.1,40.1,101510
2010-06-17,42.1,42.1,42.1,42.1,42680
2010-06-18,44.2,44.2,44.2,44.2,52860
2010-06-21,42.5,46.0,42.0,42.5,76500
2010-06-22,44.5,44.5,42.0,42.0,63930
2010-06-23,43.0,43.0,42.0,42.0,12050
2010-06-24,44.0,44.1,42.0,42.0,18870
2010-06-25,42.1,44.1,42.1,42.1,22650
2010-06-28,42.1,42.5,42.1,42.1,1670
2010-06-29,40.2,40.3,40.1,40.3,4010
2010-06-30,38.4,42.3,38.4,42.3,1900
2010-07-01,42.3,42.3,40.5,40.5,2400
2010-07-02,41.5,42.0,41.4,42.0,510
2010-07-05,40.0,42.8,40.0,42.8,1710
2010-07-06,40.7,40.7,40.7,40.7,5120
2010-07-07,42.0,42.0,42.0,42.0,10
2010-07-08,42.0,42.0,40.0,42.0,10620
2010-07-09,39.9,42.3,39.9,42.3,1660
2010-07-12,42.4,42.4,42.4,42.4,300
2010-07-13,40.3,42.0,40.3,42.0,1670
2010-07-14,41.0,41.0,41.0,41.0,1000
2010-07-15,39.0,39.0,39.0,39.0,9200
2010-07-16,39.9,39.9,39.9,39.9,30
2010-07-19,39.9,39.9,39.9,39.9,0
2010-07-20,39.0,39.0,39.0,39.0,500
2010-07-21,39.0,39.0,39.0,39.0,10
2010-07-22,39.4,39.4,39.4,39.4,10
2010-07-23,40.5,40.5,40.5,40.5,110
2010-07-26,41.2,41.2,41.2,41.2,10
2010-07-27,41.4,41.4,41.4,41.4,10
2010-07-28,41.5,41.5,41.5,41.5,10
2010-07-29,41.5,41.5,41.5,41.5,10
2010-07-30,41.0,41.0,41.0,41.0,10
2010-08-02,41.0,41.0,41.0,41.0,10
2010-08-03,39.0,39.0,39.0,39.0,3500
2010-08-04,37.1,39.9,37.1,39.9,510
2010-08-05,38.0,38.9,38.0,38.9,2010
2010-08-06,38.9,38.9,38.9,38.9,0
2010-08-09,39.8,39.8,39.8,39.8,10
2010-08-10,39.8,39.8,39.8,39.8,0
2010-08-11,37.9,37.9,37.9,37.9,40
2010-08-12,36.1,36.1,36.1,36.1,150
2010-08-13,37.9,37.9,36.0,36.0,20
2010-08-16,37.8,37.8,36.0,36.0,20
2010-08-17,37.8,37.8,37.8,37.8,20
2010-08-18,37.8,39.0,36.0,39.0,80
2010-08-19,37.5,40.7,37.5,40.6,110
2010-08-20,40.0,40.0,40.0,40.0,10
2010-08-23,40.0,40.0,40.0,40.0,0
2010-08-24,38.0,38.0,38.0,38.0,220
2010-08-25,36.1,36.1,36.1,36.1,10
2010-08-26,34.3,36.9,34.3,35.6,80
2010-08-27,37.0,37.0,33.9,33.9,60
2010-08-30,32.3,35.4,32.3,34.9,570
2010-08-31,36.5,36.5,33.5,36.1,30
2010-09-01,34.5,37.9,34.3,37.9,950
2010-09-06,39.7,39.7,36.1,36.1,110
2010-09-07,34.5,37.9,34.5,37.9,40
2010-09-08,36.1,39.4,36.1,36.1,910
2010-09-09,34.3,34.4,34.3,34.3,1100
2010-09-10,35.0,35.0,32.7,34.0,40
2010-09-13,32.3,33.9,32.3,33.2,190
2010-09-14,33.8,33.8,31.6,31.6,1050
2010-09-15,32.9,32.9,30.1,31.3,4950
2010-09-16,31.5,32.8,30.3,32.8,350
2010-09-17,31.2,34.4,31.2,34.4,560
2010-09-20,35.8,35.8,35.8,35.8,10
2010-09-21,35.8,36.3,35.8,36.3,30
2010-09-22,34.5,34.5,34.5,34.5,50
2010-09-23,32.8,34.4,32.8,34.4,2540
2010-09-24,32.7,32.7,32.7,32.7,1560
2010-09-27,33.5,33.6,33.5,33.6,60
2010-09-28,32.0,35.2,32.0,35.2,1550
2010-09-29,33.5,36.3,33.5,36.3,620
2010-09-30,34.5,34.5,34.5,34.5,40
2010-10-01,32.8,35.0,32.8,35.0,1020
2010-10-04,35.0,35.0,35.0,35.0,0
2010-10-05,35.8,35.8,33.3,33.3,50
2010-10-06,31.7,34.8,31.7,31.7,220
2010-10-07,33.2,33.2,30.9,33.0,770
2010-10-08,34.5,34.5,33.9,34.0,630
2010-10-11,32.3,34.5,32.3,34.5,230
2010-10-12,35.0,35.0,35.0,35.0,500
2010-10-13,36.7,36.7,36.7,36.7,3000
2010-10-14,36.7,36.7,36.7,36.7,0
2010-10-15,36.7,36.7,36.7,36.7,0
2010-10-18,36.7,36.7,36.7,36.7,0
2010-10-19,38.0,38.0,34.9,34.9,90
2010-10-20,34.9,34.9,34.9,34.9,0
2010-10-21,35.4,35.4,35.4,35.4,10
2010-10-22,33.7,33.7,33.7,33.7,520
2010-10-25,32.2,32.2,32.1,32.1,30
2010-10-26,31.0,31.0,31.0,31.0,540
2010-10-27,29.5,30.0,29.5,29.5,4680
2010-10-28,28.2,29.9,28.2,29.9,40
2010-10-29,28.5,28.5,28.5,28.5,40
2010-11-01,28.5,29.9,28.5,28.6,340
2010-11-02,28.6,30.0,27.3,28.6,600
2010-11-03,30.0,30.0,27.2,29.0,320
2010-11-04,27.6,29.8,27.6,29.8,610
2010-11-05,28.5,31.2,28.4,29.8,1100
2010-11-08,28.4,29.9,28.4,29.9,770
2010-11-09,28.5,28.5,28.5,28.5,1110
2010-11-10,27.2,28.9,27.1,27.2,4530
2010-11-11,26.0,26.4,26.0,26.4,450
2010-11-12,25.1,25.3,25.1,25.1,4240
2010-11-15,24.0,24.0,23.9,23.9,820
