date,open,high,low,close,volume
2017-05-03,35.0,35.0,35.0,35.0,20
2017-04-24,35.0,35.0,35.0,35.0,120
2017-04-19,40.0,40.0,40.0,40.0,100
2017-03-21,45.0,45.0,45.0,45.0,100
2016-12-12,42.0,42.0,42.0,42.0,100
2016-11-28,43.0,43.0,43.0,43.0,100
2016-10-25,42.0,42.0,42.0,42.0,100
2016-10-07,47.0,47.0,47.0,47.0,100
2016-09-19,46.0,46.0,46.0,46.0,100
2016-09-05,45.0,45.0,45.0,45.0,100
2016-07-27,43.5,45.0,43.5,45.0,200
2016-06-30,41.0,45.0,41.0,45.0,200
2016-06-20,43.6,43.6,43.6,43.6,1000
2016-06-17,49.0,53.0,49.0,53.0,300
2016-06-16,50.2,50.2,48.5,48.5,200
2016-06-15,46.8,46.8,37.6,46.8,300
2016-06-14,35.8,48.2,35.8,48.2,300
2016-06-13,43.8,46.5,37.0,46.5,500
2016-06-03,41.0,46.0,41.0,46.0,200
2016-05-19,41.0,42.6,41.0,42.6,500
2016-05-09,40.5,40.9,40.5,40.9,200
2016-04-26,40.2,40.2,40.2,40.2,100
2016-04-11,40.0,40.0,40.0,40.0,100
2016-04-08,41.0,41.0,40.0,40.0,600
2016-04-01,40.0,44.0,40.0,44.0,200
2016-03-29,39.3,42.0,39.3,42.0,200
2016-03-18,39.5,39.5,39.5,39.5,100
2016-03-17,40.7,40.7,40.7,40.7,100
2016-03-15,40.5,45.2,40.5,45.2,200
2016-03-10,37.0,42.5,37.0,42.5,200
2016-03-04,34.9,39.6,34.9,39.6,200
2016-03-02,37.6,37.6,37.6,37.6,100
2016-02-26,32.7,32.7,32.7,32.7,100
2016-02-25,28.5,28.5,28.5,28.5,100
2016-02-24,23.2,26.3,23.2,26.3,200
2016-02-23,23.0,23.0,23.0,23.0,200
2016-02-15,20.0,20.0,20.0,20.0,200
2015-09-24,33.2,33.2,33.2,33.2,800
2015-09-22,39.0,39.0,39.0,39.0,11800
2015-09-08,40.6,40.6,40.6,40.6,500
2015-08-28,40.6,40.6,40.6,40.6,2100
2015-07-21,40.6,40.6,40.6,40.6,3600
2015-06-26,36.0,36.0,36.0,36.0,4900
2015-06-16,40.0,40.0,40.0,40.0,200
2015-06-15,41.5,47.0,41.0,41.0,32305
2015-06-12,45.0,45.0,45.0,45.0,4200
2015-06-11,44.4,44.4,44.4,44.4,3300
2015-06-08,40.5,40.5,40.5,40.5,500
2015-06-05,40.5,41.0,40.5,41.0,6904
2015-06-04,41.0,41.0,40.0,40.0,14400
2015-06-03,38.9,38.9,38.9,38.9,4900
2015-06-02,35.4,35.4,35.4,35.4,100
2015-06-01,31.0,37.7,31.0,37.7,9500
2015-05-29,34.3,34.3,34.3,34.3,1000
2015-05-28,31.2,31.2,31.2,31.2,100
2015-05-27,28.4,28.4,28.4,28.4,100
2015-05-26,25.9,25.9,25.9,25.9,100
2015-05-21,22.4,27.2,22.4,27.2,400
2015-05-20,24.8,24.8,24.8,24.8,100
2015-05-14,22.6,22.6,22.6,22.6,4400
2015-05-11,25.0,25.0,25.0,25.0,2000
2015-04-27,27.0,27.0,27.0,27.0,200
2015-04-22,24.6,24.6,24.6,24.6,600
2015-04-17,22.4,22.4,22.4,22.4,100
2015-04-02,20.4,20.4,20.3,20.4,1400
2015-03-31,22.5,22.5,22.5,22.5,300
2015-03-27,24.9,24.9,24.9,24.9,100
2015-03-23,27.6,27.6,27.6,27.6,2000
2015-03-20,30.6,30.6,30.6,30.6,4500
2015-03-13,33.7,34.2,33.7,34.2,24400
2015-03-12,34.4,38.6,34.2,38.6,7010
2015-03-11,38.0,38.0,32.9,38.0,7000
2015-03-10,36.5,36.5,36.5,36.5,5000
2015-03-06,35.2,35.2,35.2,35.2,100
2015-03-05,32.0,32.0,32.0,32.0,5000
2015-02-27,29.0,34.5,29.0,34.5,32500
2015-02-26,31.4,31.4,31.4,31.4,100
2015-02-24,28.6,28.6,28.6,28.6,500
2015-02-11,26.4,26.4,26.4,26.4,300
2015-02-10,29.3,29.3,29.3,29.3,100
2015-02-09,30.5,33.6,30.5,30.6,23600
2015-02-06,33.5,33.8,33.5,33.5,22600
2015-02-05,41.0,41.0,36.9,37.0,15400
2015-02-04,40.9,40.9,38.0,40.9,59800
2015-02-03,34.1,41.5,34.1,41.5,28100
2015-02-02,36.3,44.3,36.3,44.3,15900
2015-01-30,40.3,40.4,40.3,40.3,5000
2015-01-29,36.8,36.8,30.2,36.8,32800
2015-01-28,33.5,33.5,33.4,33.5,4400
2015-01-27,30.5,30.5,30.5,30.5,6000
2015-01-26,31.6,31.6,30.0,30.0,1700
2015-01-23,29.2,29.2,29.2,29.2,100
2015-01-22,26.6,26.6,26.6,26.6,4300
2015-01-20,24.2,24.2,19.8,24.2,100
2015-01-19,22.0,22.0,22.0,22.0,100
2015-01-15,20.0,20.0,20.0,20.0,100
2015-01-14,18.2,18.2,18.2,18.2,100
2015-01-13,16.6,16.6,16.6,16.6,100
2015-01-12,15.1,15.1,15.1,15.1,100
2015-01-09,13.8,13.8,13.8,13.8,100
2015-01-08,12.6,12.6,12.6,12.6,100
2015-01-07,11.5,11.5,11.5,11.5,100
2015-01-05,10.5,10.5,10.5,10.5,780
2014-12-31,10.5,10.5,8.7,10.5,5300
2014-12-25,9.6,9.6,9.6,9.6,782
2014-12-15,8.8,8.8,8.8,8.8,1000
2014-12-05,8.0,8.0,8.0,8.0,1200
2014-12-02,8.8,8.8,8.8,8.8,4176
2014-12-01,8.0,8.0,8.0,8.0,1188
2014-11-24,8.8,8.8,8.8,8.8,11
2014-11-21,8.8,8.8,8.8,8.8,16200
2014-11-20,8.8,8.8,8.8,8.8,2850
2014-11-19,8.0,8.0,8.0,8.0,1333
2014-11-18,8.0,8.0,8.0,8.0,10400
2014-11-12,8.2,8.2,8.2,8.2,2800
2014-11-05,9.0,9.0,9.0,9.0,5400
2014-10-31,9.0,9.0,9.0,9.0,2300
2014-10-09,9.7,9.7,9.7,9.7,100
2014-10-02,10.7,10.7,10.7,10.7,100
