date,open,high,low,close,volume
2017-07-21,16.5,16.85,16.1,16.65,65060
2017-07-20,16.5,16.95,16.4,16.8,124950
2017-07-19,16.7,16.9,16.4,16.8,153530
2017-07-18,16.8,16.85,16.4,16.7,129150
2017-07-17,16.85,16.9,16.5,16.8,243970
2017-07-14,17.4,17.4,16.85,16.85,183620
2017-07-13,17.4,17.5,16.95,17.4,235920
2017-07-12,17.2,17.5,16.8,17.4,344820
2017-07-11,17.2,17.4,16.9,17.3,115030
2017-07-10,17.7,17.7,16.95,17.5,143180
2017-07-07,17.6,18.0,17.5,17.7,56910
2017-07-06,17.4,18.5,17.4,17.8,184470
2017-07-05,17.5,17.8,16.4,17.65,238610
2017-07-04,16.69,16.98,16.65,16.65,140600
2017-07-03,16.74,17.17,16.69,16.93,191870
2017-06-30,16.93,16.93,16.6,16.93,70220
2017-06-29,16.98,17.07,16.6,16.93,145810
2017-06-28,16.7,17.17,16.51,16.98,244480
2017-06-27,16.61,17.17,16.51,16.7,251940
2017-06-26,16.08,16.98,16.08,16.7,212320
2017-06-23,16.65,16.88,16.65,16.79,144270
2017-06-22,16.13,16.93,16.13,16.79,237730
2017-06-21,15.84,16.03,15.75,15.85,79650
2017-06-20,15.66,15.84,15.56,15.75,124660
2017-06-19,15.85,16.04,15.76,15.75,62890
2017-06-16,15.66,16.23,15.61,16.23,194300
2017-06-15,15.85,16.13,15.1,15.85,503990
2017-06-14,15.57,15.94,15.57,15.85,275460
2017-06-13,16.7,16.7,15.66,15.85,165320
2017-06-12,16.13,16.13,15.33,15.85,247680
2017-06-09,14.72,15.33,14.29,15.33,442270
2017-06-08,14.34,14.53,14.16,14.34,202290
2017-06-07,14.63,14.63,14.25,14.25,131010
2017-06-06,14.25,14.49,14.16,14.25,185100
2017-06-05,14.15,14.9,13.68,14.25,323430
2017-06-02,14.44,14.82,14.25,14.43,106380
2017-06-01,14.96,15.38,14.91,14.91,145790
2017-05-31,14.62,15.09,14.62,14.91,217970
2017-05-30,13.4,14.62,13.4,14.62,431520
2017-05-29,15.09,15.09,13.68,13.68,207850
2017-05-26,12.07,15.94,12.07,14.62,4343680
