date,open,high,low,close,volume
2011-10-06,15.0,15.0,15.0,15.0,0.0
2011-10-07,15.0,15.0,15.0,15.0,0.0
2011-10-10,15.0,15.0,15.0,15.0,0.0
2011-10-11,15.0,15.0,15.0,15.0,0.0
2011-10-12,15.0,15.0,15.0,15.0,0.0
2011-10-13,15.0,15.0,15.0,15.0,0.0
2011-10-14,15.0,15.0,15.0,15.0,0.0
2011-10-17,15.0,15.0,15.0,15.0,0.0
2011-10-18,15.0,15.0,15.0,15.0,0.0
2011-10-19,15.0,15.0,15.0,15.0,0.0
2011-10-20,15.0,15.0,15.0,15.0,0.0
2011-10-21,15.0,15.0,15.0,15.0,0.0
2011-10-24,15.0,15.0,15.0,15.0,0.0
2011-10-25,15.0,15.0,15.0,15.0,0.0
2011-10-26,15.0,15.0,15.0,15.0,0.0
2011-10-27,15.0,15.0,15.0,15.0,0.0
2011-10-28,15.0,15.0,15.0,15.0,0.0
2011-10-31,15.0,15.0,15.0,15.0,0.0
2011-11-01,15.0,15.0,15.0,15.0,0.0
2011-11-02,15.0,15.0,15.0,15.0,0.0
2011-11-03,9.5,9.5,9.5,9.5,200.0
2011-11-04,9.5,9.5,9.5,9.5,0.0
2011-11-07,9.5,9.5,9.5,9.5,0.0
2011-11-08,9.5,9.5,9.5,9.5,0.0
2011-11-09,9.5,9.5,9.5,9.5,0.0
2011-11-10,9.5,9.5,9.5,9.5,0.0
2011-11-11,9.5,9.5,9.5,9.5,0.0
2011-11-14,9.5,9.5,9.5,9.5,0.0
2011-11-15,9.5,9.5,9.5,9.5,0.0
2011-11-16,9.5,9.5,9.5,9.5,0.0
2011-11-17,9.5,9.5,9.5,9.5,0.0
2011-11-18,9.5,9.5,9.5,9.5,0.0
2011-11-21,9.5,9.5,9.5,9.5,0.0
2011-11-22,9.5,9.5,9.5,9.5,0.0
2011-11-23,9.5,9.5,9.5,9.5,0.0
2011-11-24,9.5,9.5,9.5,9.5,0.0
2011-11-25,9.5,9.5,9.5,9.5,0.0
2011-11-28,9.5,9.5,9.5,9.5,0.0
2011-11-29,9.5,9.5,9.5,9.5,0.0
2011-11-30,9.5,9.5,9.5,9.5,0.0
2011-12-01,8.6,8.6,8.6,8.6,200.0
2011-12-02,8.6,8.6,8.6,8.6,0.0
2011-12-05,8.6,8.6,8.6,8.6,0.0
2011-12-06,8.6,8.6,8.6,8.6,0.0
2011-12-07,8.6,8.6,8.6,8.6,0.0
2011-12-08,8.6,8.6,8.6,8.6,0.0
2011-12-09,7.8,7.8,7.8,7.8,500.0
2011-12-12,7.8,7.8,7.8,7.8,0.0
2011-12-13,7.8,7.8,7.8,7.8,0.0
2011-12-14,8.0,8.0,8.0,8.0,400.0
2011-12-15,8.8,8.8,8.8,8.8,4800.0
2011-12-16,8.8,8.8,8.8,8.8,0.0
2011-12-19,8.8,8.8,8.8,8.8,0.0
2011-12-20,8.8,8.8,8.8,8.8,0.0
2011-12-21,8.8,8.8,8.8,8.8,0.0
2011-12-22,8.8,8.8,8.8,8.8,0.0
2011-12-23,8.8,8.8,8.8,8.8,0.0
2011-12-26,8.8,8.8,8.8,8.8,0.0
2011-12-27,8.8,8.8,8.8,8.8,0.0
2011-12-28,8.8,8.8,8.8,8.8,0.0
2011-12-29,8.8,8.8,8.8,8.8,0.0
2011-12-30,8.8,8.8,8.8,8.8,0.0
2012-01-03,8.8,8.8,8.8,8.8,0.0
2012-01-04,8.8,8.8,8.8,8.8,0.0
2012-01-05,8.8,8.8,8.8,8.8,0.0
2012-01-06,8.8,8.8,8.8,8.8,0.0
2012-01-09,8.8,8.8,8.8,8.8,0.0
2012-01-10,8.8,8.8,8.8,8.8,0.0
